,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
0,65c613dc2ce7cc3ec0772c44,AWL,EQ,N,354.4,342.35,349.0,344.95,345.0,348.65,1199105,415647720.2,509.0,285.8,27973,INE699H01024,2024-02-09,2024-02-08T18:30:00.000Z,2024-02-09T12:00:28.721Z,2024-02-09T12:00:28.721Z,0,,346.63,09-Feb-2024,
1,65ca085c3d2c61c7ee71bd77,AWL,EQ,N,348.4,337.0,346.9,338.4,338.5,344.95,1142901,389676098.7,509.0,285.8,28374,INE699H01024,2024-02-12,2024-02-11T18:30:00.000Z,2024-02-12T12:00:28.854Z,2024-02-12T12:00:28.854Z,0,,340.95,12-Feb-2024,
2,65cb59dbc77ecab986d05392,AWL,EQ,N,340.0,328.8,340.0,333.8,334.45,338.4,963337,321011115.7,509.0,285.8,25645,INE699H01024,2024-02-13,2024-02-12T18:30:00.000Z,2024-02-13T12:00:27.009Z,2024-02-13T12:00:27.009Z,0,,333.23,13-Feb-2024,
3,65ccab7db3b7cee94bb05f66,AWL,EQ,N,341.15,330.45,332.0,337.85,338.2,333.8,1019035,344524316.75,509.0,285.8,22974,INE699H01024,2024-02-14,2024-02-13T18:30:00.000Z,2024-02-14T12:01:01.921Z,2024-02-14T12:01:01.921Z,0,,338.09,14-Feb-2024,
4,65cdfcfe0b93c6793ba3e3bf,AWL,EQ,N,344.0,336.0,340.8,337.05,338.0,337.85,861690,292591304.05,509.0,285.8,19022,INE699H01024,2024-02-15,2024-02-14T18:30:00.000Z,2024-02-15T12:01:02.263Z,2024-02-15T12:01:02.263Z,0,,339.56,15-Feb-2024,
5,65cf4e7d61aab0774d35aaec,AWL,EQ,N,353.0,336.65,339.0,346.5,345.6,337.05,2547871,881517061.3,509.0,285.8,39804,INE699H01024,2024-02-16,2024-02-15T18:30:00.000Z,2024-02-16T12:01:01.649Z,2024-02-16T12:01:01.649Z,0,,345.98,16-Feb-2024,
6,65d39092c64559bd8f40fb30,AWL,EQ,N,374.75,347.85,348.0,366.45,367.3,346.5,8004738,2941721550.65,509.0,285.8,120526,INE699H01024,2024-02-19,2024-02-18T18:30:00.000Z,2024-02-19T17:32:02.167Z,2024-02-19T17:32:02.167Z,0,,367.5,19-Feb-2024,
7,65d4945c64fbe6f723b1472c,AWL,EQ,N,378.95,361.8,369.35,369.7,369.0,366.45,5721766,2128380588.0,509.0,285.8,71397,INE699H01024,2024-02-20,2024-02-19T18:30:00.000Z,2024-02-20T12:00:28.799Z,2024-02-20T12:00:28.799Z,0,,371.98,20-Feb-2024,
8,65d5e5fef1fbe8e7f6d9c8f0,AWL,EQ,N,373.0,356.35,370.7,360.6,361.25,369.7,2925334,1072174704.55,509.0,285.8,40757,INE699H01024,2024-02-21,2024-02-20T18:30:00.000Z,2024-02-21T12:01:02.287Z,2024-02-21T12:01:02.287Z,0,,366.51,21-Feb-2024,
9,65d7377e42995682861e4099,AWL,EQ,N,363.4,355.6,363.35,360.65,361.2,360.6,1330394,478833967.0,509.0,285.8,20195,INE699H01024,2024-02-22,2024-02-21T18:30:00.000Z,2024-02-22T12:01:02.234Z,2024-02-22T12:01:02.234Z,0,,359.92,22-Feb-2024,
