,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
0,65c613dd2ce7cc3ec0772ed7,CENTRALBK,EQ,N,72.4,65.0,70.45,68.0,67.8,69.85,58441930,3980002919.45,76.9,22.25,110348,INE483A01010,2024-02-09,2024-02-08T18:30:00.000Z,2024-02-09T12:00:29.499Z,2024-02-09T12:00:29.499Z,0,,68.1,09-Feb-2024,
1,65ca085d3d2c61c7ee71c002,CENTRALBK,EQ,N,68.2,58.3,68.0,59.95,59.9,68.0,49978373,3167523039.4,76.9,22.25,108569,INE483A01010,2024-02-12,2024-02-11T18:30:00.000Z,2024-02-12T12:00:29.459Z,2024-02-12T12:00:29.459Z,0,,63.38,12-Feb-2024,
2,65cb59dbc77ecab986d05606,CENTRALBK,EQ,N,63.95,58.4,59.0,63.3,63.25,59.95,60568781,3747834474.8,76.9,22.25,120021,INE483A01010,2024-02-13,2024-02-12T18:30:00.000Z,2024-02-13T12:00:27.618Z,2024-02-13T12:00:27.618Z,0,,61.88,13-Feb-2024,
3,65ccab7eb3b7cee94bb061e6,CENTRALBK,EQ,N,66.2,60.45,60.5,65.6,65.5,63.3,41099283,2624428216.65,76.9,22.25,73376,INE483A01010,2024-02-14,2024-02-13T18:30:00.000Z,2024-02-14T12:01:02.517Z,2024-02-14T12:01:02.517Z,0,,63.86,14-Feb-2024,
4,65cdfcfe0b93c6793ba3e64a,CENTRALBK,EQ,N,68.0,64.2,65.9,67.45,67.2,65.6,50957276,3379343231.8,76.9,22.25,83107,INE483A01010,2024-02-15,2024-02-14T18:30:00.000Z,2024-02-15T12:01:02.895Z,2024-02-15T12:01:02.895Z,0,,66.32,15-Feb-2024,
5,65cf4e7e61aab0774d35ad77,CENTRALBK,EQ,N,69.0,66.1,68.0,66.6,66.6,67.45,34547539,2330699607.1,76.9,22.25,61938,INE483A01010,2024-02-16,2024-02-15T18:30:00.000Z,2024-02-16T12:01:02.337Z,2024-02-16T12:01:02.337Z,0,,67.46,16-Feb-2024,
6,65d39092c64559bd8f40fd99,CENTRALBK,EQ,N,68.85,65.9,66.9,66.95,67.0,66.6,26347802,1775712132.0,76.9,22.25,54158,INE483A01010,2024-02-19,2024-02-18T18:30:00.000Z,2024-02-19T17:32:02.807Z,2024-02-19T17:32:02.807Z,0,,67.4,19-Feb-2024,
7,65d4945d64fbe6f723b149ad,CENTRALBK,EQ,N,67.55,65.5,67.1,65.85,66.1,66.95,16877805,1122623806.65,76.9,22.25,36990,INE483A01010,2024-02-20,2024-02-19T18:30:00.000Z,2024-02-20T12:00:29.350Z,2024-02-20T12:00:29.350Z,0,,66.51,20-Feb-2024,
8,65d5e5fef1fbe8e7f6d9cb9d,CENTRALBK,EQ,N,68.4,65.4,66.15,65.85,66.15,65.85,29225281,1949833776.3,76.9,22.25,53994,INE483A01010,2024-02-21,2024-02-20T18:30:00.000Z,2024-02-21T12:01:02.928Z,2024-02-21T12:01:02.928Z,0,,66.72,21-Feb-2024,
9,65d7377e42995682861e4313,CENTRALBK,EQ,N,67.35,63.8,66.3,66.9,66.65,65.85,22223256,1456091601.2,76.9,22.25,40616,INE483A01010,2024-02-22,2024-02-21T18:30:00.000Z,2024-02-22T12:01:02.832Z,2024-02-22T12:01:02.832Z,0,,65.52,22-Feb-2024,
10,65da41632fa2c80c60110509,CENTRALBK,EQ,N,67.35,65.4,67.0,65.75,65.75,66.9,14482044,959740572.25,76.9,22.25,35774,INE483A01010,2024-02-23,2024-02-22T18:30:00.000Z,2024-02-24T19:20:03.506Z,2024-02-24T19:20:03.506Z,0,,66.27,23-Feb-2024,
11,65dc7d5b18353a15cfb09e77,CENTRALBK,EQ,N,65.9,64.55,65.9,64.9,64.85,65.75,11290843,733880654.6,76.9,22.25,28290,INE483A01010,2024-02-26,2024-02-25T18:30:00.000Z,2024-02-26T12:00:27.813Z,2024-02-26T12:00:27.813Z,0,,65.0,26-Feb-2024,
12,65ddcedddc3d5b40c3c1ec49,CENTRALBK,EQ,N,65.45,62.55,64.9,63.25,63.2,64.9,14385725,921385667.55,76.9,22.25,31193,INE483A01010,2024-02-27,2024-02-26T18:30:00.000Z,2024-02-27T12:00:29.587Z,2024-02-27T12:00:29.587Z,0,,64.05,27-Feb-2024,
13,65df207e3ab4615b7638708f,CENTRALBK,EQ,N,63.85,60.35,63.45,61.0,61.0,63.25,16140826,996770975.9,76.9,22.25,37533,INE483A01010,2024-02-28,2024-02-27T18:30:00.000Z,2024-02-28T12:01:02.690Z,2024-02-28T12:01:02.690Z,0,,61.75,28-Feb-2024,
