,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
0,65c613df2ce7cc3ec0773574,JSWENERGY,EQ,N,511.9,484.1,509.0,500.2,497.0,506.85,3188552,1575992244.05,520.0,204.65,67794,INE121E01018,2024-02-09,2024-02-08T18:30:00.000Z,2024-02-09T12:00:31.222Z,2024-02-09T12:00:31.222Z,0,,494.27,09-Feb-2024,
1,65ca085e3d2c61c7ee71c6b2,JSWENERGY,EQ,N,521.65,494.5,507.65,497.2,495.45,500.2,6118550,3118162514.35,521.65,204.65,141824,INE121E01018,2024-02-12,2024-02-11T18:30:00.000Z,2024-02-12T12:00:30.775Z,2024-02-12T12:00:30.775Z,0,,509.62,12-Feb-2024,
2,65cb59ddc77ecab986d05c81,JSWENERGY,EQ,N,507.45,484.75,507.45,487.05,486.0,497.2,4131893,2027840056.7,521.65,204.65,72862,INE121E01018,2024-02-13,2024-02-12T18:30:00.000Z,2024-02-13T12:00:29.064Z,2024-02-13T12:00:29.064Z,0,,490.78,13-Feb-2024,
3,65ccab7fb3b7cee94bb0689a,JSWENERGY,EQ,N,485.7,474.0,474.0,479.7,479.5,487.05,2319951,1113414621.5,521.65,204.65,48371,INE121E01018,2024-02-14,2024-02-13T18:30:00.000Z,2024-02-14T12:01:03.884Z,2024-02-14T12:01:03.884Z,0,,479.93,14-Feb-2024,
4,65cdfd000b93c6793ba3ecdd,JSWENERGY,EQ,N,493.3,483.0,484.5,484.15,483.55,479.7,2197718,1069119542.9,521.65,204.65,43488,INE121E01018,2024-02-15,2024-02-14T18:30:00.000Z,2024-02-15T12:01:04.292Z,2024-02-15T12:01:04.292Z,0,,486.47,15-Feb-2024,
5,65cf4e7f61aab0774d35b40a,JSWENERGY,EQ,N,489.5,479.15,488.4,480.45,482.8,484.15,1131246,546889504.05,521.65,204.65,29601,INE121E01018,2024-02-16,2024-02-15T18:30:00.000Z,2024-02-16T12:01:03.759Z,2024-02-16T12:01:03.759Z,0,,483.44,16-Feb-2024,
6,65d39094c64559bd8f4103b2,JSWENERGY,EQ,N,501.9,480.5,484.1,499.25,498.65,480.45,4573746,2263373858.75,521.65,204.65,57548,INE121E01018,2024-02-19,2024-02-18T18:30:00.000Z,2024-02-19T17:32:04.224Z,2024-02-19T17:32:04.224Z,0,,494.86,19-Feb-2024,
7,65d4945e64fbe6f723b1501b,JSWENERGY,EQ,N,498.0,486.5,497.75,490.6,489.0,499.25,2420333,1189852738.3,521.65,204.65,39610,INE121E01018,2024-02-20,2024-02-19T18:30:00.000Z,2024-02-20T12:00:30.726Z,2024-02-20T12:00:30.726Z,0,,491.61,20-Feb-2024,
8,65d5e600f1fbe8e7f6d9d2b4,JSWENERGY,EQ,N,494.0,480.6,490.6,484.65,485.0,490.6,1545884,752677364.8,521.65,204.65,39165,INE121E01018,2024-02-21,2024-02-20T18:30:00.000Z,2024-02-21T12:01:04.389Z,2024-02-21T12:01:04.389Z,0,,486.89,21-Feb-2024,
9,65d7378042995682861e499b,JSWENERGY,EQ,N,496.6,482.8,485.9,488.0,489.1,484.65,2107198,1031581467.9,521.65,204.65,43400,INE121E01018,2024-02-22,2024-02-21T18:30:00.000Z,2024-02-22T12:01:04.107Z,2024-02-22T12:01:04.107Z,0,,489.55,22-Feb-2024,
10,65da41652fa2c80c601118e2,JSWENERGY,EQ,N,510.75,486.1,489.75,506.85,508.0,488.0,5304876,2645509229.4,521.65,204.65,61013,INE121E01018,2024-02-23,2024-02-22T18:30:00.000Z,2024-02-24T19:20:05.326Z,2024-02-24T19:20:05.326Z,0,,498.69,23-Feb-2024,
11,65dc7d5e18353a15cfb0b22d,JSWENERGY,EQ,N,537.95,510.25,511.5,523.7,523.95,506.85,14220530,7506135101.05,537.95,204.65,184616,INE121E01018,2024-02-26,2024-02-25T18:30:00.000Z,2024-02-26T12:00:30.104Z,2024-02-26T12:00:30.104Z,0,,527.84,26-Feb-2024,
12,65ddcedfdc3d5b40c3c1ffed,JSWENERGY,EQ,N,532.5,500.85,525.45,521.85,521.05,523.7,5937986,3095400656.2,537.95,204.65,87459,INE121E01018,2024-02-27,2024-02-26T18:30:00.000Z,2024-02-27T12:00:31.665Z,2024-02-27T12:00:31.665Z,0,,521.29,27-Feb-2024,
13,65df20803ab4615b763883ed,JSWENERGY,EQ,N,523.5,503.0,522.5,507.6,505.95,521.85,3249733,1656030429.8,537.95,204.65,56907,INE121E01018,2024-02-28,2024-02-27T18:30:00.000Z,2024-02-28T12:01:04.752Z,2024-02-28T12:01:04.752Z,0,,509.59,28-Feb-2024,
14,65e0720079a06978a17fcca1,JSWENERGY,EQ,N,511.8,490.2,507.0,508.3,510.05,507.6,6047978,3027378346.6,537.95,204.65,93518,INE121E01018,2024-02-29,2024-02-28T18:30:00.000Z,2024-02-29T12:01:04.466Z,2024-02-29T12:01:04.466Z,0,,500.56,29-Feb-2024,
15,65e1c381c9980b7546123bb5,JSWENERGY,EQ,N,514.8,501.25,508.3,503.65,504.5,508.3,4229025,2141952567.7,537.95,204.65,81197,INE121E01018,2024-03-01,2024-02-29T18:30:00.000Z,2024-03-01T12:01:05.623Z,2024-03-01T12:01:05.623Z,0,,506.49,01-Mar-2024,
16,6592a97f1f3097105c5a1e08,JSWENERGY,EQ,N,413.6,408.85,412.9,410.05,409.6,409.05,1840554,756241759.0,477.0,204.65,35519,INE121E01018,2024-01-01,2023-12-31T18:30:00.000Z,2024-01-01T12:01:03.824Z,2024-01-01T12:01:03.824Z,0,,410.88,01-Jan-2024,
17,6593fae6c4132a5d6c540164,JSWENERGY,EQ,N,414.0,404.15,410.05,408.95,409.8,410.05,1835815,753179059.1,477.0,204.65,40399,INE121E01018,2024-01-02,2024-01-01T18:30:00.000Z,2024-01-02T12:00:38.875Z,2024-01-02T12:00:38.875Z,0,,410.27,02-Jan-2024,
18,65954c800920b679ebe5a1be,JSWENERGY,EQ,N,422.8,407.8,409.55,411.25,412.8,408.95,3138198,1302421829.8,477.0,204.65,53030,INE121E01018,2024-01-03,2024-01-02T18:30:00.000Z,2024-01-03T12:01:04.692Z,2024-01-03T12:01:04.692Z,0,,415.02,03-Jan-2024,
