,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
0,65c613de2ce7cc3ec0773375,NIACL,EQ,N,324.7,282.4,311.0,290.95,289.0,304.4,9670302,2888124446.9,324.7,94.6,149287,INE470Y01017,2024-02-09,2024-02-08T18:30:00.000Z,2024-02-09T12:00:30.809Z,2024-02-09T12:00:30.809Z,0,,298.66,09-Feb-2024,
1,65ca085e3d2c61c7ee71c4ad,NIACL,EQ,N,290.95,241.0,290.95,246.75,245.4,290.95,5656098,1490264191.05,324.7,94.6,110940,INE470Y01017,2024-02-12,2024-02-11T18:30:00.000Z,2024-02-12T12:00:30.333Z,2024-02-12T12:00:30.333Z,0,,263.48,12-Feb-2024,
2,65cb59dcc77ecab986d05a8c,NIACL,EQ,N,255.7,232.65,249.85,240.0,241.9,246.75,4491914,1096126676.65,324.7,94.6,83643,INE470Y01017,2024-02-13,2024-02-12T18:30:00.000Z,2024-02-13T12:00:28.702Z,2024-02-13T12:00:28.702Z,0,,244.02,13-Feb-2024,
3,65ccab7fb3b7cee94bb06691,NIACL,EQ,N,257.9,236.0,238.95,250.95,251.2,240.0,5076141,1264890702.3,324.7,94.6,86261,INE470Y01017,2024-02-14,2024-02-13T18:30:00.000Z,2024-02-14T12:01:03.469Z,2024-02-14T12:01:03.469Z,0,,249.18,14-Feb-2024,
4,65cdfcff0b93c6793ba3eae3,NIACL,EQ,N,256.3,244.1,252.95,247.3,246.4,250.95,2189183,547322419.25,324.7,94.6,43765,INE470Y01017,2024-02-15,2024-02-14T18:30:00.000Z,2024-02-15T12:01:03.923Z,2024-02-15T12:01:03.923Z,0,,250.01,15-Feb-2024,
5,65cf4e7f61aab0774d35b200,NIACL,EQ,N,295.0,246.85,249.5,285.85,284.1,247.3,16282604,4594344953.2,324.7,94.6,157634,INE470Y01017,2024-02-16,2024-02-15T18:30:00.000Z,2024-02-16T12:01:03.389Z,2024-02-16T12:01:03.389Z,0,,282.16,16-Feb-2024,
6,65d39093c64559bd8f4101d4,NIACL,EQ,N,306.7,278.35,289.0,296.45,295.9,285.85,7528740,2217676404.25,324.7,94.6,107005,INE470Y01017,2024-02-19,2024-02-18T18:30:00.000Z,2024-02-19T17:32:03.818Z,2024-02-19T17:32:03.818Z,0,,294.56,19-Feb-2024,
7,65d4945e64fbe6f723b14e20,NIACL,EQ,N,296.7,278.0,294.5,279.3,279.5,296.45,4301281,1224536440.15,324.7,94.6,55655,INE470Y01017,2024-02-20,2024-02-19T18:30:00.000Z,2024-02-20T12:00:30.365Z,2024-02-20T12:00:30.365Z,0,,284.69,20-Feb-2024,
8,65d5e5fff1fbe8e7f6d9d09a,NIACL,EQ,N,314.9,275.4,284.9,279.7,279.3,279.3,31554772,9338094317.7,324.7,94.6,304878,INE470Y01017,2024-02-21,2024-02-20T18:30:00.000Z,2024-02-21T12:01:03.965Z,2024-02-21T12:01:03.965Z,0,,295.93,21-Feb-2024,
9,65d7377f42995682861e47ab,NIACL,EQ,N,289.0,270.6,284.75,282.4,282.5,279.7,6037498,1689074439.8,324.7,94.6,66511,INE470Y01017,2024-02-22,2024-02-21T18:30:00.000Z,2024-02-22T12:01:03.752Z,2024-02-22T12:01:03.752Z,0,,279.76,22-Feb-2024,
10,65da41642fa2c80c601112dc,NIACL,EQ,N,288.65,277.6,285.0,279.75,279.2,282.4,1962650,551309386.6,324.7,94.6,29129,INE470Y01017,2024-02-23,2024-02-22T18:30:00.000Z,2024-02-24T19:20:04.812Z,2024-02-24T19:20:04.812Z,0,,280.9,23-Feb-2024,
11,65dc7d5d18353a15cfb0ac1d,NIACL,EQ,N,283.1,264.2,279.3,265.65,266.4,279.75,2825736,766306599.6,324.7,94.6,39847,INE470Y01017,2024-02-26,2024-02-25T18:30:00.000Z,2024-02-26T12:00:29.367Z,2024-02-26T12:00:29.367Z,0,,271.19,26-Feb-2024,
12,65ddcededc3d5b40c3c1f9cb,NIACL,EQ,N,285.0,267.9,268.45,272.2,272.6,265.65,8048682,2236523623.6,324.7,94.6,92653,INE470Y01017,2024-02-27,2024-02-26T18:30:00.000Z,2024-02-27T12:00:31.006Z,2024-02-27T12:00:31.006Z,0,,277.87,27-Feb-2024,
13,65df20803ab4615b76387e0c,NIACL,EQ,N,273.95,255.45,273.25,257.05,257.25,272.2,2880395,756749843.3,324.7,94.6,42059,INE470Y01017,2024-02-28,2024-02-27T18:30:00.000Z,2024-02-28T12:01:04.115Z,2024-02-28T12:01:04.115Z,0,,262.72,28-Feb-2024,
14,65e071ff79a06978a17fc6b5,NIACL,EQ,N,261.8,251.15,257.35,258.1,260.3,257.05,2348511,601492861.95,324.7,94.6,37903,INE470Y01017,2024-02-29,2024-02-28T18:30:00.000Z,2024-02-29T12:01:03.858Z,2024-02-29T12:01:03.858Z,0,,256.12,29-Feb-2024,
15,65e1c380c9980b75461235a8,NIACL,EQ,N,271.7,260.45,261.45,268.8,268.25,258.1,2509449,667798017.5,324.7,94.6,36977,INE470Y01017,2024-03-01,2024-02-29T18:30:00.000Z,2024-03-01T12:01:04.835Z,2024-03-01T12:01:04.835Z,0,,266.11,01-Mar-2024,
16,6592a97f1f3097105c5a1c08,NIACL,EQ,N,218.8,210.7,212.5,216.6,216.85,210.35,1222181,263993207.4,261.9,94.6,11107,INE470Y01017,2024-01-01,2023-12-31T18:30:00.000Z,2024-01-01T12:01:03.332Z,2024-01-01T12:01:03.332Z,0,,216.0,01-Jan-2024,
17,6593fae6c4132a5d6c53ff5f,NIACL,EQ,N,221.45,211.95,217.5,213.65,213.95,216.6,1222196,264281813.65,261.9,94.6,12825,INE470Y01017,2024-01-02,2024-01-01T18:30:00.000Z,2024-01-02T12:00:38.274Z,2024-01-02T12:00:38.274Z,0,,216.24,02-Jan-2024,
18,65954c800920b679ebe59fad,NIACL,EQ,N,222.0,214.05,215.35,218.5,218.0,213.65,1310544,286402837.45,261.9,94.6,11499,INE470Y01017,2024-01-03,2024-01-02T18:30:00.000Z,2024-01-03T12:01:04.161Z,2024-01-03T12:01:04.161Z,0,,218.54,03-Jan-2024,
19,65969de18bc6e5de3ccceda1,NIACL,EQ,N,231.5,218.0,219.5,227.95,228.0,218.5,3121729,705900590.4,261.9,94.6,23863,INE470Y01017,2024-01-04,2024-01-03T18:30:00.000Z,2024-01-04T12:00:33.540Z,2024-01-04T12:00:33.540Z,0,,226.12,04-Jan-2024,
20,6597ef5f81dced1976cdd7b6,NIACL,EQ,N,234.15,226.5,229.8,229.2,228.6,227.95,1591835,366673960.75,261.9,94.6,14886,INE470Y01017,2024-01-05,2024-01-04T18:30:00.000Z,2024-01-05T12:00:31.066Z,2024-01-05T12:00:31.066Z,0,,230.35,05-Jan-2024,
21,659be3de0e4dca342c4d3b58,NIACL,EQ,N,230.0,220.35,229.95,222.1,222.95,229.2,817294,182796593.25,261.9,94.6,10221,INE470Y01017,2024-01-08,2024-01-07T18:30:00.000Z,2024-01-08T12:00:30.508Z,2024-01-08T12:00:30.508Z,0,,223.66,08-Jan-2024,
22,659d355ecd960f131d88de8e,NIACL,EQ,N,225.45,219.2,224.1,221.35,220.25,222.1,409218,90890310.55,261.9,94.6,7591,INE470Y01017,2024-01-09,2024-01-08T18:30:00.000Z,2024-01-09T12:00:30.731Z,2024-01-09T12:00:30.731Z,0,,222.11,09-Jan-2024,
23,659e86de3207e4f9f52911d1,NIACL,EQ,N,222.4,213.8,222.4,215.6,215.95,221.35,650247,140353661.05,261.9,94.6,9374,INE470Y01017,2024-01-10,2024-01-09T18:30:00.000Z,2024-01-10T12:00:30.566Z,2024-01-10T12:00:30.566Z,0,,215.85,10-Jan-2024,
24,659fd85eea2187a7f76e8541,NIACL,EQ,N,216.8,212.3,213.9,213.6,213.3,215.6,1031575,220305428.4,261.9,94.6,11933,INE470Y01017,2024-01-11,2024-01-10T18:30:00.000Z,2024-01-11T12:00:30.666Z,2024-01-11T12:00:30.666Z,0,,213.56,11-Jan-2024,
