,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
0,65c613de2ce7cc3ec077331a,UCOBANK,EQ,N,64.9,58.1,63.7,60.55,60.8,63.3,64490554,3924976275.25,70.65,22.25,127078,INE691A01018,2024-02-09,2024-02-08T18:30:00.000Z,2024-02-09T12:00:30.735Z,2024-02-09T12:00:30.735Z,0,,60.86,09-Feb-2024,
1,65ca085e3d2c61c7ee71c450,UCOBANK,EQ,N,60.9,54.5,60.9,55.1,54.5,60.55,38435300,2203411374.2,70.65,22.25,95528,INE691A01018,2024-02-12,2024-02-11T18:30:00.000Z,2024-02-12T12:00:30.267Z,2024-02-12T12:00:30.267Z,0,,57.33,12-Feb-2024,
2,65cb59dcc77ecab986d05a34,UCOBANK,EQ,N,58.1,52.3,54.9,56.6,56.55,55.1,53510740,3000228666.1,70.65,22.25,101124,INE691A01018,2024-02-13,2024-02-12T18:30:00.000Z,2024-02-13T12:00:28.633Z,2024-02-13T12:00:28.633Z,0,,56.07,13-Feb-2024,
3,65ccab7fb3b7cee94bb06634,UCOBANK,EQ,N,59.5,54.2,54.9,58.9,59.2,56.6,42505539,2436056728.25,70.65,22.25,64507,INE691A01018,2024-02-14,2024-02-13T18:30:00.000Z,2024-02-14T12:01:03.395Z,2024-02-14T12:01:03.395Z,0,,57.31,14-Feb-2024,
4,65cdfcff0b93c6793ba3ea81,UCOBANK,EQ,N,62.0,57.55,59.35,61.6,61.5,58.9,62332576,3742214069.9,70.65,22.25,99867,INE691A01018,2024-02-15,2024-02-14T18:30:00.000Z,2024-02-15T12:01:03.839Z,2024-02-15T12:01:03.839Z,0,,60.04,15-Feb-2024,
5,65cf4e7f61aab0774d35b1a5,UCOBANK,EQ,N,62.8,60.15,62.0,60.6,60.35,61.6,32557812,1996754499.6,70.65,22.25,52450,INE691A01018,2024-02-16,2024-02-15T18:30:00.000Z,2024-02-16T12:01:03.328Z,2024-02-16T12:01:03.328Z,0,,61.33,16-Feb-2024,
6,65d39093c64559bd8f410182,UCOBANK,EQ,N,62.6,59.6,60.75,60.65,60.85,60.6,32126033,1963371487.7,70.65,22.25,54940,INE691A01018,2024-02-19,2024-02-18T18:30:00.000Z,2024-02-19T17:32:03.749Z,2024-02-19T17:32:03.749Z,0,,61.11,19-Feb-2024,
7,65d4945e64fbe6f723b14dc1,UCOBANK,EQ,N,61.55,59.15,60.85,59.55,59.5,60.65,15928493,962733212.8,70.65,22.25,35327,INE691A01018,2024-02-20,2024-02-19T18:30:00.000Z,2024-02-20T12:00:30.229Z,2024-02-20T12:00:30.229Z,0,,60.44,20-Feb-2024,
8,65d5e5fff1fbe8e7f6d9d036,UCOBANK,EQ,N,61.35,59.1,59.75,59.55,59.45,59.55,19995228,1200819547.75,70.65,22.25,41742,INE691A01018,2024-02-21,2024-02-20T18:30:00.000Z,2024-02-21T12:01:03.889Z,2024-02-21T12:01:03.889Z,0,,60.06,21-Feb-2024,
9,65d7377f42995682861e4750,UCOBANK,EQ,N,60.7,57.4,59.8,60.5,60.4,59.55,19840925,1176396083.55,70.65,22.25,36065,INE691A01018,2024-02-22,2024-02-21T18:30:00.000Z,2024-02-22T12:01:03.687Z,2024-02-22T12:01:03.687Z,0,,59.29,22-Feb-2024,
10,65da41642fa2c80c601111d0,UCOBANK,EQ,N,60.85,59.0,60.55,59.2,59.15,60.5,13532627,808045192.0,70.65,22.25,31082,INE691A01018,2024-02-23,2024-02-22T18:30:00.000Z,2024-02-24T19:20:04.725Z,2024-02-24T19:20:04.725Z,0,,59.71,23-Feb-2024,
11,65dc7d5d18353a15cfb0ab12,UCOBANK,EQ,N,59.2,57.55,59.05,58.0,57.95,59.2,9910633,577991919.25,70.65,22.25,27979,INE691A01018,2024-02-26,2024-02-25T18:30:00.000Z,2024-02-26T12:00:29.248Z,2024-02-26T12:00:29.248Z,0,,58.32,26-Feb-2024,
12,65ddcededc3d5b40c3c1f8c3,UCOBANK,EQ,N,58.3,56.15,58.0,56.6,56.7,58.0,11867390,679200105.55,70.65,22.25,26987,INE691A01018,2024-02-27,2024-02-26T18:30:00.000Z,2024-02-27T12:00:30.898Z,2024-02-27T12:00:30.898Z,0,,57.23,27-Feb-2024,
13,65df207f3ab4615b76387cf7,UCOBANK,EQ,N,57.4,54.15,56.8,55.1,55.1,56.6,14956835,829380171.35,70.65,22.25,35599,INE691A01018,2024-02-28,2024-02-27T18:30:00.000Z,2024-02-28T12:01:04.002Z,2024-02-28T12:01:04.002Z,0,,55.45,28-Feb-2024,
14,65e071ff79a06978a17fc5b7,UCOBANK,EQ,N,57.1,54.0,55.2,56.7,56.85,55.1,17501630,972214276.2,70.65,22.25,33196,INE691A01018,2024-02-29,2024-02-28T18:30:00.000Z,2024-02-29T12:01:03.736Z,2024-02-29T12:01:03.736Z,0,,55.55,29-Feb-2024,
15,65e1c380c9980b7546123475,UCOBANK,EQ,N,58.9,56.7,56.95,58.1,57.95,56.7,17607355,1017285523.4,70.65,22.25,30576,INE691A01018,2024-03-01,2024-02-29T18:30:00.000Z,2024-03-01T12:01:04.657Z,2024-03-01T12:01:04.657Z,0,,57.78,01-Mar-2024,
16,6592a97f1f3097105c5a1bb1,UCOBANK,EQ,N,40.35,39.6,39.85,40.0,39.9,39.75,8350081,334079391.95,48.45,22.25,22863,INE691A01018,2024-01-01,2023-12-31T18:30:00.000Z,2024-01-01T12:01:03.268Z,2024-01-01T12:01:03.268Z,0,,40.01,01-Jan-2024,
17,6593fae6c4132a5d6c53ff0a,UCOBANK,EQ,N,40.75,39.65,40.05,39.85,40.1,40.0,11186544,447695581.05,48.45,22.25,24494,INE691A01018,2024-01-02,2024-01-01T18:30:00.000Z,2024-01-02T12:00:38.158Z,2024-01-02T12:00:38.158Z,0,,40.02,02-Jan-2024,
18,65954c7f0920b679ebe59f53,UCOBANK,EQ,N,41.75,39.8,39.85,41.05,41.1,39.85,31102708,1273647989.8,48.45,22.25,37276,INE691A01018,2024-01-03,2024-01-02T18:30:00.000Z,2024-01-03T12:01:03.968Z,2024-01-03T12:01:03.968Z,0,,40.95,03-Jan-2024,
19,65969de18bc6e5de3ccced4a,UCOBANK,EQ,N,42.35,41.35,41.45,41.7,41.55,41.05,21629930,905782888.4,48.45,22.25,35040,INE691A01018,2024-01-04,2024-01-03T18:30:00.000Z,2024-01-04T12:00:33.481Z,2024-01-04T12:00:33.481Z,0,,41.88,04-Jan-2024,
20,6597ef5e81dced1976cdd75a,UCOBANK,EQ,N,42.6,41.0,42.1,41.35,41.4,41.7,15382544,639962136.4,48.45,22.25,30021,INE691A01018,2024-01-05,2024-01-04T18:30:00.000Z,2024-01-05T12:00:30.957Z,2024-01-05T12:00:30.957Z,0,,41.6,05-Jan-2024,
