,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,ACC,EQ,N,1356.45,1270.0,1340.45,1284.2,1275.0,1320.85,612866,813650060.95,1769.05,1270.0,20586,INE012A01025,2020-03-02,1327.61
996,ACC,EQ,N,1342.0,1288.0,1288.0,1335.25,1334.6,1284.2,701334,923628578.1,1769.05,1270.0,28590,INE012A01025,2020-03-03,1316.96
1001,ACC,EQ,N,1344.45,1294.15,1340.35,1325.6,1320.0,1335.25,630269,831492800.2,1769.05,1270.0,29984,INE012A01025,2020-03-04,1319.27
1006,ACC,EQ,N,1344.9,1297.15,1328.9,1302.6,1300.0,1325.6,826033,1091684029.4,1769.05,1270.0,28443,INE012A01025,2020-03-05,1321.6
1007,ACC,EQ,N,1306.8,1248.0,1258.9,1300.95,1300.9,1302.6,728668,937420334.65,1769.05,1248.0,22862,INE012A01025,2020-03-06,1286.48
1008,ACC,EQ,N,1292.35,1227.55,1276.75,1248.35,1235.0,1300.95,933025,1174966775.25,1769.05,1227.55,34665,INE012A01025,2020-03-09,1259.31
1009,ACC,EQ,N,1264.75,1211.25,1243.0,1215.45,1214.0,1248.35,875885,1076774876.3,1769.05,1211.25,34140,INE012A01025,2020-03-11,1229.36
1010,ACC,EQ,N,1163.95,1082.65,1161.0,1143.3,1154.65,1215.45,1840416,2080601964.0,1769.05,1082.65,84462,INE012A01025,2020-03-12,1130.51
1011,ACC,EQ,N,1189.3,1020.15,1079.35,1179.45,1180.0,1143.3,1195003,1368926992.65,1769.05,1020.15,51659,INE012A01025,2020-03-13,1145.54
1012,ACC,EQ,N,1149.7,1095.0,1129.0,1133.4,1134.05,1179.45,1080894,1219198345.0,1769.05,1020.15,37490,INE012A01025,2020-03-16,1127.95
1013,ACC,EQ,N,1162.35,1103.05,1141.1,1124.7,1126.6,1133.4,1156487,1324285692.35,1769.05,1020.15,32954,INE012A01025,2020-03-17,1145.09
1014,ACC,EQ,N,1144.95,1069.1,1137.2,1079.1,1080.0,1124.7,819359,900992523.9,1769.05,1020.15,35117,INE012A01025,2020-03-18,1099.63
1015,ACC,EQ,N,1131.75,1000.45,1033.9,1089.95,1066.6,1079.1,1213355,1313310347.2,1769.05,1000.45,53082,INE012A01025,2020-03-19,1082.38
1016,ACC,EQ,N,1146.5,1060.6,1085.1,1127.9,1142.9,1089.95,844048,938842827.9,1769.05,1000.45,33862,INE012A01025,2020-03-20,1112.31
1017,ACC,EQ,N,1068.75,988.0,1034.0,998.45,1000.0,1127.9,574633,580527934.05,1769.05,988.0,36346,INE012A01025,2020-03-23,1010.26
1018,ACC,EQ,N,1030.0,941.0,1014.0,947.75,947.75,998.45,1031126,1003960594.15,1769.05,941.0,65343,INE012A01025,2020-03-24,973.65
1019,ACC,EQ,N,939.6,895.15,928.0,918.2,911.5,947.75,2864843,2617983923.45,1769.05,895.15,59231,INE012A01025,2020-03-25,913.83
1020,ACC,EQ,N,980.0,896.0,921.8,966.05,980.0,918.2,2279406,2135938300.7,1769.05,895.15,85179,INE012A01025,2020-03-26,937.06
1021,ACC,EQ,N,1010.0,940.0,1000.0,959.15,954.9,966.05,1191624,1154659525.7,1769.05,895.15,79166,INE012A01025,2020-03-27,968.98
1022,ACC,EQ,N,959.0,924.05,939.8,934.45,940.65,959.15,896815,846440157.6,1769.05,895.15,37449,INE012A01025,2020-03-30,943.83
1023,ACC,EQ,N,985.85,938.35,959.0,968.5,965.7,934.45,1283996,1239685874.65,1769.05,895.15,37153,INE012A01025,2020-03-31,965.49
1024,ACC,EQ,N,969.0,948.0,964.8,963.45,968.0,968.5,1020895,980793277.25,1769.05,895.15,41076,INE012A01025,2020-04-01,960.72
1025,ACC,EQ,N,969.8,936.95,960.0,962.6,958.05,963.45,1221295,1171374196.7,1769.05,895.15,31706,INE012A01025,2020-04-03,959.12
1026,ACC,EQ,N,1018.8,973.1,976.0,1009.95,1009.95,962.6,1579268,1573676228.3,1769.05,895.15,71919,INE012A01025,2020-04-07,996.46
1027,ACC,EQ,N,1029.9,941.25,1000.0,956.05,958.0,1009.95,2153627,2101320388.65,1769.05,895.15,79728,INE012A01025,2020-04-08,975.71
1028,ACC,EQ,N,1015.0,951.8,972.0,999.5,1007.7,956.05,2658885,2621921167.35,1769.05,895.15,86550,INE012A01025,2020-04-09,986.1
968,ACC,EQ,N,1122.1,1001.45,1015.0,1067.25,1064.85,999.5,3572087,3793506518.75,1769.05,895.15,112238,INE012A01025,2020-04-13,1061.99
969,ACC,EQ,N,1163.0,1077.25,1087.0,1137.95,1137.0,1067.25,2931488,3321504783.85,1769.05,895.15,96878,INE012A01025,2020-04-15,1133.04
970,ACC,EQ,N,1165.0,1116.85,1146.45,1148.45,1150.0,1137.95,1548843,1777359240.1,1769.05,895.15,55691,INE012A01025,2020-04-16,1147.54
971,ACC,EQ,N,1193.25,1136.2,1169.0,1172.8,1175.0,1148.45,1614409,1883312422.95,1769.05,895.15,50979,INE012A01025,2020-04-17,1166.56
972,ACC,EQ,N,1210.75,1170.1,1189.95,1175.5,1181.0,1172.8,1951458,2320592810.75,1769.05,895.15,92018,INE012A01025,2020-04-20,1189.16
973,ACC,EQ,N,1167.0,1132.45,1167.0,1136.75,1135.55,1175.5,1379968,1581869337.45,1769.05,895.15,55890,INE012A01025,2020-04-21,1146.31
974,ACC,EQ,N,1244.0,1120.0,1155.15,1229.55,1233.65,1136.75,4910652,5777471878.7,1769.05,895.15,173833,INE012A01025,2020-04-22,1176.52
975,ACC,EQ,N,1237.95,1177.55,1228.95,1190.45,1196.0,1229.55,2072239,2496815247.25,1769.05,895.15,68783,INE012A01025,2020-04-23,1204.89
976,ACC,EQ,N,1193.0,1151.7,1182.0,1156.6,1156.0,1190.45,1332356,1558020997.2,1769.05,895.15,57455,INE012A01025,2020-04-24,1169.37
977,ACC,EQ,N,1181.0,1134.5,1170.1,1137.9,1140.0,1156.6,1469480,1693209529.85,1769.05,895.15,48996,INE012A01025,2020-04-27,1152.25
978,ACC,EQ,N,1158.0,1122.0,1158.0,1126.5,1132.0,1137.9,1094422,1244490248.55,1769.05,895.15,35480,INE012A01025,2020-04-28,1137.12
979,ACC,EQ,N,1140.0,1107.0,1128.0,1122.2,1126.9,1126.5,1998171,2242892211.3,1769.05,895.15,70688,INE012A01025,2020-04-29,1122.47
980,ACC,EQ,N,1192.8,1137.0,1139.25,1179.1,1170.1,1122.2,1910083,2237325067.65,1769.05,895.15,70667,INE012A01025,2020-04-30,1171.32
981,ACC,EQ,N,1149.4,1117.2,1130.0,1126.8,1129.7,1179.1,960797,1084907244.4,1769.05,895.15,41726,INE012A01025,2020-05-04,1129.17
982,ACC,EQ,N,1168.45,1125.75,1137.65,1134.6,1145.0,1126.8,2292647,2636163776.4,1769.05,895.15,66213,INE012A01025,2020-05-05,1149.83
983,ACC,EQ,N,1190.0,1141.7,1145.0,1182.25,1182.85,1134.6,2397643,2805045022.55,1769.05,895.15,64930,INE012A01025,2020-05-06,1169.92
984,ACC,EQ,N,1204.0,1147.05,1178.9,1152.65,1158.0,1182.25,1390594,1636574972.1,1769.05,895.15,49094,INE012A01025,2020-05-07,1176.89
985,ACC,EQ,N,1179.0,1145.35,1166.0,1153.8,1153.0,1152.65,993476,1151001397.6,1769.05,895.15,31467,INE012A01025,2020-05-08,1158.56
986,ACC,EQ,N,1187.95,1160.05,1162.0,1170.2,1169.7,1153.8,988418,1159611549.35,1769.05,895.15,39512,INE012A01025,2020-05-11,1173.2
987,ACC,EQ,N,1172.4,1147.2,1165.8,1167.6,1166.0,1170.2,726718,843617116.85,1769.05,895.15,26474,INE012A01025,2020-05-12,1160.86
988,ACC,EQ,N,1257.0,1195.25,1220.0,1207.95,1214.0,1167.6,3601199,4424604689.05,1769.05,895.15,101331,INE012A01025,2020-05-13,1228.65
989,ACC,EQ,N,1219.4,1175.5,1200.0,1189.0,1191.0,1207.95,1301098,1553336098.95,1769.05,895.15,43648,INE012A01025,2020-05-14,1193.87
990,ACC,EQ,N,1205.0,1173.0,1200.0,1194.2,1192.8,1189.0,1268081,1507573546.0,1769.05,895.15,43866,INE012A01025,2020-05-15,1188.86
991,ACC,EQ,N,1202.0,1125.0,1202.0,1134.55,1132.75,1194.2,1191015,1377237734.4,1769.05,895.15,59389,INE012A01025,2020-05-18,1156.36
992,ACC,EQ,N,1159.0,1130.0,1140.05,1138.45,1136.5,1134.55,1149445,1315070168.15,1769.05,895.15,41691,INE012A01025,2020-05-19,1144.09
993,ACC,EQ,N,1176.95,1130.6,1136.45,1170.85,1172.0,1138.45,972861,1125900524.1,1769.05,895.15,39099,INE012A01025,2020-05-20,1157.31
941,ACC,EQ,N,1200.75,1170.0,1175.0,1187.6,1182.0,1170.85,1009443,1197220050.7,1769.05,895.15,36977,INE012A01025,2020-05-21,1186.02
942,ACC,EQ,N,1240.0,1161.6,1172.0,1227.1,1232.0,1187.6,1632263,1973143427.5,1769.05,895.15,55541,INE012A01025,2020-05-22,1208.84
943,ACC,EQ,N,1282.8,1236.0,1236.0,1277.45,1276.0,1227.1,2562407,3234296281.1,1769.05,895.15,81658,INE012A01025,2020-05-26,1262.21
944,ACC,EQ,N,1288.0,1242.2,1287.0,1259.55,1259.6,1277.45,1483250,1863261210.75,1769.05,895.15,55832,INE012A01025,2020-05-27,1256.2
945,ACC,EQ,N,1278.55,1256.0,1263.4,1272.2,1271.05,1259.55,1132216,1435905980.5,1769.05,895.15,38594,INE012A01025,2020-05-28,1268.23
946,ACC,EQ,N,1297.95,1261.05,1268.0,1270.2,1268.0,1272.2,1162844,1488147385.55,1769.05,895.15,37406,INE012A01025,2020-05-29,1279.75
947,ACC,EQ,N,1310.0,1273.05,1283.0,1283.75,1283.0,1270.2,1110142,1438708517.8,1735.85,895.15,37028,INE012A01025,2020-06-01,1295.97
948,ACC,EQ,N,1299.3,1272.8,1282.0,1287.1,1287.1,1283.75,980515,1261947953.5,1735.85,895.15,40799,INE012A01025,2020-06-02,1287.03
949,ACC,EQ,N,1307.0,1252.0,1293.0,1261.3,1260.45,1287.1,1460107,1877495324.0,1735.85,895.15,42830,INE012A01025,2020-06-03,1285.86
950,ACC,EQ,N,1277.25,1240.2,1261.3,1269.1,1268.3,1261.3,1305362,1644463620.4,1735.85,895.15,48169,INE012A01025,2020-06-04,1259.78
951,ACC,EQ,N,1305.0,1272.0,1273.0,1297.35,1298.7,1269.1,1214175,1571131370.2,1735.85,895.15,31887,INE012A01025,2020-06-05,1293.99
952,ACC,EQ,N,1316.3,1269.0,1315.0,1274.05,1275.0,1297.35,1163493,1498045583.4,1709.0,895.15,56187,INE012A01025,2020-06-08,1287.54
953,ACC,EQ,N,1293.6,1243.35,1285.0,1250.45,1248.9,1274.05,1238823,1572317640.5,1709.0,895.15,48130,INE012A01025,2020-06-09,1269.2
954,ACC,EQ,N,1284.9,1252.0,1252.0,1275.3,1271.9,1250.45,1220062,1553789376.75,1709.0,895.15,33484,INE012A01025,2020-06-10,1273.53
955,ACC,EQ,N,1282.7,1240.8,1265.0,1244.55,1247.25,1275.3,865237,1092211092.7,1709.0,895.15,33399,INE012A01025,2020-06-11,1262.33
956,ACC,EQ,N,1274.0,1180.0,1180.0,1268.8,1264.0,1244.55,1161457,1443305178.15,1709.0,895.15,37824,INE012A01025,2020-06-12,1242.67
957,ACC,EQ,N,1270.0,1241.5,1263.5,1250.9,1249.6,1268.8,740591,927796049.4,1709.0,895.15,27459,INE012A01025,2020-06-15,1252.78
958,ACC,EQ,N,1278.2,1222.75,1270.0,1239.25,1239.9,1250.9,855379,1069623995.05,1709.0,895.15,30279,INE012A01025,2020-06-16,1250.47
959,ACC,EQ,N,1245.0,1220.6,1235.0,1232.5,1235.75,1239.25,735489,908159148.45,1709.0,895.15,28152,INE012A01025,2020-06-17,1234.77
960,ACC,EQ,N,1258.25,1225.0,1230.0,1253.35,1246.0,1232.5,644001,801634656.4,1709.0,895.15,23031,INE012A01025,2020-06-18,1244.77
961,ACC,EQ,N,1284.9,1246.1,1252.0,1272.0,1272.95,1253.35,904534,1147554929.85,1709.0,895.15,30298,INE012A01025,2020-06-19,1268.67
962,ACC,EQ,N,1278.8,1257.1,1273.0,1263.45,1265.0,1272.0,498504,631629723.1,1709.0,895.15,23089,INE012A01025,2020-06-22,1267.05
963,ACC,EQ,N,1306.7,1263.05,1268.1,1302.2,1302.9,1263.45,1138470,1469620278.75,1709.0,895.15,33364,INE012A01025,2020-06-23,1290.87
964,ACC,EQ,N,1319.7,1255.0,1304.0,1265.65,1268.0,1302.2,1403063,1807886564.95,1709.0,895.15,58708,INE012A01025,2020-06-24,1288.53
965,ACC,EQ,N,1281.8,1245.0,1263.0,1251.1,1248.0,1265.65,733630,927303422.2,1709.0,895.15,33477,INE012A01025,2020-06-25,1263.99
966,ACC,EQ,N,1295.0,1252.45,1256.0,1288.6,1289.0,1251.1,999776,1274061731.2,1709.0,895.15,33638,INE012A01025,2020-06-26,1274.35
967,ACC,EQ,N,1293.85,1265.5,1279.95,1289.2,1285.0,1288.6,825890,1058136176.95,1709.0,895.15,30370,INE012A01025,2020-06-29,1281.21
911,ACC,EQ,N,1335.6,1288.25,1293.0,1332.25,1335.0,1289.2,2752805,3640773429.55,1709.0,895.15,77204,INE012A01025,2020-06-30,1322.57
912,ACC,EQ,N,1340.0,1308.65,1339.95,1325.95,1322.0,1332.25,1411969,1869901834.2,1709.0,895.15,41001,INE012A01025,2020-07-01,1324.32
913,ACC,EQ,N,1340.0,1318.25,1329.8,1328.85,1326.8,1325.95,1008548,1341634763.85,1709.0,895.15,29019,INE012A01025,2020-07-02,1330.26
914,ACC,EQ,N,1337.55,1306.0,1330.0,1314.95,1315.0,1328.85,1019896,1342784590.15,1709.0,895.15,36666,INE012A01025,2020-07-03,1316.59
915,ACC,EQ,N,1334.95,1307.0,1317.0,1328.0,1326.0,1314.95,1070329,1417601686.1,1709.0,895.15,38110,INE012A01025,2020-07-06,1324.45
916,ACC,EQ,N,1327.9,1307.85,1327.9,1313.1,1310.9,1328.0,796329,1049003335.7,1709.0,895.15,28882,INE012A01025,2020-07-07,1317.3
917,ACC,EQ,N,1320.7,1290.6,1313.1,1312.9,1307.0,1313.1,1102284,1439561209.95,1709.0,895.15,37398,INE012A01025,2020-07-08,1305.98
918,ACC,EQ,N,1333.75,1306.3,1319.0,1322.9,1325.9,1312.9,1366297,1806724949.35,1709.0,895.15,50961,INE012A01025,2020-07-09,1322.35
919,ACC,EQ,N,1328.0,1306.1,1321.5,1310.25,1307.9,1322.9,832336,1094605553.25,1709.0,895.15,33527,INE012A01025,2020-07-10,1315.1
920,ACC,EQ,N,1353.5,1310.25,1310.25,1346.0,1344.0,1310.25,1707292,2280679055.95,1709.0,895.15,54987,INE012A01025,2020-07-13,1335.85
921,ACC,EQ,N,1359.9,1287.0,1342.0,1294.1,1292.0,1346.0,2524366,3332277763.1,1709.0,895.15,81963,INE012A01025,2020-07-14,1320.05
922,ACC,EQ,N,1313.45,1285.0,1301.0,1287.0,1287.0,1294.1,1351334,1756650895.55,1709.0,895.15,41513,INE012A01025,2020-07-15,1299.94
923,ACC,EQ,N,1305.0,1253.0,1287.5,1299.9,1304.5,1287.0,1425257,1823057041.25,1709.0,895.15,55660,INE012A01025,2020-07-16,1279.11
924,ACC,EQ,N,1320.0,1297.95,1304.4,1315.85,1314.3,1299.9,1179386,1546741953.5,1709.0,895.15,40034,INE012A01025,2020-07-17,1311.48
925,ACC,EQ,N,1334.8,1314.5,1315.85,1329.8,1334.8,1315.85,1539079,2039944360.9,1709.0,895.15,44030,INE012A01025,2020-07-20,1325.43
926,ACC,EQ,N,1423.95,1367.45,1370.05,1379.25,1379.6,1329.8,5958892,8310495130.9,1709.0,895.15,190589,INE012A01025,2020-07-21,1394.64
927,ACC,EQ,N,1389.3,1361.0,1388.0,1372.3,1372.15,1379.25,1133996,1553884119.15,1709.0,895.15,39260,INE012A01025,2020-07-22,1370.27
928,ACC,EQ,N,1387.6,1357.0,1375.0,1360.1,1363.6,1372.3,1388277,1891946911.55,1709.0,895.15,24668,INE012A01025,2020-07-23,1362.8
929,ACC,EQ,N,1360.0,1339.0,1350.6,1343.8,1343.7,1360.1,955298,1286655382.6,1709.0,895.15,31733,INE012A01025,2020-07-24,1346.86
930,ACC,EQ,N,1372.95,1338.0,1353.0,1363.4,1359.0,1343.8,1271972,1727167776.85,1709.0,895.15,36854,INE012A01025,2020-07-27,1357.87
931,ACC,EQ,N,1405.0,1362.05,1367.95,1400.6,1397.0,1363.4,1198590,1667010166.05,1709.0,895.15,43446,INE012A01025,2020-07-28,1390.81
932,ACC,EQ,N,1427.7,1392.0,1403.3,1410.95,1411.5,1400.6,1634300,2302193583.8,1709.0,895.15,42284,INE012A01025,2020-07-29,1408.67
933,ACC,EQ,N,1450.7,1411.5,1416.6,1447.2,1444.0,1410.95,1624791,2336647848.55,1709.0,895.15,57141,INE012A01025,2020-07-30,1438.12
934,ACC,EQ,N,1454.9,1418.0,1454.8,1425.45,1428.8,1447.2,940224,1345048618.0,1709.0,895.15,32256,INE012A01025,2020-07-31,1430.56
935,ACC,EQ,N,1452.95,1410.05,1423.4,1414.1,1415.0,1425.45,1203679,1727361572.0,1709.0,895.15,65684,INE012A01025,2020-08-03,1435.07
936,ACC,EQ,N,1429.85,1397.1,1419.75,1401.45,1400.0,1414.1,753119,1061789468.7,1709.0,895.15,23941,INE012A01025,2020-08-04,1409.86
937,ACC,EQ,N,1429.5,1390.0,1400.0,1411.9,1413.0,1401.45,1079955,1525631098.3,1709.0,895.15,29006,INE012A01025,2020-08-05,1412.68
938,ACC,EQ,N,1425.0,1400.0,1413.1,1406.2,1404.15,1411.9,544735,769224338.55,1709.0,895.15,14999,INE012A01025,2020-08-06,1412.11
939,ACC,EQ,N,1423.05,1392.5,1407.0,1397.2,1396.65,1406.2,690559,969368935.1,1709.0,895.15,29112,INE012A01025,2020-08-07,1403.75
881,ACC,EQ,N,1408.95,1386.1,1402.1,1400.25,1400.0,1397.2,551253,769213921.7,1709.0,895.15,16656,INE012A01025,2020-08-10,1395.39
882,ACC,EQ,N,1434.95,1400.1,1411.4,1412.55,1415.8,1400.25,1072947,1521481624.1,1709.0,895.15,32737,INE012A01025,2020-08-11,1418.04
883,ACC,EQ,N,1415.0,1392.0,1415.0,1406.9,1410.0,1412.55,646766,906479220.6,1709.0,895.15,24319,INE012A01025,2020-08-12,1401.56
884,ACC,EQ,N,1427.95,1391.75,1417.85,1394.55,1393.9,1406.9,895953,1262351153.95,1709.0,895.15,23578,INE012A01025,2020-08-13,1408.95
885,ACC,EQ,N,1416.8,1380.45,1390.0,1385.3,1384.0,1394.55,969191,1356553284.3,1709.0,895.15,36032,INE012A01025,2020-08-14,1399.68
886,ACC,EQ,N,1397.0,1372.3,1397.0,1387.6,1388.2,1385.3,586864,811174377.0,1709.0,895.15,19681,INE012A01025,2020-08-17,1382.22
887,ACC,EQ,N,1437.3,1390.0,1390.0,1431.95,1433.5,1387.6,1124295,1595927649.5,1709.0,895.15,36622,INE012A01025,2020-08-18,1419.49
