,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,ADANIENT,EQ,N,226.7,216.15,223.0,218.6,218.0,218.65,3162614,702561691.2,261.0,113.0,19406,INE423A01024,2020-03-02,222.15
996,ADANIENT,EQ,N,228.65,219.25,221.0,225.75,224.95,218.6,2992170,669357788.5,261.0,113.0,17147,INE423A01024,2020-03-03,223.7
1000,ADANIENT,EQ,N,227.0,213.55,226.1,221.1,222.7,225.75,5216787,1146474334.4,261.0,113.0,23482,INE423A01024,2020-03-04,219.77
1006,ADANIENT,EQ,N,226.85,219.35,223.75,221.75,221.0,221.1,3159080,705273069.95,261.0,113.0,22545,INE423A01024,2020-03-05,223.25
1007,ADANIENT,EQ,N,216.75,207.5,215.1,214.75,212.0,221.75,4375226,930157662.15,261.0,113.0,28384,INE423A01024,2020-03-06,212.6
1008,ADANIENT,EQ,N,208.5,197.25,207.0,199.7,198.85,214.75,2763989,562114487.55,261.0,113.0,17488,INE423A01024,2020-03-09,203.37
1009,ADANIENT,EQ,N,205.0,192.25,197.4,195.75,192.55,199.7,3763191,750123673.85,261.0,113.0,21387,INE423A01024,2020-03-11,199.33
1010,ADANIENT,EQ,N,183.9,160.45,180.1,162.15,161.25,195.75,4834390,829321785.1,261.0,113.0,31733,INE423A01024,2020-03-12,171.55
1011,ADANIENT,EQ,N,161.35,129.75,145.95,148.75,150.3,162.15,7463676,1121439145.75,261.0,113.0,53874,INE423A01024,2020-03-13,150.25
1012,ADANIENT,EQ,N,142.3,128.65,141.0,134.7,135.8,148.75,6582849,904439091.2,261.0,113.0,40424,INE423A01024,2020-03-16,137.39
1013,ADANIENT,EQ,N,142.55,130.5,135.7,133.4,134.5,134.7,6388062,862809713.85,261.0,113.0,36452,INE423A01024,2020-03-17,135.07
1014,ADANIENT,EQ,N,137.0,127.1,135.9,130.2,132.5,133.4,4255688,559098600.65,261.0,113.0,35656,INE423A01024,2020-03-18,131.38
1015,ADANIENT,EQ,N,132.95,118.2,121.0,128.9,130.0,130.2,5517080,694275216.0,261.0,113.0,29278,INE423A01024,2020-03-19,125.84
1016,ADANIENT,EQ,N,141.6,128.7,138.0,137.7,138.75,128.9,4496401,609360425.55,261.0,113.0,27480,INE423A01024,2020-03-20,135.52
1017,ADANIENT,EQ,N,135.0,118.2,123.05,120.9,120.15,137.7,1456143,184262892.65,261.0,113.0,14699,INE423A01024,2020-03-23,126.54
1018,ADANIENT,EQ,N,132.95,116.4,125.0,130.35,131.8,120.9,5125923,643964810.1,261.0,113.0,19507,INE423A01024,2020-03-24,125.63
