,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
927,ADANIGREEN,EQ,N,162.65,150.0,156.6,156.05,159.0,154.95,1127956,181073276.4,243.75,34.1,12138,INE364U01010,2020-03-02,160.53
929,ADANIGREEN,EQ,N,163.0,157.0,162.9,159.5,159.2,156.05,534459,85015692.2,243.75,34.1,7648,INE364U01010,2020-03-03,159.07
934,ADANIGREEN,EQ,N,159.5,151.55,159.25,152.0,151.55,159.5,480121,73657122.0,243.75,34.1,5785,INE364U01010,2020-03-04,153.41
939,ADANIGREEN,EQ,N,158.75,145.45,151.55,152.5,152.0,152.0,1252377,189429840.3,243.75,34.1,21779,INE364U01010,2020-03-05,151.26
940,ADANIGREEN,EQ,N,147.2,144.9,144.9,144.9,144.9,152.5,425088,61708099.8,243.75,34.1,4263,INE364U01010,2020-03-06,145.17
941,ADANIGREEN,EQ,N,137.8,137.7,137.7,137.7,137.7,144.9,112896,15545965.1,243.75,34.7,1379,INE364U01010,2020-03-09,137.7
942,ADANIGREEN,EQ,N,136.4,130.85,131.1,130.85,130.85,137.7,1132428,149682988.85,243.75,34.7,9572,INE364U01010,2020-03-11,132.18
943,ADANIGREEN,EQ,N,124.35,124.35,124.35,124.35,124.35,130.85,26822,3335315.7,243.75,34.7,836,INE364U01010,2020-03-12,124.35
944,ADANIGREEN,EQ,N,130.55,118.15,118.15,123.4,130.55,124.35,2367027,287192824.0,243.75,34.7,10297,INE364U01010,2020-03-13,121.33
945,ADANIGREEN,EQ,N,128.0,117.25,120.0,117.7,118.6,123.4,1305459,156728494.2,243.75,34.7,12835,INE364U01010,2020-03-16,120.06
946,ADANIGREEN,EQ,N,123.55,111.9,115.0,123.4,123.55,117.7,1650022,199925070.95,243.75,34.7,10823,INE364U01010,2020-03-17,121.17
