,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,ADANIPORTS,EQ,N,351.05,338.3,346.1,340.65,340.5,342.2,2510491,868759795.3,430.6,330.5,38730,INE742F01042,2020-03-02,346.05
996,ADANIPORTS,EQ,N,349.05,342.0,344.0,347.3,347.9,340.65,3671071,1270666106.85,430.6,330.5,63872,INE742F01042,2020-03-03,346.13
1000,ADANIPORTS,EQ,N,349.8,339.9,347.8,345.95,347.0,347.3,3490806,1205410531.05,430.6,330.5,64937,INE742F01042,2020-03-04,345.31
1006,ADANIPORTS,EQ,N,351.9,346.5,347.3,349.15,349.2,345.95,2709900,946875859.75,430.6,330.5,34540,INE742F01042,2020-03-05,349.41
1007,ADANIPORTS,EQ,N,343.2,331.25,339.8,341.4,341.2,349.15,3966036,1338610831.8,430.6,330.5,37831,INE742F01042,2020-03-06,337.52
1008,ADANIPORTS,EQ,N,334.7,316.85,334.7,321.9,322.2,341.4,3230319,1054176612.9,430.6,316.85,34510,INE742F01042,2020-03-09,326.34
1009,ADANIPORTS,EQ,N,326.35,316.2,322.8,320.2,320.9,321.9,5634636,1812172642.1,430.6,316.2,46713,INE742F01042,2020-03-11,321.61
1010,ADANIPORTS,EQ,N,301.9,284.0,288.2,287.65,289.4,320.2,9895077,2868054690.1,430.6,284.0,111634,INE742F01042,2020-03-12,289.85
1011,ADANIPORTS,EQ,N,300.7,232.0,260.0,292.75,295.0,287.65,21079070,5878710903.15,430.6,232.0,154916,INE742F01042,2020-03-13,278.89
1012,ADANIPORTS,EQ,N,276.85,252.0,273.0,261.4,261.4,292.75,7727956,2005210514.1,430.6,232.0,80189,INE742F01042,2020-03-16,259.47
1013,ADANIPORTS,EQ,N,283.35,265.0,265.0,267.15,265.95,261.4,9691227,2653757056.7,430.6,232.0,73505,INE742F01042,2020-03-17,273.83
1014,ADANIPORTS,EQ,N,273.0,256.0,270.0,260.4,259.3,267.15,5581367,1465113518.1,430.6,232.0,47683,INE742F01042,2020-03-18,262.5
1015,ADANIPORTS,EQ,N,264.15,241.0,248.0,258.35,257.0,260.4,8727962,2233696246.2,430.6,232.0,64991,INE742F01042,2020-03-19,255.92
1016,ADANIPORTS,EQ,N,264.5,247.2,257.6,256.4,255.2,258.35,7028925,1795381218.7,430.6,232.0,68662,INE742F01042,2020-03-20,255.43
1017,ADANIPORTS,EQ,N,235.8,203.0,235.0,207.8,215.0,256.4,5716818,1209658343.75,430.6,203.0,56925,INE742F01042,2020-03-23,211.6
1018,ADANIPORTS,EQ,N,238.75,212.6,216.0,231.75,236.5,207.8,9694177,2206140252.05,430.6,203.0,93631,INE742F01042,2020-03-24,227.57
1019,ADANIPORTS,EQ,N,266.5,222.3,222.3,255.6,255.6,231.75,11745146,2851642995.2,430.6,203.0,92389,INE742F01042,2020-03-25,242.79
1020,ADANIPORTS,EQ,N,260.1,241.5,257.65,248.2,252.9,255.6,8701776,2208012000.75,430.6,203.0,82755,INE742F01042,2020-03-26,253.74
1021,ADANIPORTS,EQ,N,259.6,244.0,259.0,251.3,251.35,248.2,4871655,1227618559.0,430.6,203.0,52370,INE742F01042,2020-03-27,251.99
1022,ADANIPORTS,EQ,N,254.85,237.0,248.0,251.65,251.7,251.3,8946439,2225890955.65,430.6,203.0,75897,INE742F01042,2020-03-30,248.8
1023,ADANIPORTS,EQ,N,259.6,247.05,255.0,251.3,250.45,251.65,6401288,1620363751.5,430.6,203.0,55793,INE742F01042,2020-03-31,253.13
1024,ADANIPORTS,EQ,N,247.8,235.05,246.05,244.8,246.1,251.3,4034211,970746820.25,430.6,203.0,46902,INE742F01042,2020-04-01,240.63
1025,ADANIPORTS,EQ,N,252.8,238.9,246.0,244.8,244.2,244.8,7210453,1791415604.95,430.6,203.0,43535,INE742F01042,2020-04-03,248.45
1026,ADANIPORTS,EQ,N,255.85,245.6,254.2,248.1,248.8,244.8,7360798,1836085380.15,430.6,203.0,64968,INE742F01042,2020-04-07,249.44
1027,ADANIPORTS,EQ,N,255.85,242.75,248.0,250.85,249.7,248.1,6897883,1724830524.8,430.6,203.0,81499,INE742F01042,2020-04-08,250.05
1028,ADANIPORTS,EQ,N,254.6,247.45,254.0,251.9,251.2,250.85,5290672,1329135734.0,430.6,203.0,46427,INE742F01042,2020-04-09,251.22
968,ADANIPORTS,EQ,N,265.5,247.5,252.0,262.85,263.0,251.9,6979354,1770369308.4,430.6,203.0,37483,INE742F01042,2020-04-13,253.66
969,ADANIPORTS,EQ,N,279.4,265.0,265.0,268.9,267.1,262.85,7606729,2076643951.95,430.6,203.0,101002,INE742F01042,2020-04-15,273.0
970,ADANIPORTS,EQ,N,271.3,260.3,267.0,267.6,268.35,268.9,3267294,871184362.15,430.6,203.0,63906,INE742F01042,2020-04-16,266.64
971,ADANIPORTS,EQ,N,275.9,263.6,275.0,268.15,268.55,267.6,3470271,927095438.45,430.6,203.0,49815,INE742F01042,2020-04-17,267.15
972,ADANIPORTS,EQ,N,273.5,266.55,273.5,270.5,272.0,268.15,2234365,603266950.1,430.6,203.0,44339,INE742F01042,2020-04-20,269.99
973,ADANIPORTS,EQ,N,269.6,260.9,266.05,265.2,265.1,270.5,2562045,676180309.0,430.6,203.0,28728,INE742F01042,2020-04-21,263.92
974,ADANIPORTS,EQ,N,273.85,258.5,260.0,271.9,273.0,265.2,3229099,866174503.85,430.6,203.0,38557,INE742F01042,2020-04-22,268.24
975,ADANIPORTS,EQ,N,279.7,268.5,273.5,277.6,278.0,271.9,3594118,988791951.65,430.6,203.0,41781,INE742F01042,2020-04-23,275.11
