,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
792,ADANIPOWER,EQ,N,50.05,46.45,49.2,47.05,46.75,47.3,9497793,462318026.5,73.8,37.35,21981,INE814H01011,2020-03-02,48.68
794,ADANIPOWER,EQ,N,49.65,47.75,48.05,48.9,48.6,47.05,7774434,378023529.05,73.8,37.35,13967,INE814H01011,2020-03-03,48.62
800,ADANIPOWER,EQ,N,48.9,46.0,48.5,47.65,47.3,48.9,9510975,451403193.05,73.8,37.35,14337,INE814H01011,2020-03-04,47.46
806,ADANIPOWER,EQ,N,48.3,46.35,47.5,46.75,46.5,47.65,9256866,437246794.15,73.8,37.35,20637,INE814H01011,2020-03-05,47.23
807,ADANIPOWER,EQ,N,44.6,42.15,43.0,44.1,44.0,46.75,5363133,236154592.6,73.8,37.35,11002,INE814H01011,2020-03-06,44.03
808,ADANIPOWER,EQ,N,43.5,39.85,43.3,40.75,40.3,44.1,6931134,289704074.5,73.8,37.35,13224,INE814H01011,2020-03-09,41.8
809,ADANIPOWER,EQ,N,42.75,40.05,40.5,41.2,40.8,40.75,8429950,351848982.65,73.8,37.35,15647,INE814H01011,2020-03-11,41.74
810,ADANIPOWER,EQ,N,39.8,29.7,37.95,30.3,29.85,41.2,25003394,826464801.85,73.8,29.7,50808,INE814H01011,2020-03-12,33.05
811,ADANIPOWER,EQ,N,31.7,23.0,27.3,30.95,31.25,30.3,20770964,605040587.0,73.8,23.0,45668,INE814H01011,2020-03-13,29.13
812,ADANIPOWER,EQ,N,30.3,27.0,29.2,28.45,28.3,30.95,11982290,348245443.75,73.8,23.0,24607,INE814H01011,2020-03-16,29.06
813,ADANIPOWER,EQ,N,29.75,26.1,28.5,26.85,27.25,28.45,13828097,392777547.5,73.8,23.0,27691,INE814H01011,2020-03-17,28.4
814,ADANIPOWER,EQ,N,28.8,26.6,28.0,28.15,28.6,26.85,13702802,377643563.65,73.8,23.0,23039,INE814H01011,2020-03-18,27.56
815,ADANIPOWER,EQ,N,28.0,24.0,27.0,27.0,26.95,28.15,13335416,357227914.65,73.8,23.0,24309,INE814H01011,2020-03-19,26.79
816,ADANIPOWER,EQ,N,29.45,26.7,28.5,29.05,29.2,27.0,12103072,341398243.95,73.8,23.0,20974,INE814H01011,2020-03-20,28.21
817,ADANIPOWER,EQ,N,27.8,25.3,26.15,25.65,25.8,29.05,4609535,121257535.85,73.8,23.0,15054,INE814H01011,2020-03-23,26.31
818,ADANIPOWER,EQ,N,28.45,25.65,27.35,27.95,28.05,25.65,7520328,203500403.4,73.8,23.0,18683,INE814H01011,2020-03-24,27.06
819,ADANIPOWER,EQ,N,29.1,27.35,27.95,28.55,28.95,27.95,6050633,171354067.85,73.8,23.0,13037,INE814H01011,2020-03-25,28.32
820,ADANIPOWER,EQ,N,31.0,28.05,28.95,30.1,30.1,28.55,11771130,352504221.45,73.8,23.0,23603,INE814H01011,2020-03-26,29.95
821,ADANIPOWER,EQ,N,32.4,27.2,31.25,27.6,27.65,30.1,14004031,411769116.25,73.8,23.0,34509,INE814H01011,2020-03-27,29.4
822,ADANIPOWER,EQ,N,27.45,26.1,27.45,26.8,26.85,27.6,7063132,188872888.5,73.8,23.0,15592,INE814H01011,2020-03-30,26.74
823,ADANIPOWER,EQ,N,28.3,25.55,25.55,27.75,27.65,26.8,8659262,237684884.55,73.8,23.0,15910,INE814H01011,2020-03-31,27.45
824,ADANIPOWER,EQ,N,27.9,26.55,27.75,26.8,26.65,27.75,5854439,157868613.25,73.8,23.0,11494,INE814H01011,2020-04-01,26.97
825,ADANIPOWER,EQ,N,27.15,25.8,26.95,26.75,26.7,26.8,4740718,126201278.35,73.8,23.0,9365,INE814H01011,2020-04-03,26.62
826,ADANIPOWER,EQ,N,29.1,27.0,27.5,28.8,28.65,26.75,8053637,225288085.55,73.8,23.0,15040,INE814H01011,2020-04-07,27.97
827,ADANIPOWER,EQ,N,31.15,27.5,28.65,28.95,28.85,28.8,12308064,361987996.95,73.8,23.0,23153,INE814H01011,2020-04-08,29.41
828,ADANIPOWER,EQ,N,30.75,29.2,29.2,30.4,30.55,28.95,8693884,261304987.3,73.8,23.0,19263,INE814H01011,2020-04-09,30.06
766,ADANIPOWER,EQ,N,31.3,28.85,30.6,29.65,29.8,30.4,9137324,270458403.25,73.8,23.0,19890,INE814H01011,2020-04-13,29.6
767,ADANIPOWER,EQ,N,31.15,29.05,30.4,29.3,29.8,29.65,16172034,482572559.65,73.8,23.0,23431,INE814H01011,2020-04-15,29.84
768,ADANIPOWER,EQ,N,30.2,29.1,29.3,29.85,29.9,29.3,5450088,162335362.0,73.8,23.0,11576,INE814H01011,2020-04-16,29.79
769,ADANIPOWER,EQ,N,31.3,30.2,30.9,30.9,30.95,29.85,12247415,377498797.95,73.8,23.0,18299,INE814H01011,2020-04-17,30.82
770,ADANIPOWER,EQ,N,35.5,30.85,31.35,34.75,35.05,30.9,33451999,1143158960.4,73.8,23.0,61764,INE814H01011,2020-04-20,34.17
771,ADANIPOWER,EQ,N,34.45,31.5,34.0,31.9,31.75,34.75,14129082,458709972.8,73.8,23.0,30587,INE814H01011,2020-04-21,32.47
772,ADANIPOWER,EQ,N,33.0,29.6,31.0,32.4,32.7,31.9,16728395,527093098.65,73.8,23.0,35345,INE814H01011,2020-04-22,31.51
773,ADANIPOWER,EQ,N,33.6,32.15,32.15,32.45,32.5,32.4,8175038,268550284.4,73.8,23.0,20492,INE814H01011,2020-04-23,32.85
774,ADANIPOWER,EQ,N,32.35,30.45,32.3,30.65,30.9,32.45,9228858,289691540.75,73.8,23.0,20820,INE814H01011,2020-04-24,31.39
775,ADANIPOWER,EQ,N,32.0,30.5,31.6,30.85,30.9,30.65,8557927,265355923.65,73.8,23.0,20350,INE814H01011,2020-04-27,31.01
