,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,AIAENG,EQ,N,1814.4,1720.05,1780.0,1737.05,1755.0,1788.65,261838,463629766.5,1989.95,1482.1,7906,INE212H01026,2020-03-02,1770.67
996,AIAENG,EQ,N,1850.0,1731.0,1737.05,1790.8,1790.0,1737.05,91970,164421525.35,1989.95,1482.1,11571,INE212H01026,2020-03-03,1787.77
1001,AIAENG,EQ,N,1845.0,1698.05,1800.0,1784.8,1840.0,1790.8,139914,244106866.4,1989.95,1482.1,19597,INE212H01026,2020-03-04,1744.69
1007,AIAENG,EQ,N,1834.85,1763.1,1809.9,1783.75,1790.0,1784.8,26194,46667064.95,1989.95,1482.1,5718,INE212H01026,2020-03-05,1781.59
1008,AIAENG,EQ,N,1809.95,1729.95,1766.0,1789.1,1790.0,1783.75,53996,96626160.65,1989.95,1482.1,5035,INE212H01026,2020-03-06,1789.51
1009,AIAENG,EQ,N,1830.15,1692.0,1780.0,1776.65,1830.0,1789.1,329614,576219803.75,1989.95,1482.1,5482,INE212H01026,2020-03-09,1748.17
1010,AIAENG,EQ,N,1789.55,1723.05,1770.0,1762.9,1750.0,1776.65,44233,77435489.9,1989.95,1482.1,6130,INE212H01026,2020-03-11,1750.63
1011,AIAENG,EQ,N,1745.0,1630.05,1701.1,1678.95,1700.0,1762.9,116112,195524010.7,1989.95,1482.1,10931,INE212H01026,2020-03-12,1683.93
1012,AIAENG,EQ,N,1808.0,1450.0,1500.05,1777.1,1763.35,1678.95,122606,202445504.8,1989.95,1450.0,21262,INE212H01026,2020-03-13,1651.19
1013,AIAENG,EQ,N,1748.4,1578.0,1737.55,1672.7,1675.05,1777.1,40669,68484282.4,1989.95,1450.0,6273,INE212H01026,2020-03-16,1683.94
1014,AIAENG,EQ,N,1669.65,1511.0,1650.55,1544.0,1545.0,1672.7,62403,97125886.1,1989.95,1450.0,11440,INE212H01026,2020-03-17,1556.43
1015,AIAENG,EQ,N,1586.3,1395.05,1550.5,1454.95,1450.0,1544.0,39751,59191630.1,1989.95,1395.05,6141,INE212H01026,2020-03-18,1489.06
1016,AIAENG,EQ,N,1473.85,1375.05,1400.0,1420.4,1401.0,1454.95,70881,100180621.9,1989.95,1375.05,9448,INE212H01026,2020-03-19,1413.36
1017,AIAENG,EQ,N,1427.95,1350.0,1350.05,1377.75,1368.85,1420.4,37870,53098370.0,1989.95,1350.0,4604,INE212H01026,2020-03-20,1402.12
1018,AIAENG,EQ,N,1310.0,1102.2,1102.2,1238.8,1265.0,1377.75,23281,28987829.9,1989.95,1102.2,3616,INE212H01026,2020-03-23,1245.13
1019,AIAENG,EQ,N,1350.0,1251.05,1350.0,1315.3,1315.85,1238.8,18132,23679143.2,1989.95,1102.2,3689,INE212H01026,2020-03-24,1305.93
1020,AIAENG,EQ,N,1366.35,1265.55,1265.55,1353.5,1364.95,1315.3,52181,70444981.9,1989.95,1102.2,9301,INE212H01026,2020-03-25,1350.01
1021,AIAENG,EQ,N,1375.0,1278.8,1374.6,1298.9,1298.0,1353.5,52246,68315864.7,1989.95,1102.2,9085,INE212H01026,2020-03-26,1307.58
1022,AIAENG,EQ,N,1350.75,1198.9,1340.0,1243.75,1228.0,1298.9,35777,45633375.5,1989.95,1102.2,6642,INE212H01026,2020-03-27,1275.49
1023,AIAENG,EQ,N,1479.4,1150.0,1205.55,1306.6,1421.0,1243.75,50094,62588280.95,1989.95,1102.2,8411,INE212H01026,2020-03-30,1249.42
1024,AIAENG,EQ,N,1415.1,1250.0,1345.0,1393.25,1390.0,1306.6,47956,64277592.3,1989.95,1102.2,5891,INE212H01026,2020-03-31,1340.35
1025,AIAENG,EQ,N,1398.3,1296.0,1393.25,1319.1,1311.0,1393.25,18714,24965810.45,1989.95,1102.2,3885,INE212H01026,2020-04-01,1334.07
1026,AIAENG,EQ,N,1324.45,1252.25,1319.0,1277.1,1275.0,1319.1,23542,30078647.85,1989.95,1102.2,6321,INE212H01026,2020-04-03,1277.66
1027,AIAENG,EQ,N,1325.95,1220.0,1279.9,1249.9,1260.35,1277.1,100089,124907670.0,1989.95,1102.2,17013,INE212H01026,2020-04-07,1247.97
1028,AIAENG,EQ,N,1291.0,1229.0,1259.45,1255.85,1268.0,1249.9,73842,92756824.05,1989.95,1102.2,10503,INE212H01026,2020-04-08,1256.15
1029,AIAENG,EQ,N,1315.0,1244.05,1268.3,1260.75,1257.65,1255.85,68666,86504508.35,1989.95,1102.2,5067,INE212H01026,2020-04-09,1259.79
968,AIAENG,EQ,N,1489.0,1243.8,1284.0,1417.15,1392.0,1260.75,239029,326255884.2,1989.95,1102.2,18364,INE212H01026,2020-04-13,1364.92
969,AIAENG,EQ,N,1493.0,1390.45,1440.4,1425.5,1434.0,1417.15,154793,225676208.1,1989.95,1102.2,14487,INE212H01026,2020-04-15,1457.92
970,AIAENG,EQ,N,1462.45,1381.05,1425.5,1399.15,1401.1,1425.5,88363,124544827.85,1989.95,1102.2,10724,INE212H01026,2020-04-16,1409.47
971,AIAENG,EQ,N,1518.35,1403.0,1439.0,1440.05,1440.0,1399.15,44465,64797909.1,1989.95,1102.2,6117,INE212H01026,2020-04-17,1457.28
972,AIAENG,EQ,N,1499.0,1437.25,1468.8,1464.75,1470.0,1440.05,76348,111701335.55,1989.95,1102.2,5909,INE212H01026,2020-04-20,1463.06
973,AIAENG,EQ,N,1479.0,1403.45,1445.0,1424.55,1420.9,1464.75,41864,59525691.0,1989.95,1102.2,6026,INE212H01026,2020-04-21,1421.88
974,AIAENG,EQ,N,1532.0,1411.25,1429.8,1488.9,1489.85,1424.55,62540,90577655.85,1989.95,1102.2,4298,INE212H01026,2020-04-22,1448.32
975,AIAENG,EQ,N,1508.0,1452.25,1486.0,1476.0,1482.0,1488.9,76232,112349522.25,1989.95,1102.2,3030,INE212H01026,2020-04-23,1473.78
976,AIAENG,EQ,N,1498.95,1459.8,1483.9,1487.45,1482.3,1476.0,8329,12346508.85,1989.95,1102.2,1145,INE212H01026,2020-04-24,1482.35
977,AIAENG,EQ,N,1525.0,1445.0,1490.0,1479.75,1478.0,1487.45,21213,31336349.75,1989.95,1102.2,3119,INE212H01026,2020-04-27,1477.22
978,AIAENG,EQ,N,1508.95,1464.0,1464.0,1490.25,1490.0,1479.75,20732,30812363.4,1989.95,1102.2,1991,INE212H01026,2020-04-28,1486.22
979,AIAENG,EQ,N,1598.0,1489.05,1504.0,1572.55,1575.0,1490.25,34549,53918062.6,1989.95,1102.2,4791,INE212H01026,2020-04-29,1560.63
980,AIAENG,EQ,N,1645.95,1556.95,1597.0,1608.15,1629.3,1572.55,57808,93167587.25,1989.95,1102.2,7154,INE212H01026,2020-04-30,1611.67
981,AIAENG,EQ,N,1581.3,1541.05,1545.0,1560.0,1560.0,1608.15,18932,29508135.7,1989.95,1102.2,2532,INE212H01026,2020-05-04,1558.64
982,AIAENG,EQ,N,1585.0,1519.2,1561.1,1547.5,1545.0,1560.0,13161,20514254.15,1989.95,1102.2,1584,INE212H01026,2020-05-05,1558.72
983,AIAENG,EQ,N,1582.2,1516.05,1535.0,1541.75,1574.5,1547.5,47129,72788240.8,1989.95,1102.2,2266,INE212H01026,2020-05-06,1544.45
984,AIAENG,EQ,N,1590.0,1537.6,1539.85,1575.85,1571.7,1541.75,41648,64752719.45,1989.95,1102.2,5035,INE212H01026,2020-05-07,1554.76
985,AIAENG,EQ,N,1614.9,1550.0,1587.75,1565.4,1580.0,1575.85,13431,21252819.9,1989.95,1102.2,2102,INE212H01026,2020-05-08,1582.37
986,AIAENG,EQ,N,1615.0,1551.35,1567.1,1570.95,1556.0,1565.4,21228,33776892.35,1989.95,1102.2,2881,INE212H01026,2020-05-11,1591.15
987,AIAENG,EQ,N,1692.0,1533.3,1551.1,1651.9,1692.0,1570.95,40103,64949461.4,1989.95,1102.2,5647,INE212H01026,2020-05-12,1619.57
988,AIAENG,EQ,N,1710.0,1610.35,1710.0,1672.4,1670.0,1651.9,189122,310820129.25,1989.95,1102.2,9758,INE212H01026,2020-05-13,1643.49
989,AIAENG,EQ,N,1690.0,1655.6,1679.9,1672.15,1669.0,1672.4,23266,39033417.15,1989.95,1102.2,2198,INE212H01026,2020-05-14,1677.7
990,AIAENG,EQ,N,1689.9,1613.0,1684.95,1631.05,1615.0,1672.15,118659,194075472.7,1989.95,1102.2,1488,INE212H01026,2020-05-15,1635.57
991,AIAENG,EQ,N,1631.0,1559.0,1631.0,1578.3,1585.55,1631.05,23329,37059656.4,1989.95,1102.2,3033,INE212H01026,2020-05-18,1588.57
992,AIAENG,EQ,N,1650.0,1560.5,1560.5,1609.35,1608.95,1578.3,171175,275242732.25,1989.95,1102.2,5466,INE212H01026,2020-05-19,1607.96
993,AIAENG,EQ,N,1650.0,1585.0,1600.05,1644.0,1650.0,1609.35,94515,152262085.25,1989.95,1102.2,5123,INE212H01026,2020-05-20,1610.98
941,AIAENG,EQ,N,1717.7,1616.5,1649.8,1629.0,1617.0,1644.0,265352,449314596.15,1989.95,1102.2,6088,INE212H01026,2020-05-21,1693.28
942,AIAENG,EQ,N,1690.0,1610.1,1628.0,1647.9,1645.0,1629.0,42951,70080090.25,1989.95,1102.2,3476,INE212H01026,2020-05-22,1631.63
943,AIAENG,EQ,N,1696.45,1634.15,1660.9,1647.25,1635.6,1647.9,17726,29618267.15,1989.95,1102.2,4583,INE212H01026,2020-05-26,1670.89
944,AIAENG,EQ,N,1664.35,1567.0,1654.0,1613.95,1593.0,1647.25,68553,109928165.6,1989.95,1102.2,7832,INE212H01026,2020-05-27,1603.55
945,AIAENG,EQ,N,1633.0,1579.2,1617.45,1625.3,1621.0,1613.95,52083,84133850.4,1989.95,1102.2,3662,INE212H01026,2020-05-28,1615.38
946,AIAENG,EQ,N,1695.75,1598.0,1625.3,1663.85,1684.95,1625.3,80825,133925059.55,1989.95,1102.2,7634,INE212H01026,2020-05-29,1656.98
947,AIAENG,EQ,N,1780.0,1675.0,1690.0,1724.25,1720.05,1663.85,26873,46623452.5,1989.95,1102.2,4335,INE212H01026,2020-06-01,1734.96
948,AIAENG,EQ,N,1767.0,1682.0,1741.0,1693.15,1690.0,1724.25,12817,21897729.1,1989.95,1102.2,3108,INE212H01026,2020-06-02,1708.49
949,AIAENG,EQ,N,1748.0,1690.1,1720.0,1740.4,1748.0,1693.15,35736,61484065.8,1989.95,1102.2,2456,INE212H01026,2020-06-03,1720.51
950,AIAENG,EQ,N,1749.9,1670.1,1748.4,1677.1,1675.0,1740.4,77828,133672562.05,1989.95,1102.2,4011,INE212H01026,2020-06-04,1717.54
951,AIAENG,EQ,N,1716.7,1670.05,1685.0,1682.95,1675.0,1677.1,34962,58951333.5,1989.95,1102.2,3122,INE212H01026,2020-06-05,1686.15
952,AIAENG,EQ,N,1710.0,1620.1,1707.0,1643.35,1657.75,1682.95,33205,54991680.45,1989.95,1102.2,4712,INE212H01026,2020-06-08,1656.13
