,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,ALKEM,EQ,N,2664.45,2562.75,2645.0,2600.2,2629.0,2625.5,131561,343686833.2,2716.9,1660.0,18039,INE540L01014,2020-03-02,2612.38
996,ALKEM,EQ,N,2670.0,2610.0,2629.0,2642.35,2650.0,2600.2,55170,145610097.0,2716.9,1660.0,9860,INE540L01014,2020-03-03,2639.3
1000,ALKEM,EQ,N,2668.0,2545.85,2655.0,2549.75,2550.0,2642.35,92578,241011155.8,2716.9,1660.0,9790,INE540L01014,2020-03-04,2603.33
1005,ALKEM,EQ,N,2650.0,2549.85,2550.0,2611.1,2645.5,2549.75,54742,142525247.7,2716.9,1660.0,9547,INE540L01014,2020-03-05,2603.58
1006,ALKEM,EQ,N,2650.0,2551.0,2551.0,2614.0,2647.5,2611.1,46133,119961377.4,2716.9,1660.0,8096,INE540L01014,2020-03-06,2600.34
1007,ALKEM,EQ,N,2626.6,2455.05,2626.6,2566.9,2580.0,2614.0,55847,141800889.0,2716.9,1660.0,7925,INE540L01014,2020-03-09,2539.1
1008,ALKEM,EQ,N,2635.0,2550.0,2580.0,2590.95,2575.1,2566.9,133143,344658110.0,2716.9,1660.0,23180,INE540L01014,2020-03-11,2588.63
1009,ALKEM,EQ,N,2549.1,2192.8,2549.1,2386.5,2387.0,2590.95,246970,591100037.9,2716.9,1660.0,37687,INE540L01014,2020-03-12,2393.41
1010,ALKEM,EQ,N,2617.4,1911.05,2202.0,2413.85,2480.0,2386.5,197498,477771022.2,2716.9,1660.0,27044,INE540L01014,2020-03-13,2419.12
1011,ALKEM,EQ,N,2548.0,2359.4,2428.9,2426.9,2420.0,2413.85,126622,312637657.95,2716.9,1660.0,33884,INE540L01014,2020-03-16,2469.06
1012,ALKEM,EQ,N,2532.55,2282.85,2430.0,2326.05,2338.0,2426.9,97828,240889012.05,2716.9,1660.0,8649,INE540L01014,2020-03-17,2462.37
1013,ALKEM,EQ,N,2426.0,2255.1,2342.0,2294.2,2298.2,2326.05,71704,166576248.5,2716.9,1660.0,11719,INE540L01014,2020-03-18,2323.11
1014,ALKEM,EQ,N,2266.9,2102.6,2250.0,2177.85,2195.0,2294.2,82486,183144863.2,2716.9,1660.0,9765,INE540L01014,2020-03-19,2220.31
1015,ALKEM,EQ,N,2359.15,2175.45,2249.1,2348.6,2356.0,2177.85,122231,274895874.0,2716.9,1660.0,18535,INE540L01014,2020-03-20,2248.99
1016,ALKEM,EQ,N,2348.0,1881.3,1881.3,2269.65,2330.0,2348.6,80723,180674641.7,2716.9,1660.0,16001,INE540L01014,2020-03-23,2238.21
1017,ALKEM,EQ,N,2366.35,2206.55,2297.55,2216.3,2215.0,2269.65,51921,116044438.3,2716.9,1660.0,10636,INE540L01014,2020-03-24,2235.02
1018,ALKEM,EQ,N,2394.1,2110.0,2110.0,2273.65,2252.75,2216.3,85037,195560571.1,2716.9,1660.0,25524,INE540L01014,2020-03-25,2299.71
1019,ALKEM,EQ,N,2377.75,2273.0,2273.0,2307.1,2299.95,2273.65,50439,117229923.4,2716.9,1660.0,14030,INE540L01014,2020-03-26,2324.19
1020,ALKEM,EQ,N,2463.55,2234.85,2349.95,2344.95,2350.0,2307.1,111495,260934308.35,2716.9,1660.0,29367,INE540L01014,2020-03-27,2340.32
1021,ALKEM,EQ,N,2361.0,2280.2,2320.2,2336.25,2285.0,2344.95,130407,303833238.75,2716.9,1660.0,18908,INE540L01014,2020-03-30,2329.88
1022,ALKEM,EQ,N,2374.5,2280.05,2343.0,2325.85,2322.0,2336.25,161297,374035934.85,2716.9,1660.0,25918,INE540L01014,2020-03-31,2318.93
1023,ALKEM,EQ,N,2364.95,2250.45,2364.95,2270.05,2268.95,2325.85,43849,101314066.4,2716.9,1660.0,12200,INE540L01014,2020-04-01,2310.52
1024,ALKEM,EQ,N,2299.75,2250.0,2279.0,2267.05,2272.0,2270.05,196222,445966110.65,2716.9,1660.0,18773,INE540L01014,2020-04-03,2272.76
1025,ALKEM,EQ,N,2367.0,2292.0,2360.0,2324.05,2325.0,2267.05,604146,1404665441.6,2716.9,1660.0,28966,INE540L01014,2020-04-07,2325.04
1026,ALKEM,EQ,N,2736.5,2326.2,2360.0,2671.15,2639.0,2324.05,371259,967330461.65,2736.5,1660.0,44106,INE540L01014,2020-04-08,2605.54
1027,ALKEM,EQ,N,2879.0,2675.0,2700.0,2709.0,2704.0,2671.15,238145,661631861.1,2879.0,1660.0,36623,INE540L01014,2020-04-09,2778.27
968,ALKEM,EQ,N,2824.0,2680.1,2768.0,2693.8,2700.0,2709.0,164501,453998361.1,2879.0,1660.0,28441,INE540L01014,2020-04-13,2759.85
969,ALKEM,EQ,N,2809.95,2674.0,2748.0,2686.85,2700.0,2693.8,152184,417514140.1,2879.0,1660.0,32582,INE540L01014,2020-04-15,2743.48
970,ALKEM,EQ,N,2809.0,2685.0,2686.0,2757.85,2758.0,2686.85,313956,867855321.7,2879.0,1660.0,37265,INE540L01014,2020-04-16,2764.26
971,ALKEM,EQ,N,2810.0,2664.0,2810.0,2678.55,2668.0,2757.85,92804,252436542.65,2879.0,1660.0,26086,INE540L01014,2020-04-17,2720.1
972,ALKEM,EQ,N,2719.4,2585.05,2670.0,2603.65,2590.0,2678.55,82229,219419238.4,2879.0,1660.0,19128,INE540L01014,2020-04-20,2668.39
973,ALKEM,EQ,N,2669.95,2535.55,2603.0,2581.7,2551.0,2603.65,162343,422835023.05,2879.0,1660.0,37395,INE540L01014,2020-04-21,2604.58
974,ALKEM,EQ,N,2584.9,2521.4,2581.7,2534.5,2531.0,2581.7,195224,496393892.4,2879.0,1660.0,24565,INE540L01014,2020-04-22,2542.69
975,ALKEM,EQ,N,2595.0,2502.0,2570.6,2517.95,2512.0,2534.5,58942,151220618.25,2879.0,1660.0,14776,INE540L01014,2020-04-23,2565.58
976,ALKEM,EQ,N,2764.0,2500.0,2500.0,2734.45,2734.5,2517.95,410823,1108956323.95,2879.0,1660.0,64992,INE540L01014,2020-04-24,2699.35
977,ALKEM,EQ,N,2870.0,2713.25,2730.0,2777.5,2771.0,2734.45,285585,794431809.8,2879.0,1660.0,36271,INE540L01014,2020-04-27,2781.77
978,ALKEM,EQ,N,2801.0,2664.9,2801.0,2699.8,2700.0,2777.5,155012,419275940.35,2879.0,1660.0,16816,INE540L01014,2020-04-28,2704.8
979,ALKEM,EQ,N,2750.0,2625.0,2705.0,2653.1,2661.95,2699.8,58536,156408838.65,2879.0,1660.0,9009,INE540L01014,2020-04-29,2672.01
980,ALKEM,EQ,N,2745.9,2575.55,2675.1,2599.4,2625.0,2653.1,200131,528651406.6,2879.0,1660.0,23449,INE540L01014,2020-04-30,2641.53
981,ALKEM,EQ,N,2723.0,2480.0,2599.4,2663.55,2646.95,2599.4,259890,677288823.3,2879.0,1660.0,39739,INE540L01014,2020-05-04,2606.06
982,ALKEM,EQ,N,2730.0,2646.0,2696.0,2674.15,2676.05,2663.55,205986,555092482.4,2879.0,1660.0,29582,INE540L01014,2020-05-05,2694.81
983,ALKEM,EQ,N,2713.95,2580.0,2694.0,2614.65,2610.05,2674.15,207689,556547473.65,2879.0,1660.0,20251,INE540L01014,2020-05-06,2679.72
984,ALKEM,EQ,N,2653.95,2521.0,2617.0,2557.6,2546.0,2614.65,104896,270077244.7,2879.0,1660.0,13674,INE540L01014,2020-05-07,2574.71
985,ALKEM,EQ,N,2600.0,2551.0,2579.9,2587.95,2590.0,2557.6,185260,479722566.25,2879.0,1660.0,19353,INE540L01014,2020-05-08,2589.46
