,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,AMBUJACEM,EQ,N,216.55,199.8,208.6,202.25,201.55,205.05,5187934,1086879770.9,244.0,184.1,32395,INE079A01024,2020-03-02,209.5
996,AMBUJACEM,EQ,N,212.2,203.65,203.9,211.15,211.35,202.25,4549626,949719900.5,244.0,184.1,98294,INE079A01024,2020-03-03,208.75
1003,AMBUJACEM,EQ,N,213.0,204.7,211.35,208.1,207.65,211.15,3541106,739960063.4,244.0,184.1,44205,INE079A01024,2020-03-04,208.96
1006,AMBUJACEM,EQ,N,211.9,203.65,208.2,204.4,205.0,208.1,2414347,501404895.7,244.0,184.1,20559,INE079A01024,2020-03-05,207.68
1007,AMBUJACEM,EQ,N,206.55,195.4,198.75,205.1,204.7,204.4,2587514,524972486.1,244.0,184.1,20604,INE079A01024,2020-03-06,202.89
1008,AMBUJACEM,EQ,N,203.25,191.45,199.8,193.7,192.85,205.1,3910317,768961952.1,244.0,184.1,47277,INE079A01024,2020-03-09,196.65
1009,AMBUJACEM,EQ,N,196.45,189.8,194.1,190.45,190.05,193.7,3553048,683884743.4,244.0,184.1,40356,INE079A01024,2020-03-11,192.48
1010,AMBUJACEM,EQ,N,183.75,169.1,183.0,175.5,177.35,190.45,8015858,1403187061.45,244.0,169.1,120971,INE079A01024,2020-03-12,175.05
1011,AMBUJACEM,EQ,N,190.7,152.05,166.0,187.75,189.25,175.5,3970888,718065162.45,244.0,152.05,76455,INE079A01024,2020-03-13,180.83
1012,AMBUJACEM,EQ,N,184.05,172.15,180.0,179.45,180.0,187.75,5362750,960047222.9,244.0,152.05,53927,INE079A01024,2020-03-16,179.02
1013,AMBUJACEM,EQ,N,181.75,170.1,180.5,171.4,172.1,179.45,6785874,1201565332.45,244.0,152.05,50865,INE079A01024,2020-03-17,177.07
1014,AMBUJACEM,EQ,N,174.85,158.15,174.4,159.65,160.45,171.4,5655132,933455106.6,244.0,152.05,65894,INE079A01024,2020-03-18,165.06
1015,AMBUJACEM,EQ,N,161.15,149.4,154.0,153.95,151.2,159.65,11032807,1719305631.6,244.0,149.4,77949,INE079A01024,2020-03-19,155.84
1016,AMBUJACEM,EQ,N,168.55,151.4,153.95,160.4,159.1,153.95,14150719,2272281005.7,244.0,149.4,73908,INE079A01024,2020-03-20,160.58
1017,AMBUJACEM,EQ,N,150.9,139.55,145.0,145.85,147.25,160.4,4517269,660178378.9,244.0,139.55,45098,INE079A01024,2020-03-23,146.15
1018,AMBUJACEM,EQ,N,155.8,140.1,145.1,142.15,141.0,145.85,3874329,571683727.55,244.0,139.55,42642,INE079A01024,2020-03-24,147.56
1019,AMBUJACEM,EQ,N,144.45,138.0,139.0,139.35,138.7,142.15,6937627,976102635.1,244.0,138.0,52559,INE079A01024,2020-03-25,140.7
1020,AMBUJACEM,EQ,N,146.6,136.55,141.25,144.05,143.3,139.35,14408540,2038786748.6,244.0,136.55,66317,INE079A01024,2020-03-26,141.5
1021,AMBUJACEM,EQ,N,152.0,141.0,148.55,141.55,141.4,144.05,7706575,1118339517.7,244.0,136.55,59570,INE079A01024,2020-03-27,145.11
1022,AMBUJACEM,EQ,N,154.7,137.4,140.0,148.25,147.6,141.55,6410821,921250441.55,244.0,136.55,39511,INE079A01024,2020-03-30,143.7
1023,AMBUJACEM,EQ,N,157.0,146.7,152.0,155.7,155.7,148.25,3948069,604848582.2,244.0,136.55,42874,INE079A01024,2020-03-31,153.2
1024,AMBUJACEM,EQ,N,158.4,150.7,155.4,156.65,158.2,155.7,2690175,415933322.4,244.0,136.55,28992,INE079A01024,2020-04-01,154.61
1025,AMBUJACEM,EQ,N,156.65,151.55,156.6,153.0,152.4,156.65,3738943,575038929.1,244.0,136.55,47048,INE079A01024,2020-04-03,153.8
1026,AMBUJACEM,EQ,N,160.5,153.5,154.0,159.0,158.9,153.0,6642891,1046055541.3,240.25,136.55,81347,INE079A01024,2020-04-07,157.47
1027,AMBUJACEM,EQ,N,159.5,148.2,158.5,149.7,149.55,159.0,10421438,1597618497.75,240.25,136.55,84074,INE079A01024,2020-04-08,153.3
1028,AMBUJACEM,EQ,N,160.6,150.75,151.2,158.8,158.75,149.7,8828432,1382714384.8,240.25,136.55,128653,INE079A01024,2020-04-09,156.62
968,AMBUJACEM,EQ,N,172.35,157.25,158.95,165.0,165.75,158.8,12551506,2069411598.3,240.25,136.55,96135,INE079A01024,2020-04-13,164.87
969,AMBUJACEM,EQ,N,173.95,167.1,167.1,168.55,168.95,165.0,9909062,1690543385.25,240.25,136.55,112182,INE079A01024,2020-04-15,170.61
970,AMBUJACEM,EQ,N,174.65,163.85,167.1,169.7,170.55,168.55,6792496,1157637223.5,240.25,136.55,54768,INE079A01024,2020-04-16,170.43
971,AMBUJACEM,EQ,N,175.5,169.4,174.0,172.95,172.45,169.7,3706603,640116939.9,240.25,136.55,53998,INE079A01024,2020-04-17,172.7
972,AMBUJACEM,EQ,N,175.9,169.95,175.9,170.3,170.75,172.95,2682037,461464620.0,240.25,136.55,39190,INE079A01024,2020-04-20,172.06
