,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,APLAPOLLO,EQ,N,2005.95,1785.05,1965.0,1812.1,1799.9,1943.5,43427,81819511.0,2219.0,1190.0,4292,INE702C01019,2020-03-02,1884.07
996,APLAPOLLO,EQ,N,1930.0,1819.85,1821.1,1907.5,1927.0,1812.1,70258,132024499.45,2219.0,1190.0,5157,INE702C01019,2020-03-03,1879.14
1000,APLAPOLLO,EQ,N,1940.0,1860.6,1924.2,1912.0,1919.0,1907.5,33575,63716100.25,2219.0,1190.0,3948,INE702C01019,2020-03-04,1897.72
1007,APLAPOLLO,EQ,N,1938.0,1886.7,1920.0,1899.85,1898.0,1912.0,35935,68433831.95,2219.0,1190.0,6024,INE702C01019,2020-03-05,1904.38
1008,APLAPOLLO,EQ,N,1890.0,1775.0,1800.0,1872.2,1888.0,1899.85,37809,70575431.1,2219.0,1190.0,6662,INE702C01019,2020-03-06,1866.63
1009,APLAPOLLO,EQ,N,1858.6,1720.0,1826.0,1805.25,1814.8,1872.2,49483,88005112.1,2219.0,1190.0,7326,INE702C01019,2020-03-09,1778.49
1010,APLAPOLLO,EQ,N,1804.95,1711.2,1765.1,1732.8,1731.0,1805.25,61188,106706949.9,2219.0,1190.0,12356,INE702C01019,2020-03-11,1743.92
1011,APLAPOLLO,EQ,N,1699.75,1426.0,1640.0,1529.05,1522.0,1732.8,103625,157678692.7,2219.0,1190.0,14394,INE702C01019,2020-03-12,1521.63
1012,APLAPOLLO,EQ,N,1804.3,1223.25,1425.0,1540.75,1520.0,1529.05,120178,163001372.05,2219.0,1190.0,6910,INE702C01019,2020-03-13,1356.33
1013,APLAPOLLO,EQ,N,1495.0,1400.0,1495.0,1419.75,1400.0,1540.75,108329,154660661.85,2219.0,1190.0,5550,INE702C01019,2020-03-16,1427.69
1014,APLAPOLLO,EQ,N,1434.05,1311.6,1419.05,1341.2,1330.0,1419.75,55968,75160884.65,2219.0,1190.0,6386,INE702C01019,2020-03-17,1342.93
1015,APLAPOLLO,EQ,N,1364.05,1165.0,1339.3,1248.4,1225.0,1341.2,111367,137523149.75,2219.0,1165.0,6658,INE702C01019,2020-03-18,1234.86
1016,APLAPOLLO,EQ,N,1347.95,1030.0,1115.0,1302.35,1315.0,1248.4,96213,111580110.25,2219.0,1030.0,8045,INE702C01019,2020-03-19,1159.72
1017,APLAPOLLO,EQ,N,1389.9,1230.35,1275.0,1308.45,1280.0,1302.35,44931,59176695.3,2219.0,1030.0,5604,INE702C01019,2020-03-20,1317.06
1018,APLAPOLLO,EQ,N,1240.0,1046.8,1150.0,1071.45,1065.0,1308.45,104764,114545531.2,2219.0,1030.0,5771,INE702C01019,2020-03-23,1093.37
1019,APLAPOLLO,EQ,N,1160.0,1083.5,1160.0,1123.0,1128.85,1071.45,21800,24318708.45,2219.0,1030.0,2651,INE702C01019,2020-03-24,1115.54
1020,APLAPOLLO,EQ,N,1215.0,1106.05,1125.0,1199.4,1205.0,1123.0,20591,23955251.7,2219.0,1030.0,3639,INE702C01019,2020-03-25,1163.38
1021,APLAPOLLO,EQ,N,1427.3,1162.05,1213.25,1293.4,1299.0,1199.4,42907,55767874.95,2219.0,1030.0,7344,INE702C01019,2020-03-26,1299.74
1022,APLAPOLLO,EQ,N,1349.0,1272.75,1309.2,1284.7,1275.0,1293.4,147754,191066651.65,2219.0,1030.0,4761,INE702C01019,2020-03-27,1293.14
1023,APLAPOLLO,EQ,N,1278.0,1190.0,1278.0,1224.35,1228.55,1284.7,17486,21482061.5,2219.0,1030.0,2097,INE702C01019,2020-03-30,1228.53
1024,APLAPOLLO,EQ,N,1260.0,1188.0,1244.25,1246.65,1250.0,1224.35,26648,32695513.05,2219.0,1030.0,2447,INE702C01019,2020-03-31,1226.94
1025,APLAPOLLO,EQ,N,1263.95,1205.95,1255.0,1232.3,1233.7,1246.65,9574,11807168.1,2219.0,1030.0,1267,INE702C01019,2020-04-01,1233.25
1026,APLAPOLLO,EQ,N,1240.0,1191.4,1240.0,1197.4,1191.4,1232.3,16852,20231648.35,2219.0,1030.0,1572,INE702C01019,2020-04-03,1200.55
1027,APLAPOLLO,EQ,N,1260.0,1215.05,1220.0,1231.75,1229.0,1197.4,16477,20323858.1,2219.0,1030.0,1724,INE702C01019,2020-04-07,1233.47
1028,APLAPOLLO,EQ,N,1274.0,1220.0,1245.0,1259.5,1258.0,1231.75,21152,26442272.1,2219.0,1030.0,3032,INE702C01019,2020-04-08,1250.11
1029,APLAPOLLO,EQ,N,1379.0,1268.8,1287.45,1335.9,1355.05,1259.5,47426,62347656.05,2219.0,1030.0,2601,INE702C01019,2020-04-09,1314.63
968,APLAPOLLO,EQ,N,1349.0,1222.65,1349.0,1238.25,1238.0,1335.9,34158,43239154.85,2219.0,1030.0,5912,INE702C01019,2020-04-13,1265.86
969,APLAPOLLO,EQ,N,1273.95,1205.0,1242.0,1217.85,1219.0,1238.25,40322,49759784.6,2219.0,1030.0,5145,INE702C01019,2020-04-15,1234.06
970,APLAPOLLO,EQ,N,1230.0,1166.0,1205.0,1173.3,1180.0,1217.85,31720,37904529.7,2219.0,1030.0,4077,INE702C01019,2020-04-16,1194.97
971,APLAPOLLO,EQ,N,1270.0,1192.0,1212.0,1258.55,1261.0,1173.3,45147,55694400.85,2219.0,1030.0,4700,INE702C01019,2020-04-17,1233.62
972,APLAPOLLO,EQ,N,1280.0,1223.0,1269.0,1235.15,1226.0,1258.55,16500,20706353.6,2219.0,1030.0,1963,INE702C01019,2020-04-20,1254.93
973,APLAPOLLO,EQ,N,1218.0,1160.0,1218.0,1163.9,1170.0,1235.15,26439,31272334.05,2219.0,1030.0,2723,INE702C01019,2020-04-21,1182.81
974,APLAPOLLO,EQ,N,1198.0,1150.05,1164.0,1160.8,1161.0,1163.9,18121,21270295.6,2219.0,1030.0,2914,INE702C01019,2020-04-22,1173.79
975,APLAPOLLO,EQ,N,1260.0,1163.45,1177.0,1248.8,1257.0,1160.8,70018,86239402.2,2219.0,1030.0,5705,INE702C01019,2020-04-23,1231.67
976,APLAPOLLO,EQ,N,1324.0,1219.9,1250.0,1296.9,1305.0,1248.8,93394,120294233.25,2219.0,1030.0,10950,INE702C01019,2020-04-24,1288.03
977,APLAPOLLO,EQ,N,1332.95,1247.95,1296.0,1257.5,1249.95,1296.9,31248,39948861.85,2219.0,1030.0,4916,INE702C01019,2020-04-27,1278.45
978,APLAPOLLO,EQ,N,1289.05,1222.6,1275.6,1242.95,1250.1,1257.5,24501,30493844.7,2219.0,1030.0,3293,INE702C01019,2020-04-28,1244.6
979,APLAPOLLO,EQ,N,1289.95,1245.15,1268.2,1260.95,1269.0,1242.95,23686,30112434.55,2219.0,1030.0,3188,INE702C01019,2020-04-29,1271.32
980,APLAPOLLO,EQ,N,1510.0,1280.0,1280.0,1428.75,1430.0,1260.95,223935,319269705.1,2219.0,1030.0,17878,INE702C01019,2020-04-30,1425.72
981,APLAPOLLO,EQ,N,1387.0,1280.0,1387.0,1302.25,1313.0,1428.75,45099,59730361.05,2219.0,1030.0,3883,INE702C01019,2020-05-04,1324.43
982,APLAPOLLO,EQ,N,1354.0,1267.2,1315.0,1289.55,1280.0,1302.25,60613,79781294.5,2219.0,1030.0,4242,INE702C01019,2020-05-05,1316.24
