,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,APOLLOHOSP,EQ,N,1777.9,1711.2,1750.0,1728.55,1725.0,1735.8,980080,1703720673.8,1813.55,1092.0,51371,INE437A01024,2020-03-02,1738.35
996,APOLLOHOSP,EQ,N,1753.2,1695.0,1738.9,1725.7,1726.8,1728.55,672514,1156180898.6,1813.55,1092.0,33264,INE437A01024,2020-03-03,1719.19
1001,APOLLOHOSP,EQ,N,1772.0,1711.65,1727.0,1755.25,1753.05,1725.7,1164850,2035935205.05,1813.55,1092.0,59940,INE437A01024,2020-03-04,1747.81
1006,APOLLOHOSP,EQ,N,1768.85,1718.6,1764.95,1727.2,1726.15,1755.25,661463,1154885333.2,1813.55,1092.0,38733,INE437A01024,2020-03-05,1745.96
1007,APOLLOHOSP,EQ,N,1710.0,1673.0,1700.0,1688.9,1684.5,1727.2,498503,842721167.85,1813.55,1092.0,27249,INE437A01024,2020-03-06,1690.5
1008,APOLLOHOSP,EQ,N,1671.75,1606.1,1650.0,1640.9,1640.0,1688.9,486073,795734996.05,1813.55,1092.0,33229,INE437A01024,2020-03-09,1637.07
1009,APOLLOHOSP,EQ,N,1642.8,1611.0,1629.0,1629.25,1623.0,1640.9,617559,1006555911.35,1813.55,1092.0,52928,INE437A01024,2020-03-11,1629.89
1010,APOLLOHOSP,EQ,N,1590.05,1480.3,1580.0,1508.0,1513.0,1629.25,1279868,1952760896.45,1813.55,1092.0,76623,INE437A01024,2020-03-12,1525.75
1011,APOLLOHOSP,EQ,N,1598.5,1379.0,1380.1,1513.65,1513.05,1508.0,828569,1236189369.7,1813.55,1092.0,52946,INE437A01024,2020-03-13,1491.96
1012,APOLLOHOSP,EQ,N,1540.9,1363.35,1431.0,1472.8,1485.0,1513.65,1197701,1773216348.45,1813.55,1112.15,101480,INE437A01024,2020-03-16,1480.52
1013,APOLLOHOSP,EQ,N,1518.95,1415.45,1492.8,1426.75,1430.0,1472.8,610719,892588432.7,1813.55,1112.15,70953,INE437A01024,2020-03-17,1461.54
1014,APOLLOHOSP,EQ,N,1454.0,1233.55,1454.0,1282.7,1285.3,1426.75,1731138,2245928263.1,1813.55,1112.15,67497,INE437A01024,2020-03-18,1297.37
1015,APOLLOHOSP,EQ,N,1248.25,1052.35,1195.1,1180.1,1182.0,1282.7,2412020,2775762509.1,1813.55,1052.35,140798,INE437A01024,2020-03-19,1150.8
1016,APOLLOHOSP,EQ,N,1400.4,1150.0,1190.25,1362.95,1362.0,1180.1,2002361,2541622692.3,1813.55,1052.35,149394,INE437A01024,2020-03-20,1269.31
1017,APOLLOHOSP,EQ,N,1299.35,1149.0,1226.7,1158.65,1200.0,1362.95,816579,980705010.2,1813.55,1052.35,77668,INE437A01024,2020-03-23,1200.99
1018,APOLLOHOSP,EQ,N,1265.0,1124.15,1250.0,1156.0,1160.1,1158.65,1641799,1940225106.3,1813.55,1052.35,148701,INE437A01024,2020-03-24,1181.77
1019,APOLLOHOSP,EQ,N,1222.2,1072.05,1180.0,1183.75,1162.0,1156.0,2323541,2636973110.25,1813.55,1052.35,196390,INE437A01024,2020-03-25,1134.89
1020,APOLLOHOSP,EQ,N,1336.3,1132.0,1190.0,1215.85,1217.0,1183.75,2809837,3433639859.5,1813.55,1052.35,238206,INE437A01024,2020-03-26,1222.01
1021,APOLLOHOSP,EQ,N,1259.0,1130.3,1259.0,1167.0,1178.0,1215.85,2480908,2927786079.6,1813.55,1052.35,193885,INE437A01024,2020-03-27,1180.13
1022,APOLLOHOSP,EQ,N,1167.0,1080.15,1139.0,1098.25,1090.65,1167.0,1207572,1342042680.4,1813.55,1052.35,128374,INE437A01024,2020-03-30,1111.36
1023,APOLLOHOSP,EQ,N,1155.1,1047.05,1122.0,1139.05,1140.0,1098.25,1882578,2083335604.8,1813.55,1047.05,147751,INE437A01024,2020-03-31,1106.64
1024,APOLLOHOSP,EQ,N,1139.0,1080.05,1136.0,1088.85,1090.0,1139.05,1017298,1124060439.5,1813.55,1047.05,101574,INE437A01024,2020-04-01,1104.95
1025,APOLLOHOSP,EQ,N,1239.45,1088.05,1094.2,1189.55,1195.0,1088.85,2397409,2803663708.85,1813.55,1047.05,128015,INE437A01024,2020-04-03,1169.46
1026,APOLLOHOSP,EQ,N,1278.65,1212.5,1236.0,1225.95,1221.0,1189.55,1473098,1825323925.0,1813.55,1047.05,138401,INE437A01024,2020-04-07,1239.11
1027,APOLLOHOSP,EQ,N,1338.4,1211.0,1225.9,1263.95,1261.0,1225.95,2070270,2654141027.2,1813.55,1047.05,156926,INE437A01024,2020-04-08,1282.03
1028,APOLLOHOSP,EQ,N,1300.0,1256.65,1266.0,1279.85,1281.0,1263.95,1156778,1484014557.75,1813.55,1047.05,87367,INE437A01024,2020-04-09,1282.89
968,APOLLOHOSP,EQ,N,1300.0,1229.8,1300.0,1279.4,1286.05,1279.85,1027810,1293585765.2,1813.55,1047.05,102648,INE437A01024,2020-04-13,1258.58
969,APOLLOHOSP,EQ,N,1414.95,1291.6,1295.0,1360.55,1365.9,1279.4,2274130,3105773406.15,1813.55,1047.05,143349,INE437A01024,2020-04-15,1365.7
970,APOLLOHOSP,EQ,N,1440.0,1334.05,1370.75,1423.45,1437.0,1360.55,1281809,1794957731.0,1813.55,1047.05,123275,INE437A01024,2020-04-16,1400.33
971,APOLLOHOSP,EQ,N,1472.0,1360.0,1450.0,1374.1,1380.0,1423.45,1718048,2395927964.35,1813.55,1047.05,150295,INE437A01024,2020-04-17,1394.56
972,APOLLOHOSP,EQ,N,1465.0,1373.0,1385.0,1450.95,1450.2,1374.1,1860261,2664571078.6,1813.55,1047.05,139692,INE437A01024,2020-04-20,1432.36
973,APOLLOHOSP,EQ,N,1433.05,1330.1,1416.0,1351.15,1350.05,1450.95,1669512,2289120417.05,1813.55,1047.05,150556,INE437A01024,2020-04-21,1371.13
974,APOLLOHOSP,EQ,N,1368.35,1311.4,1351.25,1348.3,1354.45,1351.15,1272573,1706222369.35,1813.55,1047.05,88971,INE437A01024,2020-04-22,1340.77
975,APOLLOHOSP,EQ,N,1416.9,1361.8,1372.0,1384.05,1372.0,1348.3,1301177,1812870606.2,1813.55,1047.05,80919,INE437A01024,2020-04-23,1393.25
976,APOLLOHOSP,EQ,N,1377.5,1341.1,1360.0,1359.5,1360.25,1384.05,756054,1027014826.0,1813.55,1047.05,67556,INE437A01024,2020-04-24,1358.39
977,APOLLOHOSP,EQ,N,1423.35,1370.1,1370.1,1418.9,1420.35,1359.5,1179829,1656981563.7,1813.55,1047.05,99190,INE437A01024,2020-04-27,1404.43
978,APOLLOHOSP,EQ,N,1458.2,1417.05,1429.8,1426.45,1418.75,1418.9,1214114,1748549177.55,1813.55,1047.05,80624,INE437A01024,2020-04-28,1440.19
979,APOLLOHOSP,EQ,N,1428.8,1375.0,1420.0,1417.95,1423.5,1426.45,1010961,1419000745.65,1813.55,1047.05,85616,INE437A01024,2020-04-29,1403.62
980,APOLLOHOSP,EQ,N,1441.9,1387.25,1441.9,1394.35,1395.9,1417.95,731401,1034044652.3,1813.55,1047.05,64951,INE437A01024,2020-04-30,1413.79
981,APOLLOHOSP,EQ,N,1427.15,1355.5,1394.65,1371.75,1371.05,1394.35,1532116,2125758170.9,1813.55,1047.05,90358,INE437A01024,2020-05-04,1387.47
982,APOLLOHOSP,EQ,N,1401.8,1334.45,1399.0,1347.6,1347.5,1371.75,652261,892419776.6,1813.55,1047.05,47140,INE437A01024,2020-05-05,1368.19
983,APOLLOHOSP,EQ,N,1359.0,1261.75,1350.0,1305.75,1302.7,1347.6,1621448,2103264545.0,1813.55,1047.05,110612,INE437A01024,2020-05-06,1297.15
984,APOLLOHOSP,EQ,N,1335.0,1265.5,1293.95,1271.15,1275.05,1305.75,935845,1214995770.15,1813.55,1047.05,57615,INE437A01024,2020-05-07,1298.29
985,APOLLOHOSP,EQ,N,1327.5,1276.2,1280.3,1314.8,1309.0,1271.15,1250587,1638700129.15,1813.55,1047.05,62477,INE437A01024,2020-05-08,1310.34
986,APOLLOHOSP,EQ,N,1341.75,1282.4,1320.0,1304.2,1304.25,1314.8,718005,938938611.7,1813.55,1047.05,60477,INE437A01024,2020-05-11,1307.7
987,APOLLOHOSP,EQ,N,1320.0,1280.95,1296.1,1301.1,1300.55,1304.2,663107,862676870.7,1813.55,1047.05,53350,INE437A01024,2020-05-12,1300.96
988,APOLLOHOSP,EQ,N,1334.0,1258.0,1334.0,1284.55,1283.5,1301.1,1508002,1930144340.85,1813.55,1047.05,117436,INE437A01024,2020-05-13,1279.93
989,APOLLOHOSP,EQ,N,1310.0,1265.8,1289.3,1294.4,1295.0,1284.55,907116,1174810162.55,1813.55,1047.05,66057,INE437A01024,2020-05-14,1295.1
990,APOLLOHOSP,EQ,N,1377.1,1290.15,1299.0,1355.3,1354.55,1294.4,1984100,2667934901.1,1813.55,1047.05,97380,INE437A01024,2020-05-15,1344.66
991,APOLLOHOSP,EQ,N,1364.9,1256.0,1355.0,1266.05,1266.9,1355.3,860702,1123292401.25,1813.55,1047.05,57958,INE437A01024,2020-05-18,1305.09
992,APOLLOHOSP,EQ,N,1302.0,1267.0,1290.0,1274.25,1273.0,1266.05,960164,1234627027.85,1813.55,1047.05,61352,INE437A01024,2020-05-19,1285.85
993,APOLLOHOSP,EQ,N,1298.95,1270.1,1274.9,1288.45,1287.0,1274.25,532117,685872936.95,1813.55,1047.05,35728,INE437A01024,2020-05-20,1288.95
941,APOLLOHOSP,EQ,N,1310.0,1272.2,1292.0,1280.3,1279.8,1288.45,608962,787406611.55,1813.55,1047.05,31693,INE437A01024,2020-05-21,1293.03
942,APOLLOHOSP,EQ,N,1296.0,1252.65,1270.0,1280.0,1280.0,1280.3,775353,988594202.95,1813.55,1047.05,44303,INE437A01024,2020-05-22,1275.02
943,APOLLOHOSP,EQ,N,1338.8,1286.1,1290.0,1321.75,1323.0,1280.0,1145344,1512902034.2,1813.55,1047.05,83039,INE437A01024,2020-05-26,1320.91
944,APOLLOHOSP,EQ,N,1359.5,1318.0,1322.2,1337.6,1334.15,1321.75,1386457,1863950948.0,1813.55,1047.05,74080,INE437A01024,2020-05-27,1344.4
945,APOLLOHOSP,EQ,N,1354.0,1317.0,1340.0,1337.05,1335.0,1337.6,523207,699726692.4,1813.55,1047.05,33939,INE437A01024,2020-05-28,1337.38
946,APOLLOHOSP,EQ,N,1367.6,1314.95,1323.0,1356.95,1355.05,1337.05,870048,1175777044.05,1813.55,1047.05,45721,INE437A01024,2020-05-29,1351.39
947,APOLLOHOSP,EQ,N,1398.0,1357.55,1372.0,1373.3,1374.05,1356.95,868868,1200380536.75,1813.55,1047.05,57225,INE437A01024,2020-06-01,1381.55
948,APOLLOHOSP,EQ,N,1394.85,1350.5,1379.0,1360.65,1362.85,1373.3,608623,831612963.0,1813.55,1047.05,43546,INE437A01024,2020-06-02,1366.38
949,APOLLOHOSP,EQ,N,1407.0,1340.05,1370.0,1349.8,1347.95,1360.65,738651,1018296451.7,1813.55,1047.05,44461,INE437A01024,2020-06-03,1378.59
950,APOLLOHOSP,EQ,N,1367.75,1336.0,1355.0,1364.25,1363.9,1349.8,762916,1030158579.0,1813.55,1047.05,57296,INE437A01024,2020-06-04,1350.29
951,APOLLOHOSP,EQ,N,1380.8,1351.7,1369.6,1359.05,1360.0,1364.25,548934,748952028.85,1813.55,1047.05,39601,INE437A01024,2020-06-05,1364.38
952,APOLLOHOSP,EQ,N,1408.0,1352.05,1368.6,1364.05,1365.95,1359.05,746492,1028937448.9,1813.55,1047.05,42665,INE437A01024,2020-06-08,1378.36
953,APOLLOHOSP,EQ,N,1392.0,1352.7,1369.95,1364.55,1357.0,1364.05,517245,711579173.75,1813.55,1047.05,34335,INE437A01024,2020-06-09,1375.71
954,APOLLOHOSP,EQ,N,1378.4,1332.0,1365.0,1355.65,1360.35,1364.55,710311,957814100.2,1813.55,1047.05,34873,INE437A01024,2020-06-10,1348.44
955,APOLLOHOSP,EQ,N,1391.0,1339.0,1359.0,1347.55,1349.0,1355.65,677212,924459333.75,1813.55,1047.05,41694,INE437A01024,2020-06-11,1365.1
956,APOLLOHOSP,EQ,N,1410.0,1302.2,1305.0,1403.6,1394.9,1347.55,1340070,1853308457.7,1813.55,1047.05,76428,INE437A01024,2020-06-12,1382.99
957,APOLLOHOSP,EQ,N,1429.0,1371.0,1394.8,1410.7,1412.9,1403.6,1375775,1946696619.45,1813.55,1047.05,67290,INE437A01024,2020-06-15,1414.98
958,APOLLOHOSP,EQ,N,1440.0,1355.3,1440.0,1372.75,1368.25,1410.7,1021347,1420931884.8,1813.55,1047.05,58354,INE437A01024,2020-06-16,1391.23
959,APOLLOHOSP,EQ,N,1386.65,1346.65,1375.0,1352.35,1356.75,1372.75,481888,656113007.9,1813.55,1047.05,32739,INE437A01024,2020-06-17,1361.55
960,APOLLOHOSP,EQ,N,1368.5,1336.2,1354.95,1347.45,1350.0,1352.35,591592,796558730.65,1813.55,1047.05,36847,INE437A01024,2020-06-18,1346.47
961,APOLLOHOSP,EQ,N,1384.0,1350.15,1357.0,1370.7,1373.75,1347.45,894818,1224853353.95,1813.55,1047.05,45959,INE437A01024,2020-06-19,1368.83
962,APOLLOHOSP,EQ,N,1408.75,1371.65,1380.0,1398.3,1404.0,1370.7,758535,1056749744.0,1813.55,1047.05,42036,INE437A01024,2020-06-22,1393.15
963,APOLLOHOSP,EQ,N,1422.0,1394.4,1408.0,1416.1,1411.0,1398.3,630605,889279478.7,1813.55,1047.05,40215,INE437A01024,2020-06-23,1410.2
964,APOLLOHOSP,EQ,N,1440.0,1401.0,1424.0,1411.8,1411.9,1416.1,681132,968551164.25,1813.55,1047.05,42905,INE437A01024,2020-06-24,1421.97
965,APOLLOHOSP,EQ,N,1444.0,1405.5,1411.8,1437.5,1441.05,1411.8,872301,1246059802.0,1813.55,1047.05,48629,INE437A01024,2020-06-25,1428.47
966,APOLLOHOSP,EQ,N,1480.0,1376.3,1453.0,1388.15,1395.0,1437.5,3862488,5523527410.8,1813.55,1047.05,192766,INE437A01024,2020-06-26,1430.04
967,APOLLOHOSP,EQ,N,1405.55,1359.25,1381.0,1365.05,1366.9,1388.15,911363,1256119285.65,1813.55,1047.05,52831,INE437A01024,2020-06-29,1378.29
911,APOLLOHOSP,EQ,N,1384.45,1344.0,1377.0,1349.85,1353.9,1365.05,759371,1032633015.6,1813.55,1047.05,45503,INE437A01024,2020-06-30,1359.85
912,APOLLOHOSP,EQ,N,1353.55,1311.0,1350.0,1319.65,1325.0,1349.85,1066672,1410957066.3,1813.55,1047.05,51930,INE437A01024,2020-07-01,1322.77
913,APOLLOHOSP,EQ,N,1367.9,1326.25,1330.0,1362.55,1363.0,1319.65,1095777,1481644321.1,1813.55,1047.05,41222,INE437A01024,2020-07-02,1352.14
914,APOLLOHOSP,EQ,N,1401.0,1366.0,1372.0,1379.8,1375.9,1362.55,1034372,1434081356.85,1813.55,1047.05,45889,INE437A01024,2020-07-03,1386.43
915,APOLLOHOSP,EQ,N,1412.85,1381.6,1384.8,1410.05,1409.0,1379.8,684309,959406024.55,1813.55,1047.05,28567,INE437A01024,2020-07-06,1402.01
916,APOLLOHOSP,EQ,N,1426.0,1395.0,1408.0,1419.25,1415.05,1410.05,750569,1061399785.7,1813.55,1047.05,41106,INE437A01024,2020-07-07,1414.13
917,APOLLOHOSP,EQ,N,1431.0,1387.2,1427.0,1393.85,1395.35,1419.25,931697,1309376655.65,1813.55,1047.05,38796,INE437A01024,2020-07-08,1405.37
918,APOLLOHOSP,EQ,N,1418.0,1390.35,1405.0,1404.0,1403.2,1393.85,534663,750429630.2,1813.55,1047.05,22949,INE437A01024,2020-07-09,1403.56
919,APOLLOHOSP,EQ,N,1439.2,1396.75,1400.0,1402.45,1403.4,1404.0,722285,1024687608.9,1813.55,1047.05,37940,INE437A01024,2020-07-10,1418.67
920,APOLLOHOSP,EQ,N,1442.9,1406.55,1414.95,1431.45,1433.9,1402.45,769109,1098378077.5,1813.55,1047.05,35934,INE437A01024,2020-07-13,1428.12
921,APOLLOHOSP,EQ,N,1455.0,1418.6,1425.95,1441.75,1440.55,1431.45,846731,1220338961.25,1813.55,1047.05,45111,INE437A01024,2020-07-14,1441.24
922,APOLLOHOSP,EQ,N,1469.85,1440.1,1450.1,1465.25,1468.0,1441.75,821199,1198115585.1,1813.55,1047.05,60992,INE437A01024,2020-07-15,1458.98
