,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,ASHOKLEY,EQ,N,74.95,71.05,71.5,73.9,74.75,69.9,39273874,2892237119.1,97.75,56.95,90279,INE208A01029,2020-03-02,73.64
996,ASHOKLEY,EQ,N,77.0,72.65,74.1,75.45,75.75,73.9,23998122,1776313623.25,97.75,56.95,56741,INE208A01029,2020-03-03,74.02
1007,ASHOKLEY,EQ,N,76.25,70.8,76.25,72.45,72.55,75.45,28071315,2054042989.95,97.75,56.95,60806,INE208A01029,2020-03-04,73.17
1008,ASHOKLEY,EQ,N,74.1,70.85,73.05,71.8,71.5,72.45,33516020,2415633446.45,97.75,56.95,57136,INE208A01029,2020-03-05,72.07
1009,ASHOKLEY,EQ,N,71.8,66.2,68.95,71.2,71.45,71.8,21046275,1467658119.4,97.75,56.95,65357,INE208A01029,2020-03-06,69.73
1010,ASHOKLEY,EQ,N,71.35,67.8,68.05,68.85,68.85,71.2,22970214,1589065124.0,97.75,56.95,59975,INE208A01029,2020-03-09,69.18
1011,ASHOKLEY,EQ,N,70.1,67.95,69.2,68.55,68.3,68.85,22237389,1534595400.85,97.75,56.95,52442,INE208A01029,2020-03-11,69.01
1012,ASHOKLEY,EQ,N,65.35,60.55,65.0,63.3,63.15,68.55,29551162,1843534743.8,97.75,56.95,78136,INE208A01029,2020-03-12,62.38
1013,ASHOKLEY,EQ,N,68.5,52.0,57.0,66.7,66.75,63.3,28001373,1772593371.35,97.75,52.0,100623,INE208A01029,2020-03-13,63.3
1014,ASHOKLEY,EQ,N,66.0,62.0,62.2,63.35,63.1,66.7,17219357,1109909295.55,97.75,52.0,46720,INE208A01029,2020-03-16,64.46
1015,ASHOKLEY,EQ,N,66.05,61.9,63.5,64.15,64.45,63.35,19650737,1263828087.55,97.75,52.0,49991,INE208A01029,2020-03-17,64.31
1016,ASHOKLEY,EQ,N,65.9,63.0,65.4,64.25,64.3,64.15,18056166,1159342320.2,97.75,52.0,47467,INE208A01029,2020-03-18,64.21
1017,ASHOKLEY,EQ,N,57.4,47.1,57.4,48.05,47.5,64.25,83216053,4314070800.25,97.75,47.1,279062,INE208A01029,2020-03-19,51.84
1018,ASHOKLEY,EQ,N,49.4,41.1,49.2,43.95,44.1,48.05,96051793,4205633941.55,97.75,41.1,240296,INE208A01029,2020-03-20,43.79
1019,ASHOKLEY,EQ,N,42.65,34.0,40.0,36.05,35.75,43.95,62114017,2351783322.0,97.75,34.0,170432,INE208A01029,2020-03-23,37.86
1020,ASHOKLEY,EQ,N,41.45,35.15,35.75,35.55,35.55,36.05,58888804,2246699473.4,97.75,34.0,146547,INE208A01029,2020-03-24,38.15
1021,ASHOKLEY,EQ,N,36.5,33.7,35.75,34.45,34.4,35.55,57155881,1973129664.85,97.75,33.7,118243,INE208A01029,2020-03-25,34.52
1022,ASHOKLEY,EQ,N,44.5,33.8,35.45,42.85,44.3,34.45,100752335,3956670146.75,97.75,33.7,232867,INE208A01029,2020-03-26,39.27
1023,ASHOKLEY,EQ,N,51.35,41.5,46.5,43.3,43.35,42.85,80012374,3614311699.4,97.75,33.7,209839,INE208A01029,2020-03-27,45.17
1024,ASHOKLEY,EQ,N,43.2,40.6,41.25,42.35,42.7,43.3,31797262,1340680496.75,97.75,33.7,81956,INE208A01029,2020-03-30,42.16
1025,ASHOKLEY,EQ,N,44.65,41.65,44.55,43.05,42.95,42.35,32635045,1396745850.55,97.75,33.7,88961,INE208A01029,2020-03-31,42.8
1026,ASHOKLEY,EQ,N,44.2,40.1,43.05,41.1,41.2,43.05,37101228,1558133427.15,97.75,33.7,100300,INE208A01029,2020-04-01,42.0
1027,ASHOKLEY,EQ,N,41.15,38.0,41.1,38.15,38.3,41.1,37556156,1449825811.0,97.75,33.7,158009,INE208A01029,2020-04-03,38.6
1028,ASHOKLEY,EQ,N,40.75,37.3,40.0,39.85,40.1,38.15,49169997,1919385492.1,97.75,33.7,109486,INE208A01029,2020-04-07,39.04
1029,ASHOKLEY,EQ,N,47.8,38.75,39.85,43.85,43.6,39.85,76817768,3355417805.9,97.75,33.7,169889,INE208A01029,2020-04-08,43.68
1030,ASHOKLEY,EQ,N,46.0,44.05,45.0,45.65,45.7,43.85,39546931,1787626142.9,97.75,33.7,92360,INE208A01029,2020-04-09,45.2
968,ASHOKLEY,EQ,N,47.1,44.5,45.7,46.05,46.15,45.65,41848831,1913744945.25,97.75,33.7,91030,INE208A01029,2020-04-13,45.73
969,ASHOKLEY,EQ,N,51.3,46.3,46.5,46.7,46.6,46.05,60309614,2934593848.2,97.75,33.7,149971,INE208A01029,2020-04-15,48.66
970,ASHOKLEY,EQ,N,47.85,45.55,46.15,46.95,47.1,46.7,29831697,1400020770.4,97.75,33.7,75189,INE208A01029,2020-04-16,46.93
971,ASHOKLEY,EQ,N,49.5,47.7,49.4,48.9,48.9,46.95,27585071,1338217999.1,97.75,33.7,67855,INE208A01029,2020-04-17,48.51
972,ASHOKLEY,EQ,N,49.9,47.45,49.45,47.9,47.65,48.9,38050519,1850429491.45,95.85,33.7,85047,INE208A01029,2020-04-20,48.63
973,ASHOKLEY,EQ,N,46.15,43.9,45.15,44.1,44.25,47.9,23738147,1064813711.95,95.85,33.7,81945,INE208A01029,2020-04-21,44.86
974,ASHOKLEY,EQ,N,45.35,43.5,44.1,44.95,45.2,44.1,24753678,1101627743.3,95.85,33.7,63138,INE208A01029,2020-04-22,44.5
975,ASHOKLEY,EQ,N,47.2,45.65,45.95,46.7,46.65,44.95,18761524,873905810.85,95.85,33.7,52989,INE208A01029,2020-04-23,46.58
976,ASHOKLEY,EQ,N,46.3,44.6,46.0,44.95,44.95,46.7,15044215,685090242.85,95.85,33.7,42990,INE208A01029,2020-04-24,45.54
977,ASHOKLEY,EQ,N,46.2,43.9,45.7,44.3,44.55,44.95,20228019,905553275.4,95.0,33.7,51916,INE208A01029,2020-04-27,44.77
978,ASHOKLEY,EQ,N,45.5,43.75,45.2,44.55,44.75,44.3,18534578,822287793.2,95.0,33.7,49035,INE208A01029,2020-04-28,44.37
979,ASHOKLEY,EQ,N,48.75,44.55,45.15,47.95,47.75,44.55,42144760,1992181212.7,95.0,33.7,98701,INE208A01029,2020-04-29,47.27
980,ASHOKLEY,EQ,N,53.2,49.1,49.1,52.35,52.3,47.95,56360008,2930124111.15,95.0,33.7,200831,INE208A01029,2020-04-30,51.99
981,ASHOKLEY,EQ,N,51.45,48.25,50.05,49.3,49.3,52.35,32887633,1624743680.5,95.0,33.7,86462,INE208A01029,2020-05-04,49.4
982,ASHOKLEY,EQ,N,50.85,47.9,49.7,48.35,48.5,49.3,41056572,2006825284.05,95.0,33.7,66429,INE208A01029,2020-05-05,48.88
983,ASHOKLEY,EQ,N,49.45,47.2,48.5,47.6,47.45,48.35,28841589,1393144117.4,95.0,33.7,51707,INE208A01029,2020-05-06,48.3
984,ASHOKLEY,EQ,N,48.95,45.8,47.4,46.1,46.4,47.6,21404285,1015494850.95,95.0,33.7,64143,INE208A01029,2020-05-07,47.44
985,ASHOKLEY,EQ,N,49.25,46.1,47.4,47.05,46.85,46.1,30912958,1470498982.8,95.0,33.7,79127,INE208A01029,2020-05-08,47.57
986,ASHOKLEY,EQ,N,49.4,46.55,47.55,48.75,48.8,47.05,52622414,2530241041.15,95.0,33.7,102666,INE208A01029,2020-05-11,48.08
987,ASHOKLEY,EQ,N,49.1,46.65,48.7,48.6,48.8,48.75,24434204,1169147892.75,95.0,33.7,60475,INE208A01029,2020-05-12,47.85
988,ASHOKLEY,EQ,N,52.0,48.15,52.0,48.75,49.05,48.6,48002442,2376718872.8,95.0,33.7,118134,INE208A01029,2020-05-13,49.51
989,ASHOKLEY,EQ,N,49.6,47.4,48.0,49.3,49.25,48.75,24671385,1206852734.9,95.0,33.7,60556,INE208A01029,2020-05-14,48.92
990,ASHOKLEY,EQ,N,49.4,46.9,49.3,47.15,47.25,49.3,30013736,1423990132.95,95.0,33.7,86594,INE208A01029,2020-05-15,47.44
991,ASHOKLEY,EQ,N,47.3,42.5,47.2,43.85,44.1,47.15,42861644,1886302382.9,95.0,33.7,121944,INE208A01029,2020-05-18,44.01
992,ASHOKLEY,EQ,N,45.25,42.85,44.3,43.05,43.25,43.85,26933091,1187190430.15,95.0,33.7,67696,INE208A01029,2020-05-19,44.08
993,ASHOKLEY,EQ,N,43.55,42.35,43.05,43.35,43.35,43.05,26023211,1118632717.0,95.0,33.7,62883,INE208A01029,2020-05-20,42.99
941,ASHOKLEY,EQ,N,46.5,43.05,43.35,46.1,46.1,43.35,42518992,1926221847.7,95.0,33.7,90616,INE208A01029,2020-05-21,45.3
942,ASHOKLEY,EQ,N,45.8,43.4,45.65,43.6,43.75,46.1,29579130,1313538461.25,95.0,33.7,85671,INE208A01029,2020-05-22,44.41
943,ASHOKLEY,EQ,N,44.55,43.1,44.0,43.55,43.75,43.6,25975801,1131052732.15,93.85,33.7,68971,INE208A01029,2020-05-26,43.54
