,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,ASIANPAINT,EQ,N,1837.45,1769.25,1815.1,1786.8,1785.1,1797.95,1219296,2211444937.2,1916.7,1291.25,61230,INE021A01026,2020-03-02,1813.71
996,ASIANPAINT,EQ,N,1818.0,1767.0,1780.05,1800.55,1804.05,1786.8,1392463,2504502817.65,1916.7,1291.25,64533,INE021A01026,2020-03-03,1798.61
1001,ASIANPAINT,EQ,N,1857.45,1804.05,1804.05,1847.95,1840.0,1800.55,3050469,5618222983.85,1916.7,1291.25,177363,INE021A01026,2020-03-04,1841.76
1006,ASIANPAINT,EQ,N,1882.0,1852.1,1854.0,1874.45,1877.0,1847.95,2062439,3859666392.8,1916.7,1291.25,74924,INE021A01026,2020-03-05,1871.41
1007,ASIANPAINT,EQ,N,1884.4,1835.0,1840.0,1877.45,1882.0,1874.45,1393659,2603485184.4,1916.7,1291.25,69406,INE021A01026,2020-03-06,1868.09
1008,ASIANPAINT,EQ,N,1915.9,1848.0,1888.0,1867.15,1864.0,1877.45,3420762,6406788079.45,1916.7,1291.25,129045,INE021A01026,2020-03-09,1872.91
1009,ASIANPAINT,EQ,N,1905.0,1851.5,1874.95,1882.85,1882.9,1867.15,3194206,6001364037.2,1916.7,1291.25,176355,INE021A01026,2020-03-11,1878.83
1010,ASIANPAINT,EQ,N,1874.8,1815.0,1864.95,1843.35,1852.95,1882.85,6254349,11521562913.2,1916.7,1291.25,258794,INE021A01026,2020-03-12,1842.17
1011,ASIANPAINT,EQ,N,1843.75,1669.85,1785.0,1797.7,1797.75,1843.35,3878660,6889832169.5,1916.7,1291.25,181105,INE021A01026,2020-03-13,1776.34
1012,ASIANPAINT,EQ,N,1777.0,1678.15,1777.0,1683.4,1683.45,1797.7,2867373,4945148921.9,1916.7,1291.25,136830,INE021A01026,2020-03-16,1724.63
1013,ASIANPAINT,EQ,N,1779.8,1670.0,1699.0,1731.6,1720.0,1683.4,2643191,4600229501.4,1916.7,1291.25,121360,INE021A01026,2020-03-17,1740.41
1014,ASIANPAINT,EQ,N,1758.55,1608.0,1732.0,1618.2,1620.0,1731.6,3677445,6084935234.95,1916.7,1291.25,163026,INE021A01026,2020-03-18,1654.66
1015,ASIANPAINT,EQ,N,1653.95,1431.2,1540.0,1601.2,1603.0,1618.2,4906647,7534853574.4,1916.7,1291.25,215886,INE021A01026,2020-03-19,1535.64
1016,ASIANPAINT,EQ,N,1757.4,1570.55,1610.0,1742.95,1737.3,1601.2,3128644,5256665627.6,1916.7,1291.25,139102,INE021A01026,2020-03-20,1680.17
1017,ASIANPAINT,EQ,N,1650.0,1490.75,1578.6,1498.45,1499.95,1742.95,2155326,3346053532.55,1916.7,1291.25,148588,INE021A01026,2020-03-23,1552.46
1018,ASIANPAINT,EQ,N,1598.0,1453.25,1556.55,1524.85,1536.0,1498.45,3911847,6008584206.75,1916.7,1291.25,206985,INE021A01026,2020-03-24,1536.0
1019,ASIANPAINT,EQ,N,1605.35,1446.0,1446.55,1593.15,1580.05,1524.85,2196424,3386991100.45,1916.7,1291.25,126127,INE021A01026,2020-03-25,1542.05
1020,ASIANPAINT,EQ,N,1650.0,1574.0,1605.0,1616.95,1617.05,1593.15,2622119,4225192939.45,1916.7,1291.25,116060,INE021A01026,2020-03-26,1611.37
1021,ASIANPAINT,EQ,N,1665.25,1550.2,1664.8,1604.15,1618.0,1616.95,2102479,3373172975.1,1916.7,1291.25,109022,INE021A01026,2020-03-27,1604.38
1022,ASIANPAINT,EQ,N,1619.5,1559.05,1591.15,1594.95,1596.0,1604.15,1844011,2944229357.75,1916.7,1291.25,95707,INE021A01026,2020-03-30,1596.64
1023,ASIANPAINT,EQ,N,1690.0,1601.8,1625.0,1666.5,1656.0,1594.95,2789179,4637008477.4,1916.7,1291.25,133986,INE021A01026,2020-03-31,1662.5
1024,ASIANPAINT,EQ,N,1655.0,1584.25,1650.05,1603.2,1604.8,1666.5,1559456,2513258286.8,1916.7,1291.25,106082,INE021A01026,2020-04-01,1611.63
1025,ASIANPAINT,EQ,N,1616.0,1517.25,1615.1,1520.9,1522.0,1603.2,2925847,4494204301.45,1916.7,1291.25,134230,INE021A01026,2020-04-03,1536.04
1026,ASIANPAINT,EQ,N,1635.0,1538.0,1540.0,1623.8,1625.2,1520.9,2733614,4367787113.1,1916.7,1291.25,123428,INE021A01026,2020-04-07,1597.81
