,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
811,ADANIGAS,EQ,N,146.4,130.55,140.3,133.7,134.0,134.05,5583534,777532456.5,194.5,100.6,43518,INE399L01023,2020-03-02,139.25
813,ADANIGAS,EQ,N,139.0,130.8,136.1,134.25,134.3,133.7,3640772,490520418.05,194.5,100.6,31712,INE399L01023,2020-03-03,134.73
817,ADANIGAS,EQ,N,134.85,126.35,134.25,130.4,130.0,134.25,2325074,302174579.9,194.5,100.6,24164,INE399L01023,2020-03-04,129.96
823,ADANIGAS,EQ,N,135.6,127.0,131.0,131.3,131.55,130.4,2696074,355281080.35,194.5,100.6,23996,INE399L01023,2020-03-05,131.78
824,ADANIGAS,EQ,N,128.75,121.0,124.0,127.2,127.0,131.3,1709004,215279329.7,194.5,100.6,17109,INE399L01023,2020-03-06,125.97
825,ADANIGAS,EQ,N,123.85,115.5,120.85,120.2,119.4,127.2,2394235,288941401.35,194.5,113.05,20239,INE399L01023,2020-03-09,120.68
826,ADANIGAS,EQ,N,126.0,118.2,120.0,119.8,119.3,120.2,1818434,220970385.15,194.5,113.05,17837,INE399L01023,2020-03-11,121.52
827,ADANIGAS,EQ,N,113.7,95.85,110.0,98.95,99.3,119.8,5119104,518730474.4,194.5,95.85,44185,INE399L01023,2020-03-12,101.33
828,ADANIGAS,EQ,N,108.7,84.55,86.5,105.75,106.8,98.95,4102337,408130704.7,194.5,84.55,32460,INE399L01023,2020-03-13,99.49
829,ADANIGAS,EQ,N,117.0,97.8,99.3,103.7,102.95,105.75,3575009,386163339.35,194.5,84.55,39702,INE399L01023,2020-03-16,108.02
830,ADANIGAS,EQ,N,111.5,102.0,103.85,107.55,107.9,103.7,2546345,275365842.9,194.5,84.55,22636,INE399L01023,2020-03-17,108.14
831,ADANIGAS,EQ,N,112.7,99.4,109.7,103.65,103.75,107.55,1540671,162002739.8,194.5,84.55,15716,INE399L01023,2020-03-18,105.15
832,ADANIGAS,EQ,N,103.4,95.65,99.7,98.85,98.5,103.65,1739558,175555344.9,194.5,84.55,21347,INE399L01023,2020-03-19,100.92
833,ADANIGAS,EQ,N,103.1,96.0,100.1,99.1,100.0,98.85,1538995,154377111.0,194.5,84.55,16614,INE399L01023,2020-03-20,100.31
834,ADANIGAS,EQ,N,94.9,89.2,89.2,89.2,89.2,99.1,512757,46289092.8,194.5,84.55,6382,INE399L01023,2020-03-23,90.27
835,ADANIGAS,EQ,N,93.05,80.3,91.0,81.75,82.3,89.2,1359289,113206738.55,194.5,80.3,17453,INE399L01023,2020-03-24,83.28
836,ADANIGAS,EQ,N,86.4,76.6,80.0,84.15,83.05,81.75,1243198,101311906.05,194.5,76.6,12340,INE399L01023,2020-03-25,81.49
837,ADANIGAS,EQ,N,92.25,82.4,84.25,90.65,91.0,84.15,2221997,196159269.55,194.5,76.6,18356,INE399L01023,2020-03-26,88.28
838,ADANIGAS,EQ,N,95.75,87.3,95.25,88.5,88.0,90.65,1294549,118496626.15,194.5,76.6,12656,INE399L01023,2020-03-27,91.54
839,ADANIGAS,EQ,N,86.75,82.8,86.75,83.7,83.4,88.5,745086,62928560.35,194.5,76.6,7779,INE399L01023,2020-03-30,84.46
840,ADANIGAS,EQ,N,89.0,84.65,84.65,86.35,86.0,83.7,844667,73072484.55,194.5,76.6,7879,INE399L01023,2020-03-31,86.51
841,ADANIGAS,EQ,N,91.2,85.0,86.9,89.0,88.85,86.35,922474,81848639.2,194.5,76.6,9253,INE399L01023,2020-04-01,88.73
842,ADANIGAS,EQ,N,92.0,88.95,89.9,90.35,90.8,89.0,894968,81320353.6,194.5,76.6,10543,INE399L01023,2020-04-03,90.86
843,ADANIGAS,EQ,N,95.65,91.6,93.85,94.0,93.75,90.35,1154236,108004276.3,194.5,76.6,9534,INE399L01023,2020-04-07,93.57
844,ADANIGAS,EQ,N,96.35,90.5,93.9,90.8,90.65,94.0,1888606,176837924.4,194.5,76.6,14517,INE399L01023,2020-04-08,93.63
