,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,AUROPHARMA,EQ,N,519.45,490.0,512.5,494.65,494.6,505.5,2594821,1324717111.65,838.0,389.35,46123,INE406A01037,2020-03-02,510.52
996,AUROPHARMA,EQ,N,515.4,498.25,498.65,511.3,512.0,494.65,3012316,1525835177.4,838.0,389.35,48668,INE406A01037,2020-03-03,506.53
1001,AUROPHARMA,EQ,N,529.2,506.4,515.9,520.9,521.95,511.3,5585674,2896441976.7,838.0,389.35,75585,INE406A01037,2020-03-04,518.55
1007,AUROPHARMA,EQ,N,534.3,521.35,526.8,526.9,529.0,520.9,2952730,1556838011.15,838.0,389.35,39899,INE406A01037,2020-03-05,527.25
1008,AUROPHARMA,EQ,N,518.5,502.0,502.0,510.3,509.2,526.9,2163964,1110907435.4,838.0,389.35,34806,INE406A01037,2020-03-06,513.37
1009,AUROPHARMA,EQ,N,506.0,465.6,503.0,471.3,470.1,510.3,3808723,1847088112.9,838.0,389.35,61823,INE406A01037,2020-03-09,484.96
1010,AUROPHARMA,EQ,N,475.0,444.25,459.5,450.15,446.0,471.3,5215927,2374219998.5,838.0,389.35,92796,INE406A01037,2020-03-11,455.19
1011,AUROPHARMA,EQ,N,439.8,371.0,439.8,374.5,375.0,450.15,6593813,2598659500.85,838.0,371.0,96113,INE406A01037,2020-03-12,394.11
1012,AUROPHARMA,EQ,N,448.7,340.0,340.1,415.2,415.75,374.5,7720464,3170869012.25,838.0,340.0,150689,INE406A01037,2020-03-13,410.71
1013,AUROPHARMA,EQ,N,441.0,399.5,400.0,404.9,406.0,415.2,6253950,2620103199.1,838.0,340.0,94301,INE406A01037,2020-03-16,418.95
1014,AUROPHARMA,EQ,N,444.9,406.0,414.6,413.2,420.0,404.9,6542336,2819163010.9,838.0,340.0,96248,INE406A01037,2020-03-17,430.91
1015,AUROPHARMA,EQ,N,435.0,351.25,425.0,363.65,356.0,413.2,9643401,3838881458.55,838.0,340.0,115259,INE406A01037,2020-03-18,398.08
1016,AUROPHARMA,EQ,N,362.95,341.4,360.0,346.0,345.8,363.65,6339469,2244501166.6,838.0,340.0,85958,INE406A01037,2020-03-19,354.05
1017,AUROPHARMA,EQ,N,372.2,341.0,364.0,346.7,350.1,346.0,8510015,3009456646.95,838.0,340.0,97669,INE406A01037,2020-03-20,353.64
1018,AUROPHARMA,EQ,N,339.35,288.85,329.4,294.7,296.0,346.7,3774086,1186095330.9,838.0,288.85,69912,INE406A01037,2020-03-23,314.27
1019,AUROPHARMA,EQ,N,350.0,297.1,320.0,326.15,326.55,294.7,6817329,2198992116.45,838.0,288.85,123105,INE406A01037,2020-03-24,322.56
1020,AUROPHARMA,EQ,N,342.0,316.0,316.0,333.65,334.0,326.15,2925843,974086408.55,838.0,288.85,58545,INE406A01037,2020-03-25,332.93
1021,AUROPHARMA,EQ,N,365.0,339.0,346.9,361.4,360.0,333.65,4438657,1578508889.05,838.0,288.85,89046,INE406A01037,2020-03-26,355.63
1022,AUROPHARMA,EQ,N,407.05,378.35,388.0,392.25,394.15,361.4,6782942,2645110099.2,838.0,288.85,106016,INE406A01037,2020-03-27,389.97
1023,AUROPHARMA,EQ,N,405.65,378.6,388.0,389.5,389.2,392.25,4522323,1785345616.15,838.0,288.85,76513,INE406A01037,2020-03-30,394.79
1024,AUROPHARMA,EQ,N,415.0,398.0,409.9,413.15,414.0,389.5,3736179,1517123397.25,838.0,288.85,62064,INE406A01037,2020-03-31,406.06
1025,AUROPHARMA,EQ,N,416.15,384.45,415.0,392.3,392.35,413.15,3433906,1356873790.65,838.0,288.85,58915,INE406A01037,2020-04-01,395.14
1026,AUROPHARMA,EQ,N,411.95,333.5,353.1,382.4,381.0,392.3,17168599,6643467188.7,838.0,288.85,272142,INE406A01037,2020-04-03,386.95
1027,AUROPHARMA,EQ,N,455.35,393.45,400.0,445.7,448.0,382.4,10290834,4357175263.8,838.0,288.85,147128,INE406A01037,2020-04-07,423.4
1028,AUROPHARMA,EQ,N,476.3,426.3,432.5,438.15,438.9,445.7,13186213,5925576014.9,838.0,288.85,205238,INE406A01037,2020-04-08,449.38
1029,AUROPHARMA,EQ,N,475.95,446.0,455.0,460.2,461.9,438.15,10726722,4954451351.05,838.0,288.85,161809,INE406A01037,2020-04-09,461.88
968,AUROPHARMA,EQ,N,529.05,463.5,466.0,503.2,507.25,460.2,13848180,6831370789.45,838.0,288.85,205368,INE406A01037,2020-04-13,493.3
969,AUROPHARMA,EQ,N,537.5,496.75,522.0,514.7,519.45,503.2,12644934,6601364230.8,838.0,288.85,216438,INE406A01037,2020-04-15,522.06
970,AUROPHARMA,EQ,N,549.0,511.0,518.5,544.65,548.5,514.7,9906385,5287731536.1,838.0,288.85,166039,INE406A01037,2020-04-16,533.77
971,AUROPHARMA,EQ,N,568.15,531.6,560.0,542.7,543.8,544.65,8110232,4420202307.85,838.0,288.85,122244,INE406A01037,2020-04-17,545.02
972,AUROPHARMA,EQ,N,553.5,526.75,544.25,540.95,542.4,542.7,7893459,4255221874.3,838.0,288.85,92085,INE406A01037,2020-04-20,539.08
973,AUROPHARMA,EQ,N,649.1,525.5,531.0,644.4,649.1,540.95,37163180,23105388234.6,838.0,288.85,521791,INE406A01037,2020-04-21,621.73
974,AUROPHARMA,EQ,N,684.05,631.25,650.0,642.25,641.9,644.4,31134209,20483600646.85,838.0,288.85,472514,INE406A01037,2020-04-22,657.91
975,AUROPHARMA,EQ,N,664.45,623.7,645.35,629.05,629.05,642.25,14403671,9246005487.0,838.0,288.85,227112,INE406A01037,2020-04-23,641.92
976,AUROPHARMA,EQ,N,654.5,618.5,629.05,624.45,627.5,629.05,12438408,7910644503.25,838.0,288.85,222905,INE406A01037,2020-04-24,635.99
977,AUROPHARMA,EQ,N,642.95,622.0,630.0,633.8,631.0,624.45,7395523,4683043467.65,838.0,288.85,119999,INE406A01037,2020-04-27,633.23
978,AUROPHARMA,EQ,N,642.95,616.15,638.9,619.95,619.4,633.8,5778269,3603609718.85,838.0,288.85,97558,INE406A01037,2020-04-28,623.65
979,AUROPHARMA,EQ,N,631.85,612.8,622.4,625.35,624.0,619.95,5935761,3698892858.55,838.0,288.85,97514,INE406A01037,2020-04-29,623.15
980,AUROPHARMA,EQ,N,641.0,609.05,633.05,625.85,625.8,625.35,6391548,3981679727.45,838.0,288.85,101468,INE406A01037,2020-04-30,622.96
981,AUROPHARMA,EQ,N,681.6,603.0,611.0,653.3,653.6,625.85,16904893,11034578210.85,789.65,288.85,293645,INE406A01037,2020-05-04,652.74
982,AUROPHARMA,EQ,N,668.45,627.55,663.95,631.6,635.0,653.3,6453306,4196900858.65,789.65,288.85,111062,INE406A01037,2020-05-05,650.35
983,AUROPHARMA,EQ,N,667.8,626.55,633.7,661.85,658.35,631.6,9906148,6391425846.1,789.65,288.85,169067,INE406A01037,2020-05-06,645.2
984,AUROPHARMA,EQ,N,671.9,646.0,657.95,648.55,649.0,661.85,6622327,4368145801.1,789.65,288.85,120410,INE406A01037,2020-05-07,659.61
985,AUROPHARMA,EQ,N,664.4,639.6,658.95,652.65,652.5,648.55,4931319,3220237770.85,789.65,288.85,83571,INE406A01037,2020-05-08,653.02
986,AUROPHARMA,EQ,N,673.5,647.25,651.0,664.5,664.5,652.65,6407293,4251570865.2,747.15,288.85,120236,INE406A01037,2020-05-11,663.55
987,AUROPHARMA,EQ,N,695.0,659.0,663.95,690.9,690.55,664.5,10921194,7419678738.05,747.15,288.85,181981,INE406A01037,2020-05-12,679.38
988,AUROPHARMA,EQ,N,701.0,668.45,700.0,675.9,676.0,690.9,6084261,4130717855.7,747.15,288.85,110916,INE406A01037,2020-05-13,678.92
989,AUROPHARMA,EQ,N,681.9,655.35,675.0,665.6,664.15,675.9,6900202,4632672630.85,747.15,288.85,111374,INE406A01037,2020-05-14,671.38
990,AUROPHARMA,EQ,N,675.3,657.3,664.8,664.95,664.55,665.6,4186937,2787129665.9,747.15,288.85,67872,INE406A01037,2020-05-15,665.67
991,AUROPHARMA,EQ,N,682.45,654.6,665.0,669.8,669.0,664.95,5621992,3764341492.0,702.0,288.85,91935,INE406A01037,2020-05-18,669.57
992,AUROPHARMA,EQ,N,679.8,655.7,673.95,662.4,662.1,669.8,4452884,2967420795.05,702.0,288.85,76972,INE406A01037,2020-05-19,666.4
993,AUROPHARMA,EQ,N,712.0,658.1,663.0,707.6,707.2,662.4,8783424,6047898077.2,712.0,288.85,156606,INE406A01037,2020-05-20,688.56
941,AUROPHARMA,EQ,N,727.45,700.6,705.8,724.35,724.0,707.6,8264221,5900582704.3,727.45,288.85,142565,INE406A01037,2020-05-21,713.99
942,AUROPHARMA,EQ,N,733.7,710.05,720.0,730.9,727.95,724.35,5086125,3682517722.55,733.7,288.85,90874,INE406A01037,2020-05-22,724.03
943,AUROPHARMA,EQ,N,734.8,709.15,725.0,714.95,717.0,730.9,3723219,2695459999.15,734.8,288.85,69766,INE406A01037,2020-05-26,723.96
944,AUROPHARMA,EQ,N,722.4,703.1,719.8,713.4,714.0,714.95,3656794,2605518533.05,734.8,288.85,72595,INE406A01037,2020-05-27,712.51
945,AUROPHARMA,EQ,N,722.35,706.3,715.0,713.95,714.0,713.4,3148389,2249556517.65,734.8,288.85,54710,INE406A01037,2020-05-28,714.51
946,AUROPHARMA,EQ,N,750.35,711.2,715.9,745.65,735.0,713.95,8501395,6269839428.7,750.35,288.85,144166,INE406A01037,2020-05-29,737.51
947,AUROPHARMA,EQ,N,746.45,722.0,744.0,725.65,726.95,745.65,4429287,3238201626.5,750.35,288.85,90588,INE406A01037,2020-06-01,731.09
948,AUROPHARMA,EQ,N,757.7,725.35,729.0,733.2,735.0,725.65,6278600,4636346033.15,757.7,288.85,116678,INE406A01037,2020-06-02,738.44
949,AUROPHARMA,EQ,N,758.7,735.15,736.0,750.4,754.9,733.2,5746017,4299204577.85,758.7,288.85,108032,INE406A01037,2020-06-03,748.21
950,AUROPHARMA,EQ,N,791.0,753.55,774.0,759.45,761.75,750.4,18788170,14470465503.3,791.0,288.85,291079,INE406A01037,2020-06-04,770.19
951,AUROPHARMA,EQ,N,775.6,740.05,765.0,744.0,744.8,759.45,5602900,4244914522.4,791.0,288.85,106546,INE406A01037,2020-06-05,757.63
