,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
444,AWL,EQ,N,271.25,227.0,227.0,268.25,267.35,230.0,135533461,33969294098.3,271.25,227.0,999545,INE699H01024,2022-02-08,250.63
445,AWL,EQ,N,321.9,272.0,273.65,321.9,321.9,268.25,70655011,21339800306.6,321.9,227.0,679615,INE699H01024,2022-02-09,302.03
446,AWL,EQ,N,386.25,345.0,356.7,386.25,386.25,321.9,56509643,20995663814.0,386.25,227.0,652171,INE699H01024,2022-02-10,371.54
447,AWL,EQ,N,419.9,351.25,408.7,381.0,379.5,386.25,88580117,34756977051.25,419.9,227.0,1323583,INE699H01024,2022-02-11,392.38
448,AWL,EQ,N,398.9,352.1,364.2,376.3,375.3,381.0,43047644,16416700732.4,419.9,227.0,593400,INE699H01024,2022-02-14,381.36
449,AWL,EQ,N,405.0,378.8,394.7,383.85,384.1,376.3,17777133,6897021085.75,419.9,227.0,248768,INE699H01024,2022-02-15,387.97
450,AWL,EQ,N,392.95,375.2,390.0,377.05,376.7,383.85,11831948,4520761490.55,419.9,227.0,174654,INE699H01024,2022-02-16,382.08
451,AWL,EQ,N,382.9,356.35,382.0,359.8,360.0,377.05,10520787,3867386122.5,419.9,227.0,198630,INE699H01024,2022-02-17,367.59
452,AWL,EQ,N,370.0,351.15,352.6,354.3,354.5,359.8,10072444,3632624482.5,419.9,227.0,176590,INE699H01024,2022-02-18,360.65
417,AWL,EQ,N,356.6,325.2,351.9,327.6,326.2,354.3,14932711,5032669113.95,419.9,227.0,234568,INE699H01024,2022-02-21,337.02
