,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,AXISBANK,EQ,N,713.25,675.3,709.3,684.2,687.0,697.3,13854352,9642189508.35,827.75,622.65,177926,INE238A01034,2020-03-02,695.97
996,AXISBANK,EQ,N,695.8,675.0,689.9,687.15,689.8,684.2,11198145,7678190334.2,827.75,622.65,161760,INE238A01034,2020-03-03,685.67
1003,AXISBANK,EQ,N,696.0,668.3,690.0,682.2,681.0,687.15,14802724,10101385709.45,827.75,622.65,229199,INE238A01034,2020-03-04,682.4
1007,AXISBANK,EQ,N,694.0,675.25,686.5,677.9,677.75,682.2,10508008,7200857697.9,827.75,622.65,145360,INE238A01034,2020-03-05,685.27
1008,AXISBANK,EQ,N,660.8,641.05,650.0,657.65,658.2,677.9,12969235,8474220113.4,827.75,622.65,220341,INE238A01034,2020-03-06,653.41
1009,AXISBANK,EQ,N,641.85,615.1,639.0,623.55,623.6,657.65,14336439,9023367392.45,827.75,615.1,182268,INE238A01034,2020-03-09,629.4
1010,AXISBANK,EQ,N,634.4,612.1,613.65,619.35,620.0,623.55,11021533,6867366597.95,827.75,612.1,171462,INE238A01034,2020-03-11,623.09
1011,AXISBANK,EQ,N,594.0,528.15,592.0,543.25,545.1,619.35,29369628,16354352649.6,827.75,528.15,265199,INE238A01034,2020-03-12,556.85
1012,AXISBANK,EQ,N,585.65,451.1,516.95,568.8,578.5,543.25,25599380,13874621209.9,827.75,451.1,305539,INE238A01034,2020-03-13,541.99
1013,AXISBANK,EQ,N,545.0,502.35,542.35,508.6,510.9,568.8,21543626,11241882827.8,827.75,451.1,329445,INE238A01034,2020-03-16,521.82
1014,AXISBANK,EQ,N,531.3,477.45,515.15,488.35,485.65,508.6,20594426,10542219836.05,827.75,451.1,251239,INE238A01034,2020-03-17,511.9
1015,AXISBANK,EQ,N,506.05,392.1,490.0,473.45,484.15,488.35,36268578,16553976055.75,827.75,392.1,495613,INE238A01034,2020-03-18,456.43
1016,AXISBANK,EQ,N,464.95,423.75,441.05,428.25,428.0,473.45,33244422,14649492449.15,827.75,392.1,397399,INE238A01034,2020-03-19,440.66
1017,AXISBANK,EQ,N,449.7,414.2,431.4,428.15,425.0,428.25,30764380,13225993441.75,827.75,392.1,389335,INE238A01034,2020-03-20,429.91
1018,AXISBANK,EQ,N,392.0,302.0,385.35,308.65,310.0,428.15,37622791,12535636891.1,827.75,302.0,563041,INE238A01034,2020-03-23,333.19
1019,AXISBANK,EQ,N,337.5,291.0,331.95,303.15,304.8,308.65,50683611,15783135039.5,827.75,291.0,767331,INE238A01034,2020-03-24,311.41
1020,AXISBANK,EQ,N,363.75,286.0,293.5,326.8,331.5,303.15,51994332,16617292694.95,827.75,286.0,741163,INE238A01034,2020-03-25,319.6
1021,AXISBANK,EQ,N,399.0,332.0,335.95,341.4,346.0,326.8,62971676,22857867049.9,827.75,286.0,746077,INE238A01034,2020-03-26,362.99
1022,AXISBANK,EQ,N,409.45,354.05,370.0,359.75,362.5,341.4,71043359,26917173675.0,827.75,286.0,990737,INE238A01034,2020-03-27,378.88
1023,AXISBANK,EQ,N,382.0,340.35,345.0,368.15,368.2,359.75,61772934,22506973341.15,827.75,286.0,661071,INE238A01034,2020-03-30,364.35
1024,AXISBANK,EQ,N,389.8,372.65,384.4,379.0,378.5,368.15,34637418,13150697519.3,827.75,286.0,380850,INE238A01034,2020-03-31,379.67
1025,AXISBANK,EQ,N,379.8,354.0,376.25,358.65,355.5,379.0,27745001,10166036367.0,827.75,286.0,334884,INE238A01034,2020-04-01,366.41
1026,AXISBANK,EQ,N,362.3,324.0,360.2,325.45,326.9,358.65,41317685,14176180303.7,827.75,286.0,407312,INE238A01034,2020-04-03,343.1
1027,AXISBANK,EQ,N,405.75,342.35,347.4,388.85,391.0,325.45,48093870,17651518766.55,827.75,286.0,522716,INE238A01034,2020-04-07,367.02
1028,AXISBANK,EQ,N,427.7,373.5,383.75,391.35,391.4,388.85,64930772,25759745934.5,827.75,286.0,769506,INE238A01034,2020-04-08,396.73
1029,AXISBANK,EQ,N,423.0,398.65,405.0,420.15,420.0,391.35,44090829,18043123262.1,827.75,286.0,470749,INE238A01034,2020-04-09,409.23
968,AXISBANK,EQ,N,427.9,402.0,417.95,418.95,420.0,420.15,33432493,13846137202.0,827.75,286.0,423296,INE238A01034,2020-04-13,414.15
969,AXISBANK,EQ,N,451.65,412.45,434.0,417.3,418.0,418.95,48315084,20986240303.4,827.75,286.0,482534,INE238A01034,2020-04-15,434.36
970,AXISBANK,EQ,N,427.0,400.7,408.6,422.55,426.0,417.3,42344581,17588972545.3,827.75,286.0,490756,INE238A01034,2020-04-16,415.38
971,AXISBANK,EQ,N,485.9,432.4,450.0,478.8,481.4,422.55,47831855,21410639336.9,827.75,286.0,501888,INE238A01034,2020-04-17,447.62
972,AXISBANK,EQ,N,483.45,451.25,482.0,455.95,453.0,478.8,42163860,19633635484.35,827.75,286.0,508117,INE238A01034,2020-04-20,465.65
973,AXISBANK,EQ,N,439.95,412.95,436.0,420.65,419.65,455.95,33572228,14164915158.6,827.75,286.0,389708,INE238A01034,2020-04-21,421.92
974,AXISBANK,EQ,N,434.55,412.0,418.55,431.15,433.5,420.65,36619626,15544912530.2,827.75,286.0,407478,INE238A01034,2020-04-22,424.5
975,AXISBANK,EQ,N,439.85,426.05,434.6,430.05,428.9,431.15,29418033,12738047174.05,827.75,286.0,338254,INE238A01034,2020-04-23,433.0
976,AXISBANK,EQ,N,419.65,401.25,416.0,403.95,406.0,430.05,35773432,14681461718.3,827.75,286.0,351689,INE238A01034,2020-04-24,410.4
977,AXISBANK,EQ,N,429.5,409.1,415.0,427.3,426.1,403.95,35987021,15193308501.0,827.75,286.0,381495,INE238A01034,2020-04-27,422.19
978,AXISBANK,EQ,N,458.4,435.25,438.0,455.45,457.5,427.3,43938651,19610096247.65,827.75,286.0,471905,INE238A01034,2020-04-28,446.31
979,AXISBANK,EQ,N,448.85,425.95,430.75,439.1,438.85,455.45,61500039,26996643970.95,827.75,286.0,676631,INE238A01034,2020-04-29,438.97
980,AXISBANK,EQ,N,461.9,440.4,451.0,444.9,444.05,439.1,40383418,18282508000.5,827.75,286.0,419141,INE238A01034,2020-04-30,452.72
981,AXISBANK,EQ,N,424.0,399.7,424.0,402.8,407.0,444.9,37854079,15508137973.9,827.75,286.0,484430,INE238A01034,2020-05-04,409.68
982,AXISBANK,EQ,N,418.75,386.5,414.0,389.0,389.5,402.8,50982763,20416434073.35,827.75,286.0,558582,INE238A01034,2020-05-05,400.46
983,AXISBANK,EQ,N,394.45,368.05,385.0,388.85,393.5,389.0,67511657,25801559406.85,827.75,286.0,701599,INE238A01034,2020-05-06,382.18
984,AXISBANK,EQ,N,402.25,382.7,387.0,397.35,398.5,388.85,41339427,16321878961.55,827.75,286.0,482183,INE238A01034,2020-05-07,394.83
985,AXISBANK,EQ,N,409.45,379.65,403.5,382.05,383.0,397.35,33506610,13265518231.2,827.75,286.0,353592,INE238A01034,2020-05-08,395.91
986,AXISBANK,EQ,N,393.5,376.85,391.0,379.55,380.5,382.05,30143521,11581674465.35,827.75,286.0,335987,INE238A01034,2020-05-11,384.22
987,AXISBANK,EQ,N,391.8,370.0,376.3,386.85,386.2,379.55,38411667,14525742513.25,827.75,286.0,379557,INE238A01034,2020-05-12,378.16
988,AXISBANK,EQ,N,416.45,399.6,411.0,414.0,413.95,386.85,48206377,19714947611.7,827.75,286.0,493525,INE238A01034,2020-05-13,408.97
989,AXISBANK,EQ,N,411.0,397.65,405.05,401.95,402.75,414.0,31604457,12790277047.65,827.75,286.0,301403,INE238A01034,2020-05-14,404.7
990,AXISBANK,EQ,N,403.9,386.8,402.75,388.55,388.8,401.95,25435045,9957298069.25,827.75,286.0,274054,INE238A01034,2020-05-15,391.48
991,AXISBANK,EQ,N,389.0,352.3,389.0,358.8,361.2,388.55,47864793,17424989343.65,827.75,286.0,460935,INE238A01034,2020-05-18,364.05
992,AXISBANK,EQ,N,372.5,350.1,368.8,354.5,355.5,358.8,42889862,15487075435.35,827.75,286.0,423289,INE238A01034,2020-05-19,361.09
993,AXISBANK,EQ,N,366.3,350.0,353.0,362.5,364.95,354.5,30722038,10989712101.35,827.75,286.0,325563,INE238A01034,2020-05-20,357.71
941,AXISBANK,EQ,N,369.0,355.7,363.0,357.2,357.0,362.5,24794934,8999751915.05,827.75,286.0,250995,INE238A01034,2020-05-21,362.97
