,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,BAJAJ-AUTO,EQ,N,2944.5,2772.0,2920.0,2792.2,2797.0,2890.0,1281846,3621338140.0,3315.15,2442.2,69748,INE917I01010,2020-03-02,2825.1
996,BAJAJ-AUTO,EQ,N,2730.0,2653.0,2700.0,2692.25,2700.0,2792.2,1459848,3937350943.25,3315.15,2442.2,64846,INE917I01010,2020-03-03,2697.1
999,BAJAJ-AUTO,EQ,N,2764.5,2653.5,2720.0,2711.5,2706.0,2692.25,954038,2592037175.45,3315.15,2442.2,71202,INE917I01010,2020-03-04,2716.91
1004,BAJAJ-AUTO,EQ,N,2749.0,2696.2,2719.95,2703.65,2702.95,2711.5,384427,1047044822.9,3315.15,2442.2,26735,INE917I01010,2020-03-05,2723.65
1005,BAJAJ-AUTO,EQ,N,2758.0,2620.0,2640.0,2735.05,2745.0,2703.65,658891,1768394560.75,3315.15,2442.2,49017,INE917I01010,2020-03-06,2683.9
1006,BAJAJ-AUTO,EQ,N,2690.0,2558.6,2675.0,2573.35,2572.0,2735.05,706898,1849623719.4,3315.15,2442.2,64191,INE917I01010,2020-03-09,2616.54
1007,BAJAJ-AUTO,EQ,N,2630.0,2562.7,2580.0,2591.55,2598.6,2573.35,641982,1669392473.7,3315.15,2442.2,51929,INE917I01010,2020-03-11,2600.37
1008,BAJAJ-AUTO,EQ,N,2535.0,2319.05,2519.95,2338.9,2352.0,2591.55,799317,1925439002.55,3315.15,2319.05,65913,INE917I01010,2020-03-12,2408.86
1009,BAJAJ-AUTO,EQ,N,2432.45,2040.0,2249.0,2357.1,2408.9,2338.9,883265,2006282188.4,3315.15,2040.0,63177,INE917I01010,2020-03-13,2271.44
1010,BAJAJ-AUTO,EQ,N,2389.0,2290.0,2315.0,2339.55,2339.0,2357.1,963321,2260301166.85,3315.15,2040.0,59578,INE917I01010,2020-03-16,2346.36
1011,BAJAJ-AUTO,EQ,N,2372.7,2250.05,2345.2,2270.45,2270.5,2339.55,659035,1518876584.6,3315.15,2040.0,39660,INE917I01010,2020-03-17,2304.7
1012,BAJAJ-AUTO,EQ,N,2309.9,2157.15,2290.0,2169.0,2253.0,2270.45,593993,1317468113.95,3315.15,2040.0,52797,INE917I01010,2020-03-18,2217.99
1013,BAJAJ-AUTO,EQ,N,2377.4,2032.35,2119.75,2166.6,2186.7,2169.0,1010352,2220768499.45,3315.15,2032.35,88650,INE917I01010,2020-03-19,2198.01
1014,BAJAJ-AUTO,EQ,N,2298.9,2153.95,2189.9,2242.3,2228.2,2166.6,718412,1590300791.45,3315.15,2032.35,74170,INE917I01010,2020-03-20,2213.63
1015,BAJAJ-AUTO,EQ,N,2389.0,1900.0,2052.0,1935.55,1919.0,2242.3,797174,1567117505.1,3315.15,1900.0,69743,INE917I01010,2020-03-23,1965.84
1016,BAJAJ-AUTO,EQ,N,2057.9,1788.65,2000.0,1937.15,1969.1,1935.55,1210613,2318866074.85,3315.15,1788.65,78822,INE917I01010,2020-03-24,1915.45
1017,BAJAJ-AUTO,EQ,N,1989.0,1866.6,1917.0,1946.75,1925.0,1937.15,606235,1168905884.8,3315.15,1788.65,57859,INE917I01010,2020-03-25,1928.14
1018,BAJAJ-AUTO,EQ,N,2133.9,1934.0,1998.2,2106.85,2078.9,1946.75,989242,2047661835.6,3315.15,1788.65,79278,INE917I01010,2020-03-26,2069.93
1019,BAJAJ-AUTO,EQ,N,2167.0,2007.15,2149.0,2053.45,2058.65,2106.85,938567,1933281333.0,3315.15,1788.65,88966,INE917I01010,2020-03-27,2059.82
1020,BAJAJ-AUTO,EQ,N,2020.8,1945.05,2016.0,1986.7,2002.0,2053.45,462909,915327392.6,3315.15,1788.65,41646,INE917I01010,2020-03-30,1977.34
1021,BAJAJ-AUTO,EQ,N,2048.4,1930.3,2037.35,2022.35,2010.0,1986.7,762791,1531586507.6,3315.15,1788.65,61303,INE917I01010,2020-03-31,2007.87
1022,BAJAJ-AUTO,EQ,N,2095.8,1990.0,2000.0,2051.1,2043.0,2022.35,869738,1774915393.85,3315.15,1788.65,72764,INE917I01010,2020-04-01,2040.75
1023,BAJAJ-AUTO,EQ,N,2056.3,1957.55,2051.1,2033.75,2020.0,2051.1,692220,1392115954.6,3315.15,1788.65,82281,INE917I01010,2020-04-03,2011.09
1024,BAJAJ-AUTO,EQ,N,2303.55,2065.0,2065.0,2280.05,2270.0,2033.75,1069884,2327075872.95,3315.15,1788.65,71355,INE917I01010,2020-04-07,2175.07
1025,BAJAJ-AUTO,EQ,N,2383.45,2168.55,2180.0,2241.7,2260.0,2280.05,840875,1933266167.4,3315.15,1788.65,59866,INE917I01010,2020-04-08,2299.11
1026,BAJAJ-AUTO,EQ,N,2524.95,2289.9,2290.0,2435.95,2436.1,2241.7,1788928,4357538270.05,3315.15,1788.65,84039,INE917I01010,2020-04-09,2435.84
968,BAJAJ-AUTO,EQ,N,2430.15,2321.75,2430.15,2397.55,2400.05,2435.95,654478,1548580923.1,3315.15,1788.65,35598,INE917I01010,2020-04-13,2366.13
969,BAJAJ-AUTO,EQ,N,2483.6,2320.05,2410.0,2335.15,2351.7,2397.55,986750,2390994149.0,3315.15,1788.65,66243,INE917I01010,2020-04-15,2423.1
970,BAJAJ-AUTO,EQ,N,2365.0,2264.5,2330.0,2333.55,2330.05,2335.15,944581,2191152923.15,3315.15,1788.65,59083,INE917I01010,2020-04-16,2319.71
971,BAJAJ-AUTO,EQ,N,2425.05,2347.05,2380.0,2379.15,2386.9,2333.55,690554,1644368168.5,3315.15,1788.65,44460,INE917I01010,2020-04-17,2381.23
972,BAJAJ-AUTO,EQ,N,2415.0,2351.7,2410.0,2378.3,2377.0,2379.15,427669,1016812480.7,3315.15,1788.65,32400,INE917I01010,2020-04-20,2377.57
973,BAJAJ-AUTO,EQ,N,2354.45,2295.0,2344.0,2323.25,2325.0,2378.3,702627,1630429625.85,3315.15,1788.65,40959,INE917I01010,2020-04-21,2320.48
974,BAJAJ-AUTO,EQ,N,2412.1,2296.1,2323.25,2379.7,2372.1,2323.25,712534,1690431076.5,3315.15,1788.65,47759,INE917I01010,2020-04-22,2372.42
975,BAJAJ-AUTO,EQ,N,2446.95,2368.0,2379.7,2430.65,2425.0,2379.7,1179212,2845755383.8,3315.15,1788.65,42715,INE917I01010,2020-04-23,2413.27
976,BAJAJ-AUTO,EQ,N,2472.0,2381.0,2410.0,2445.35,2450.0,2430.65,669287,1636442215.55,3315.15,1788.65,48857,INE917I01010,2020-04-24,2445.05
977,BAJAJ-AUTO,EQ,N,2551.85,2453.25,2470.0,2505.75,2499.0,2445.35,1128657,2826745945.0,3315.15,1788.65,63563,INE917I01010,2020-04-27,2504.52
978,BAJAJ-AUTO,EQ,N,2546.4,2431.35,2510.85,2463.7,2464.8,2505.75,646908,1597490042.15,3315.15,1788.65,40098,INE917I01010,2020-04-28,2469.42
979,BAJAJ-AUTO,EQ,N,2520.0,2450.0,2474.0,2499.15,2500.0,2463.7,525271,1309211701.55,3315.15,1788.65,35997,INE917I01010,2020-04-29,2492.45
980,BAJAJ-AUTO,EQ,N,2654.0,2510.15,2525.1,2623.3,2623.8,2499.15,1118713,2909570323.65,3315.15,1788.65,69201,INE917I01010,2020-04-30,2600.82
981,BAJAJ-AUTO,EQ,N,2554.95,2415.4,2550.0,2442.15,2433.0,2623.3,574562,1414794043.2,3315.15,1788.65,36358,INE917I01010,2020-05-04,2462.39
982,BAJAJ-AUTO,EQ,N,2488.9,2400.8,2475.0,2422.8,2416.95,2442.15,663761,1616665322.2,3315.15,1788.65,36042,INE917I01010,2020-05-05,2435.61
983,BAJAJ-AUTO,EQ,N,2495.0,2361.3,2425.0,2471.85,2475.0,2422.8,778603,1903520010.6,3315.15,1788.65,40185,INE917I01010,2020-05-06,2444.79
984,BAJAJ-AUTO,EQ,N,2485.75,2400.0,2470.0,2406.55,2405.85,2471.85,422146,1029284409.6,3315.15,1788.65,27497,INE917I01010,2020-05-07,2438.22
985,BAJAJ-AUTO,EQ,N,2450.0,2401.05,2446.05,2419.05,2422.65,2406.55,455836,1105590945.95,3315.15,1788.65,23673,INE917I01010,2020-05-08,2425.41
986,BAJAJ-AUTO,EQ,N,2624.95,2428.0,2430.0,2566.3,2560.6,2419.05,1627649,4158828887.6,3315.15,1788.65,87843,INE917I01010,2020-05-11,2555.11
987,BAJAJ-AUTO,EQ,N,2655.9,2494.25,2531.0,2628.85,2654.0,2566.3,1335103,3440739903.25,3315.15,1788.65,83849,INE917I01010,2020-05-12,2577.13
988,BAJAJ-AUTO,EQ,N,2774.0,2671.35,2774.0,2696.0,2680.05,2628.85,1257856,3401512029.7,3315.15,1788.65,78239,INE917I01010,2020-05-13,2704.21
989,BAJAJ-AUTO,EQ,N,2730.0,2601.5,2601.5,2702.65,2697.05,2696.0,893108,2400031857.35,3315.15,1788.65,51242,INE917I01010,2020-05-14,2687.28
990,BAJAJ-AUTO,EQ,N,2710.0,2650.0,2705.0,2663.6,2660.0,2702.65,645549,1724250014.5,3315.15,1788.65,41247,INE917I01010,2020-05-15,2670.98
991,BAJAJ-AUTO,EQ,N,2653.35,2461.0,2650.0,2477.45,2477.5,2663.6,1172814,2964236531.85,3315.15,1788.65,71596,INE917I01010,2020-05-18,2527.46
992,BAJAJ-AUTO,EQ,N,2555.0,2486.9,2518.0,2509.3,2510.0,2477.45,641588,1611875248.7,3315.15,1788.65,42729,INE917I01010,2020-05-19,2512.32
993,BAJAJ-AUTO,EQ,N,2580.45,2477.45,2496.0,2557.75,2556.0,2509.3,947445,2397431487.55,3315.15,1788.65,75560,INE917I01010,2020-05-20,2530.42
941,BAJAJ-AUTO,EQ,N,2724.2,2621.25,2634.5,2640.35,2627.0,2557.75,3481431,9272094034.9,3315.15,1788.65,182683,INE917I01010,2020-05-21,2663.3
942,BAJAJ-AUTO,EQ,N,2634.5,2542.8,2623.0,2553.75,2561.0,2640.35,1328369,3426487988.05,3315.15,1788.65,70668,INE917I01010,2020-05-22,2579.47
943,BAJAJ-AUTO,EQ,N,2597.95,2533.6,2580.0,2564.85,2561.0,2553.75,686476,1760053747.35,3315.15,1788.65,42876,INE917I01010,2020-05-26,2563.9
944,BAJAJ-AUTO,EQ,N,2605.0,2540.3,2569.0,2580.55,2568.0,2564.85,563893,1452094623.45,3315.15,1788.65,28418,INE917I01010,2020-05-27,2575.12
945,BAJAJ-AUTO,EQ,N,2619.5,2450.0,2588.0,2600.0,2603.0,2580.55,1087116,2819642706.8,3315.15,1788.65,48425,INE917I01010,2020-05-28,2593.69
946,BAJAJ-AUTO,EQ,N,2741.0,2591.25,2603.0,2710.5,2708.0,2600.0,2057709,5530075921.65,3315.15,1788.65,82173,INE917I01010,2020-05-29,2687.49
947,BAJAJ-AUTO,EQ,N,2790.0,2725.45,2730.0,2758.3,2749.85,2710.5,1008599,2792679302.95,3315.15,1788.65,63964,INE917I01010,2020-06-01,2768.87
948,BAJAJ-AUTO,EQ,N,2814.25,2726.2,2759.9,2796.1,2796.25,2758.3,1283508,3558528982.9,3315.15,1788.65,69748,INE917I01010,2020-06-02,2772.5
949,BAJAJ-AUTO,EQ,N,2876.5,2770.1,2825.0,2783.4,2785.0,2796.1,750002,2120349673.25,3315.15,1788.65,44661,INE917I01010,2020-06-03,2827.13
950,BAJAJ-AUTO,EQ,N,2833.2,2756.0,2778.0,2817.25,2814.4,2783.4,709467,1985827537.8,3315.15,1788.65,45042,INE917I01010,2020-06-04,2799.04
951,BAJAJ-AUTO,EQ,N,2842.9,2762.0,2842.0,2776.3,2779.0,2817.25,723898,2015524589.0,3315.15,1788.65,52409,INE917I01010,2020-06-05,2784.27
952,BAJAJ-AUTO,EQ,N,2814.0,2745.0,2800.0,2801.05,2797.95,2776.3,727119,2026512269.25,3315.15,1788.65,49345,INE917I01010,2020-06-08,2787.04
953,BAJAJ-AUTO,EQ,N,2814.6,2766.0,2805.1,2791.15,2780.0,2801.05,619517,1728425329.6,3315.15,1788.65,42461,INE917I01010,2020-06-09,2789.96
954,BAJAJ-AUTO,EQ,N,2803.95,2703.35,2790.2,2717.2,2726.0,2791.15,687956,1894250253.35,3315.15,1788.65,45163,INE917I01010,2020-06-10,2753.45
955,BAJAJ-AUTO,EQ,N,2758.0,2703.4,2717.2,2718.55,2718.0,2717.2,661183,1806702641.6,3315.15,1788.65,41511,INE917I01010,2020-06-11,2732.53
956,BAJAJ-AUTO,EQ,N,2799.05,2610.25,2610.25,2782.15,2797.0,2718.55,895713,2437368268.3,3315.15,1788.65,43389,INE917I01010,2020-06-12,2721.15
957,BAJAJ-AUTO,EQ,N,2774.0,2707.95,2774.0,2728.55,2732.1,2782.15,517426,1413829643.2,3315.15,1788.65,30367,INE917I01010,2020-06-15,2732.43
958,BAJAJ-AUTO,EQ,N,2786.95,2702.85,2764.0,2718.45,2713.25,2728.55,611383,1675552263.35,3315.15,1788.65,38386,INE917I01010,2020-06-16,2740.59
959,BAJAJ-AUTO,EQ,N,2737.8,2674.2,2718.45,2689.45,2692.0,2718.45,600389,1620783218.05,3315.15,1788.65,35943,INE917I01010,2020-06-17,2699.56
960,BAJAJ-AUTO,EQ,N,2697.15,2646.15,2689.45,2678.35,2680.0,2689.45,579581,1550322404.65,3315.15,1788.65,35240,INE917I01010,2020-06-18,2674.9
961,BAJAJ-AUTO,EQ,N,2710.0,2655.0,2690.0,2674.35,2675.95,2678.35,929101,2490637122.8,3315.15,1788.65,53562,INE917I01010,2020-06-19,2680.7
962,BAJAJ-AUTO,EQ,N,2873.95,2659.55,2690.0,2855.75,2863.9,2674.35,1872879,5272149436.15,3315.15,1788.65,102487,INE917I01010,2020-06-22,2815.0
963,BAJAJ-AUTO,EQ,N,2910.1,2844.95,2890.0,2862.15,2867.55,2855.75,1089948,3133985306.45,3315.15,1788.65,54956,INE917I01010,2020-06-23,2875.35
964,BAJAJ-AUTO,EQ,N,2979.9,2805.65,2899.8,2817.25,2809.8,2862.15,1617177,4689372224.65,3315.15,1788.65,74569,INE917I01010,2020-06-24,2899.73
965,BAJAJ-AUTO,EQ,N,2890.0,2772.7,2789.8,2820.45,2817.0,2817.25,1341923,3820925692.0,3315.15,1788.65,74504,INE917I01010,2020-06-25,2847.35
966,BAJAJ-AUTO,EQ,N,2900.0,2825.0,2853.7,2867.6,2860.0,2820.45,1227666,3520980219.45,3315.15,1788.65,58805,INE917I01010,2020-06-26,2868.03
967,BAJAJ-AUTO,EQ,N,2870.0,2815.0,2825.0,2859.5,2850.0,2867.6,680242,1930092641.65,3315.15,1788.65,33904,INE917I01010,2020-06-29,2837.36
911,BAJAJ-AUTO,EQ,N,2913.45,2815.0,2902.4,2826.05,2834.0,2859.5,751691,2143065274.1,3315.15,1788.65,51615,INE917I01010,2020-06-30,2850.99
912,BAJAJ-AUTO,EQ,N,2872.0,2828.6,2838.05,2842.05,2837.8,2826.05,525801,1497418446.35,3315.15,1788.65,28435,INE917I01010,2020-07-01,2847.88
913,BAJAJ-AUTO,EQ,N,2903.45,2837.1,2857.9,2879.35,2877.25,2842.05,754915,2168238934.95,3315.15,1788.65,47861,INE917I01010,2020-07-02,2872.16
914,BAJAJ-AUTO,EQ,N,2960.0,2887.6,2899.0,2932.4,2935.05,2879.35,1394994,4087340070.05,3315.15,1788.65,63319,INE917I01010,2020-07-03,2930.01
915,BAJAJ-AUTO,EQ,N,2946.0,2884.0,2942.05,2897.1,2901.0,2932.4,1126391,3268163202.7,3315.15,1788.65,54165,INE917I01010,2020-07-06,2901.45
916,BAJAJ-AUTO,EQ,N,2974.0,2826.55,2901.0,2847.15,2850.0,2897.1,2168031,6265995904.65,3315.15,1788.65,99272,INE917I01010,2020-07-07,2890.18
917,BAJAJ-AUTO,EQ,N,2899.0,2811.6,2882.0,2852.45,2857.05,2847.15,1348820,3852351351.6,3315.15,1788.65,63485,INE917I01010,2020-07-08,2856.09
918,BAJAJ-AUTO,EQ,N,2895.0,2840.2,2878.0,2882.0,2883.05,2852.45,700527,2005232748.0,3315.15,1788.65,33930,INE917I01010,2020-07-09,2862.46
919,BAJAJ-AUTO,EQ,N,2915.0,2856.4,2875.0,2894.7,2888.5,2882.0,688374,1991423718.5,3315.15,1788.65,36113,INE917I01010,2020-07-10,2892.94
920,BAJAJ-AUTO,EQ,N,2910.0,2876.8,2898.9,2900.0,2903.1,2894.7,481614,1395589088.0,3315.15,1788.65,24826,INE917I01010,2020-07-13,2897.73
921,BAJAJ-AUTO,EQ,N,2909.9,2847.0,2898.0,2899.5,2900.0,2900.0,612986,1768691891.95,3315.15,1788.65,29836,INE917I01010,2020-07-14,2885.37
922,BAJAJ-AUTO,EQ,N,2955.0,2900.0,2915.0,2942.05,2940.0,2899.5,905351,2650684666.4,3315.15,1788.65,38565,INE917I01010,2020-07-15,2927.8
923,BAJAJ-AUTO,EQ,N,2950.0,2898.9,2944.0,2942.3,2936.0,2942.05,525135,1538987412.05,3315.15,1788.65,29200,INE917I01010,2020-07-16,2930.65
924,BAJAJ-AUTO,EQ,N,3000.0,2925.0,2950.0,2995.0,2998.0,2942.3,687105,2042547115.45,3315.15,1788.65,37676,INE917I01010,2020-07-17,2972.69
925,BAJAJ-AUTO,EQ,N,3020.0,2974.0,3001.0,3002.55,3010.0,2995.0,766793,2298189830.9,3315.15,1788.65,42699,INE917I01010,2020-07-20,2997.15
926,BAJAJ-AUTO,EQ,N,3057.0,2990.0,3015.0,3004.3,3000.95,3002.55,834568,2523439824.0,3315.15,1788.65,44043,INE917I01010,2020-07-21,3023.65
927,BAJAJ-AUTO,EQ,N,3030.15,2906.55,3011.0,2985.4,2981.2,3004.3,2050820,6089724717.45,3315.15,1788.65,105339,INE917I01010,2020-07-22,2969.41
928,BAJAJ-AUTO,EQ,N,3050.0,2939.65,2965.0,3032.1,3037.3,2985.4,1057191,3169799507.25,3315.15,1788.65,49546,INE917I01010,2020-07-23,2998.32
929,BAJAJ-AUTO,EQ,N,3030.0,2978.0,3030.0,2985.5,2985.0,3032.1,543609,1632476021.15,3315.15,1788.65,30088,INE917I01010,2020-07-24,3003.03
930,BAJAJ-AUTO,EQ,N,3035.0,2934.05,2990.0,3020.5,3015.0,2985.5,621962,1858630485.9,3315.15,1788.65,42852,INE917I01010,2020-07-27,2988.33
931,BAJAJ-AUTO,EQ,N,3130.0,3018.0,3021.0,3119.35,3127.0,3020.5,1263659,3910413648.05,3315.15,1788.65,60783,INE917I01010,2020-07-28,3094.52
