,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,BAJAJFINSV,EQ,N,9300.0,8808.0,9300.0,8914.5,8919.0,9050.75,309031,2820324986.9,9950.0,6386.0,40005,INE918I01018,2020-03-02,9126.35
996,BAJAJFINSV,EQ,N,9116.65,8680.0,9000.0,8963.65,8993.0,8914.5,550729,4896366229.35,9950.0,6386.0,77414,INE918I01018,2020-03-03,8890.7
1001,BAJAJFINSV,EQ,N,9066.6,8593.25,9000.0,8799.7,8777.2,8963.65,440251,3895966775.1,9950.0,6386.0,59129,INE918I01018,2020-03-04,8849.42
1006,BAJAJFINSV,EQ,N,8970.0,8761.05,8870.0,8879.9,8870.0,8799.7,319853,2843725444.85,9950.0,6386.0,41053,INE918I01018,2020-03-05,8890.73
1007,BAJAJFINSV,EQ,N,8625.0,8400.0,8570.0,8603.2,8600.0,8879.9,408699,3486683303.05,9950.0,6386.0,65219,INE918I01018,2020-03-06,8531.18
1008,BAJAJFINSV,EQ,N,8450.0,8160.0,8439.0,8207.1,8180.0,8603.2,370508,3070418261.3,9950.0,6581.0,55462,INE918I01018,2020-03-09,8287.05
1009,BAJAJFINSV,EQ,N,8397.1,8128.05,8180.0,8254.0,8265.0,8207.1,372353,3078085849.3,9950.0,6581.0,52083,INE918I01018,2020-03-11,8266.58
1010,BAJAJFINSV,EQ,N,7981.95,7400.0,7900.0,7438.05,7405.1,8254.0,619201,4709579011.3,9950.0,6581.0,84233,INE918I01018,2020-03-12,7605.9
1011,BAJAJFINSV,EQ,N,7883.9,6524.25,6800.0,7742.0,7728.0,7438.05,595673,4431519150.3,9950.0,6524.25,89840,INE918I01018,2020-03-13,7439.52
1012,BAJAJFINSV,EQ,N,7566.5,7200.0,7450.0,7495.6,7501.0,7742.0,562246,4145676676.45,9950.0,6524.25,60737,INE918I01018,2020-03-16,7373.42
1013,BAJAJFINSV,EQ,N,7521.95,6956.8,7501.0,7017.5,7017.55,7495.6,447612,3234426475.8,9950.0,6524.25,63673,INE918I01018,2020-03-17,7225.96
