,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,BANDHANBNK,EQ,N,406.85,385.0,395.8,394.05,392.2,383.5,6530741,2593214501.45,650.0,370.0,116401,INE545U01014,2020-03-02,397.08
996,BANDHANBNK,EQ,N,410.7,395.2,398.0,400.8,401.5,394.05,4542669,1828188375.9,650.0,370.0,85039,INE545U01014,2020-03-03,402.45
1003,BANDHANBNK,EQ,N,409.9,396.6,401.5,400.4,400.05,400.8,4446134,1788323901.4,650.0,370.0,89812,INE545U01014,2020-03-04,402.22
1007,BANDHANBNK,EQ,N,424.9,403.1,405.6,423.2,424.3,400.4,4734555,1973581178.9,650.0,370.0,98217,INE545U01014,2020-03-05,416.85
1008,BANDHANBNK,EQ,N,408.9,388.15,395.0,403.85,404.9,423.2,6061657,2443350446.75,650.0,370.0,90213,INE545U01014,2020-03-06,403.08
1009,BANDHANBNK,EQ,N,402.0,368.1,394.4,374.3,376.45,403.85,5349844,2020943700.0,650.0,368.1,120028,INE545U01014,2020-03-09,377.76
1010,BANDHANBNK,EQ,N,389.0,372.0,376.45,376.1,377.3,374.3,3534322,1334843215.75,650.0,368.1,54103,INE545U01014,2020-03-11,377.68
1011,BANDHANBNK,EQ,N,362.7,327.25,362.55,334.95,335.6,376.1,6089088,2050462121.2,650.0,327.25,118790,INE545U01014,2020-03-12,336.74
1012,BANDHANBNK,EQ,N,362.8,271.0,301.5,327.55,334.0,334.95,9561878,3131571496.55,650.0,271.0,119638,INE545U01014,2020-03-13,327.51
1013,BANDHANBNK,EQ,N,322.9,268.4,322.45,274.6,282.0,327.55,8155175,2393720397.7,650.0,268.4,173002,INE545U01014,2020-03-16,293.52
1014,BANDHANBNK,EQ,N,292.55,252.2,283.2,257.75,256.5,274.6,6694761,1832997134.85,650.0,252.2,180215,INE545U01014,2020-03-17,273.8
1015,BANDHANBNK,EQ,N,265.0,185.7,260.0,224.4,217.0,257.75,26937172,5951707696.6,650.0,185.7,390001,INE545U01014,2020-03-18,220.95
1016,BANDHANBNK,EQ,N,212.95,195.05,202.0,200.75,199.0,224.4,14033031,2865009823.7,650.0,185.7,293590,INE545U01014,2020-03-19,204.16
1017,BANDHANBNK,EQ,N,239.85,203.75,203.75,231.6,235.0,200.75,19133518,4341596206.35,650.0,185.7,186703,INE545U01014,2020-03-20,226.91
1018,BANDHANBNK,EQ,N,220.0,170.0,208.45,173.65,177.0,231.6,11419604,2142585230.0,650.0,170.0,161893,INE545U01014,2020-03-23,187.62
1019,BANDHANBNK,EQ,N,191.0,157.05,191.0,161.05,164.0,173.65,11501071,1985679781.35,650.0,157.05,257305,INE545U01014,2020-03-24,172.65
1020,BANDHANBNK,EQ,N,165.0,152.2,163.0,154.75,155.05,161.05,16358073,2593142294.35,650.0,152.2,276896,INE545U01014,2020-03-25,158.52
1021,BANDHANBNK,EQ,N,224.35,158.0,160.8,215.6,220.0,154.75,20248870,4025518033.85,650.0,152.2,218954,INE545U01014,2020-03-26,198.8
1022,BANDHANBNK,EQ,N,269.5,230.05,237.15,249.55,251.95,215.6,24788799,6171874597.4,650.0,152.2,384738,INE545U01014,2020-03-27,248.98
1023,BANDHANBNK,EQ,N,248.9,212.15,225.05,216.25,213.0,249.55,18918036,4431088119.5,650.0,152.2,245918,INE545U01014,2020-03-30,234.23
1024,BANDHANBNK,EQ,N,229.0,198.5,225.0,203.75,203.3,216.25,12604384,2600520601.5,650.0,152.2,232983,INE545U01014,2020-03-31,206.32
1025,BANDHANBNK,EQ,N,207.7,191.0,205.9,194.9,195.0,203.75,9322297,1841853245.9,650.0,152.2,145402,INE545U01014,2020-04-01,197.58
1026,BANDHANBNK,EQ,N,197.05,180.0,196.2,181.55,182.2,194.9,9147321,1689625275.4,650.0,152.2,144751,INE545U01014,2020-04-03,184.71
1027,BANDHANBNK,EQ,N,199.25,164.3,198.0,167.25,170.15,181.55,45525395,7973285475.5,650.0,152.2,422686,INE545U01014,2020-04-07,175.14
1028,BANDHANBNK,EQ,N,209.05,167.5,167.95,193.75,195.25,167.25,30692919,5833285762.2,650.0,152.2,332020,INE545U01014,2020-04-08,190.05
1029,BANDHANBNK,EQ,N,205.0,182.25,205.0,192.25,192.6,193.75,19531393,3758755941.15,650.0,152.2,247938,INE545U01014,2020-04-09,192.45
968,BANDHANBNK,EQ,N,195.8,173.5,184.0,193.0,194.4,192.25,22145672,4068431443.35,650.0,152.2,245413,INE545U01014,2020-04-13,183.71
969,BANDHANBNK,EQ,N,212.3,185.0,212.3,186.8,187.35,193.0,24176595,4753064130.1,650.0,152.2,258587,INE545U01014,2020-04-15,196.6
970,BANDHANBNK,EQ,N,204.75,180.0,184.6,198.2,199.8,186.8,22001767,4311028150.75,650.0,152.2,260105,INE545U01014,2020-04-16,195.94
971,BANDHANBNK,EQ,N,226.65,200.9,211.0,216.3,220.0,198.2,23292305,4849099695.15,650.0,152.2,228087,INE545U01014,2020-04-17,208.18
972,BANDHANBNK,EQ,N,229.7,213.0,223.0,216.0,215.5,216.3,21748571,4778154504.05,650.0,152.2,233958,INE545U01014,2020-04-20,219.7
973,BANDHANBNK,EQ,N,207.4,183.6,205.5,195.35,195.15,216.0,15122339,2994139966.35,650.0,152.2,176923,INE545U01014,2020-04-21,197.99
974,BANDHANBNK,EQ,N,200.7,190.0,194.0,198.85,199.7,195.35,13940860,2741337088.8,650.0,152.2,141277,INE545U01014,2020-04-22,196.64
975,BANDHANBNK,EQ,N,208.0,197.8,199.5,201.05,200.25,198.85,11788661,2392591324.35,650.0,152.2,131816,INE545U01014,2020-04-23,202.96
976,BANDHANBNK,EQ,N,202.9,193.0,195.0,198.45,199.0,201.05,9301273,1849018603.3,650.0,152.2,108519,INE545U01014,2020-04-24,198.79
977,BANDHANBNK,EQ,N,210.5,200.45,203.0,208.35,209.0,198.45,10393596,2143591529.45,650.0,152.2,107166,INE545U01014,2020-04-27,206.24
978,BANDHANBNK,EQ,N,224.5,213.1,214.0,221.1,224.0,208.35,12897638,2813262505.2,650.0,152.2,144836,INE545U01014,2020-04-28,218.12
979,BANDHANBNK,EQ,N,237.9,219.65,221.1,234.45,234.3,221.1,20055779,4658747278.85,650.0,152.2,198020,INE545U01014,2020-04-29,232.29
980,BANDHANBNK,EQ,N,266.45,245.05,245.05,262.35,263.7,234.45,28033566,7254678590.3,650.0,152.2,260436,INE545U01014,2020-04-30,258.79
981,BANDHANBNK,EQ,N,245.0,236.15,245.0,240.95,240.65,262.35,15031872,3608287976.1,650.0,152.2,168233,INE545U01014,2020-05-04,240.04
982,BANDHANBNK,EQ,N,253.0,235.5,247.95,236.25,236.8,240.95,12060273,2927856356.35,650.0,152.2,168265,INE545U01014,2020-05-05,242.77
983,BANDHANBNK,EQ,N,253.5,222.15,237.8,249.3,251.75,236.25,15816377,3767974964.6,650.0,152.2,259846,INE545U01014,2020-05-06,238.23
984,BANDHANBNK,EQ,N,263.9,244.45,247.4,252.2,253.45,249.3,13823577,3534963881.6,650.0,152.2,164355,INE545U01014,2020-05-07,255.72
985,BANDHANBNK,EQ,N,262.85,234.55,261.8,240.0,241.5,252.2,12440914,3107021644.35,650.0,152.2,135243,INE545U01014,2020-05-08,249.74
986,BANDHANBNK,EQ,N,250.85,237.5,246.95,239.85,238.8,240.0,9656545,2349659267.35,650.0,152.2,112256,INE545U01014,2020-05-11,243.32
987,BANDHANBNK,EQ,N,238.65,229.0,238.0,233.9,235.9,239.85,13232702,3082866627.85,650.0,152.2,158007,INE545U01014,2020-05-12,232.97
988,BANDHANBNK,EQ,N,257.25,243.35,251.0,252.2,253.9,233.9,20769565,5228168403.15,650.0,152.2,204842,INE545U01014,2020-05-13,251.72
989,BANDHANBNK,EQ,N,255.3,243.0,246.9,251.8,254.8,252.2,9422831,2345307054.6,650.0,152.2,101953,INE545U01014,2020-05-14,248.9
990,BANDHANBNK,EQ,N,255.3,242.15,254.0,243.7,243.2,251.8,10302272,2551005079.5,650.0,152.2,107994,INE545U01014,2020-05-15,247.62
991,BANDHANBNK,EQ,N,244.6,224.35,243.7,229.6,230.3,243.7,13568120,3112927826.1,650.0,152.2,161552,INE545U01014,2020-05-18,229.43
992,BANDHANBNK,EQ,N,235.5,216.3,231.1,220.4,220.2,229.6,16406583,3674684203.9,650.0,152.2,178061,INE545U01014,2020-05-19,223.98
