,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,BANKBARODA,EQ,N,78.35,70.35,77.5,71.15,70.9,76.3,40961015,3054986333.15,144.0,70.35,68502,INE028A01039,2020-03-02,74.58
996,BANKBARODA,EQ,N,73.4,71.0,71.25,72.9,73.15,71.15,23348154,1686720334.25,144.0,70.35,52827,INE028A01039,2020-03-03,72.24
1000,BANKBARODA,EQ,N,74.15,71.25,73.05,73.3,73.4,72.9,24339350,1766000829.7,144.0,70.35,49448,INE028A01039,2020-03-04,72.56
1006,BANKBARODA,EQ,N,75.35,70.65,73.2,73.65,73.35,73.3,27590830,2025666855.15,144.0,70.35,59804,INE028A01039,2020-03-05,73.42
1007,BANKBARODA,EQ,N,72.65,68.75,69.8,71.75,71.6,73.65,22864611,1632771149.25,144.0,68.75,43441,INE028A01039,2020-03-06,71.41
1008,BANKBARODA,EQ,N,72.6,68.5,69.7,69.35,69.2,71.75,25784509,1815499510.9,144.0,68.5,63778,INE028A01039,2020-03-09,70.41
1009,BANKBARODA,EQ,N,70.65,65.3,69.75,66.6,65.4,69.35,26739880,1831082107.85,144.0,65.3,59483,INE028A01039,2020-03-11,68.48
1010,BANKBARODA,EQ,N,62.95,56.15,62.1,56.65,56.7,66.6,34996609,2084416112.45,144.0,56.15,86171,INE028A01039,2020-03-12,59.56
1011,BANKBARODA,EQ,N,66.35,46.5,51.05,65.35,66.2,56.65,47239305,2854012440.8,144.0,46.5,115424,INE028A01039,2020-03-13,60.42
1012,BANKBARODA,EQ,N,64.45,60.3,62.0,63.7,63.5,65.35,26404821,1662776984.95,144.0,46.5,68277,INE028A01039,2020-03-16,62.97
1013,BANKBARODA,EQ,N,69.6,62.15,63.8,66.15,64.65,63.7,31265474,2081082550.2,144.0,46.5,82785,INE028A01039,2020-03-17,66.56
1014,BANKBARODA,EQ,N,67.3,63.0,66.0,65.15,65.0,66.15,31395519,2040582022.85,144.0,46.5,83006,INE028A01039,2020-03-18,65.0
1015,BANKBARODA,EQ,N,69.0,60.2,60.3,61.45,62.05,65.15,40171354,2578196314.15,144.0,46.5,100607,INE028A01039,2020-03-19,64.18
1016,BANKBARODA,EQ,N,66.9,61.85,62.05,63.25,63.25,61.45,31616861,2027107289.25,144.0,46.5,95549,INE028A01039,2020-03-20,64.11
1017,BANKBARODA,EQ,N,60.95,52.9,57.5,53.85,53.45,63.25,17303722,953974233.45,144.0,46.5,70183,INE028A01039,2020-03-23,55.13
1018,BANKBARODA,EQ,N,56.9,51.7,55.05,55.4,55.9,53.85,19142565,1048644433.15,144.0,46.5,84952,INE028A01039,2020-03-24,54.78
1019,BANKBARODA,EQ,N,59.95,52.8,53.1,58.2,59.2,55.4,24727759,1414497610.65,144.0,46.5,116041,INE028A01039,2020-03-25,57.2
1020,BANKBARODA,EQ,N,60.05,54.75,59.2,55.95,55.8,58.2,30819558,1768727104.85,144.0,46.5,99986,INE028A01039,2020-03-26,57.39
1021,BANKBARODA,EQ,N,61.5,53.35,57.3,54.35,53.8,55.95,38984067,2222455297.55,144.0,46.5,121811,INE028A01039,2020-03-27,57.01
1022,BANKBARODA,EQ,N,53.85,51.3,52.1,52.45,52.3,54.35,18353478,964872447.9,144.0,46.5,55104,INE028A01039,2020-03-30,52.57
1023,BANKBARODA,EQ,N,56.2,51.6,53.4,53.55,56.0,52.45,22322052,1173014114.4,144.0,46.5,67696,INE028A01039,2020-03-31,52.55
1024,BANKBARODA,EQ,N,54.35,50.8,54.0,51.25,51.25,53.55,16340613,845610600.5,144.0,46.5,62068,INE028A01039,2020-04-01,51.75
1025,BANKBARODA,EQ,N,51.3,48.5,51.25,48.7,48.6,51.25,20739757,1026200403.1,144.0,46.5,66487,INE028A01039,2020-04-03,49.48
1026,BANKBARODA,EQ,N,50.9,47.7,50.25,48.15,48.0,48.7,25467272,1236527185.4,144.0,46.5,79757,INE028A01039,2020-04-07,48.55
1027,BANKBARODA,EQ,N,51.5,47.3,48.0,48.35,48.45,48.15,27159204,1340103716.35,144.0,46.5,77070,INE028A01039,2020-04-08,49.34
1028,BANKBARODA,EQ,N,51.9,48.8,49.0,50.9,50.7,48.35,26081928,1311878189.4,144.0,46.5,79886,INE028A01039,2020-04-09,50.3
968,BANKBARODA,EQ,N,51.2,48.7,50.9,49.85,49.65,50.9,14157206,702312073.1,144.0,46.5,50041,INE028A01039,2020-04-13,49.61
969,BANKBARODA,EQ,N,51.9,48.5,50.2,48.95,49.05,49.85,20243132,1019830785.2,144.0,46.5,57550,INE028A01039,2020-04-15,50.38
970,BANKBARODA,EQ,N,50.2,48.25,49.15,49.6,49.7,48.95,19193391,947394663.7,144.0,46.5,54357,INE028A01039,2020-04-16,49.36
971,BANKBARODA,EQ,N,52.35,49.05,51.25,50.2,50.2,49.6,35113747,1773837834.35,144.0,46.5,96344,INE028A01039,2020-04-17,50.52
972,BANKBARODA,EQ,N,53.2,49.65,51.0,51.2,51.15,50.2,47815278,2463176245.3,144.0,46.5,128289,INE028A01039,2020-04-20,51.51
973,BANKBARODA,EQ,N,50.0,48.4,49.8,48.55,48.45,51.2,23452461,1148138478.2,144.0,46.5,64444,INE028A01039,2020-04-21,48.96
974,BANKBARODA,EQ,N,48.75,47.0,48.5,48.3,48.5,48.55,26228382,1255082134.5,144.0,46.5,75211,INE028A01039,2020-04-22,47.85
975,BANKBARODA,EQ,N,49.2,48.0,48.6,48.45,48.35,48.3,16711767,811813124.9,144.0,46.5,59246,INE028A01039,2020-04-23,48.58
976,BANKBARODA,EQ,N,48.0,46.1,47.65,46.35,46.4,48.45,18988577,894118168.4,144.0,46.1,65730,INE028A01039,2020-04-24,47.09
977,BANKBARODA,EQ,N,47.8,46.55,47.25,46.75,46.6,46.35,17015660,799752332.25,144.0,46.1,52575,INE028A01039,2020-04-27,47.0
978,BANKBARODA,EQ,N,47.5,46.7,47.0,47.3,47.45,46.75,17324240,816383288.45,144.0,46.1,53714,INE028A01039,2020-04-28,47.12
979,BANKBARODA,EQ,N,48.65,47.2,47.55,48.1,47.9,47.3,26517815,1274894414.4,144.0,46.1,76515,INE028A01039,2020-04-29,48.08
980,BANKBARODA,EQ,N,51.25,48.4,49.0,49.2,49.25,48.1,41912287,2086777137.85,144.0,46.1,130449,INE028A01039,2020-04-30,49.79
981,BANKBARODA,EQ,N,48.0,45.5,48.0,45.85,45.9,49.2,23190611,1071302556.7,144.0,45.5,104278,INE028A01039,2020-05-04,46.2
982,BANKBARODA,EQ,N,46.5,43.8,46.5,44.0,44.0,45.85,26004754,1169162489.45,144.0,43.8,105286,INE028A01039,2020-05-05,44.96
983,BANKBARODA,EQ,N,44.2,41.8,44.0,42.3,42.35,44.0,33143287,1408251253.55,144.0,41.8,103260,INE028A01039,2020-05-06,42.49
984,BANKBARODA,EQ,N,43.25,41.6,42.0,42.5,42.55,42.3,17318857,736113866.5,144.0,41.6,45933,INE028A01039,2020-05-07,42.5
985,BANKBARODA,EQ,N,43.35,41.0,43.0,41.1,41.05,42.5,19319628,812597487.95,144.0,41.0,68299,INE028A01039,2020-05-08,42.06
