,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,BANKINDIA,EQ,N,54.2,49.3,51.25,50.05,50.15,51.05,1861547,95500497.45,108.15,49.3,11455,INE084A01016,2020-03-02,51.3
996,BANKINDIA,EQ,N,51.0,49.0,50.8,49.35,49.55,50.05,1622792,80378417.85,108.15,49.0,10059,INE084A01016,2020-03-03,49.53
1001,BANKINDIA,EQ,N,50.3,47.7,49.6,48.2,48.1,49.35,2801651,137085750.85,108.15,47.7,15067,INE084A01016,2020-03-04,48.93
1006,BANKINDIA,EQ,N,49.35,47.7,48.2,48.25,48.15,48.2,3033072,147000496.6,108.15,47.7,12489,INE084A01016,2020-03-05,48.47
1007,BANKINDIA,EQ,N,46.4,44.5,45.05,45.5,45.5,48.25,2142612,97390356.35,108.15,44.5,10577,INE084A01016,2020-03-06,45.45
1008,BANKINDIA,EQ,N,43.6,40.0,42.6,40.45,40.5,45.5,3130422,129912007.5,108.15,40.0,13934,INE084A01016,2020-03-09,41.5
1009,BANKINDIA,EQ,N,41.2,38.5,40.5,38.9,39.1,40.45,3779481,150468889.05,108.15,38.5,16035,INE084A01016,2020-03-11,39.81
1010,BANKINDIA,EQ,N,35.9,33.5,35.0,33.75,33.8,38.9,3306910,115244048.6,108.15,33.5,14534,INE084A01016,2020-03-12,34.85
1011,BANKINDIA,EQ,N,37.1,30.4,31.0,36.8,37.0,33.75,3636454,125389700.05,108.15,30.4,17863,INE084A01016,2020-03-13,34.48
1012,BANKINDIA,EQ,N,36.55,34.05,36.3,35.5,35.5,36.8,2450397,86856575.5,108.15,30.4,13803,INE084A01016,2020-03-16,35.45
1013,BANKINDIA,EQ,N,37.1,35.0,35.5,35.85,36.45,35.5,2106997,75948676.3,108.15,30.4,10535,INE084A01016,2020-03-17,36.05
1014,BANKINDIA,EQ,N,37.4,34.0,36.1,35.95,36.7,35.85,1995977,70663759.8,108.15,30.4,10584,INE084A01016,2020-03-18,35.4
1015,BANKINDIA,EQ,N,36.85,33.65,34.5,35.45,35.65,35.95,1975725,70061767.0,108.15,30.4,9437,INE084A01016,2020-03-19,35.46
1016,BANKINDIA,EQ,N,36.7,35.0,36.0,35.45,36.1,35.45,2237714,80155109.75,108.15,30.4,11454,INE084A01016,2020-03-20,35.82
1017,BANKINDIA,EQ,N,34.4,31.95,32.3,31.95,31.95,35.45,1233031,39956780.3,108.15,30.4,6619,INE084A01016,2020-03-23,32.41
1018,BANKINDIA,EQ,N,33.3,31.0,32.9,31.75,31.85,31.95,1182402,37727564.6,108.15,30.4,6345,INE084A01016,2020-03-24,31.91
1019,BANKINDIA,EQ,N,32.7,30.9,31.95,31.75,31.7,31.75,1027126,32705456.4,108.15,30.4,5086,INE084A01016,2020-03-25,31.84
1020,BANKINDIA,EQ,N,34.75,31.75,31.85,33.15,32.75,31.75,1386758,46211916.6,108.15,30.4,7353,INE084A01016,2020-03-26,33.32
1021,BANKINDIA,EQ,N,35.65,33.0,34.0,33.25,33.35,33.15,1901680,65370074.7,108.15,30.4,11788,INE084A01016,2020-03-27,34.37
1022,BANKINDIA,EQ,N,33.45,32.1,33.25,32.35,32.4,33.25,859584,27982817.8,108.15,30.4,5982,INE084A01016,2020-03-30,32.55
1023,BANKINDIA,EQ,N,33.25,31.95,33.1,32.25,32.2,32.35,1066729,34402018.2,108.15,30.4,6418,INE084A01016,2020-03-31,32.25
1024,BANKINDIA,EQ,N,32.7,32.1,32.3,32.4,32.25,32.25,727916,23567875.6,108.15,30.4,4134,INE084A01016,2020-04-01,32.38
1025,BANKINDIA,EQ,N,32.9,31.7,32.45,32.55,32.3,32.4,713521,22997176.05,108.15,30.4,3971,INE084A01016,2020-04-03,32.23
1026,BANKINDIA,EQ,N,33.5,32.6,32.7,32.95,32.6,32.55,900678,29721473.1,103.5,30.4,4778,INE084A01016,2020-04-07,33.0
1027,BANKINDIA,EQ,N,34.75,32.5,32.7,33.35,33.25,32.95,1236627,41574499.75,103.5,30.4,6257,INE084A01016,2020-04-08,33.62
1028,BANKINDIA,EQ,N,35.25,33.4,34.2,34.35,34.3,33.35,2268719,77836057.7,103.5,30.4,9647,INE084A01016,2020-04-09,34.31
968,BANKINDIA,EQ,N,34.7,33.65,34.3,34.0,33.75,34.35,1137243,38618188.15,101.2,30.4,5960,INE084A01016,2020-04-13,33.96
969,BANKINDIA,EQ,N,34.7,33.7,34.05,34.3,34.6,34.0,1323418,45378548.75,101.2,30.4,8125,INE084A01016,2020-04-15,34.29
970,BANKINDIA,EQ,N,34.55,33.8,34.3,34.4,34.4,34.3,853251,29307624.2,101.2,30.4,4688,INE084A01016,2020-04-16,34.35
971,BANKINDIA,EQ,N,35.75,33.5,35.75,34.1,34.2,34.4,2336563,80449544.55,101.2,30.4,9962,INE084A01016,2020-04-17,34.43
972,BANKINDIA,EQ,N,37.85,33.75,34.95,35.95,36.0,34.1,11350586,410110493.0,101.2,30.4,35272,INE084A01016,2020-04-20,36.13
973,BANKINDIA,EQ,N,35.9,34.5,35.0,34.9,34.8,35.95,4390644,154364993.35,101.2,30.4,15068,INE084A01016,2020-04-21,35.16
974,BANKINDIA,EQ,N,34.95,33.8,34.55,34.3,34.25,34.9,3724578,128002764.1,101.2,30.4,11822,INE084A01016,2020-04-22,34.37
975,BANKINDIA,EQ,N,35.15,34.3,34.4,34.45,34.4,34.3,2659058,92278004.2,101.2,30.4,7930,INE084A01016,2020-04-23,34.7
976,BANKINDIA,EQ,N,34.4,33.5,34.1,33.6,33.65,34.45,3680914,125119996.85,101.2,30.4,9851,INE084A01016,2020-04-24,33.99
