,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,BEL,EQ,N,76.9,72.0,76.0,72.95,72.7,73.95,9208356,689677328.2,122.1,72.0,37656,INE263A01024,2020-03-02,74.9
996,BEL,EQ,N,75.15,72.25,73.4,74.5,74.6,72.95,19287777,1417821120.45,122.1,72.0,48078,INE263A01024,2020-03-03,73.51
1000,BEL,EQ,N,75.2,70.55,74.7,74.85,74.5,74.5,20348001,1486248045.8,122.1,70.55,66676,INE263A01024,2020-03-04,73.04
1004,BEL,EQ,N,76.5,72.65,76.5,73.1,73.0,74.85,15594961,1152603829.95,122.1,70.55,34842,INE263A01024,2020-03-05,73.91
1005,BEL,EQ,N,72.15,69.15,70.9,71.5,71.45,73.1,9881566,704800740.85,122.1,69.15,39131,INE263A01024,2020-03-06,71.32
1006,BEL,EQ,N,70.5,67.65,69.9,69.7,69.25,71.5,17082732,1188175926.5,122.1,67.65,56551,INE263A01024,2020-03-09,69.55
1007,BEL,EQ,N,70.15,67.6,69.5,68.85,69.0,69.7,12124381,833741822.8,122.1,67.6,48376,INE263A01024,2020-03-11,68.77
1008,BEL,EQ,N,66.75,62.4,66.15,65.65,66.0,68.85,23974948,1559929754.85,122.1,62.4,115230,INE263A01024,2020-03-12,65.06
1009,BEL,EQ,N,70.55,60.0,60.0,69.9,70.2,65.65,21960802,1482795532.8,122.1,60.0,69667,INE263A01024,2020-03-13,67.52
1010,BEL,EQ,N,69.95,65.0,68.5,65.9,66.05,69.9,13672102,920490862.85,122.1,60.0,37704,INE263A01024,2020-03-16,67.33
1011,BEL,EQ,N,71.4,65.85,66.0,69.7,70.65,65.9,12578599,876590048.2,122.1,60.0,43302,INE263A01024,2020-03-17,69.69
1012,BEL,EQ,N,80.15,67.15,69.9,74.8,72.15,69.7,32823312,2396077942.05,122.1,60.0,73477,INE263A01024,2020-03-18,73.0
1013,BEL,EQ,N,72.5,62.9,69.05,64.55,64.15,74.8,20175836,1382021358.7,122.1,60.0,70696,INE263A01024,2020-03-19,68.5
1014,BEL,EQ,N,72.0,64.5,65.0,71.3,70.8,64.55,18486903,1283931677.15,122.1,60.0,66747,INE263A01024,2020-03-20,69.45
1015,BEL,EQ,N,67.65,57.15,65.05,59.45,60.4,71.3,8174357,506587812.9,122.1,57.15,29098,INE263A01024,2020-03-23,61.97
1016,BEL,EQ,N,63.5,56.0,62.0,58.45,58.8,59.45,9141035,541349960.45,122.1,56.0,49130,INE263A01024,2020-03-24,59.22
1017,BEL,EQ,N,63.35,56.6,57.8,62.7,63.25,58.45,6075742,366390094.4,122.1,56.0,40366,INE263A01024,2020-03-25,60.3
1018,BEL,EQ,N,68.45,61.1,63.25,67.35,68.45,62.7,12340578,811655574.95,122.1,56.0,52126,INE263A01024,2020-03-26,65.77
1019,BEL,EQ,N,76.75,68.75,74.0,73.15,72.6,67.35,15742956,1139235636.3,122.1,56.0,67381,INE263A01024,2020-03-27,72.36
1020,BEL,EQ,N,75.9,70.7,72.65,72.6,72.4,73.15,15510709,1131222309.9,122.1,56.0,85295,INE263A01024,2020-03-30,72.93
1021,BEL,EQ,N,75.8,72.6,74.95,74.45,73.95,72.6,7161517,532069913.3,122.1,56.0,45750,INE263A01024,2020-03-31,74.3
1022,BEL,EQ,N,76.25,67.4,73.8,69.05,70.0,74.45,9661775,685304942.95,122.1,56.0,42426,INE263A01024,2020-04-01,70.93
1023,BEL,EQ,N,71.9,68.5,71.75,69.95,69.95,69.05,9319677,651754524.65,122.1,56.0,37203,INE263A01024,2020-04-03,69.93
1024,BEL,EQ,N,73.0,68.5,72.8,69.0,68.9,69.95,12628565,887228883.65,122.1,56.0,41536,INE263A01024,2020-04-07,70.26
1025,BEL,EQ,N,71.3,65.1,69.0,66.4,66.5,69.0,16699885,1138705069.55,122.1,56.0,69587,INE263A01024,2020-04-08,68.19
1026,BEL,EQ,N,71.45,67.05,67.4,70.15,70.15,66.4,9722574,675039550.5,122.1,56.0,46350,INE263A01024,2020-04-09,69.43
968,BEL,EQ,N,73.5,70.1,73.0,70.5,70.6,70.15,9995138,712810352.6,122.1,56.0,45989,INE263A01024,2020-04-13,71.32
969,BEL,EQ,N,73.25,68.9,72.0,69.6,69.8,70.5,11486310,819331106.8,122.1,56.0,50693,INE263A01024,2020-04-15,71.33
970,BEL,EQ,N,72.2,70.2,70.5,71.0,70.85,69.6,23532178,1675446550.1,122.1,56.0,41636,INE263A01024,2020-04-16,71.2
971,BEL,EQ,N,73.1,70.65,72.5,71.3,71.9,71.0,19718808,1405818748.2,122.1,56.0,31662,INE263A01024,2020-04-17,71.29
972,BEL,EQ,N,77.3,71.45,72.3,75.35,75.45,71.3,34849649,2624673493.15,122.1,56.0,118153,INE263A01024,2020-04-20,75.31
973,BEL,EQ,N,77.05,72.3,74.95,75.9,75.8,75.35,20673343,1555334570.25,122.1,56.0,81809,INE263A01024,2020-04-21,75.23
974,BEL,EQ,N,77.7,74.9,75.95,76.6,76.7,75.9,10573856,807494750.25,122.1,56.0,45809,INE263A01024,2020-04-22,76.37
975,BEL,EQ,N,79.1,75.7,76.7,76.0,75.95,76.6,13050062,1008367452.1,122.1,56.0,53788,INE263A01024,2020-04-23,77.27
976,BEL,EQ,N,77.7,73.35,75.1,74.55,74.0,76.0,24292851,1849032256.15,122.1,56.0,74560,INE263A01024,2020-04-24,76.11
977,BEL,EQ,N,75.85,73.15,75.2,73.65,73.7,74.55,7248704,541271316.95,122.1,56.0,32058,INE263A01024,2020-04-27,74.67
978,BEL,EQ,N,74.5,72.7,74.25,73.25,73.3,73.65,4712408,346292795.5,122.1,56.0,18651,INE263A01024,2020-04-28,73.49
