,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,BERGEPAINT,EQ,N,577.0,550.6,575.0,556.95,552.0,566.55,1286412,728844254.7,597.0,292.05,27219,INE463A01038,2020-03-02,566.57
996,BERGEPAINT,EQ,N,563.0,539.15,556.9,541.65,544.5,556.95,1563205,855735410.1,597.0,292.05,34057,INE463A01038,2020-03-03,547.42
1001,BERGEPAINT,EQ,N,552.2,531.2,543.5,540.8,541.55,541.65,1980061,1073429576.25,597.0,292.05,45025,INE463A01038,2020-03-04,542.12
1006,BERGEPAINT,EQ,N,550.0,537.5,547.0,539.8,537.7,540.8,1446743,786680597.55,597.0,292.05,23884,INE463A01038,2020-03-05,543.76
1007,BERGEPAINT,EQ,N,537.2,522.0,522.0,535.25,534.4,539.8,1048978,558677243.9,597.0,292.05,20082,INE463A01038,2020-03-06,532.59
1008,BERGEPAINT,EQ,N,549.6,515.4,538.0,527.15,522.45,535.25,2079655,1103066277.9,597.0,292.05,38805,INE463A01038,2020-03-09,530.41
1009,BERGEPAINT,EQ,N,529.7,498.25,527.15,502.4,499.0,527.15,2526867,1293349975.2,597.0,292.05,83977,INE463A01038,2020-03-11,511.84
1010,BERGEPAINT,EQ,N,492.2,460.0,482.25,472.45,473.95,502.4,1976863,934486903.25,597.0,292.05,37823,INE463A01038,2020-03-12,472.71
1011,BERGEPAINT,EQ,N,491.65,400.0,441.0,458.2,459.0,472.45,2046875,933347754.65,597.0,292.05,56924,INE463A01038,2020-03-13,455.99
1012,BERGEPAINT,EQ,N,458.2,426.35,458.2,429.25,429.0,458.2,1405809,615901279.95,597.0,292.05,31496,INE463A01038,2020-03-16,438.11
1013,BERGEPAINT,EQ,N,465.55,422.3,428.5,448.3,449.05,429.25,2101891,943087559.65,597.0,292.05,36280,INE463A01038,2020-03-17,448.69
1014,BERGEPAINT,EQ,N,461.95,429.55,455.0,436.0,437.0,448.3,1843461,809205008.5,597.0,292.05,31155,INE463A01038,2020-03-18,438.96
1015,BERGEPAINT,EQ,N,444.0,389.35,405.0,404.05,414.7,436.0,2743380,1135028271.95,597.0,292.05,60270,INE463A01038,2020-03-19,413.73
1016,BERGEPAINT,EQ,N,456.0,400.0,413.9,450.65,450.4,404.05,2224187,966182126.0,597.0,292.05,41761,INE463A01038,2020-03-20,434.4
1017,BERGEPAINT,EQ,N,450.0,406.0,406.0,413.45,410.0,450.65,1563186,658127409.55,597.0,292.05,31238,INE463A01038,2020-03-23,421.02
1018,BERGEPAINT,EQ,N,443.5,395.0,409.35,424.9,424.2,413.45,1410508,597151026.35,597.0,292.05,33509,INE463A01038,2020-03-24,423.36
1019,BERGEPAINT,EQ,N,454.95,408.25,409.65,449.8,450.0,424.9,1551328,668954173.05,597.0,292.05,44960,INE463A01038,2020-03-25,431.21
1020,BERGEPAINT,EQ,N,494.0,449.0,449.95,478.3,482.0,449.8,2133901,1009116919.5,597.0,292.05,48528,INE463A01038,2020-03-26,472.9
1021,BERGEPAINT,EQ,N,499.9,465.55,495.0,485.6,490.0,478.3,1204649,580794292.3,597.0,292.05,32218,INE463A01038,2020-03-27,482.13
1022,BERGEPAINT,EQ,N,485.6,466.3,480.7,478.35,478.6,485.6,1341612,641381060.15,597.0,292.05,21866,INE463A01038,2020-03-30,478.07
1023,BERGEPAINT,EQ,N,503.0,481.15,496.0,497.95,495.95,478.35,1136346,561519153.65,597.0,292.05,26458,INE463A01038,2020-03-31,494.14
1024,BERGEPAINT,EQ,N,500.85,476.4,500.4,483.45,484.45,497.95,1001576,486823113.1,597.0,292.05,27880,INE463A01038,2020-04-01,486.06
1025,BERGEPAINT,EQ,N,483.0,444.65,480.1,448.65,448.65,483.45,1430557,657246529.15,597.0,292.05,44712,INE463A01038,2020-04-03,459.43
1026,BERGEPAINT,EQ,N,482.0,442.35,465.65,479.2,478.05,448.65,1567514,727023229.35,597.0,292.05,30106,INE463A01038,2020-04-07,463.81
1027,BERGEPAINT,EQ,N,487.65,460.0,479.9,463.5,462.0,479.2,1729062,817908730.6,597.0,292.05,32950,INE463A01038,2020-04-08,473.04
1028,BERGEPAINT,EQ,N,482.5,465.0,468.9,474.3,474.3,463.5,832489,396673026.3,597.0,292.05,18732,INE463A01038,2020-04-09,476.49
968,BERGEPAINT,EQ,N,496.8,465.0,472.1,492.9,490.95,474.3,1363753,661935052.95,597.0,292.05,26271,INE463A01038,2020-04-13,485.38
969,BERGEPAINT,EQ,N,523.95,497.7,498.0,512.65,513.0,492.9,2418076,1244297766.25,597.0,292.05,61838,INE463A01038,2020-04-15,514.58
970,BERGEPAINT,EQ,N,521.6,507.0,516.0,515.4,515.0,512.65,1476905,761065068.0,597.0,292.05,34459,INE463A01038,2020-04-16,515.31
971,BERGEPAINT,EQ,N,531.9,508.0,521.2,515.75,512.0,515.4,948858,490248480.0,597.0,292.05,18991,INE463A01038,2020-04-17,516.67
972,BERGEPAINT,EQ,N,524.5,507.25,520.7,514.35,513.05,515.75,778657,399704867.25,597.0,292.05,18708,INE463A01038,2020-04-20,513.33
973,BERGEPAINT,EQ,N,527.75,505.05,513.5,525.15,527.0,514.35,1593223,826482166.4,597.0,292.05,30344,INE463A01038,2020-04-21,518.75
974,BERGEPAINT,EQ,N,537.3,520.0,527.1,530.65,531.05,525.15,2362427,1250871021.65,597.0,292.05,36431,INE463A01038,2020-04-22,529.49
975,BERGEPAINT,EQ,N,543.0,519.05,529.7,523.15,522.9,530.65,1186582,632700609.9,597.0,292.05,24402,INE463A01038,2020-04-23,533.21
976,BERGEPAINT,EQ,N,535.0,515.0,521.0,519.7,519.45,523.15,1502468,786918810.3,597.0,292.05,36476,INE463A01038,2020-04-24,523.75
977,BERGEPAINT,EQ,N,534.0,518.85,522.0,531.2,534.0,519.7,855039,451635011.2,597.0,292.05,15902,INE463A01038,2020-04-27,528.2
978,BERGEPAINT,EQ,N,546.55,523.5,539.9,529.95,529.7,531.2,1609600,858676893.65,597.0,292.05,29193,INE463A01038,2020-04-28,533.47
979,BERGEPAINT,EQ,N,535.9,511.45,531.0,517.25,515.0,529.95,1191125,621655762.85,597.0,292.05,21819,INE463A01038,2020-04-29,521.91
980,BERGEPAINT,EQ,N,517.25,502.55,515.0,508.4,507.0,517.25,2294731,1167240307.05,597.0,292.05,40232,INE463A01038,2020-04-30,508.66
981,BERGEPAINT,EQ,N,502.0,478.75,500.0,481.1,480.0,508.4,1202869,590166278.9,597.0,292.05,27550,INE463A01038,2020-05-04,490.63
982,BERGEPAINT,EQ,N,489.75,464.0,482.2,468.5,468.0,481.1,2087282,993444071.2,597.0,292.05,42621,INE463A01038,2020-05-05,475.95
983,BERGEPAINT,EQ,N,474.55,455.05,460.2,464.5,465.75,468.5,1577336,735038094.55,597.0,292.05,26066,INE463A01038,2020-05-06,466.0
984,BERGEPAINT,EQ,N,471.05,440.4,465.15,450.65,451.0,464.5,3182355,1430865415.9,597.0,292.05,48901,INE463A01038,2020-05-07,449.62
985,BERGEPAINT,EQ,N,465.1,448.8,457.0,455.4,455.0,450.65,2258448,1028015306.1,597.0,292.05,33709,INE463A01038,2020-05-08,455.19
986,BERGEPAINT,EQ,N,463.9,446.65,463.9,452.55,452.55,455.4,1281048,579623807.2,597.0,292.05,21631,INE463A01038,2020-05-11,452.46
987,BERGEPAINT,EQ,N,459.0,443.2,446.0,457.3,458.85,452.55,1321365,596283623.55,597.0,292.05,20340,INE463A01038,2020-05-12,451.26
988,BERGEPAINT,EQ,N,471.0,448.4,470.0,455.0,452.6,457.3,1539595,708808470.4,597.0,292.05,23791,INE463A01038,2020-05-13,460.39
989,BERGEPAINT,EQ,N,459.9,444.1,450.0,454.95,459.9,455.0,1589842,715959035.55,597.0,292.05,31981,INE463A01038,2020-05-14,450.33
990,BERGEPAINT,EQ,N,460.0,448.05,460.0,450.85,450.25,454.95,1502999,678124371.75,597.0,292.05,18109,INE463A01038,2020-05-15,451.18
991,BERGEPAINT,EQ,N,452.95,438.35,450.0,440.45,440.25,450.85,804337,356902501.9,597.0,296.3,21155,INE463A01038,2020-05-18,443.72
992,BERGEPAINT,EQ,N,447.15,435.0,441.5,439.3,439.0,440.45,1613504,710451623.65,597.0,296.3,26116,INE463A01038,2020-05-19,440.32
993,BERGEPAINT,EQ,N,452.0,431.45,438.0,444.1,446.6,439.3,1737199,759172336.4,597.0,296.3,27765,INE463A01038,2020-05-20,437.01
941,BERGEPAINT,EQ,N,472.85,438.1,443.4,465.45,465.0,444.1,1904926,871434114.75,597.0,296.3,39024,INE463A01038,2020-05-21,457.46
942,BERGEPAINT,EQ,N,473.5,453.0,463.6,457.3,458.35,465.45,2053655,947772373.05,597.0,296.3,37439,INE463A01038,2020-05-22,461.51
943,BERGEPAINT,EQ,N,468.5,453.0,460.0,457.4,455.0,457.3,1389807,643297713.7,597.0,296.3,24970,INE463A01038,2020-05-26,462.87
944,BERGEPAINT,EQ,N,458.0,440.65,457.65,455.1,456.0,457.4,1479937,662797327.65,597.0,296.3,27160,INE463A01038,2020-05-27,447.86
945,BERGEPAINT,EQ,N,465.5,454.4,461.0,460.4,457.0,455.1,1532695,705296278.75,597.0,296.3,21207,INE463A01038,2020-05-28,460.17
