,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,BHARTIARTL,EQ,N,536.0,511.85,534.0,518.35,519.95,523.5,9910097,5231780015.65,568.85,303.6,121316,INE397D01024,2020-03-02,527.92
996,BHARTIARTL,EQ,N,533.35,514.15,524.0,520.8,523.25,518.35,10368929,5411242272.6,568.85,303.6,127941,INE397D01024,2020-03-03,521.87
1003,BHARTIARTL,EQ,N,532.8,507.4,525.0,516.75,513.0,520.8,17733434,9237081176.35,568.85,303.6,214378,INE397D01024,2020-03-04,520.89
1008,BHARTIARTL,EQ,N,530.7,516.65,522.8,526.9,526.6,516.75,14080598,7374510677.1,568.85,303.6,121550,INE397D01024,2020-03-05,523.74
1009,BHARTIARTL,EQ,N,523.65,511.45,517.75,519.15,519.35,526.9,9328722,4831014593.95,568.85,303.6,98532,INE397D01024,2020-03-06,517.86
1010,BHARTIARTL,EQ,N,512.0,491.05,510.0,496.25,495.65,519.15,15375756,7691649226.8,568.85,308.7,194367,INE397D01024,2020-03-09,500.25
1011,BHARTIARTL,EQ,N,508.5,487.0,487.0,493.8,494.0,496.25,21007587,10485814895.1,568.85,308.7,181749,INE397D01024,2020-03-11,499.14
1012,BHARTIARTL,EQ,N,481.5,459.2,478.5,464.95,466.0,493.8,14204414,6682576151.2,568.85,308.7,187976,INE397D01024,2020-03-12,470.46
1013,BHARTIARTL,EQ,N,509.05,420.0,453.8,491.85,489.8,464.95,23807651,11412749392.5,568.85,308.7,246728,INE397D01024,2020-03-13,479.37
1014,BHARTIARTL,EQ,N,492.95,456.15,472.25,464.8,461.0,491.85,14661576,6933356556.65,568.85,312.6,294260,INE397D01024,2020-03-16,472.89
1015,BHARTIARTL,EQ,N,481.0,444.35,465.0,454.7,458.0,464.8,12396973,5809627600.5,568.85,312.6,253082,INE397D01024,2020-03-17,468.63
1016,BHARTIARTL,EQ,N,478.8,407.45,460.0,425.55,440.0,454.7,28815241,12780875877.15,568.85,312.6,328964,INE397D01024,2020-03-18,443.55
1017,BHARTIARTL,EQ,N,451.65,361.75,416.45,444.75,444.55,425.55,23574894,10121477872.95,568.85,312.6,258142,INE397D01024,2020-03-19,429.33
1018,BHARTIARTL,EQ,N,472.0,436.65,445.0,462.65,461.6,444.75,19395922,8826143940.05,568.85,312.6,207864,INE397D01024,2020-03-20,455.05
1019,BHARTIARTL,EQ,N,445.7,399.5,416.4,407.35,417.9,462.65,14632657,6152719664.9,568.85,312.6,173536,INE397D01024,2020-03-23,420.48
1020,BHARTIARTL,EQ,N,437.85,400.15,410.9,404.05,411.55,407.35,12716346,5254629478.05,568.85,312.6,180218,INE397D01024,2020-03-24,413.22
