,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,BOSCHLTD,EQ,N,12797.95,12309.7,12370.6,12448.9,12460.05,12128.45,34896,438561746.45,19421.95,12010.0,9435,INE323A01026,2020-03-02,12567.68
996,BOSCHLTD,EQ,N,13292.35,12620.0,12620.0,13155.6,13170.0,12448.9,37746,490043613.05,19421.95,12010.0,12657,INE323A01026,2020-03-03,12982.66
1007,BOSCHLTD,EQ,N,13690.0,12912.35,13237.5,13470.9,13555.0,13155.6,39121,519169708.1,19421.95,12010.0,10856,INE323A01026,2020-03-04,13270.87
1008,BOSCHLTD,EQ,N,13609.25,13050.0,13401.05,13126.25,13150.0,13470.9,21125,280401818.3,19421.95,12010.0,6208,INE323A01026,2020-03-05,13273.46
1009,BOSCHLTD,EQ,N,13068.9,12352.0,12750.0,12979.4,13000.0,13126.25,27391,348953142.4,19421.95,12010.0,8159,INE323A01026,2020-03-06,12739.7
1010,BOSCHLTD,EQ,N,12809.6,12103.0,12750.05,12201.65,12103.0,12979.4,28079,348669395.3,19421.95,12010.0,9543,INE323A01026,2020-03-09,12417.44
1011,BOSCHLTD,EQ,N,12518.65,12011.7,12199.95,12408.35,12500.0,12201.65,29903,369223816.05,19421.95,12010.0,9383,INE323A01026,2020-03-11,12347.38
1012,BOSCHLTD,EQ,N,12485.05,11220.05,12199.0,11309.5,11415.0,12408.35,56604,681366386.0,19421.95,11220.05,15149,INE323A01026,2020-03-12,12037.42
1013,BOSCHLTD,EQ,N,11871.15,9700.0,10601.0,11508.15,11599.0,11309.5,37443,415662200.9,19421.95,9700.0,11551,INE323A01026,2020-03-13,11101.2
1014,BOSCHLTD,EQ,N,11440.0,11005.2,11279.8,11069.6,11075.1,11508.15,24474,274214063.1,18526.45,9700.0,7156,INE323A01026,2020-03-16,11204.3
1015,BOSCHLTD,EQ,N,11390.15,10310.0,11085.1,10469.75,10400.0,11069.6,22858,250397424.4,18526.45,9700.0,9956,INE323A01026,2020-03-17,10954.48
1016,BOSCHLTD,EQ,N,10678.95,10075.0,10600.0,10174.6,10190.0,10469.75,21181,216585317.75,18526.45,9700.0,8214,INE323A01026,2020-03-18,10225.45
1017,BOSCHLTD,EQ,N,10114.45,9279.2,9845.0,9554.6,9499.95,10174.6,33440,323642952.05,18526.45,9279.2,9657,INE323A01026,2020-03-19,9678.32
1018,BOSCHLTD,EQ,N,9849.0,9200.05,9579.95,9632.5,9650.0,9554.6,33696,324387723.8,18526.45,9200.05,9793,INE323A01026,2020-03-20,9626.89
1019,BOSCHLTD,EQ,N,9162.2,8187.65,9151.0,8411.85,8605.8,9632.5,28935,250519437.05,18444.95,8187.65,9516,INE323A01026,2020-03-23,8658.01
1020,BOSCHLTD,EQ,N,9014.9,7850.0,8327.75,8357.45,8208.0,8411.85,35443,298128383.1,18444.95,7850.0,12167,INE323A01026,2020-03-24,8411.49
1021,BOSCHLTD,EQ,N,9600.0,8060.0,8160.0,9212.1,8950.0,8357.45,25034,223391808.2,18444.95,7850.0,8471,INE323A01026,2020-03-25,8923.54
1022,BOSCHLTD,EQ,N,10089.0,9006.95,9288.15,9866.75,9700.0,9212.1,25108,244998916.7,18444.95,7850.0,8299,INE323A01026,2020-03-26,9757.8
1023,BOSCHLTD,EQ,N,11346.75,9800.0,10853.4,9931.5,10024.95,9866.75,56943,600513236.05,18444.95,7850.0,16192,INE323A01026,2020-03-27,10545.87
1024,BOSCHLTD,EQ,N,9999.95,9000.0,9999.95,9283.65,9100.0,9931.5,24146,231139299.25,18444.95,7850.0,8326,INE323A01026,2020-03-30,9572.57
1025,BOSCHLTD,EQ,N,9500.0,9012.5,9301.2,9395.55,9400.0,9283.65,24603,229135301.5,18444.95,7850.0,10006,INE323A01026,2020-03-31,9313.31
1026,BOSCHLTD,EQ,N,9750.0,9070.6,9399.0,9235.8,9185.0,9395.55,57719,536505013.35,18444.95,7850.0,14487,INE323A01026,2020-04-01,9295.12
1027,BOSCHLTD,EQ,N,9157.6,8710.0,9150.0,8816.65,8825.0,9235.8,34591,307400601.45,18444.95,7850.0,11740,INE323A01026,2020-04-03,8886.72
1028,BOSCHLTD,EQ,N,9365.1,8900.0,9020.5,9258.8,9160.0,8816.65,28486,259319406.45,18444.95,7850.0,8718,INE323A01026,2020-04-07,9103.4
1029,BOSCHLTD,EQ,N,9709.85,8978.15,9019.6,9609.2,9648.0,9258.8,29889,285077746.0,18444.95,7850.0,10840,INE323A01026,2020-04-08,9537.88
1030,BOSCHLTD,EQ,N,10295.0,9694.95,9760.0,10205.6,10130.0,9609.2,23791,239377106.25,18444.95,7850.0,8797,INE323A01026,2020-04-09,10061.67
968,BOSCHLTD,EQ,N,10299.95,9845.0,10299.95,10025.3,10015.0,10205.6,16241,162749017.25,18444.95,7850.0,5723,INE323A01026,2020-04-13,10020.87
969,BOSCHLTD,EQ,N,10900.0,10060.2,10060.2,10524.45,10470.0,10025.3,55034,587324954.95,18444.95,7850.0,19938,INE323A01026,2020-04-15,10672.04
970,BOSCHLTD,EQ,N,10674.0,10117.4,10500.0,10380.25,10350.0,10524.45,34921,361515516.55,18444.95,7850.0,12992,INE323A01026,2020-04-16,10352.38
971,BOSCHLTD,EQ,N,10799.8,10353.05,10799.8,10739.95,10784.0,10380.25,28346,301037776.85,18444.95,7850.0,10094,INE323A01026,2020-04-17,10620.11
972,BOSCHLTD,EQ,N,11100.0,10499.0,10800.0,10664.1,10558.0,10739.95,35034,380993930.85,18198.65,7850.0,10819,INE323A01026,2020-04-20,10874.98
973,BOSCHLTD,EQ,N,10442.9,9900.0,10355.05,10006.85,10000.0,10664.1,24156,246045263.2,18198.65,7850.0,9598,INE323A01026,2020-04-21,10185.68
974,BOSCHLTD,EQ,N,10520.0,9800.0,9800.0,10414.1,10500.0,10006.85,36578,372846853.4,18198.65,7850.0,10245,INE323A01026,2020-04-22,10193.2
975,BOSCHLTD,EQ,N,10828.55,10460.3,10495.0,10600.85,10510.0,10414.1,25489,271914182.8,18198.65,7850.0,8364,INE323A01026,2020-04-23,10667.9
976,BOSCHLTD,EQ,N,10500.0,10100.0,10470.0,10212.45,10200.0,10600.85,22577,233823238.45,18198.65,7850.0,8225,INE323A01026,2020-04-24,10356.7
977,BOSCHLTD,EQ,N,10590.0,10050.0,10399.9,10114.7,10113.5,10212.45,29015,299417637.45,18198.65,7850.0,8638,INE323A01026,2020-04-27,10319.41
978,BOSCHLTD,EQ,N,10399.95,9910.1,10260.0,9982.1,10008.0,10114.7,42651,429762413.4,18198.65,7850.0,11654,INE323A01026,2020-04-28,10076.26
979,BOSCHLTD,EQ,N,10160.0,9960.0,10150.0,10024.0,10081.7,9982.1,31297,314632647.5,18198.65,7850.0,9508,INE323A01026,2020-04-29,10053.12
980,BOSCHLTD,EQ,N,10760.1,10113.55,10199.0,10612.45,10610.05,10024.0,71220,741932244.0,18198.65,7850.0,15901,INE323A01026,2020-04-30,10417.47
981,BOSCHLTD,EQ,N,10300.25,9885.0,10255.0,9925.6,9930.05,10612.45,37610,377326064.6,18073.9,7850.0,11556,INE323A01026,2020-05-04,10032.6
982,BOSCHLTD,EQ,N,10185.0,9850.0,10168.0,9916.4,9880.0,9925.6,23771,238917936.3,18073.9,7850.0,7342,INE323A01026,2020-05-05,10050.82
983,BOSCHLTD,EQ,N,10090.0,9722.2,9980.0,9863.6,9863.6,9916.4,24152,239571652.2,18073.9,7850.0,7764,INE323A01026,2020-05-06,9919.33
984,BOSCHLTD,EQ,N,10075.0,9799.0,9860.0,9895.25,9870.0,9863.6,20333,202396692.15,18073.9,7850.0,6461,INE323A01026,2020-05-07,9954.1
985,BOSCHLTD,EQ,N,10100.0,9750.1,10100.0,9792.15,9762.05,9895.25,34107,336485348.75,18073.9,7850.0,10291,INE323A01026,2020-05-08,9865.58
986,BOSCHLTD,EQ,N,9990.0,9801.65,9868.0,9861.5,9899.0,9792.15,26023,257489891.2,17877.0,7850.0,7633,INE323A01026,2020-05-11,9894.7
987,BOSCHLTD,EQ,N,9861.0,9652.55,9825.0,9767.4,9767.45,9861.5,35394,345219624.45,17877.0,7850.0,8461,INE323A01026,2020-05-12,9753.62
988,BOSCHLTD,EQ,N,10028.9,9632.0,10001.05,9791.3,9767.45,9767.4,51558,505374203.85,17877.0,7850.0,14843,INE323A01026,2020-05-13,9802.05
989,BOSCHLTD,EQ,N,9850.0,9454.05,9740.0,9516.65,9481.0,9791.3,35712,343268756.85,17877.0,7850.0,9432,INE323A01026,2020-05-14,9612.14
990,BOSCHLTD,EQ,N,9650.0,9385.05,9550.05,9583.15,9620.0,9516.65,40890,388535644.35,17877.0,7850.0,13704,INE323A01026,2020-05-15,9501.97
991,BOSCHLTD,EQ,N,9690.0,9030.0,9640.0,9070.35,9058.6,9583.15,40942,378107521.6,17877.0,7850.0,11191,INE323A01026,2020-05-18,9235.2
992,BOSCHLTD,EQ,N,9361.25,9072.05,9118.1,9149.25,9180.1,9070.35,24817,228510466.15,17877.0,7850.0,6440,INE323A01026,2020-05-19,9207.82
993,BOSCHLTD,EQ,N,9338.4,9098.0,9199.0,9264.3,9266.0,9149.25,24356,224121065.65,17877.0,7850.0,7628,INE323A01026,2020-05-20,9201.88
941,BOSCHLTD,EQ,N,9450.0,9200.0,9280.0,9346.7,9381.5,9264.3,29393,274580879.35,17877.0,7850.0,9396,INE323A01026,2020-05-21,9341.71
942,BOSCHLTD,EQ,N,9600.0,9230.0,9339.0,9520.3,9570.0,9346.7,102227,962949763.2,17877.0,7850.0,21625,INE323A01026,2020-05-22,9419.72
943,BOSCHLTD,EQ,N,9572.05,9250.05,9570.0,9391.85,9390.0,9520.3,40025,374858246.3,17877.0,7850.0,10073,INE323A01026,2020-05-26,9365.6
944,BOSCHLTD,EQ,N,9499.0,9251.2,9395.05,9431.3,9385.1,9391.85,28681,268765297.6,17877.0,7850.0,8543,INE323A01026,2020-05-27,9370.85
945,BOSCHLTD,EQ,N,9950.0,9410.65,9467.0,9872.1,9770.0,9431.3,59908,582059871.35,17877.0,7850.0,13439,INE323A01026,2020-05-28,9715.9
946,BOSCHLTD,EQ,N,9800.0,9472.0,9762.0,9721.15,9772.0,9872.1,211975,2053039460.6,17877.0,7850.0,28767,INE323A01026,2020-05-29,9685.29
947,BOSCHLTD,EQ,N,10384.85,9800.0,9800.0,10309.25,10320.0,9721.15,68856,701124592.15,17877.0,7850.0,16987,INE323A01026,2020-06-01,10182.48
948,BOSCHLTD,EQ,N,10690.0,10255.0,10390.0,10499.3,10490.0,10309.25,58406,612582885.95,17877.0,7850.0,13528,INE323A01026,2020-06-02,10488.36
949,BOSCHLTD,EQ,N,11159.0,10550.05,10649.0,11043.35,11110.0,10499.3,86297,939202393.35,17877.0,7850.0,17354,INE323A01026,2020-06-03,10883.37
950,BOSCHLTD,EQ,N,11340.0,10807.05,11043.35,10957.65,10966.0,11043.35,94397,1042679834.9,17877.0,7850.0,19171,INE323A01026,2020-06-04,11045.69
951,BOSCHLTD,EQ,N,11643.95,10949.8,11100.0,11487.9,11601.2,10957.65,75829,854239624.05,17877.0,7850.0,13742,INE323A01026,2020-06-05,11265.34
952,BOSCHLTD,EQ,N,11850.0,11151.7,11601.5,11353.45,11353.0,11487.9,93870,1086418478.5,17430.0,7850.0,19065,INE323A01026,2020-06-08,11573.65
953,BOSCHLTD,EQ,N,11528.2,11121.2,11353.5,11189.35,11203.3,11353.45,52191,590272895.5,17430.0,7850.0,14503,INE323A01026,2020-06-09,11309.86
954,BOSCHLTD,EQ,N,11189.35,10733.45,11180.8,10806.1,10800.0,11189.35,58612,638274155.75,17430.0,7850.0,13177,INE323A01026,2020-06-10,10889.82
955,BOSCHLTD,EQ,N,11016.95,10650.0,10810.0,10783.0,10718.0,10806.1,42240,457021451.1,17430.0,7850.0,9135,INE323A01026,2020-06-11,10819.64
956,BOSCHLTD,EQ,N,10969.0,10200.0,10200.0,10913.35,10889.5,10783.0,34859,371379635.8,17430.0,7850.0,9053,INE323A01026,2020-06-12,10653.77
957,BOSCHLTD,EQ,N,10989.65,10565.25,10880.0,10649.35,10620.6,10913.35,30417,326924494.0,17260.3,7850.0,7749,INE323A01026,2020-06-15,10748.08
958,BOSCHLTD,EQ,N,10979.4,10450.0,10800.0,10566.1,10549.05,10649.35,32772,348831458.0,17260.3,7850.0,8849,INE323A01026,2020-06-16,10644.19
959,BOSCHLTD,EQ,N,10723.0,10414.7,10550.0,10572.35,10559.05,10566.1,24994,264418393.85,17260.3,7850.0,6835,INE323A01026,2020-06-17,10579.27
960,BOSCHLTD,EQ,N,10680.55,10480.0,10500.0,10607.5,10600.0,10572.35,27624,293037672.05,17260.3,7850.0,7644,INE323A01026,2020-06-18,10608.08
961,BOSCHLTD,EQ,N,11074.9,10600.0,10680.0,10949.1,11040.0,10607.5,58972,643756279.1,17260.3,7850.0,13181,INE323A01026,2020-06-19,10916.3
962,BOSCHLTD,EQ,N,11491.0,11031.0,11079.0,11338.7,11340.0,10949.1,48288,548048840.9,17260.3,7850.0,12408,INE323A01026,2020-06-22,11349.59
963,BOSCHLTD,EQ,N,11482.45,11192.05,11384.0,11336.8,11398.5,11338.7,40342,457599239.95,17260.3,7850.0,8755,INE323A01026,2020-06-23,11343.0
964,BOSCHLTD,EQ,N,11584.0,11259.1,11398.5,11401.3,11415.0,11336.8,40167,458237283.9,17260.3,7850.0,8872,INE323A01026,2020-06-24,11408.3
965,BOSCHLTD,EQ,N,11508.05,11230.0,11339.0,11447.05,11405.0,11401.3,35402,404200921.35,17260.3,7850.0,9425,INE323A01026,2020-06-25,11417.46
966,BOSCHLTD,EQ,N,11574.55,11118.0,11488.0,11213.5,11242.95,11447.05,39854,451051393.45,17260.3,7850.0,8865,INE323A01026,2020-06-26,11317.59
967,BOSCHLTD,EQ,N,11200.0,10909.05,11196.25,10954.55,10961.05,11213.5,35590,390832573.75,17260.3,7850.0,6428,INE323A01026,2020-06-29,10981.53
911,BOSCHLTD,EQ,N,11580.0,10949.95,11021.2,11418.1,11385.0,10954.55,66211,750312998.55,17260.3,7850.0,18167,INE323A01026,2020-06-30,11332.15
912,BOSCHLTD,EQ,N,11450.0,11150.0,11425.0,11289.45,11265.1,11418.1,31749,358580848.4,17260.3,7850.0,7789,INE323A01026,2020-07-01,11294.24
913,BOSCHLTD,EQ,N,11995.0,11329.8,11340.0,11914.7,11900.0,11289.45,72622,851892973.35,17260.3,7850.0,16301,INE323A01026,2020-07-02,11730.51
914,BOSCHLTD,EQ,N,12073.35,11649.0,11901.0,11777.05,11725.0,11914.7,47869,564925921.2,17260.3,7850.0,10851,INE323A01026,2020-07-03,11801.5
915,BOSCHLTD,EQ,N,12128.0,11780.0,11849.9,12037.3,12040.0,11777.05,47140,565702035.05,17260.3,7850.0,9612,INE323A01026,2020-07-06,12000.47
916,BOSCHLTD,EQ,N,13794.0,12050.0,12173.7,13481.15,13460.0,12037.3,248803,3268102929.65,17260.3,7850.0,47951,INE323A01026,2020-07-07,13135.3
917,BOSCHLTD,EQ,N,13790.0,12979.3,13490.0,13528.1,13493.0,13481.15,213525,2880235065.2,17260.3,7850.0,47897,INE323A01026,2020-07-08,13488.98
918,BOSCHLTD,EQ,N,13738.7,13284.3,13600.0,13411.1,13407.45,13528.1,77152,1037557758.25,17260.3,7850.0,19142,INE323A01026,2020-07-09,13448.23
919,BOSCHLTD,EQ,N,13599.0,13251.65,13397.0,13332.15,13355.65,13411.1,41548,556644623.05,17260.3,7850.0,10694,INE323A01026,2020-07-10,13397.63
920,BOSCHLTD,EQ,N,13960.0,13335.0,13498.0,13858.9,13911.0,13332.15,61390,836915212.9,17260.3,7850.0,14527,INE323A01026,2020-07-13,13632.76
921,BOSCHLTD,EQ,N,13864.8,13101.0,13715.0,13246.2,13199.95,13858.9,64206,864868550.0,17260.3,7850.0,15419,INE323A01026,2020-07-14,13470.21
922,BOSCHLTD,EQ,N,13563.0,12900.0,13398.6,12995.3,13035.0,13246.2,63992,849611025.15,17260.3,7850.0,16296,INE323A01026,2020-07-15,13276.83
923,BOSCHLTD,EQ,N,13221.8,12685.05,13170.0,12811.4,12830.0,12995.3,59446,766720418.45,17260.3,7850.0,13690,INE323A01026,2020-07-16,12897.76
924,BOSCHLTD,EQ,N,13550.0,13001.0,13001.0,13187.85,13180.0,12811.4,109427,1456987367.65,17260.3,7850.0,24732,INE323A01026,2020-07-17,13314.7
925,BOSCHLTD,EQ,N,13450.0,13135.0,13450.0,13256.2,13260.0,13187.85,40027,530478335.5,17260.3,7850.0,11220,INE323A01026,2020-07-20,13253.01
926,BOSCHLTD,EQ,N,13440.0,13028.25,13320.1,13162.5,13200.0,13256.2,47985,634045709.55,17260.3,7850.0,10175,INE323A01026,2020-07-21,13213.41
927,BOSCHLTD,EQ,N,13498.0,13050.0,13300.0,13264.7,13280.05,13162.5,47894,635854494.9,17260.3,7850.0,11922,INE323A01026,2020-07-22,13276.29
928,BOSCHLTD,EQ,N,13540.0,13163.0,13290.0,13331.0,13415.0,13264.7,40613,542841219.75,17260.3,7850.0,9939,INE323A01026,2020-07-23,13366.19
929,BOSCHLTD,EQ,N,13380.0,13115.0,13328.0,13199.35,13187.95,13331.0,28090,371754707.45,17260.3,7850.0,7143,INE323A01026,2020-07-24,13234.41
930,BOSCHLTD,EQ,N,13351.65,12792.3,13249.0,12910.65,12944.95,13199.35,31452,410521286.55,17260.3,7850.0,7375,INE323A01026,2020-07-27,13052.31
931,BOSCHLTD,EQ,N,13269.75,13013.5,13039.95,13203.55,13177.45,12910.65,26471,348165193.15,17260.3,7850.0,6509,INE323A01026,2020-07-28,13152.7
932,BOSCHLTD,EQ,N,13350.0,13098.35,13177.45,13173.85,13200.0,13203.55,18308,242494424.3,17260.3,7850.0,5488,INE323A01026,2020-07-29,13245.27
933,BOSCHLTD,EQ,N,13427.75,12890.0,13199.9,12983.85,12977.2,13173.85,39964,523195998.15,17260.3,7850.0,10391,INE323A01026,2020-07-30,13091.68
934,BOSCHLTD,EQ,N,13199.0,12955.3,13076.55,13078.65,13150.0,12983.85,16982,221879677.75,17260.3,7850.0,5646,INE323A01026,2020-07-31,13065.58
935,BOSCHLTD,EQ,N,13245.1,12748.85,13078.65,12794.1,12799.0,13078.65,31958,414051920.6,17260.3,7850.0,10030,INE323A01026,2020-08-03,12956.13
936,BOSCHLTD,EQ,N,13045.0,12721.0,12945.0,12767.9,12769.0,12794.1,29891,383107229.95,17260.3,7850.0,7866,INE323A01026,2020-08-04,12816.81
937,BOSCHLTD,EQ,N,12985.65,12700.75,12867.9,12852.1,12922.85,12767.9,23894,306727453.15,17260.3,7850.0,6650,INE323A01026,2020-08-05,12837.01
938,BOSCHLTD,EQ,N,13250.0,12807.2,12969.0,13065.7,13100.0,12852.1,53334,695748200.6,17260.3,7850.0,13093,INE323A01026,2020-08-06,13045.12
939,BOSCHLTD,EQ,N,13790.0,13049.95,13050.0,13657.65,13646.0,13065.7,116365,1572484973.95,17260.3,7850.0,24671,INE323A01026,2020-08-07,13513.38
881,BOSCHLTD,EQ,N,13889.8,13503.5,13655.0,13592.0,13628.95,13657.65,44968,615002854.55,17260.3,7850.0,12453,INE323A01026,2020-08-10,13676.46
882,BOSCHLTD,EQ,N,13814.8,13112.0,13719.5,13262.55,13255.0,13592.0,88883,1187467903.35,17260.3,7850.0,22113,INE323A01026,2020-08-11,13359.9
883,BOSCHLTD,EQ,N,14485.0,12953.25,13250.0,14327.5,14280.1,13262.55,209343,2937827495.1,17260.3,7850.0,41378,INE323A01026,2020-08-12,14033.56
884,BOSCHLTD,EQ,N,14725.85,14078.35,14300.0,14397.05,14452.85,14327.5,107444,1547224179.2,17260.3,7850.0,25947,INE323A01026,2020-08-13,14400.28
885,BOSCHLTD,EQ,N,14399.9,13642.7,14399.9,13705.15,13717.0,14397.05,85542,1192917962.1,17260.3,7850.0,25470,INE323A01026,2020-08-14,13945.41
886,BOSCHLTD,EQ,N,13993.8,13475.0,13800.0,13895.1,13961.1,13705.15,61158,845129192.1,17260.3,7850.0,16661,INE323A01026,2020-08-17,13818.78
887,BOSCHLTD,EQ,N,14140.0,13733.8,13961.0,13814.9,13831.4,13895.1,60135,839240035.95,17260.3,7850.0,16030,INE323A01026,2020-08-18,13955.93
888,BOSCHLTD,EQ,N,13990.0,13581.0,13948.9,13615.9,13640.0,13814.9,55444,762773147.4,17260.3,7850.0,13718,INE323A01026,2020-08-19,13757.54
889,BOSCHLTD,EQ,N,13859.3,13501.0,13590.0,13758.1,13785.0,13615.9,33183,453125810.75,17260.3,7850.0,8105,INE323A01026,2020-08-20,13655.36
890,BOSCHLTD,EQ,N,14380.0,13751.55,13849.0,14196.75,14300.0,13758.1,85026,1202557243.4,17260.3,7850.0,20157,INE323A01026,2020-08-21,14143.41
891,BOSCHLTD,EQ,N,14485.05,14140.75,14299.0,14197.15,14210.0,14196.75,52366,748593158.35,17260.3,7850.0,12858,INE323A01026,2020-08-24,14295.4
892,BOSCHLTD,EQ,N,14540.0,14181.05,14299.9,14254.55,14272.05,14197.15,43362,621043169.0,17260.3,7850.0,11330,INE323A01026,2020-08-25,14322.29
893,BOSCHLTD,EQ,N,14425.0,14191.05,14325.0,14295.55,14309.1,14254.55,35309,504780946.7,17260.3,7850.0,9238,INE323A01026,2020-08-26,14296.1
894,BOSCHLTD,EQ,N,14430.0,14083.75,14430.0,14145.75,14128.1,14295.55,30525,434867473.1,17260.3,7850.0,7504,INE323A01026,2020-08-27,14246.27
895,BOSCHLTD,EQ,N,14300.0,13951.0,14200.0,14007.65,14087.9,14145.75,30109,424880720.55,17260.3,7850.0,8059,INE323A01026,2020-08-28,14111.42
896,BOSCHLTD,EQ,N,14214.05,12715.05,14140.0,12814.0,12843.0,14007.65,133778,1760574557.85,17260.3,7850.0,30016,INE323A01026,2020-08-31,13160.42
897,BOSCHLTD,EQ,N,13185.9,12251.0,13100.0,12392.55,12505.1,12814.0,94365,1182601028.55,17260.3,7850.0,23757,INE323A01026,2020-09-01,12532.2
898,BOSCHLTD,EQ,N,13060.0,12400.0,12400.0,12953.5,12961.0,12392.55,89002,1139248931.75,17260.3,7850.0,21395,INE323A01026,2020-09-02,12800.26
899,BOSCHLTD,EQ,N,13253.95,12725.0,12997.0,13064.25,13015.1,12953.5,72433,939269527.4,17260.3,7850.0,16379,INE323A01026,2020-09-03,12967.43
900,BOSCHLTD,EQ,N,13188.7,12600.0,12764.25,12856.35,12949.9,13064.25,68035,882799259.15,17260.3,7850.0,14835,INE323A01026,2020-09-04,12975.66
901,BOSCHLTD,EQ,N,13142.15,12641.1,12970.0,13065.7,13050.0,12856.35,61989,800705736.8,17260.3,7850.0,13983,INE323A01026,2020-09-07,12916.9
902,BOSCHLTD,EQ,N,13130.0,12710.0,13060.0,12774.45,12718.0,13065.7,58805,759692488.95,17260.3,7850.0,13692,INE323A01026,2020-09-08,12918.84
903,BOSCHLTD,EQ,N,12844.0,12570.05,12774.45,12778.1,12790.1,12774.45,42771,543250564.1,17260.3,7850.0,10780,INE323A01026,2020-09-09,12701.38
904,BOSCHLTD,EQ,N,13024.2,12716.0,12829.9,12951.2,12916.8,12778.1,54847,705420907.9,17260.3,7850.0,13407,INE323A01026,2020-09-10,12861.61
905,BOSCHLTD,EQ,N,13040.0,12767.0,12916.8,12872.15,12870.0,12951.2,34008,438359577.35,17260.3,7850.0,7651,INE323A01026,2020-09-11,12889.9
906,BOSCHLTD,EQ,N,13298.0,12759.85,12970.0,12853.55,12841.95,12872.15,76633,999136410.05,17260.3,7850.0,15960,INE323A01026,2020-09-14,13037.94
907,BOSCHLTD,EQ,N,13141.65,12829.85,12898.0,13081.55,13059.9,12853.55,49684,644947806.0,17260.3,7850.0,12225,INE323A01026,2020-09-15,12981.0
