,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,BRITANNIA,EQ,N,3053.95,2925.0,2995.0,2949.1,2975.0,2970.2,348147,1039371445.65,3583.75,2300.0,29275,INE216A01030,2020-03-02,2985.44
996,BRITANNIA,EQ,N,3045.5,2965.0,2970.0,3026.5,3041.95,2949.1,399770,1202811620.9,3583.75,2300.0,39729,INE216A01030,2020-03-03,3008.76
1000,BRITANNIA,EQ,N,3080.0,3028.0,3048.0,3063.05,3063.15,3026.5,368498,1125249174.8,3583.75,2300.0,32046,INE216A01030,2020-03-04,3053.61
1005,BRITANNIA,EQ,N,3165.0,3076.1,3082.6,3127.15,3124.35,3063.05,720100,2256933055.25,3583.75,2300.0,58065,INE216A01030,2020-03-05,3134.19
1006,BRITANNIA,EQ,N,3100.0,3013.25,3084.9,3081.4,3077.75,3127.15,593374,1816361924.6,3583.75,2300.0,48018,INE216A01030,2020-03-06,3061.07
1007,BRITANNIA,EQ,N,3061.8,2968.5,3045.0,2996.5,2999.85,3081.4,607257,1821949622.8,3583.75,2300.0,58705,INE216A01030,2020-03-09,3000.29
1008,BRITANNIA,EQ,N,3065.9,2944.1,2982.2,3048.3,3059.9,2996.5,534597,1609172117.25,3583.75,2300.0,46397,INE216A01030,2020-03-11,3010.07
1009,BRITANNIA,EQ,N,2968.95,2785.05,2945.0,2810.65,2813.75,3048.3,774263,2207673544.0,3583.75,2300.0,76812,INE216A01030,2020-03-12,2851.32
1010,BRITANNIA,EQ,N,3049.9,2410.0,2700.0,2763.6,2758.8,2810.65,1108162,3076304341.55,3583.75,2300.0,101419,INE216A01030,2020-03-13,2776.04
1011,BRITANNIA,EQ,N,2744.65,2602.05,2704.8,2709.0,2700.5,2763.6,791034,2131451180.25,3583.75,2300.0,84360,INE216A01030,2020-03-16,2694.51
1012,BRITANNIA,EQ,N,2795.75,2669.05,2720.0,2686.0,2704.95,2709.0,567266,1542460021.0,3583.75,2300.0,57590,INE216A01030,2020-03-17,2719.11
1013,BRITANNIA,EQ,N,2744.95,2480.0,2728.0,2501.95,2522.0,2686.0,649481,1683824971.1,3583.75,2300.0,72279,INE216A01030,2020-03-18,2592.57
1014,BRITANNIA,EQ,N,2404.0,2260.0,2389.0,2318.15,2318.2,2501.95,786857,1832721102.55,3583.75,2260.0,86364,INE216A01030,2020-03-19,2329.17
