,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,CANBK,EQ,N,147.9,136.2,146.3,138.15,138.15,143.7,10112716,1451480695.45,302.1,136.2,48301,INE476A01014,2020-03-02,143.53
996,CANBK,EQ,N,143.5,137.8,139.75,141.75,142.2,138.15,12866011,1802684973.55,302.1,136.2,51449,INE476A01014,2020-03-03,140.11
1000,CANBK,EQ,N,142.2,135.2,142.0,138.9,138.4,141.75,10602835,1469942415.95,302.1,135.2,45543,INE476A01014,2020-03-04,138.64
1005,CANBK,EQ,N,143.35,133.95,139.75,139.1,138.6,138.9,14180230,1971661613.65,302.1,133.95,58268,INE476A01014,2020-03-05,139.04
1006,CANBK,EQ,N,132.7,127.4,130.0,130.5,130.0,139.1,8274049,1082749017.2,302.1,127.4,38425,INE476A01014,2020-03-06,130.86
1007,CANBK,EQ,N,127.85,120.0,125.0,121.65,121.0,130.5,9425292,1171683606.7,302.1,120.0,42899,INE476A01014,2020-03-09,124.31
1008,CANBK,EQ,N,123.8,115.3,121.65,116.65,115.6,121.65,10041511,1207287215.4,302.1,115.3,50628,INE476A01014,2020-03-11,120.23
1009,CANBK,EQ,N,109.7,97.05,108.0,98.5,98.3,116.65,15182766,1554141492.55,302.1,97.05,68321,INE476A01014,2020-03-12,102.36
1010,CANBK,EQ,N,109.4,82.0,89.2,107.4,107.3,98.5,18446393,1817072467.55,302.1,82.0,95175,INE476A01014,2020-03-13,98.51
1011,CANBK,EQ,N,102.8,97.5,99.7,99.65,99.5,107.4,11979773,1196933591.25,302.1,82.0,64649,INE476A01014,2020-03-16,99.91
1012,CANBK,EQ,N,104.9,98.0,100.6,99.2,99.25,99.65,12132213,1230846608.85,302.1,82.0,54850,INE476A01014,2020-03-17,101.45
1013,CANBK,EQ,N,101.8,92.5,101.5,95.85,95.5,99.2,12246334,1180926277.6,302.1,82.0,54353,INE476A01014,2020-03-18,96.43
1014,CANBK,EQ,N,104.95,89.7,90.65,99.05,98.35,95.85,16989456,1687684593.2,302.1,82.0,86050,INE476A01014,2020-03-19,99.34
1015,CANBK,EQ,N,102.95,95.45,99.8,96.25,95.9,99.05,20401525,2007314078.95,302.1,82.0,86229,INE476A01014,2020-03-20,98.39
1016,CANBK,EQ,N,91.5,75.0,91.5,76.1,77.1,96.25,6549130,537149731.9,302.1,75.0,53401,INE476A01014,2020-03-23,82.02
1017,CANBK,EQ,N,83.0,73.65,79.25,80.4,81.1,76.1,11485068,902743533.85,302.1,73.65,57781,INE476A01014,2020-03-24,78.6
1018,CANBK,EQ,N,86.7,77.0,77.5,83.65,83.7,80.4,7825483,642040698.3,302.1,73.65,39681,INE476A01014,2020-03-25,82.04
1019,CANBK,EQ,N,91.45,82.9,84.0,87.4,87.3,83.65,9925410,870328656.5,302.1,73.65,59591,INE476A01014,2020-03-26,87.69
1020,CANBK,EQ,N,95.5,87.7,90.45,90.05,90.45,87.4,12354848,1123135993.95,302.1,73.65,76487,INE476A01014,2020-03-27,90.91
1021,CANBK,EQ,N,89.55,84.7,89.0,86.85,87.15,90.05,5776266,505236505.8,302.1,73.65,36194,INE476A01014,2020-03-30,87.47
1022,CANBK,EQ,N,92.15,86.8,90.0,90.5,91.5,86.85,6564255,583380871.6,302.1,73.65,32723,INE476A01014,2020-03-31,88.87
1023,CANBK,EQ,N,91.95,88.25,91.5,90.2,90.05,90.5,6274718,564700762.0,302.1,73.65,31498,INE476A01014,2020-04-01,90.0
1024,CANBK,EQ,N,88.9,83.5,88.0,84.15,84.3,90.2,5510785,471088963.2,302.1,73.65,33792,INE476A01014,2020-04-03,85.48
1025,CANBK,EQ,N,88.0,83.2,87.15,86.8,86.5,84.15,7387687,635716932.5,296.55,73.65,35915,INE476A01014,2020-04-07,86.05
1026,CANBK,EQ,N,92.75,84.3,85.2,87.4,87.05,86.8,8434667,746986479.0,296.55,73.65,39656,INE476A01014,2020-04-08,88.56
1027,CANBK,EQ,N,93.0,86.6,88.4,91.8,91.3,87.4,11219835,1008150371.8,296.55,73.65,47414,INE476A01014,2020-04-09,89.85
968,CANBK,EQ,N,91.3,86.65,90.95,88.3,88.0,91.8,6855898,605995378.0,296.55,73.65,32635,INE476A01014,2020-04-13,88.39
969,CANBK,EQ,N,92.0,85.85,88.95,86.45,86.9,88.3,11008091,985286755.95,296.55,73.65,42670,INE476A01014,2020-04-15,89.51
970,CANBK,EQ,N,87.6,84.8,87.0,85.85,86.0,86.45,11292993,972391505.9,296.55,73.65,39843,INE476A01014,2020-04-16,86.11
971,CANBK,EQ,N,90.15,83.5,89.0,86.85,86.95,85.85,16638116,1435426541.85,296.55,73.65,64886,INE476A01014,2020-04-17,86.27
972,CANBK,EQ,N,94.15,86.1,88.0,92.0,91.8,86.85,23385044,2147531165.85,296.55,73.65,95794,INE476A01014,2020-04-20,91.83
973,CANBK,EQ,N,89.8,83.9,89.8,84.2,84.2,92.0,13216464,1135748827.05,296.55,73.65,61219,INE476A01014,2020-04-21,85.93
974,CANBK,EQ,N,84.5,79.55,84.15,82.9,83.05,84.2,20489220,1678156990.35,296.55,73.65,74398,INE476A01014,2020-04-22,81.9
975,CANBK,EQ,N,85.7,82.75,83.9,83.65,83.6,82.9,8950970,753540030.35,296.55,73.65,39676,INE476A01014,2020-04-23,84.19
976,CANBK,EQ,N,84.7,81.05,82.55,81.35,81.95,83.65,7662626,633032387.25,296.55,73.65,43000,INE476A01014,2020-04-24,82.61
977,CANBK,EQ,N,83.45,80.5,82.5,81.45,81.45,81.35,6953759,570080538.95,296.55,73.65,43354,INE476A01014,2020-04-27,81.98
978,CANBK,EQ,N,86.0,81.15,82.7,83.95,85.7,81.45,11708692,966177073.1,296.55,73.65,40362,INE476A01014,2020-04-28,82.52
979,CANBK,EQ,N,88.2,84.3,85.0,87.4,87.1,83.95,16106194,1397535606.4,296.55,73.65,63701,INE476A01014,2020-04-29,86.77
980,CANBK,EQ,N,91.2,87.4,88.45,87.9,87.75,87.4,14278203,1274273672.65,296.55,73.65,57282,INE476A01014,2020-04-30,89.25
981,CANBK,EQ,N,85.6,80.15,85.5,81.4,81.55,87.9,12023059,979612529.5,296.55,73.65,55787,INE476A01014,2020-05-04,81.48
982,CANBK,EQ,N,83.45,79.5,83.0,79.8,79.9,81.4,10302950,837433635.3,296.55,73.65,43934,INE476A01014,2020-05-05,81.28
983,CANBK,EQ,N,81.7,77.05,80.5,81.15,81.4,79.8,10041123,798736957.05,296.55,73.65,40570,INE476A01014,2020-05-06,79.55
984,CANBK,EQ,N,82.7,79.85,80.15,81.35,81.45,81.15,5821026,473809735.9,296.55,73.65,24819,INE476A01014,2020-05-07,81.4
985,CANBK,EQ,N,83.1,79.5,82.0,79.85,79.65,81.35,7597829,618467754.4,296.55,73.65,31297,INE476A01014,2020-05-08,81.4
