,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
842,CGPOWER,EQ,N,7.35,6.7,7.35,6.8,6.9,7.0,533893,3773802.0,47.35,6.65,1466,INE067A01029,2020-03-02,7.07
844,CGPOWER,EQ,N,7.0,6.5,6.9,6.5,6.5,6.8,584778,3883427.05,47.35,6.5,818,INE067A01029,2020-03-03,6.64
849,CGPOWER,EQ,N,6.4,6.2,6.3,6.2,6.2,6.5,328420,2038260.9,47.35,6.2,494,INE067A01029,2020-03-04,6.21
854,CGPOWER,EQ,N,6.4,5.95,5.95,6.0,6.0,6.2,705239,4265317.25,47.35,5.95,1798,INE067A01029,2020-03-05,6.05
855,CGPOWER,EQ,N,6.0,5.7,6.0,5.7,5.7,6.0,327488,1871642.5,47.35,5.7,606,INE067A01029,2020-03-06,5.72
856,CGPOWER,EQ,N,5.7,5.45,5.5,5.45,5.45,5.7,666698,3636084.8,47.35,5.45,1178,INE067A01029,2020-03-09,5.45
857,CGPOWER,EQ,N,5.55,5.2,5.45,5.25,5.2,5.45,931343,4887424.15,47.35,5.2,1503,INE067A01029,2020-03-11,5.25
858,CGPOWER,EQ,N,5.5,5.0,5.0,5.0,5.0,5.25,2690904,14184974.15,47.35,5.0,2828,INE067A01029,2020-03-12,5.27
859,CGPOWER,EQ,N,5.25,4.75,4.9,5.15,5.25,5.0,1482634,7540314.85,47.35,4.75,1860,INE067A01029,2020-03-13,5.09
860,CGPOWER,EQ,N,5.4,5.15,5.25,5.4,5.4,5.15,267242,1440049.55,47.35,4.75,635,INE067A01029,2020-03-16,5.39
861,CGPOWER,EQ,N,5.65,5.55,5.65,5.65,5.65,5.4,1741604,9834334.1,47.35,4.75,2042,INE067A01029,2020-03-17,5.65
862,CGPOWER,EQ,N,5.9,5.65,5.9,5.85,5.9,5.65,1730982,10168600.15,47.35,4.75,2539,INE067A01029,2020-03-18,5.87
863,CGPOWER,EQ,N,6.1,5.6,6.0,5.6,5.6,5.85,644033,3668890.65,47.35,4.75,1196,INE067A01029,2020-03-19,5.7
864,CGPOWER,EQ,N,5.85,5.4,5.8,5.85,5.85,5.6,1223050,7124236.25,47.35,4.75,1003,INE067A01029,2020-03-20,5.82
865,CGPOWER,EQ,N,5.8,5.6,5.8,5.6,5.6,5.85,208644,1171422.75,45.0,4.75,606,INE067A01029,2020-03-23,5.61
866,CGPOWER,EQ,N,5.85,5.35,5.6,5.5,5.5,5.6,616761,3389942.15,45.0,4.75,1320,INE067A01029,2020-03-24,5.5
867,CGPOWER,EQ,N,5.5,5.25,5.5,5.25,5.25,5.5,392008,2081769.7,45.0,4.75,613,INE067A01029,2020-03-25,5.31
868,CGPOWER,EQ,N,5.2,5.0,5.2,5.05,5.1,5.25,754720,3805451.95,45.0,4.75,1211,INE067A01029,2020-03-26,5.04
869,CGPOWER,EQ,N,5.3,5.0,5.1,5.1,5.25,5.05,393434,2031529.8,45.0,4.75,1136,INE067A01029,2020-03-27,5.16
870,CGPOWER,EQ,N,5.25,4.85,5.1,4.9,4.95,5.1,436366,2136764.7,43.45,4.75,984,INE067A01029,2020-03-30,4.9
871,CGPOWER,EQ,N,5.1,5.0,5.1,5.05,5.1,4.9,1027872,5238784.3,43.45,4.75,811,INE067A01029,2020-03-31,5.1
872,CGPOWER,EQ,N,5.3,5.05,5.05,5.3,5.3,5.05,361846,1913283.55,43.45,4.75,803,INE067A01029,2020-04-01,5.29
873,CGPOWER,EQ,N,5.55,5.3,5.55,5.55,5.55,5.3,278281,1536725.15,43.45,4.75,611,INE067A01029,2020-04-03,5.52
874,CGPOWER,EQ,N,5.8,5.8,5.8,5.8,5.8,5.55,255482,1481795.6,41.6,4.75,491,INE067A01029,2020-04-07,5.8
875,CGPOWER,EQ,N,6.05,6.05,6.05,6.05,6.05,5.8,85028,514419.4,41.6,4.75,168,INE067A01029,2020-04-08,6.05
876,CGPOWER,EQ,N,6.65,6.65,6.65,6.65,6.65,6.05,89724,596664.6,41.6,4.75,191,INE067A01029,2020-04-09,6.65
816,CGPOWER,EQ,N,7.3,7.05,7.3,7.3,7.3,6.65,1165708,8487855.65,41.6,4.75,1283,INE067A01029,2020-04-13,7.28
817,CGPOWER,EQ,N,8.0,8.0,8.0,8.0,8.0,7.3,139367,1114936.0,41.6,4.75,296,INE067A01029,2020-04-15,8.0
818,CGPOWER,EQ,N,8.4,8.4,8.4,8.4,8.4,8.0,243597,2046214.8,41.6,4.75,132,INE067A01029,2020-04-16,8.4
819,CGPOWER,EQ,N,8.8,8.0,8.8,8.0,8.0,8.4,3003800,24989333.15,41.6,4.75,2476,INE067A01029,2020-04-17,8.32
820,CGPOWER,EQ,N,7.6,7.6,7.6,7.6,7.6,8.0,420847,3198437.2,41.6,4.75,1176,INE067A01029,2020-04-20,7.6
821,CGPOWER,EQ,N,7.25,7.25,7.25,7.25,7.25,7.6,134547,975465.75,41.6,4.75,582,INE067A01029,2020-04-21,7.25
822,CGPOWER,EQ,N,7.6,6.9,6.9,7.6,7.6,7.25,1636731,11708513.9,41.6,4.75,1521,INE067A01029,2020-04-22,7.15
823,CGPOWER,EQ,N,7.95,7.3,7.95,7.8,7.85,7.6,1317347,10208328.9,41.6,4.75,2039,INE067A01029,2020-04-23,7.75
824,CGPOWER,EQ,N,8.15,7.45,7.7,8.05,8.15,7.8,1904361,15317925.85,41.6,4.75,1937,INE067A01029,2020-04-24,8.04
825,CGPOWER,EQ,N,8.45,8.0,8.45,8.2,8.25,8.05,619760,5125582.7,41.6,4.75,1320,INE067A01029,2020-04-27,8.27
826,CGPOWER,EQ,N,8.5,7.95,8.25,8.0,8.0,8.2,411223,3332365.95,41.6,4.75,1024,INE067A01029,2020-04-28,8.1
827,CGPOWER,EQ,N,8.3,7.9,8.25,8.0,8.0,8.0,870188,7018598.55,41.6,4.75,1165,INE067A01029,2020-04-29,8.07
828,CGPOWER,EQ,N,8.2,7.9,8.2,7.95,8.0,8.0,516141,4140946.4,41.6,4.75,1205,INE067A01029,2020-04-30,8.02
829,CGPOWER,EQ,N,8.05,7.6,8.05,7.6,7.6,7.95,526977,4041991.15,41.6,4.75,1093,INE067A01029,2020-05-04,7.67
830,CGPOWER,EQ,N,7.6,7.25,7.3,7.25,7.25,7.6,732472,5362434.9,41.6,4.75,1253,INE067A01029,2020-05-05,7.32
831,CGPOWER,EQ,N,7.45,6.95,7.25,7.05,7.1,7.25,841550,5958976.35,41.6,4.75,940,INE067A01029,2020-05-06,7.08
832,CGPOWER,EQ,N,7.4,6.95,7.0,7.35,7.35,7.05,929463,6845173.4,41.6,4.75,877,INE067A01029,2020-05-07,7.36
833,CGPOWER,EQ,N,7.65,7.0,7.65,7.0,7.0,7.35,883405,6249591.5,41.6,4.75,1325,INE067A01029,2020-05-08,7.07
