,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,CIPLA,EQ,N,411.25,394.65,407.0,401.95,405.0,402.1,3460583,1406523363.75,586.0,389.55,82668,INE059A01026,2020-03-02,406.44
996,CIPLA,EQ,N,429.2,402.0,402.0,425.3,424.5,401.95,5476676,2300514977.0,586.0,389.55,93117,INE059A01026,2020-03-03,420.06
1001,CIPLA,EQ,N,449.8,420.0,425.6,447.65,445.85,425.3,9297945,4086987028.8,586.0,389.55,123174,INE059A01026,2020-03-04,439.56
1006,CIPLA,EQ,N,472.0,437.45,447.85,440.6,440.0,447.65,9637431,4328415093.5,586.0,389.55,111026,INE059A01026,2020-03-05,449.13
1007,CIPLA,EQ,N,438.15,423.05,425.0,434.4,431.2,440.6,2916146,1261268570.95,586.0,389.55,50806,INE059A01026,2020-03-06,432.51
1008,CIPLA,EQ,N,432.65,423.5,425.0,426.15,425.0,434.4,2986596,1277406528.15,586.0,389.55,44117,INE059A01026,2020-03-09,427.71
1009,CIPLA,EQ,N,426.15,410.2,425.0,417.1,418.1,426.15,5314548,2213276171.6,586.0,389.55,126683,INE059A01026,2020-03-11,416.46
1010,CIPLA,EQ,N,412.5,390.75,412.5,394.75,395.25,417.1,5636464,2235998268.25,586.0,389.55,94842,INE059A01026,2020-03-12,396.7
1011,CIPLA,EQ,N,434.95,355.3,388.0,425.55,425.0,394.75,6096909,2496794731.05,586.0,355.3,150719,INE059A01026,2020-03-13,409.52
1012,CIPLA,EQ,N,423.9,392.75,416.0,396.4,396.0,425.55,5394615,2198420979.7,586.0,355.3,89810,INE059A01026,2020-03-16,407.52
1013,CIPLA,EQ,N,422.0,390.75,397.0,401.75,405.0,396.4,2989674,1226642212.6,586.0,355.3,83402,INE059A01026,2020-03-17,410.29
1014,CIPLA,EQ,N,411.8,381.7,411.8,386.0,390.35,401.75,4200582,1672726649.75,586.0,355.3,114086,INE059A01026,2020-03-18,398.21
1015,CIPLA,EQ,N,390.75,362.9,374.8,374.7,374.75,386.0,2926155,1102602163.5,586.0,355.3,85136,INE059A01026,2020-03-19,376.81
1016,CIPLA,EQ,N,399.8,372.45,379.8,392.8,385.2,374.7,4718358,1846385923.0,586.0,355.3,138449,INE059A01026,2020-03-20,391.32
1017,CIPLA,EQ,N,406.9,370.0,370.0,375.25,380.0,392.8,5507004,2123288368.1,586.0,355.3,142970,INE059A01026,2020-03-23,385.56
1018,CIPLA,EQ,N,409.75,372.55,380.0,377.45,379.5,375.25,6652237,2603600592.35,586.0,355.3,167567,INE059A01026,2020-03-24,391.39
1019,CIPLA,EQ,N,394.9,374.0,378.0,376.45,375.2,377.45,6419109,2452756641.05,586.0,355.3,177940,INE059A01026,2020-03-25,382.1
1020,CIPLA,EQ,N,394.7,380.5,383.0,386.15,390.0,376.45,4291225,1660261184.6,586.0,355.3,96157,INE059A01026,2020-03-26,386.9
1021,CIPLA,EQ,N,411.0,391.95,393.0,407.65,409.5,386.15,6471292,2608694470.25,586.0,355.3,134530,INE059A01026,2020-03-27,403.12
1022,CIPLA,EQ,N,438.7,407.65,413.8,431.75,435.0,407.65,9021027,3805120197.1,586.0,355.3,235135,INE059A01026,2020-03-30,421.81
1023,CIPLA,EQ,N,446.6,420.0,446.0,422.85,422.35,431.75,9434756,4081519674.35,586.0,355.3,145428,INE059A01026,2020-03-31,432.6
1024,CIPLA,EQ,N,430.9,410.4,424.9,413.75,413.55,422.85,6329718,2657544430.4,586.0,355.3,114574,INE059A01026,2020-04-01,419.85
1025,CIPLA,EQ,N,454.7,416.25,425.0,449.2,448.0,413.75,17906777,7932340266.2,586.0,355.3,276736,INE059A01026,2020-04-03,442.98
1026,CIPLA,EQ,N,513.4,452.0,479.0,492.25,492.0,449.2,20843854,10155335956.7,586.0,355.3,340593,INE059A01026,2020-04-07,487.21
1027,CIPLA,EQ,N,530.0,490.0,496.95,512.75,514.95,492.25,19456194,10058531580.45,586.0,355.3,295878,INE059A01026,2020-04-08,516.98
1028,CIPLA,EQ,N,610.0,564.0,564.0,579.6,580.0,512.75,27207928,15854975819.05,610.0,355.3,389706,INE059A01026,2020-04-09,582.73
968,CIPLA,EQ,N,605.0,583.0,605.0,592.85,593.2,579.6,15483866,9165439971.8,610.0,355.3,245354,INE059A01026,2020-04-13,591.93
969,CIPLA,EQ,N,614.0,578.6,604.45,592.35,595.85,592.85,16213849,9751835989.8,614.0,355.3,315659,INE059A01026,2020-04-15,601.45
970,CIPLA,EQ,N,612.8,582.0,590.0,600.45,601.95,592.35,12716392,7619691909.55,614.0,355.3,203613,INE059A01026,2020-04-16,599.2
971,CIPLA,EQ,N,615.0,595.0,615.0,598.0,596.0,600.45,8304296,5005793111.05,615.0,355.3,155669,INE059A01026,2020-04-17,602.8
972,CIPLA,EQ,N,599.4,580.0,598.0,585.4,584.6,598.0,5856240,3440508754.45,615.0,355.3,120517,INE059A01026,2020-04-20,587.49
973,CIPLA,EQ,N,609.8,570.0,578.0,592.1,587.85,585.4,14471886,8647157437.05,615.0,355.3,234920,INE059A01026,2020-04-21,597.51
974,CIPLA,EQ,N,599.75,585.0,594.9,587.2,589.0,592.1,6182389,3661548159.8,615.0,355.3,105276,INE059A01026,2020-04-22,592.25
975,CIPLA,EQ,N,603.9,579.05,590.0,586.7,589.0,587.2,6277909,3721988288.1,615.0,355.3,120788,INE059A01026,2020-04-23,592.87
976,CIPLA,EQ,N,606.0,583.6,586.4,599.3,595.55,586.7,11127892,6664525196.9,615.0,355.3,185533,INE059A01026,2020-04-24,598.9
977,CIPLA,EQ,N,632.65,600.0,600.0,608.7,610.0,599.3,14089884,8704616726.7,632.65,355.3,210013,INE059A01026,2020-04-27,617.79
978,CIPLA,EQ,N,621.25,593.25,616.8,598.6,600.5,608.7,8193432,4924678826.0,632.65,355.3,136856,INE059A01026,2020-04-28,601.05
979,CIPLA,EQ,N,607.9,590.1,605.0,596.25,595.4,598.6,6767185,4048344366.65,632.65,355.3,111221,INE059A01026,2020-04-29,598.23
980,CIPLA,EQ,N,611.45,586.1,607.9,589.6,590.0,596.25,9100084,5427778522.7,632.65,355.3,162055,INE059A01026,2020-04-30,596.45
981,CIPLA,EQ,N,616.95,580.6,589.0,611.85,611.5,589.6,16816196,10226896214.25,632.65,355.3,300922,INE059A01026,2020-05-04,608.16
982,CIPLA,EQ,N,623.05,595.0,623.05,596.9,597.4,611.85,9257197,5623333826.35,632.65,355.3,141932,INE059A01026,2020-05-05,607.46
983,CIPLA,EQ,N,606.0,590.0,597.5,591.75,591.45,596.9,6979140,4156487024.5,632.65,355.3,132415,INE059A01026,2020-05-06,595.56
984,CIPLA,EQ,N,601.8,587.5,598.0,589.55,591.0,591.75,4620871,2749062636.6,632.65,355.3,99690,INE059A01026,2020-05-07,594.92
985,CIPLA,EQ,N,601.2,589.5,598.0,591.9,592.55,589.55,5051381,2999819151.0,632.65,355.3,90641,INE059A01026,2020-05-08,593.86
986,CIPLA,EQ,N,600.95,583.45,600.95,586.05,587.75,591.9,5853898,3457665384.1,632.65,355.3,126091,INE059A01026,2020-05-11,590.66
987,CIPLA,EQ,N,593.8,566.2,587.0,570.15,570.5,586.05,8868988,5103089279.3,632.65,355.3,176690,INE059A01026,2020-05-12,575.39
988,CIPLA,EQ,N,605.0,568.9,600.0,570.2,571.5,570.15,10438684,6013921178.75,632.65,355.3,174508,INE059A01026,2020-05-13,576.12
989,CIPLA,EQ,N,577.9,566.1,571.0,569.75,570.0,570.2,8546052,4881773765.4,632.65,355.3,159643,INE059A01026,2020-05-14,571.23
990,CIPLA,EQ,N,585.0,565.6,572.0,570.3,566.8,569.75,14388640,8255822496.65,632.65,355.3,184285,INE059A01026,2020-05-15,573.77
991,CIPLA,EQ,N,605.0,570.5,570.6,600.45,601.75,570.3,22898149,13528325423.25,632.65,355.3,365585,INE059A01026,2020-05-18,590.8
992,CIPLA,EQ,N,608.8,590.2,600.0,594.95,593.55,600.45,10952723,6564908742.2,632.65,355.3,156026,INE059A01026,2020-05-19,599.39
993,CIPLA,EQ,N,624.35,595.4,597.0,620.65,621.0,594.95,13441070,8228127113.25,632.65,355.3,194557,INE059A01026,2020-05-20,612.16
