,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,COALINDIA,EQ,N,175.0,168.3,172.65,169.35,169.4,168.4,11962711,2064201433.6,271.45,165.0,63565,INE522F01014,2020-03-02,172.55
996,COALINDIA,EQ,N,179.65,170.9,171.35,178.2,177.5,169.35,17015816,2974805106.35,271.45,165.0,73868,INE522F01014,2020-03-03,174.83
1000,COALINDIA,EQ,N,179.8,174.1,178.25,178.1,177.95,178.2,9858330,1748570147.1,271.45,165.0,78436,INE522F01014,2020-03-04,177.37
1005,COALINDIA,EQ,N,180.2,172.2,180.0,177.15,176.65,178.1,12349902,2173263255.85,271.45,165.0,61821,INE522F01014,2020-03-05,175.97
1006,COALINDIA,EQ,N,173.0,166.5,166.7,168.75,169.0,177.15,10629291,1807642581.55,271.45,165.0,71770,INE522F01014,2020-03-06,170.06
1007,COALINDIA,EQ,N,166.7,156.95,165.8,157.95,157.65,168.75,23967961,3879674592.45,271.45,156.95,101385,INE522F01014,2020-03-09,161.87
1008,COALINDIA,EQ,N,169.9,157.05,158.1,168.0,166.7,157.95,28399809,4661236210.75,271.45,156.95,148710,INE522F01014,2020-03-11,164.13
1009,COALINDIA,EQ,N,163.0,150.1,161.0,154.55,156.75,168.0,33250978,5165547039.3,271.45,150.1,206701,INE522F01014,2020-03-12,155.35
1010,COALINDIA,EQ,N,161.55,123.65,146.25,154.1,155.35,154.55,43328031,6615288856.05,271.45,123.65,175752,INE522F01014,2020-03-13,152.68
1011,COALINDIA,EQ,N,151.35,143.1,150.95,143.9,144.55,154.1,23548327,3465831208.0,271.45,123.65,92209,INE522F01014,2020-03-16,147.18
1012,COALINDIA,EQ,N,155.4,142.3,145.2,145.9,147.25,143.9,18990185,2850382834.9,271.45,123.65,108984,INE522F01014,2020-03-17,150.1
1013,COALINDIA,EQ,N,151.85,143.0,151.6,145.05,144.5,145.9,18744151,2741303585.05,271.45,123.65,99549,INE522F01014,2020-03-18,146.25
1014,COALINDIA,EQ,N,133.5,122.0,128.0,123.55,122.55,145.05,28555217,3674246655.7,271.45,122.0,184801,INE522F01014,2020-03-19,128.67
1015,COALINDIA,EQ,N,135.8,122.65,124.5,132.8,132.4,123.55,24023065,3110263943.3,271.45,122.0,104020,INE522F01014,2020-03-20,129.47
1016,COALINDIA,EQ,N,134.85,120.05,122.5,127.85,127.55,132.8,17885210,2308399429.5,271.45,120.05,94097,INE522F01014,2020-03-23,129.07
1017,COALINDIA,EQ,N,135.0,125.45,129.25,127.85,129.0,127.85,9991429,1301573569.45,271.45,120.05,62450,INE522F01014,2020-03-24,130.27
1018,COALINDIA,EQ,N,129.25,123.7,126.0,124.5,124.25,127.85,8344561,1045974832.65,271.45,120.05,59668,INE522F01014,2020-03-25,125.35
1019,COALINDIA,EQ,N,127.0,119.2,126.0,123.25,123.9,124.5,28364155,3491454802.7,271.45,119.2,153911,INE522F01014,2020-03-26,123.09
1020,COALINDIA,EQ,N,132.95,125.0,125.9,131.7,131.15,123.25,18334750,2369461297.75,271.45,119.2,116521,INE522F01014,2020-03-27,129.23
1021,COALINDIA,EQ,N,134.75,127.2,127.55,133.15,133.15,131.7,12357416,1631253116.8,271.45,119.2,91151,INE522F01014,2020-03-30,132.01
1022,COALINDIA,EQ,N,142.35,134.25,135.1,140.05,139.8,133.15,14997627,2085768784.4,271.45,119.2,89569,INE522F01014,2020-03-31,139.07
1023,COALINDIA,EQ,N,141.25,137.05,138.75,139.45,139.7,140.05,8833033,1231750811.8,271.45,119.2,62281,INE522F01014,2020-04-01,139.45
1024,COALINDIA,EQ,N,139.9,131.8,138.6,137.75,137.75,139.45,10937172,1489127522.6,271.45,119.2,105935,INE522F01014,2020-04-03,136.15
1025,COALINDIA,EQ,N,142.4,137.15,140.3,140.15,139.65,137.75,8205546,1151084098.35,271.45,119.2,54857,INE522F01014,2020-04-07,140.28
1026,COALINDIA,EQ,N,143.4,137.0,140.0,137.35,137.55,140.15,7070296,989009124.95,271.45,119.2,55896,INE522F01014,2020-04-08,139.88
1027,COALINDIA,EQ,N,141.45,138.0,139.2,140.8,140.7,137.35,5078557,711956757.9,271.45,119.2,36981,INE522F01014,2020-04-09,140.19
968,COALINDIA,EQ,N,146.7,138.35,140.8,145.9,145.8,140.8,10691857,1540944041.3,271.45,119.2,57290,INE522F01014,2020-04-13,144.12
969,COALINDIA,EQ,N,151.6,146.0,147.4,146.85,146.5,145.9,10487978,1561774564.6,271.45,119.2,85581,INE522F01014,2020-04-15,148.91
970,COALINDIA,EQ,N,150.5,144.4,144.6,147.4,147.35,146.85,9736874,1445938134.6,271.45,119.2,65846,INE522F01014,2020-04-16,148.5
971,COALINDIA,EQ,N,152.45,148.3,151.5,148.75,148.75,147.4,7094930,1062743307.25,271.45,119.2,49937,INE522F01014,2020-04-17,149.79
972,COALINDIA,EQ,N,149.9,143.0,149.9,144.2,144.2,148.75,7139690,1042284176.7,271.45,119.2,61760,INE522F01014,2020-04-20,145.98
973,COALINDIA,EQ,N,141.6,137.8,141.0,139.0,140.3,144.2,6501383,905977756.15,271.45,119.2,50407,INE522F01014,2020-04-21,139.35
974,COALINDIA,EQ,N,141.3,135.0,138.2,140.7,141.0,139.0,5604353,775413217.4,271.45,119.2,54723,INE522F01014,2020-04-22,138.36
975,COALINDIA,EQ,N,144.75,140.1,140.8,140.9,140.9,140.7,7553387,1075062243.25,271.45,119.2,57402,INE522F01014,2020-04-23,142.33
976,COALINDIA,EQ,N,143.8,135.8,140.6,137.0,137.25,140.9,11701225,1639472248.2,271.45,119.2,74521,INE522F01014,2020-04-24,140.11
977,COALINDIA,EQ,N,139.7,137.5,139.0,138.1,138.2,137.0,4238903,586629421.2,271.45,119.2,33953,INE522F01014,2020-04-27,138.39
978,COALINDIA,EQ,N,139.55,134.45,138.6,135.4,135.35,138.1,7064485,964420960.3,271.45,119.2,58250,INE522F01014,2020-04-28,136.52
979,COALINDIA,EQ,N,140.85,135.35,135.5,139.85,140.0,135.4,7399371,1027691380.25,271.45,119.2,57807,INE522F01014,2020-04-29,138.89
980,COALINDIA,EQ,N,149.45,141.35,141.5,148.5,148.8,139.85,13146077,1918494227.1,271.45,119.2,103971,INE522F01014,2020-04-30,145.94
981,COALINDIA,EQ,N,144.7,140.35,144.7,142.3,142.15,148.5,8356131,1191845231.0,271.45,119.2,58591,INE522F01014,2020-05-04,142.63
982,COALINDIA,EQ,N,147.25,137.35,143.9,138.0,138.5,142.3,11879416,1688429822.55,271.45,119.2,73467,INE522F01014,2020-05-05,142.13
983,COALINDIA,EQ,N,139.35,133.15,139.35,133.75,134.0,138.0,10427899,1406126783.5,271.45,119.2,77869,INE522F01014,2020-05-06,134.84
984,COALINDIA,EQ,N,133.0,130.0,130.0,130.8,131.0,133.75,10860354,1428770434.0,271.45,119.2,75808,INE522F01014,2020-05-07,131.56
985,COALINDIA,EQ,N,133.2,128.55,132.85,129.0,129.0,130.8,7097561,924975123.95,271.45,119.2,56783,INE522F01014,2020-05-08,130.32
986,COALINDIA,EQ,N,131.05,128.05,130.15,128.45,128.25,129.0,6657861,860915119.8,271.45,119.2,59311,INE522F01014,2020-05-11,129.31
987,COALINDIA,EQ,N,129.05,125.3,128.2,126.85,127.0,128.45,8128532,1030395009.35,271.45,119.2,67381,INE522F01014,2020-05-12,126.76
988,COALINDIA,EQ,N,132.5,128.5,132.5,130.6,131.0,126.85,11135899,1455373363.4,271.45,119.2,87482,INE522F01014,2020-05-13,130.69
