,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,COLPAL,EQ,N,1325.0,1288.75,1300.2,1295.35,1302.0,1285.4,638567,837126778.7,1642.6,1103.05,31383,INE259A01022,2020-03-02,1310.95
996,COLPAL,EQ,N,1328.95,1296.05,1303.75,1319.85,1326.5,1295.35,463353,609084171.85,1642.6,1103.05,25308,INE259A01022,2020-03-03,1314.51
1003,COLPAL,EQ,N,1327.45,1288.9,1320.55,1312.45,1316.0,1319.85,596703,780317264.45,1642.6,1103.05,36526,INE259A01022,2020-03-04,1307.71
1008,COLPAL,EQ,N,1350.0,1310.05,1312.45,1343.2,1336.65,1312.45,615834,821250696.35,1642.6,1103.05,32914,INE259A01022,2020-03-05,1333.56
1009,COLPAL,EQ,N,1334.5,1292.0,1310.0,1320.9,1317.95,1343.2,488488,644576548.15,1642.6,1103.05,30413,INE259A01022,2020-03-06,1319.53
1010,COLPAL,EQ,N,1321.0,1245.1,1320.9,1264.2,1267.95,1320.9,645399,825395937.75,1642.6,1103.05,36269,INE259A01022,2020-03-09,1278.89
1011,COLPAL,EQ,N,1280.0,1246.0,1272.05,1250.15,1258.3,1264.2,349954,441237926.5,1642.6,1103.05,19345,INE259A01022,2020-03-11,1260.85
1012,COLPAL,EQ,N,1254.0,1172.0,1223.0,1205.05,1225.0,1250.15,1631263,1967742852.7,1642.6,1103.05,89215,INE259A01022,2020-03-12,1206.27
1013,COLPAL,EQ,N,1277.4,1084.55,1170.0,1200.9,1213.0,1205.05,861741,1044191607.7,1642.6,1084.55,59298,INE259A01022,2020-03-13,1211.72
1014,COLPAL,EQ,N,1199.6,1144.45,1199.6,1156.2,1166.9,1200.9,582975,682277933.1,1642.6,1084.55,34635,INE259A01022,2020-03-16,1170.34
