,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,CONCOR,EQ,N,523.55,491.0,514.0,496.15,495.85,509.65,729206,369435050.9,666.0,460.0,18481,INE111A01025,2020-03-02,506.63
996,CONCOR,EQ,N,510.35,485.0,499.15,489.55,491.3,496.15,1337625,662954887.45,666.0,460.0,32172,INE111A01025,2020-03-03,495.62
1000,CONCOR,EQ,N,501.4,468.85,492.6,478.95,477.75,489.55,2246982,1088198209.4,666.0,460.0,78797,INE111A01025,2020-03-04,484.29
1007,CONCOR,EQ,N,482.5,462.0,481.4,466.15,463.35,478.95,2296805,1081769636.6,666.0,460.0,65671,INE111A01025,2020-03-05,470.99
1008,CONCOR,EQ,N,453.9,440.0,450.2,444.35,442.0,466.15,1328003,593214903.4,666.0,440.0,34930,INE111A01025,2020-03-06,446.7
1009,CONCOR,EQ,N,433.95,412.35,426.2,417.25,414.05,444.35,1748116,735938493.9,666.0,412.35,50967,INE111A01025,2020-03-09,420.99
1010,CONCOR,EQ,N,417.0,391.05,414.9,394.65,391.05,417.25,2468238,993266534.65,666.0,391.05,102443,INE111A01025,2020-03-11,402.42
1011,CONCOR,EQ,N,385.4,351.0,377.95,376.15,381.25,394.65,2759840,1023154914.3,666.0,351.0,76221,INE111A01025,2020-03-12,370.73
1012,CONCOR,EQ,N,402.15,300.95,342.0,388.6,391.0,376.15,1918753,720850327.3,666.0,300.95,50795,INE111A01025,2020-03-13,375.69
1013,CONCOR,EQ,N,387.25,352.0,378.0,354.85,357.0,388.6,1911154,697259743.5,666.0,300.95,44950,INE111A01025,2020-03-16,364.84
