,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,COROMANDEL,EQ,N,622.0,604.0,611.0,615.35,614.0,615.5,322847,198289168.4,642.0,336.6,12346,INE169A01031,2020-03-02,614.19
996,COROMANDEL,EQ,N,632.85,603.25,610.15,619.25,623.15,615.35,162529,99934653.5,642.0,336.6,9533,INE169A01031,2020-03-03,614.87
1003,COROMANDEL,EQ,N,628.9,610.0,619.4,618.5,612.05,619.25,126717,78381678.65,642.0,336.6,6326,INE169A01031,2020-03-04,618.56
1008,COROMANDEL,EQ,N,621.9,606.05,613.65,618.65,618.05,618.5,150578,92736037.85,642.0,336.6,12274,INE169A01031,2020-03-05,615.87
1009,COROMANDEL,EQ,N,625.0,602.3,602.3,618.55,618.0,618.65,146256,90555574.15,642.0,336.6,4687,INE169A01031,2020-03-06,619.16
1010,COROMANDEL,EQ,N,619.0,582.6,615.5,602.75,605.0,618.55,499248,302973598.0,642.0,336.6,11423,INE169A01031,2020-03-09,606.86
1011,COROMANDEL,EQ,N,630.0,604.25,608.0,622.1,620.7,602.75,239980,148967340.1,642.0,336.6,10407,INE169A01031,2020-03-11,620.75
1012,COROMANDEL,EQ,N,610.25,555.05,603.55,576.55,563.75,622.1,353897,205520585.8,642.0,336.6,20236,INE169A01031,2020-03-12,580.74
1013,COROMANDEL,EQ,N,628.75,470.0,539.0,599.1,597.0,576.55,679271,405060325.05,642.0,336.6,29754,INE169A01031,2020-03-13,596.32
1014,COROMANDEL,EQ,N,596.0,540.0,573.0,569.3,543.35,599.1,245202,139387042.5,642.0,336.6,15824,INE169A01031,2020-03-16,568.46
1015,COROMANDEL,EQ,N,578.35,548.2,558.0,569.55,562.0,569.3,378631,215872913.3,642.0,336.6,11272,INE169A01031,2020-03-17,570.14
1016,COROMANDEL,EQ,N,576.85,544.0,566.3,550.8,545.0,569.55,493888,272048692.05,642.0,336.6,24232,INE169A01031,2020-03-18,550.83
1017,COROMANDEL,EQ,N,539.7,507.3,515.0,524.15,525.75,550.8,261794,136172484.85,642.0,336.6,15578,INE169A01031,2020-03-19,520.15
1018,COROMANDEL,EQ,N,565.0,475.0,525.75,554.0,560.0,524.15,492688,253784644.4,642.0,336.6,19657,INE169A01031,2020-03-20,515.1
1019,COROMANDEL,EQ,N,538.9,443.2,490.0,499.0,488.0,554.0,162588,77894114.9,642.0,336.6,8616,INE169A01031,2020-03-23,479.09
1020,COROMANDEL,EQ,N,523.95,465.35,502.0,482.0,489.5,499.0,161453,78541745.1,642.0,336.6,15560,INE169A01031,2020-03-24,486.47
1021,COROMANDEL,EQ,N,564.0,470.3,482.0,498.4,510.0,482.0,106549,52452251.2,642.0,336.6,2922,INE169A01031,2020-03-25,492.28
1022,COROMANDEL,EQ,N,550.0,482.05,509.0,546.05,545.0,498.4,272721,136730802.55,642.0,336.6,13190,INE169A01031,2020-03-26,501.36
1023,COROMANDEL,EQ,N,553.45,490.25,550.0,521.6,519.1,546.05,233858,120333980.3,642.0,336.6,22851,INE169A01031,2020-03-27,514.56
