,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,CUMMINSIND,EQ,N,521.55,497.0,513.0,500.4,503.55,510.95,432302,220820112.8,801.05,496.6,9142,INE298A01020,2020-03-02,510.8
996,CUMMINSIND,EQ,N,550.4,500.1,502.8,506.25,506.0,500.4,579484,292491065.85,801.05,496.6,16432,INE298A01020,2020-03-03,504.74
1000,CUMMINSIND,EQ,N,511.65,492.0,506.0,497.7,496.1,506.25,670122,335314613.6,801.05,492.0,16545,INE298A01020,2020-03-04,500.38
1005,CUMMINSIND,EQ,N,508.9,494.5,499.7,502.55,501.0,497.7,375385,188147180.0,801.05,492.0,10291,INE298A01020,2020-03-05,501.21
1006,CUMMINSIND,EQ,N,509.0,483.6,492.0,503.6,503.35,502.55,336317,167070136.4,801.05,483.6,11085,INE298A01020,2020-03-06,496.76
1007,CUMMINSIND,EQ,N,499.05,477.5,499.05,482.45,483.6,503.6,644253,313794547.75,801.05,477.5,13043,INE298A01020,2020-03-09,487.07
1008,CUMMINSIND,EQ,N,489.5,471.45,485.0,477.8,472.0,482.45,480834,231404673.1,801.05,471.45,9597,INE298A01020,2020-03-11,481.26
1009,CUMMINSIND,EQ,N,465.0,418.5,465.0,448.3,449.0,477.8,1268931,561559171.35,801.05,418.5,33180,INE298A01020,2020-03-12,442.55
1010,CUMMINSIND,EQ,N,453.9,404.0,410.0,447.8,435.0,448.3,463441,201786010.3,801.05,404.0,14247,INE298A01020,2020-03-13,435.41
1011,CUMMINSIND,EQ,N,443.35,415.8,437.0,437.65,437.0,447.8,787495,342198493.85,801.05,404.0,10505,INE298A01020,2020-03-16,434.54
1012,CUMMINSIND,EQ,N,460.0,417.3,430.0,446.55,448.0,437.65,898666,401940356.5,801.05,404.0,13776,INE298A01020,2020-03-17,447.26
1013,CUMMINSIND,EQ,N,451.2,431.55,449.05,441.7,442.75,446.55,461346,203254766.8,801.05,404.0,13476,INE298A01020,2020-03-18,440.57
1014,CUMMINSIND,EQ,N,442.0,414.0,430.0,420.1,422.0,441.7,2095708,881844386.25,801.05,404.0,28997,INE298A01020,2020-03-19,420.79
1015,CUMMINSIND,EQ,N,436.4,414.9,421.5,422.15,420.8,420.1,1706018,719814169.5,801.05,404.0,20825,INE298A01020,2020-03-20,421.93
1016,CUMMINSIND,EQ,N,414.75,388.0,408.2,395.9,392.3,422.15,1744984,690170791.3,801.05,388.0,10121,INE298A01020,2020-03-23,395.52
1017,CUMMINSIND,EQ,N,414.0,385.0,400.0,395.35,385.45,395.9,738512,293942962.2,801.05,385.0,14877,INE298A01020,2020-03-24,398.02
1018,CUMMINSIND,EQ,N,392.9,365.8,390.0,369.75,372.3,395.35,1460575,545037222.65,801.05,365.8,32859,INE298A01020,2020-03-25,373.17
1019,CUMMINSIND,EQ,N,389.7,365.2,372.0,379.3,380.0,369.75,793362,301474984.2,801.05,365.2,15699,INE298A01020,2020-03-26,380.0
1020,CUMMINSIND,EQ,N,395.0,348.2,390.0,357.6,354.0,379.3,668074,244713785.3,801.05,348.2,23884,INE298A01020,2020-03-27,366.3
1021,CUMMINSIND,EQ,N,357.0,326.7,351.0,331.6,334.5,357.6,1364098,465498077.45,801.05,326.7,31194,INE298A01020,2020-03-30,341.25
1022,CUMMINSIND,EQ,N,347.95,322.75,340.0,326.7,328.75,331.6,1344531,446552947.7,801.05,322.75,40550,INE298A01020,2020-03-31,332.13
1023,CUMMINSIND,EQ,N,330.9,304.45,328.65,308.5,310.75,326.7,1195274,375952310.7,801.05,304.45,37207,INE298A01020,2020-04-01,314.53
1024,CUMMINSIND,EQ,N,314.95,296.45,311.0,298.65,297.9,308.5,1396809,423598633.8,801.05,296.45,24945,INE298A01020,2020-04-03,303.26
1025,CUMMINSIND,EQ,N,315.8,283.0,315.8,287.15,285.0,298.65,3777546,1103790147.7,801.05,283.0,60863,INE298A01020,2020-04-07,292.2
1026,CUMMINSIND,EQ,N,338.05,280.0,286.0,330.05,329.1,287.15,5604056,1773982502.2,801.05,280.0,88848,INE298A01020,2020-04-08,316.55
1027,CUMMINSIND,EQ,N,358.95,334.2,340.0,353.4,354.5,330.05,2857017,994458387.05,801.05,280.0,64942,INE298A01020,2020-04-09,348.08
968,CUMMINSIND,EQ,N,371.95,341.0,359.0,362.0,360.0,353.4,1997978,718414406.5,801.05,280.0,32826,INE298A01020,2020-04-13,359.57
969,CUMMINSIND,EQ,N,388.0,360.15,360.15,375.4,373.0,362.0,2314627,877013038.3,801.05,280.0,38733,INE298A01020,2020-04-15,378.9
970,CUMMINSIND,EQ,N,396.0,362.5,370.0,389.8,389.85,375.4,2037046,780328554.35,801.05,280.0,32953,INE298A01020,2020-04-16,383.07
971,CUMMINSIND,EQ,N,406.0,392.05,400.0,403.9,402.0,389.8,1229378,490532287.85,801.05,280.0,26045,INE298A01020,2020-04-17,399.01
972,CUMMINSIND,EQ,N,411.05,396.6,407.95,400.4,401.0,403.9,1361181,552143699.95,801.05,280.0,27109,INE298A01020,2020-04-20,405.64
973,CUMMINSIND,EQ,N,406.75,382.4,400.25,401.25,403.0,400.4,1674880,666933475.95,801.05,280.0,27098,INE298A01020,2020-04-21,398.2
974,CUMMINSIND,EQ,N,414.0,399.0,404.25,411.55,412.0,401.25,783606,320495264.75,801.05,280.0,15992,INE298A01020,2020-04-22,409.0
975,CUMMINSIND,EQ,N,424.2,405.0,414.5,419.15,421.0,411.55,1487449,618013542.1,801.05,280.0,33536,INE298A01020,2020-04-23,415.49
976,CUMMINSIND,EQ,N,426.55,377.25,420.95,384.95,377.5,419.15,1276331,518023477.4,801.05,280.0,32809,INE298A01020,2020-04-24,405.87
977,CUMMINSIND,EQ,N,382.0,358.5,382.0,369.65,370.0,384.95,2774768,1017669085.05,801.05,280.0,54844,INE298A01020,2020-04-27,366.76
