,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,DABUR,EQ,N,513.7,493.7,503.8,499.25,497.5,496.1,3441005,1737945513.2,523.25,357.55,87422,INE016A01026,2020-03-02,505.07
996,DABUR,EQ,N,513.0,500.3,503.0,506.6,507.3,499.25,3579242,1820228946.8,523.25,357.55,101209,INE016A01026,2020-03-03,508.55
1001,DABUR,EQ,N,516.9,506.6,511.0,514.4,516.9,506.6,3354621,1718156018.6,523.25,357.55,86541,INE016A01026,2020-03-04,512.18
1007,DABUR,EQ,N,525.0,514.55,520.0,517.95,519.4,514.4,3594544,1871158112.4,525.0,357.55,49920,INE016A01026,2020-03-05,520.56
1008,DABUR,EQ,N,513.25,496.2,511.0,500.55,500.0,517.95,2903801,1457410037.15,525.0,357.55,49558,INE016A01026,2020-03-06,501.9
1009,DABUR,EQ,N,494.95,478.1,492.0,483.15,488.0,500.55,2176031,1057166093.8,525.0,357.55,63398,INE016A01026,2020-03-09,485.82
1010,DABUR,EQ,N,494.35,476.45,479.8,488.0,488.55,483.15,2848964,1389245270.35,525.0,357.55,96208,INE016A01026,2020-03-11,487.63
1011,DABUR,EQ,N,478.0,451.7,477.5,455.25,456.55,488.0,2856386,1321883274.15,525.0,357.55,75716,INE016A01026,2020-03-12,462.78
1012,DABUR,EQ,N,472.75,401.7,425.0,450.6,453.65,455.25,4078608,1824901931.35,525.0,357.55,102383,INE016A01026,2020-03-13,447.43
1013,DABUR,EQ,N,454.95,426.4,439.4,431.5,432.8,450.6,3101283,1363091000.2,525.0,357.55,108050,INE016A01026,2020-03-16,439.52
1014,DABUR,EQ,N,450.9,424.4,431.5,430.4,438.0,431.5,2506836,1102712508.7,525.0,357.55,99085,INE016A01026,2020-03-17,439.88
