,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,DALBHARAT,EQ,N,808.85,751.0,799.0,763.35,752.65,782.1,125568,98175460.05,1219.9,750.1,6602,INE00R701025,2020-03-02,781.85
996,DALBHARAT,EQ,N,778.6,740.3,778.6,750.7,750.0,763.35,117185,88132852.35,1219.9,740.3,6396,INE00R701025,2020-03-03,752.08
1000,DALBHARAT,EQ,N,763.15,711.8,757.55,728.85,722.5,750.7,43542,32144527.55,1219.9,711.8,3962,INE00R701025,2020-03-04,738.24
1005,DALBHARAT,EQ,N,749.0,723.05,730.25,745.75,748.0,728.85,168093,124140189.2,1219.9,711.8,5295,INE00R701025,2020-03-05,738.52
1006,DALBHARAT,EQ,N,749.95,712.05,720.0,744.7,744.5,745.75,84204,62276099.35,1219.9,711.8,3752,INE00R701025,2020-03-06,739.59
1007,DALBHARAT,EQ,N,752.6,704.8,741.5,744.4,736.45,744.7,155624,114043282.85,1219.9,704.8,13955,INE00R701025,2020-03-09,732.81
1008,DALBHARAT,EQ,N,759.15,720.2,744.4,726.85,721.0,744.4,62211,45526596.05,1219.9,704.8,5055,INE00R701025,2020-03-11,731.81
1009,DALBHARAT,EQ,N,714.7,608.85,690.2,637.85,645.0,726.85,321374,206127167.6,1219.9,608.85,16412,INE00R701025,2020-03-12,641.39
1010,DALBHARAT,EQ,N,669.95,542.0,542.0,623.6,620.0,637.85,408495,254530451.8,1219.9,542.0,15103,INE00R701025,2020-03-13,623.09
1011,DALBHARAT,EQ,N,644.8,575.0,610.0,584.6,593.8,623.6,199064,121049305.25,1219.9,542.0,13145,INE00R701025,2020-03-16,608.09
1012,DALBHARAT,EQ,N,611.95,538.35,585.2,547.6,545.0,584.6,124687,71562833.75,1219.9,538.35,7669,INE00R701025,2020-03-17,573.94
1013,DALBHARAT,EQ,N,582.6,520.05,548.05,525.85,525.0,547.6,665822,361054954.65,1219.9,520.05,5211,INE00R701025,2020-03-18,542.27
1014,DALBHARAT,EQ,N,519.4,484.45,505.0,487.55,489.0,525.85,282087,140388264.85,1219.9,484.45,9427,INE00R701025,2020-03-19,497.68
1015,DALBHARAT,EQ,N,520.0,488.1,488.1,511.1,515.25,487.55,198998,101647101.8,1219.9,484.45,7003,INE00R701025,2020-03-20,510.79
1016,DALBHARAT,EQ,N,505.0,408.9,488.0,408.9,408.9,511.1,293457,121849439.75,1219.9,408.9,2157,INE00R701025,2020-03-23,415.22
1017,DALBHARAT,EQ,N,449.75,402.7,412.0,432.35,440.0,408.9,461050,199826193.7,1219.9,402.7,19550,INE00R701025,2020-03-24,433.42
1018,DALBHARAT,EQ,N,453.0,410.0,410.0,442.3,442.0,432.35,99423,43714156.55,1219.9,402.7,7782,INE00R701025,2020-03-25,439.68
1019,DALBHARAT,EQ,N,486.5,439.95,448.0,486.5,486.5,442.3,113888,54724017.65,1219.9,402.7,2881,INE00R701025,2020-03-26,480.51
1020,DALBHARAT,EQ,N,535.15,489.1,525.0,503.75,508.35,486.5,138704,71700563.7,1219.9,402.7,9991,INE00R701025,2020-03-27,516.93
1021,DALBHARAT,EQ,N,540.0,455.5,503.75,499.9,500.0,503.75,114921,57378335.0,1219.9,402.7,5813,INE00R701025,2020-03-30,499.29
1022,DALBHARAT,EQ,N,549.7,476.05,549.7,490.6,493.95,499.9,422492,210952121.05,1219.9,402.7,5684,INE00R701025,2020-03-31,499.3
1023,DALBHARAT,EQ,N,500.8,452.1,490.0,457.4,455.0,490.6,52304,24363207.4,1219.9,402.7,3279,INE00R701025,2020-04-01,465.8
1024,DALBHARAT,EQ,N,468.5,415.55,460.05,422.3,424.0,457.4,136297,58301312.85,1219.9,402.7,9970,INE00R701025,2020-04-03,427.75
1025,DALBHARAT,EQ,N,464.5,428.25,428.25,463.85,463.5,422.3,386396,173082798.4,1219.9,402.7,12909,INE00R701025,2020-04-07,447.94
1026,DALBHARAT,EQ,N,503.0,455.15,463.85,462.95,461.0,463.85,69189,32544233.3,1219.9,402.7,7497,INE00R701025,2020-04-08,470.37
1027,DALBHARAT,EQ,N,488.15,465.05,479.8,480.95,481.0,462.95,161793,77465506.45,1219.9,402.7,9037,INE00R701025,2020-04-09,478.79
968,DALBHARAT,EQ,N,509.0,472.35,481.1,494.75,497.0,480.95,215695,105645085.6,1219.9,402.7,6560,INE00R701025,2020-04-13,489.79
969,DALBHARAT,EQ,N,560.0,506.25,506.4,536.75,555.45,494.75,410481,219528112.45,1219.9,402.7,24832,INE00R701025,2020-04-15,534.81
970,DALBHARAT,EQ,N,569.9,526.55,550.0,533.9,532.1,536.75,216110,115468833.25,1219.9,402.7,10085,INE00R701025,2020-04-16,534.31
971,DALBHARAT,EQ,N,553.0,532.9,553.0,540.35,541.75,533.9,273639,147837928.5,1219.9,402.7,6153,INE00R701025,2020-04-17,540.27
972,DALBHARAT,EQ,N,555.0,538.15,546.0,540.05,541.0,540.35,261699,142082119.5,1219.9,402.7,12210,INE00R701025,2020-04-20,542.92
973,DALBHARAT,EQ,N,548.0,525.7,538.15,534.35,530.0,540.05,890819,476129043.25,1219.9,402.7,9126,INE00R701025,2020-04-21,534.48
974,DALBHARAT,EQ,N,545.25,523.7,540.0,525.2,525.35,534.35,62496,33100507.5,1219.9,402.7,4027,INE00R701025,2020-04-22,529.64
975,DALBHARAT,EQ,N,536.8,525.0,532.0,532.2,532.0,525.2,394686,210501060.2,1219.9,402.7,6413,INE00R701025,2020-04-23,533.34
976,DALBHARAT,EQ,N,533.65,521.0,530.0,521.4,521.7,532.2,76773,40237432.3,1219.9,402.7,3271,INE00R701025,2020-04-24,524.11
977,DALBHARAT,EQ,N,545.95,523.0,523.0,534.35,532.0,521.4,121266,65369211.15,1219.9,402.7,18392,INE00R701025,2020-04-27,539.06
978,DALBHARAT,EQ,N,544.75,523.35,537.95,528.5,531.8,534.35,48142,25778173.0,1219.9,402.7,4847,INE00R701025,2020-04-28,535.46
979,DALBHARAT,EQ,N,544.3,517.7,520.3,521.35,521.8,528.5,408607,214649834.0,1219.9,402.7,6901,INE00R701025,2020-04-29,525.32
980,DALBHARAT,EQ,N,531.7,520.1,525.6,521.65,523.5,521.35,149172,78224994.3,1219.9,402.7,18500,INE00R701025,2020-04-30,524.39
981,DALBHARAT,EQ,N,531.65,506.0,506.0,510.55,510.8,521.65,467343,238885755.8,1219.9,402.7,10942,INE00R701025,2020-05-04,511.16
