,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,DEEPAKNTR,EQ,N,524.0,470.4,483.0,505.1,502.2,461.9,2380603,1199227179.65,524.0,233.2,59641,INE288B01029,2020-03-02,503.75
996,DEEPAKNTR,EQ,N,537.85,510.2,512.8,532.95,535.35,505.1,2231123,1175697349.65,537.85,233.2,73505,INE288B01029,2020-03-03,526.95
1001,DEEPAKNTR,EQ,N,542.5,498.15,542.5,521.8,521.5,532.95,1370234,712254828.8,542.5,233.2,38397,INE288B01029,2020-03-04,519.81
1007,DEEPAKNTR,EQ,N,530.0,514.0,527.0,519.85,517.25,521.8,730753,381989345.4,542.5,233.2,34883,INE288B01029,2020-03-05,522.73
1008,DEEPAKNTR,EQ,N,523.0,488.05,490.0,519.0,520.0,519.85,917859,467849158.6,542.5,233.2,24957,INE288B01029,2020-03-06,509.72
1009,DEEPAKNTR,EQ,N,508.8,463.45,508.8,490.6,492.5,519.0,988007,484563612.45,542.5,252.0,35979,INE288B01029,2020-03-09,490.45
1010,DEEPAKNTR,EQ,N,509.0,470.75,490.6,475.2,472.0,490.6,806521,392242301.65,542.5,252.0,25149,INE288B01029,2020-03-11,486.34
1011,DEEPAKNTR,EQ,N,450.0,390.0,445.0,439.5,429.0,475.2,2091687,884969942.05,542.5,252.0,66545,INE288B01029,2020-03-12,423.09
1012,DEEPAKNTR,EQ,N,484.6,370.1,377.0,468.7,461.3,439.5,1434867,637708019.45,542.5,252.0,45256,INE288B01029,2020-03-13,444.44
1013,DEEPAKNTR,EQ,N,448.9,419.3,441.0,429.25,423.65,468.7,856985,372782823.35,542.5,254.75,34829,INE288B01029,2020-03-16,434.99
1014,DEEPAKNTR,EQ,N,447.0,402.6,425.0,410.9,403.7,429.25,726513,310438856.5,542.5,254.75,27132,INE288B01029,2020-03-17,427.3
1015,DEEPAKNTR,EQ,N,427.55,358.5,415.0,363.1,364.85,410.9,840461,327876574.8,542.5,254.75,28347,INE288B01029,2020-03-18,390.12
1016,DEEPAKNTR,EQ,N,381.6,310.0,335.0,341.55,343.7,363.1,1974070,671935975.0,542.5,254.75,56987,INE288B01029,2020-03-19,340.38
1017,DEEPAKNTR,EQ,N,399.0,349.0,360.0,377.9,387.0,341.55,1116097,407876508.65,542.5,254.75,38185,INE288B01029,2020-03-20,365.45
1018,DEEPAKNTR,EQ,N,349.0,311.0,331.0,324.0,340.0,377.9,710326,233779507.6,542.5,254.75,25698,INE288B01029,2020-03-23,329.12
1019,DEEPAKNTR,EQ,N,388.0,314.05,350.0,336.15,336.0,324.0,856447,287040832.7,542.5,254.75,28627,INE288B01029,2020-03-24,335.15
1020,DEEPAKNTR,EQ,N,365.5,328.0,336.15,362.0,363.0,336.15,579454,206672736.3,542.5,254.75,19136,INE288B01029,2020-03-25,356.67
1021,DEEPAKNTR,EQ,N,417.0,364.5,372.0,388.2,387.95,362.0,1457924,574349557.45,542.5,254.75,54556,INE288B01029,2020-03-26,393.95
1022,DEEPAKNTR,EQ,N,410.0,374.5,400.0,376.0,376.0,388.2,661240,257310494.3,542.5,254.75,20172,INE288B01029,2020-03-27,389.13
1023,DEEPAKNTR,EQ,N,372.95,345.0,372.95,364.95,364.75,376.0,462869,168269477.35,542.5,254.75,17566,INE288B01029,2020-03-30,363.54
1024,DEEPAKNTR,EQ,N,399.0,369.0,376.4,385.05,383.0,364.95,1232918,477662303.25,542.5,254.75,34057,INE288B01029,2020-03-31,387.42
1025,DEEPAKNTR,EQ,N,399.85,377.0,383.5,380.45,378.0,385.05,572211,221631522.7,542.5,254.75,18665,INE288B01029,2020-04-01,387.32
1026,DEEPAKNTR,EQ,N,388.7,358.4,385.0,379.85,381.5,380.45,445088,169843441.55,542.5,254.75,17081,INE288B01029,2020-04-03,381.6
1027,DEEPAKNTR,EQ,N,439.7,384.8,395.0,432.4,436.0,379.85,1374413,568215324.5,542.5,254.75,32386,INE288B01029,2020-04-07,413.42
1028,DEEPAKNTR,EQ,N,465.0,432.5,439.95,435.35,434.15,432.4,1023721,461174349.3,542.5,254.75,32064,INE288B01029,2020-04-08,450.49
1029,DEEPAKNTR,EQ,N,493.8,451.05,452.0,469.95,470.0,435.35,1850133,877219167.5,542.5,254.75,55983,INE288B01029,2020-04-09,474.14
968,DEEPAKNTR,EQ,N,488.5,447.05,474.55,458.05,458.1,469.95,703775,323354959.9,542.5,254.75,21267,INE288B01029,2020-04-13,459.46
969,DEEPAKNTR,EQ,N,477.3,436.0,465.0,446.85,449.0,458.05,714310,328060619.5,542.5,254.75,30619,INE288B01029,2020-04-15,459.27
970,DEEPAKNTR,EQ,N,474.9,457.25,470.0,466.25,466.3,446.85,614723,285520282.4,542.5,254.75,18841,INE288B01029,2020-04-16,464.47
971,DEEPAKNTR,EQ,N,479.5,463.25,475.6,469.6,468.0,466.25,485485,228492983.1,542.5,254.75,18119,INE288B01029,2020-04-17,470.65
972,DEEPAKNTR,EQ,N,476.55,460.0,473.0,460.9,460.5,469.6,355712,166199245.75,542.5,254.75,13206,INE288B01029,2020-04-20,467.23
973,DEEPAKNTR,EQ,N,477.0,442.3,449.55,449.5,448.0,460.9,1188546,549655827.85,542.5,254.75,29670,INE288B01029,2020-04-21,462.46
974,DEEPAKNTR,EQ,N,464.95,445.25,449.0,457.35,459.5,449.5,571574,261019416.1,542.5,254.75,18743,INE288B01029,2020-04-22,456.67
975,DEEPAKNTR,EQ,N,489.25,475.15,478.0,482.4,484.0,457.35,1631784,787634451.7,542.5,254.75,50648,INE288B01029,2020-04-23,482.68
976,DEEPAKNTR,EQ,N,491.7,452.0,478.8,461.25,466.0,482.4,1520457,717916619.15,542.5,254.75,37146,INE288B01029,2020-04-24,472.17
977,DEEPAKNTR,EQ,N,484.0,466.0,470.0,480.35,481.5,461.25,1036585,495695343.9,542.5,257.3,23055,INE288B01029,2020-04-27,478.2
978,DEEPAKNTR,EQ,N,499.0,482.05,490.1,485.6,484.35,480.35,1133340,556954527.9,542.5,257.3,44358,INE288B01029,2020-04-28,491.43
979,DEEPAKNTR,EQ,N,534.9,480.0,486.9,507.1,510.0,485.6,3619395,1860320882.55,542.5,257.3,71486,INE288B01029,2020-04-29,513.99
