,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,DIVISLAB,EQ,N,2164.9,2086.0,2130.0,2109.25,2120.0,2106.95,557614,1188782624.8,2236.4,1466.0,31517,INE361B01024,2020-03-02,2131.91
996,DIVISLAB,EQ,N,2210.0,2063.55,2124.9,2183.1,2189.0,2109.25,1399046,3009760488.7,2236.4,1466.0,63619,INE361B01024,2020-03-03,2151.29
1000,DIVISLAB,EQ,N,2210.9,2157.75,2183.0,2174.8,2174.25,2183.1,634747,1381898187.5,2236.4,1466.0,47408,INE361B01024,2020-03-04,2177.09
1006,DIVISLAB,EQ,N,2239.0,2175.0,2175.0,2223.75,2222.0,2174.8,1094422,2430907799.9,2239.0,1466.0,46020,INE361B01024,2020-03-05,2221.18
1007,DIVISLAB,EQ,N,2249.0,2171.45,2180.0,2240.05,2239.65,2223.75,968953,2152490498.0,2249.0,1466.0,50936,INE361B01024,2020-03-06,2221.46
1008,DIVISLAB,EQ,N,2258.95,2137.05,2240.0,2181.75,2168.95,2240.05,879424,1920644625.4,2258.95,1466.0,47746,INE361B01024,2020-03-09,2183.98
1009,DIVISLAB,EQ,N,2194.75,2125.05,2180.8,2149.2,2155.6,2181.75,573239,1235204314.4,2258.95,1466.0,45300,INE361B01024,2020-03-11,2154.78
1010,DIVISLAB,EQ,N,2129.0,1826.85,2129.0,1912.85,1925.5,2149.2,1552640,3030662249.45,2258.95,1466.0,79441,INE361B01024,2020-03-12,1951.94
1011,DIVISLAB,EQ,N,1993.4,1626.0,1800.0,1962.7,1985.0,1912.85,962602,1852379436.25,2258.95,1466.0,62461,INE361B01024,2020-03-13,1924.35
1012,DIVISLAB,EQ,N,1986.0,1871.55,1950.0,1891.9,1888.5,1962.7,682666,1311784906.25,2258.95,1466.0,43712,INE361B01024,2020-03-16,1921.56
1013,DIVISLAB,EQ,N,1963.1,1872.25,1892.0,1895.3,1928.0,1891.9,1300859,2496169171.25,2258.95,1466.0,67057,INE361B01024,2020-03-17,1918.86
1014,DIVISLAB,EQ,N,1933.95,1787.65,1928.0,1805.25,1818.0,1895.3,1076630,1997519114.15,2258.95,1466.0,75507,INE361B01024,2020-03-18,1855.34
1015,DIVISLAB,EQ,N,1946.45,1631.05,1720.0,1870.95,1850.0,1805.25,1743762,3188058937.8,2258.95,1466.0,110741,INE361B01024,2020-03-19,1828.26
1016,DIVISLAB,EQ,N,2017.15,1864.4,1875.55,1994.9,2000.05,1870.95,1881347,3678738068.45,2258.95,1466.0,94067,INE361B01024,2020-03-20,1955.37
1017,DIVISLAB,EQ,N,1925.0,1725.55,1849.95,1851.75,1821.35,1994.9,1203381,2202283302.6,2258.95,1466.0,50218,INE361B01024,2020-03-23,1830.08
1018,DIVISLAB,EQ,N,1975.0,1860.5,1925.0,1919.95,1919.95,1851.75,1286555,2484254758.45,2258.95,1466.0,82652,INE361B01024,2020-03-24,1930.94
1019,DIVISLAB,EQ,N,1974.0,1881.1,1900.0,1928.05,1914.0,1919.95,676624,1302660745.7,2258.95,1466.0,67743,INE361B01024,2020-03-25,1925.24
1020,DIVISLAB,EQ,N,1980.0,1874.0,1937.35,1883.3,1878.0,1928.05,596440,1144981744.3,2258.95,1466.0,37326,INE361B01024,2020-03-26,1919.69
1021,DIVISLAB,EQ,N,1930.0,1824.75,1930.0,1862.55,1873.0,1883.3,538840,1009319414.75,2258.95,1466.0,47593,INE361B01024,2020-03-27,1873.13
1022,DIVISLAB,EQ,N,1929.9,1832.7,1851.0,1893.9,1899.0,1862.55,606185,1152032273.05,2258.95,1466.0,44466,INE361B01024,2020-03-30,1900.46
1023,DIVISLAB,EQ,N,2035.0,1895.0,1943.0,1989.05,1978.15,1893.9,937729,1842955462.9,2258.95,1466.0,68444,INE361B01024,2020-03-31,1965.34
1024,DIVISLAB,EQ,N,2000.4,1844.25,2000.0,1877.0,1890.0,1989.05,1165088,2214540088.25,2258.95,1466.0,68807,INE361B01024,2020-04-01,1900.75
1025,DIVISLAB,EQ,N,1940.0,1822.95,1910.0,1901.05,1902.0,1877.0,1219731,2308993482.15,2258.95,1466.0,79829,INE361B01024,2020-04-03,1893.04
1026,DIVISLAB,EQ,N,2150.0,1921.25,1960.0,2067.85,2067.95,1901.05,2241715,4576774989.9,2258.95,1466.0,111108,INE361B01024,2020-04-07,2041.64
1027,DIVISLAB,EQ,N,2214.6,2040.1,2065.0,2168.95,2168.0,2067.85,1228905,2658254240.2,2258.95,1466.0,63827,INE361B01024,2020-04-08,2163.11
1028,DIVISLAB,EQ,N,2467.6,2200.25,2225.0,2310.9,2315.95,2168.95,2527934,5890731443.45,2467.6,1466.0,98602,INE361B01024,2020-04-09,2330.26
968,DIVISLAB,EQ,N,2421.0,2285.0,2385.0,2341.2,2351.9,2310.9,1782628,4229603746.2,2467.6,1466.0,79301,INE361B01024,2020-04-13,2372.68
969,DIVISLAB,EQ,N,2418.0,2330.0,2371.0,2395.45,2385.9,2341.2,1136727,2714580633.6,2467.6,1466.0,74504,INE361B01024,2020-04-15,2388.07
970,DIVISLAB,EQ,N,2448.5,2353.8,2395.4,2393.2,2393.85,2395.45,1350131,3248040353.75,2467.6,1466.0,69302,INE361B01024,2020-04-16,2405.72
971,DIVISLAB,EQ,N,2449.55,2320.15,2430.0,2332.2,2331.0,2393.2,1326980,3128278985.5,2467.6,1466.0,88370,INE361B01024,2020-04-17,2357.44
972,DIVISLAB,EQ,N,2375.0,2296.05,2335.0,2342.55,2330.0,2332.2,817776,1917040262.85,2467.6,1466.0,53150,INE361B01024,2020-04-20,2344.21
973,DIVISLAB,EQ,N,2474.45,2295.0,2295.0,2406.6,2408.0,2342.55,1365316,3294723454.1,2474.45,1466.0,68394,INE361B01024,2020-04-21,2413.16
974,DIVISLAB,EQ,N,2412.95,2363.65,2406.95,2384.5,2385.35,2406.6,596850,1426155379.25,2474.45,1466.0,48200,INE361B01024,2020-04-22,2389.47
975,DIVISLAB,EQ,N,2454.3,2376.0,2388.0,2417.3,2412.0,2384.5,993530,2408365557.95,2474.45,1466.0,56136,INE361B01024,2020-04-23,2424.05
976,DIVISLAB,EQ,N,2460.0,2390.6,2410.0,2425.4,2424.0,2417.3,894214,2176693546.3,2474.45,1466.0,42671,INE361B01024,2020-04-24,2434.2
977,DIVISLAB,EQ,N,2472.4,2394.2,2450.0,2425.85,2424.6,2425.4,924358,2252065000.55,2474.45,1466.0,69375,INE361B01024,2020-04-27,2436.36
978,DIVISLAB,EQ,N,2445.0,2349.0,2445.0,2363.35,2358.5,2425.85,855507,2037766355.4,2474.45,1466.0,65207,INE361B01024,2020-04-28,2381.94
979,DIVISLAB,EQ,N,2409.0,2352.0,2388.0,2369.85,2369.75,2363.35,635110,1511328778.5,2474.45,1466.0,36074,INE361B01024,2020-04-29,2379.63
980,DIVISLAB,EQ,N,2372.7,2300.7,2365.0,2332.9,2333.0,2369.85,843164,1968400697.25,2474.45,1466.0,103742,INE361B01024,2020-04-30,2334.54
981,DIVISLAB,EQ,N,2343.95,2226.0,2226.0,2287.15,2275.65,2332.9,936799,2152478070.75,2474.45,1466.0,79720,INE361B01024,2020-05-04,2297.69
982,DIVISLAB,EQ,N,2326.0,2273.2,2273.2,2284.25,2283.9,2287.15,609756,1403160265.5,2474.45,1466.0,62805,INE361B01024,2020-05-05,2301.18
983,DIVISLAB,EQ,N,2313.85,2241.7,2310.0,2291.35,2290.0,2284.25,762810,1738634376.15,2474.45,1466.0,64800,INE361B01024,2020-05-06,2279.25
984,DIVISLAB,EQ,N,2310.0,2227.0,2280.35,2258.85,2275.0,2291.35,498540,1129988490.35,2474.45,1466.0,45532,INE361B01024,2020-05-07,2266.6
985,DIVISLAB,EQ,N,2314.85,2253.1,2271.0,2300.8,2300.0,2258.85,641799,1473304808.65,2474.45,1466.0,52656,INE361B01024,2020-05-08,2295.59
986,DIVISLAB,EQ,N,2356.0,2310.05,2319.0,2326.9,2330.0,2300.8,654101,1529505730.15,2474.45,1466.0,44365,INE361B01024,2020-05-11,2338.33
987,DIVISLAB,EQ,N,2374.35,2303.05,2330.0,2363.55,2363.6,2326.9,676618,1588358193.25,2474.45,1466.0,43952,INE361B01024,2020-05-12,2347.5
988,DIVISLAB,EQ,N,2396.9,2314.0,2388.0,2339.5,2330.05,2363.55,538170,1255845950.25,2474.45,1466.0,35086,INE361B01024,2020-05-13,2333.55
989,DIVISLAB,EQ,N,2377.9,2302.0,2329.0,2366.6,2370.0,2339.5,413755,976938144.9,2474.45,1466.0,20255,INE361B01024,2020-05-14,2361.15
990,DIVISLAB,EQ,N,2413.0,2327.35,2376.0,2335.2,2336.8,2366.6,600190,1419775431.35,2474.45,1466.0,38986,INE361B01024,2020-05-15,2365.54
991,DIVISLAB,EQ,N,2379.0,2318.4,2342.0,2330.2,2334.9,2335.2,600640,1409057960.95,2474.45,1466.0,44792,INE361B01024,2020-05-18,2345.93
992,DIVISLAB,EQ,N,2358.0,2307.8,2350.0,2321.75,2321.5,2330.2,322942,753926462.15,2474.45,1466.0,17822,INE361B01024,2020-05-19,2334.56
993,DIVISLAB,EQ,N,2376.7,2311.1,2325.0,2372.7,2375.0,2321.75,601003,1409754616.8,2474.45,1466.0,39340,INE361B01024,2020-05-20,2345.67
941,DIVISLAB,EQ,N,2390.5,2333.3,2375.0,2357.35,2346.8,2372.7,317110,747416161.75,2474.45,1466.0,25829,INE361B01024,2020-05-21,2356.96
942,DIVISLAB,EQ,N,2375.15,2305.0,2351.0,2320.0,2322.0,2357.35,479501,1120716756.2,2474.45,1466.0,36251,INE361B01024,2020-05-22,2337.26
943,DIVISLAB,EQ,N,2344.9,2287.4,2339.95,2295.7,2294.5,2320.0,404978,934017747.3,2474.45,1466.0,34890,INE361B01024,2020-05-26,2306.34
944,DIVISLAB,EQ,N,2320.0,2260.0,2305.0,2290.4,2285.0,2295.7,720221,1648349501.5,2474.45,1466.0,45448,INE361B01024,2020-05-27,2288.67
945,DIVISLAB,EQ,N,2300.0,2255.35,2295.5,2285.1,2288.3,2290.4,392876,893161854.85,2474.45,1466.0,21451,INE361B01024,2020-05-28,2273.39
946,DIVISLAB,EQ,N,2408.1,2262.3,2285.0,2390.1,2393.0,2285.1,1000266,2360719517.6,2474.45,1466.0,57338,INE361B01024,2020-05-29,2360.09
947,DIVISLAB,EQ,N,2492.9,2360.0,2402.1,2480.05,2486.95,2390.1,1128386,2742967446.1,2492.9,1466.0,55462,INE361B01024,2020-06-01,2430.88
948,DIVISLAB,EQ,N,2537.95,2400.0,2500.0,2411.0,2411.95,2480.05,1305088,3221792598.1,2537.95,1466.0,73028,INE361B01024,2020-06-02,2468.64
949,DIVISLAB,EQ,N,2442.0,2367.2,2420.0,2382.2,2380.0,2411.0,888450,2130974529.0,2537.95,1466.0,59754,INE361B01024,2020-06-03,2398.53
950,DIVISLAB,EQ,N,2439.0,2385.0,2392.0,2421.15,2420.95,2382.2,704299,1703740649.9,2537.95,1466.0,44439,INE361B01024,2020-06-04,2419.06
951,DIVISLAB,EQ,N,2476.0,2415.75,2429.45,2460.05,2476.0,2421.15,770517,1888117465.8,2537.95,1466.0,42148,INE361B01024,2020-06-05,2450.46
952,DIVISLAB,EQ,N,2472.0,2337.0,2472.0,2413.05,2405.0,2460.05,1943121,4626960493.2,2537.95,1466.0,99452,INE361B01024,2020-06-08,2381.2
953,DIVISLAB,EQ,N,2456.9,2400.0,2400.0,2421.8,2412.0,2413.05,1215393,2953689541.3,2537.95,1466.0,61299,INE361B01024,2020-06-09,2430.23
954,DIVISLAB,EQ,N,2444.0,2376.0,2412.0,2394.65,2398.0,2421.8,702973,1691261959.35,2537.95,1466.0,35141,INE361B01024,2020-06-10,2405.87
955,DIVISLAB,EQ,N,2417.35,2347.0,2394.65,2356.3,2358.0,2394.65,470945,1121937273.25,2537.95,1466.0,27820,INE361B01024,2020-06-11,2382.31
956,DIVISLAB,EQ,N,2400.3,2302.9,2310.0,2395.1,2390.9,2356.3,589371,1390991109.4,2537.95,1466.0,37165,INE361B01024,2020-06-12,2360.13
957,DIVISLAB,EQ,N,2449.6,2322.45,2408.95,2335.05,2329.85,2395.1,1261594,2994226470.7,2537.95,1466.0,63046,INE361B01024,2020-06-15,2373.37
958,DIVISLAB,EQ,N,2365.0,2285.0,2352.0,2320.35,2320.0,2335.05,660665,1536529215.55,2537.95,1466.0,33260,INE361B01024,2020-06-16,2325.73
959,DIVISLAB,EQ,N,2337.85,2292.3,2329.05,2300.1,2303.0,2320.35,699526,1614382877.8,2537.95,1466.0,51653,INE361B01024,2020-06-17,2307.82
960,DIVISLAB,EQ,N,2332.0,2296.55,2305.9,2310.45,2313.3,2300.1,304466,704252429.9,2537.95,1466.0,15619,INE361B01024,2020-06-18,2313.07
961,DIVISLAB,EQ,N,2330.0,2286.0,2318.7,2304.75,2325.0,2310.45,728257,1678270640.05,2537.95,1466.0,30555,INE361B01024,2020-06-19,2304.5
962,DIVISLAB,EQ,N,2369.0,2317.0,2335.0,2349.25,2347.0,2304.75,445250,1043406523.55,2537.95,1466.0,32337,INE361B01024,2020-06-22,2343.42
963,DIVISLAB,EQ,N,2401.05,2322.0,2360.0,2380.05,2399.0,2349.25,838036,1981573209.8,2537.95,1466.0,52063,INE361B01024,2020-06-23,2364.54
964,DIVISLAB,EQ,N,2412.0,2331.5,2395.0,2341.35,2347.0,2380.05,501602,1191218077.35,2537.95,1466.0,41102,INE361B01024,2020-06-24,2374.83
965,DIVISLAB,EQ,N,2378.0,2325.35,2340.55,2330.45,2337.0,2341.35,316335,742108162.2,2537.95,1466.0,39300,INE361B01024,2020-06-25,2345.96
966,DIVISLAB,EQ,N,2381.9,2332.55,2344.0,2350.75,2352.15,2330.45,497120,1170619384.25,2537.95,1466.0,56011,INE361B01024,2020-06-26,2354.8
967,DIVISLAB,EQ,N,2368.0,2308.1,2359.55,2316.6,2320.0,2350.75,519075,1208489685.0,2537.95,1466.0,33091,INE361B01024,2020-06-29,2328.16
911,DIVISLAB,EQ,N,2334.95,2267.0,2334.95,2278.9,2277.0,2316.6,684514,1572687705.9,2537.95,1466.0,50056,INE361B01024,2020-06-30,2297.52
912,DIVISLAB,EQ,N,2284.0,2233.0,2284.0,2241.25,2239.5,2278.9,788451,1773202290.8,2537.95,1466.0,55047,INE361B01024,2020-07-01,2248.97
913,DIVISLAB,EQ,N,2242.0,2090.05,2100.0,2196.65,2205.3,2241.25,4392566,9614920492.8,2537.95,1466.0,197594,INE361B01024,2020-07-02,2188.91
914,DIVISLAB,EQ,N,2248.5,2181.1,2206.0,2190.45,2188.0,2196.65,1516429,3341860384.0,2537.95,1466.0,66888,INE361B01024,2020-07-03,2203.77
915,DIVISLAB,EQ,N,2219.9,2157.0,2219.9,2161.1,2162.0,2190.45,932523,2024057067.8,2537.95,1466.0,80358,INE361B01024,2020-07-06,2170.52
916,DIVISLAB,EQ,N,2207.0,2147.0,2179.5,2184.5,2183.0,2161.1,1348627,2941885081.2,2537.95,1466.0,50253,INE361B01024,2020-07-07,2181.39
917,DIVISLAB,EQ,N,2213.0,2141.05,2174.0,2163.5,2163.0,2184.5,1586377,3443549064.25,2537.95,1466.0,82528,INE361B01024,2020-07-08,2170.7
918,DIVISLAB,EQ,N,2193.85,2153.0,2171.0,2176.35,2176.0,2163.5,819363,1780700665.5,2537.95,1466.0,41448,INE361B01024,2020-07-09,2173.27
919,DIVISLAB,EQ,N,2226.6,2160.0,2184.35,2203.1,2206.0,2176.35,1011415,2231562960.4,2537.95,1466.0,52178,INE361B01024,2020-07-10,2206.38
920,DIVISLAB,EQ,N,2240.0,2197.2,2220.0,2235.15,2240.0,2203.1,600585,1334749269.1,2537.95,1466.0,28595,INE361B01024,2020-07-13,2222.42
921,DIVISLAB,EQ,N,2256.6,2211.3,2243.5,2218.15,2211.3,2235.15,811092,1808669792.2,2537.95,1466.0,27602,INE361B01024,2020-07-14,2229.92
922,DIVISLAB,EQ,N,2245.0,2214.15,2219.0,2225.3,2220.45,2218.15,1234453,2749879544.7,2537.95,1466.0,46565,INE361B01024,2020-07-15,2227.61
923,DIVISLAB,EQ,N,2242.0,2193.25,2239.0,2204.5,2205.05,2225.3,833702,1840278825.9,2537.95,1466.0,39225,INE361B01024,2020-07-16,2207.36
924,DIVISLAB,EQ,N,2274.55,2177.05,2200.0,2263.4,2264.0,2204.5,1233698,2767565181.3,2537.95,1466.0,44250,INE361B01024,2020-07-17,2243.31
925,DIVISLAB,EQ,N,2314.0,2241.55,2280.0,2298.75,2292.0,2263.4,1650814,3781188725.55,2537.95,1466.0,67512,INE361B01024,2020-07-20,2290.5
926,DIVISLAB,EQ,N,2327.0,2277.0,2305.0,2282.25,2277.45,2298.75,549204,1264986579.85,2537.95,1466.0,30161,INE361B01024,2020-07-21,2303.31
927,DIVISLAB,EQ,N,2307.0,2245.75,2293.0,2261.75,2264.0,2282.25,314826,715004122.55,2537.95,1466.0,21495,INE361B01024,2020-07-22,2271.11
928,DIVISLAB,EQ,N,2408.85,2274.65,2285.0,2397.45,2398.0,2261.75,2533983,6014096050.25,2537.95,1466.0,113913,INE361B01024,2020-07-23,2373.38
929,DIVISLAB,EQ,N,2433.2,2328.0,2390.0,2349.1,2347.0,2397.45,1234342,2926025128.15,2537.95,1466.0,65662,INE361B01024,2020-07-24,2370.51
930,DIVISLAB,EQ,N,2395.0,2320.2,2350.0,2361.9,2361.9,2349.1,915036,2166537847.05,2537.95,1466.0,49385,INE361B01024,2020-07-27,2367.71
931,DIVISLAB,EQ,N,2391.15,2332.0,2363.0,2341.55,2348.0,2361.9,1049978,2475263624.1,2537.95,1466.0,37939,INE361B01024,2020-07-28,2357.44
932,DIVISLAB,EQ,N,2435.0,2342.3,2356.1,2423.65,2420.1,2341.55,937796,2247465456.65,2537.95,1466.0,44093,INE361B01024,2020-07-29,2396.54
933,DIVISLAB,EQ,N,2577.15,2430.5,2434.95,2562.35,2561.0,2423.65,3392980,8548268023.5,2577.15,1466.0,124388,INE361B01024,2020-07-30,2519.4
