,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,DRREDDY,EQ,N,2997.25,2876.0,2961.0,2905.55,2894.5,2927.1,888866,2621669757.75,3364.95,2351.2,53996,INE089A01023,2020-03-02,2949.45
996,DRREDDY,EQ,N,3078.0,2931.25,2940.0,3043.7,3065.0,2905.55,1056080,3177409055.65,3364.95,2351.2,69684,INE089A01023,2020-03-03,3008.68
1000,DRREDDY,EQ,N,3186.75,3036.0,3065.0,3171.35,3169.75,3043.7,1832722,5732771377.85,3364.95,2351.2,92804,INE089A01023,2020-03-04,3128.01
1005,DRREDDY,EQ,N,3231.95,3166.2,3171.0,3184.45,3172.9,3171.35,1045742,3350069487.0,3364.95,2351.2,61143,INE089A01023,2020-03-05,3203.53
1006,DRREDDY,EQ,N,3206.45,3085.2,3085.2,3170.95,3157.0,3184.45,1125892,3565122208.4,3364.95,2351.2,81919,INE089A01023,2020-03-06,3166.49
1007,DRREDDY,EQ,N,3189.0,3026.05,3158.75,3061.25,3063.0,3170.95,998533,3084418734.6,3364.95,2351.2,81225,INE089A01023,2020-03-09,3088.95
1008,DRREDDY,EQ,N,3083.9,2983.0,3070.0,3000.6,3005.9,3061.25,1169141,3542652807.9,3364.95,2351.2,69892,INE089A01023,2020-03-11,3030.13
1009,DRREDDY,EQ,N,2982.5,2803.55,2948.0,2850.4,2882.0,3000.6,778179,2246539307.7,3364.95,2351.2,59263,INE089A01023,2020-03-12,2886.92
1010,DRREDDY,EQ,N,3135.4,2610.0,2729.95,2885.1,2920.0,2850.4,986034,2845207377.9,3364.95,2351.2,83997,INE089A01023,2020-03-13,2885.51
1011,DRREDDY,EQ,N,2980.95,2760.0,2790.0,2826.95,2825.0,2885.1,943080,2705477392.55,3364.95,2351.2,69102,INE089A01023,2020-03-16,2868.77
1012,DRREDDY,EQ,N,2904.0,2757.75,2830.0,2781.2,2765.0,2826.95,936854,2668576370.3,3364.95,2351.2,57661,INE089A01023,2020-03-17,2848.44
1013,DRREDDY,EQ,N,2801.8,2621.05,2801.8,2668.45,2680.9,2781.2,873524,2346520267.4,3364.95,2351.2,75729,INE089A01023,2020-03-18,2686.27
1014,DRREDDY,EQ,N,2679.9,2495.05,2608.0,2623.95,2619.75,2668.45,967602,2512960393.7,3364.95,2351.2,102422,INE089A01023,2020-03-19,2597.1
1015,DRREDDY,EQ,N,2949.0,2641.0,2641.0,2897.25,2879.8,2623.95,1554571,4394071901.85,3364.95,2351.2,117736,INE089A01023,2020-03-20,2826.55
1016,DRREDDY,EQ,N,3047.0,2680.25,2680.25,2768.4,2775.0,2897.25,963236,2694050906.8,3364.95,2351.2,59218,INE089A01023,2020-03-23,2796.88
1017,DRREDDY,EQ,N,2960.0,2801.1,2850.0,2857.95,2880.0,2768.4,1068118,3066309043.25,3364.95,2351.2,92301,INE089A01023,2020-03-24,2870.76
1018,DRREDDY,EQ,N,2948.9,2795.7,2827.25,2922.0,2917.0,2857.95,819410,2350230713.4,3364.95,2351.2,77692,INE089A01023,2020-03-25,2868.2
1019,DRREDDY,EQ,N,3066.55,2879.25,2975.2,2948.55,2940.0,2922.0,638995,1897312727.45,3364.95,2351.2,64439,INE089A01023,2020-03-26,2969.21
1020,DRREDDY,EQ,N,3046.95,2846.1,2952.8,2916.5,2917.5,2948.55,801588,2349923712.35,3364.95,2351.2,75582,INE089A01023,2020-03-27,2931.59
1021,DRREDDY,EQ,N,3050.0,2811.0,2879.6,2994.25,2990.1,2916.5,1150459,3437685351.3,3364.95,2351.2,74922,INE089A01023,2020-03-30,2988.1
1022,DRREDDY,EQ,N,3152.0,3032.05,3050.0,3120.75,3119.0,2994.25,1002756,3113863624.5,3364.95,2351.2,84109,INE089A01023,2020-03-31,3105.31
1023,DRREDDY,EQ,N,3144.0,3066.0,3119.95,3095.0,3102.0,3120.75,711048,2202279586.8,3364.95,2351.2,67620,INE089A01023,2020-04-01,3097.23
1024,DRREDDY,EQ,N,3218.85,3025.1,3085.0,3146.8,3146.85,3095.0,1173674,3689904631.75,3364.95,2351.2,95189,INE089A01023,2020-04-03,3143.89
1025,DRREDDY,EQ,N,3615.6,3210.0,3250.0,3583.2,3599.95,3146.8,2367583,8231477428.4,3615.6,2351.2,141819,INE089A01023,2020-04-07,3476.74
1026,DRREDDY,EQ,N,3765.0,3471.0,3525.0,3683.0,3697.8,3583.2,2522297,9268483049.65,3765.0,2351.2,178903,INE089A01023,2020-04-08,3674.62
1027,DRREDDY,EQ,N,3810.0,3593.2,3740.0,3621.55,3603.5,3683.0,1960953,7278550454.1,3810.0,2351.2,124240,INE089A01023,2020-04-09,3711.74
968,DRREDDY,EQ,N,3856.0,3607.2,3694.0,3746.6,3759.9,3621.55,2322394,8773977776.7,3856.0,2351.2,151314,INE089A01023,2020-04-13,3777.99
969,DRREDDY,EQ,N,3893.6,3776.0,3825.0,3807.6,3805.4,3746.6,1725113,6630697143.1,3893.6,2351.2,123319,INE089A01023,2020-04-15,3843.63
970,DRREDDY,EQ,N,3890.0,3780.0,3806.4,3860.65,3848.95,3807.6,1465944,5639046718.0,3893.6,2351.2,104152,INE089A01023,2020-04-16,3846.7
971,DRREDDY,EQ,N,3997.9,3823.6,3970.0,3929.55,3940.0,3860.65,1814922,7100392950.45,3997.9,2351.2,157976,INE089A01023,2020-04-17,3912.23
972,DRREDDY,EQ,N,3924.95,3810.3,3923.55,3844.75,3840.0,3929.55,1498802,5791507867.7,3997.9,2351.2,127048,INE089A01023,2020-04-20,3864.09
973,DRREDDY,EQ,N,4047.8,3822.05,3835.0,4016.4,4013.0,3844.75,2847875,11347608695.3,4047.8,2351.2,181920,INE089A01023,2020-04-21,3984.59
974,DRREDDY,EQ,N,4094.3,3961.25,3989.95,4056.8,4046.25,4016.4,1783452,7226251090.8,4094.3,2351.2,128246,INE089A01023,2020-04-22,4051.83
975,DRREDDY,EQ,N,4086.0,4009.25,4031.0,4027.1,4030.0,4056.8,1025657,4157617240.0,4094.3,2351.2,63488,INE089A01023,2020-04-23,4053.61
976,DRREDDY,EQ,N,4049.6,3970.1,4010.0,4002.8,4000.0,4027.1,1266284,5071564567.6,4094.3,2351.2,79023,INE089A01023,2020-04-24,4005.08
977,DRREDDY,EQ,N,4065.1,3955.05,4002.8,3980.3,3979.0,4002.8,1124910,4493361969.55,4094.3,2351.2,86091,INE089A01023,2020-04-27,3994.42
978,DRREDDY,EQ,N,4036.2,3892.05,4030.0,3949.75,3943.6,3980.3,861168,3393497740.7,4094.3,2351.2,63912,INE089A01023,2020-04-28,3940.58
