,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,EICHERMOT,EQ,N,17782.9,16643.0,16666.0,17013.4,17013.4,16602.35,348370,6023539218.45,23450.0,15200.0,74505,INE066A01013,2020-03-02,17290.64
996,EICHERMOT,EQ,N,18041.0,17400.0,17500.0,17888.45,17950.0,17013.4,274740,4861357789.55,23450.0,15200.0,68868,INE066A01013,2020-03-03,17694.39
1000,EICHERMOT,EQ,N,18280.0,16870.0,17954.0,17254.2,17171.55,17888.45,418609,7242573829.25,23450.0,15200.0,79891,INE066A01013,2020-03-04,17301.52
1005,EICHERMOT,EQ,N,17888.0,17161.8,17450.0,17775.35,17765.55,17254.2,231375,4078253205.3,23450.0,15200.0,52927,INE066A01013,2020-03-05,17626.16
1006,EICHERMOT,EQ,N,17871.5,16822.0,17350.0,17743.55,17810.0,17775.35,170791,2982337268.0,23450.0,15200.0,47537,INE066A01013,2020-03-06,17461.91
1007,EICHERMOT,EQ,N,17999.0,17045.15,17099.0,17885.8,17870.0,17743.55,193226,3399951852.7,23450.0,15200.0,52153,INE066A01013,2020-03-09,17595.73
1008,EICHERMOT,EQ,N,18266.95,17517.0,17885.8,17753.6,17679.95,17885.8,221910,3956569193.0,23450.0,15200.0,60073,INE066A01013,2020-03-11,17829.61
1009,EICHERMOT,EQ,N,17281.5,16700.0,16999.8,16877.75,16945.85,17753.6,363555,6146497986.1,23450.0,15200.0,61332,INE066A01013,2020-03-12,16906.65
1010,EICHERMOT,EQ,N,18528.65,15202.0,15900.0,17672.15,17808.7,16877.75,279403,4771416208.4,23450.0,15200.0,77651,INE066A01013,2020-03-13,17077.18
1011,EICHERMOT,EQ,N,17356.75,16360.0,16874.9,16493.7,16440.0,17672.15,192498,3255764763.25,23450.0,15200.0,55925,INE066A01013,2020-03-16,16913.24
