,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,GAIL,EQ,N,107.35,98.7,106.0,99.65,99.8,104.4,19521525,2009189552.3,366.5,98.7,96557,INE129A01019,2020-03-02,102.92
996,GAIL,EQ,N,103.8,99.5,100.9,103.2,103.3,99.65,15840274,1608960354.2,366.5,98.7,72925,INE129A01019,2020-03-03,101.57
1001,GAIL,EQ,N,106.9,102.4,103.95,106.05,105.7,103.2,20572842,2163369266.25,366.5,98.7,91109,INE129A01019,2020-03-04,105.16
1007,GAIL,EQ,N,111.25,105.9,109.85,106.8,106.95,106.05,19248671,2070882065.05,366.5,98.7,69783,INE129A01019,2020-03-05,107.59
1008,GAIL,EQ,N,108.7,102.05,104.0,107.8,107.7,106.8,15462296,1648400690.55,366.5,98.7,66461,INE129A01019,2020-03-06,106.61
1009,GAIL,EQ,N,104.85,99.5,103.6,100.45,99.65,107.8,16914812,1711440111.95,366.5,98.7,84744,INE129A01019,2020-03-09,101.18
1010,GAIL,EQ,N,97.55,90.0,96.65,90.5,90.2,100.45,49463841,4589349776.7,366.5,90.0,199566,INE129A01019,2020-03-11,92.78
1011,GAIL,EQ,N,88.8,79.1,85.0,79.95,79.55,90.5,35475068,2923574648.9,366.5,79.1,137300,INE129A01019,2020-03-12,82.41
1012,GAIL,EQ,N,91.65,65.0,75.0,84.55,84.5,79.95,29168003,2327357803.65,366.5,65.0,133092,INE129A01019,2020-03-13,79.79
1013,GAIL,EQ,N,82.6,77.5,82.0,78.15,78.8,84.55,15393097,1230219713.0,366.5,65.0,111109,INE129A01019,2020-03-16,79.92
1014,GAIL,EQ,N,81.0,72.95,78.5,74.65,73.45,78.15,15877469,1234314870.3,366.5,65.0,93855,INE129A01019,2020-03-17,77.74
1015,GAIL,EQ,N,76.2,69.25,74.65,70.85,70.85,74.65,30464913,2178916682.7,366.5,65.0,213459,INE129A01019,2020-03-18,71.52
1016,GAIL,EQ,N,72.25,65.6,68.45,69.4,69.6,70.85,25374357,1757773304.7,366.5,65.0,108349,INE129A01019,2020-03-19,69.27
1017,GAIL,EQ,N,82.4,70.3,71.0,80.8,80.8,69.4,34407635,2664868131.4,366.5,65.0,153256,INE129A01019,2020-03-20,77.45
1018,GAIL,EQ,N,82.0,72.75,74.0,78.0,78.7,80.8,14364156,1105583794.3,365.4,65.0,88054,INE129A01019,2020-03-23,76.97
1019,GAIL,EQ,N,82.5,75.15,81.0,76.45,77.7,78.0,12216429,953744651.05,365.4,65.0,74431,INE129A01019,2020-03-24,78.07
1020,GAIL,EQ,N,79.2,74.15,77.9,75.55,74.85,76.45,13719507,1043120175.9,365.4,65.0,70697,INE129A01019,2020-03-25,76.03
1021,GAIL,EQ,N,76.1,72.2,75.5,73.1,73.05,75.55,18094881,1337855333.65,365.4,65.0,80947,INE129A01019,2020-03-26,73.94
1022,GAIL,EQ,N,75.15,69.1,73.15,69.5,69.75,73.1,27556638,1959010340.9,365.4,65.0,117112,INE129A01019,2020-03-27,71.09
1023,GAIL,EQ,N,72.5,67.55,69.4,70.85,70.8,69.5,15011643,1064433029.25,365.4,65.0,80553,INE129A01019,2020-03-30,70.91
1024,GAIL,EQ,N,77.8,71.7,72.5,76.55,76.6,70.85,25805161,1945430835.8,365.4,65.0,167300,INE129A01019,2020-03-31,75.39
1025,GAIL,EQ,N,78.75,74.5,76.6,75.75,75.7,76.55,18826444,1437358399.7,365.4,65.0,86478,INE129A01019,2020-04-01,76.35
1026,GAIL,EQ,N,82.0,75.15,77.0,80.9,80.75,75.75,19035356,1512268626.15,365.4,65.0,111924,INE129A01019,2020-04-03,79.45
1027,GAIL,EQ,N,86.45,82.55,84.0,84.5,84.7,80.9,20660040,1747698036.3,365.4,65.0,126276,INE129A01019,2020-04-07,84.59
1028,GAIL,EQ,N,94.95,83.8,84.95,85.55,85.9,84.5,27892589,2488954236.7,365.4,65.0,130908,INE129A01019,2020-04-08,89.23
1029,GAIL,EQ,N,90.3,86.9,88.0,87.75,87.9,85.55,12510666,1102743875.5,365.4,65.0,67618,INE129A01019,2020-04-09,88.14
968,GAIL,EQ,N,89.4,83.8,88.7,86.05,86.2,87.75,8121867,699366166.9,365.4,65.0,45102,INE129A01019,2020-04-13,86.11
969,GAIL,EQ,N,90.0,86.1,90.0,86.6,86.85,86.05,13427323,1180394453.2,365.4,65.0,84166,INE129A01019,2020-04-15,87.91
970,GAIL,EQ,N,90.0,84.45,85.95,89.25,89.25,86.6,13298644,1176506489.35,365.4,65.0,64948,INE129A01019,2020-04-16,88.47
971,GAIL,EQ,N,91.95,88.1,91.95,89.7,89.3,89.25,11384010,1020267592.35,365.4,65.0,50741,INE129A01019,2020-04-17,89.62
972,GAIL,EQ,N,91.0,86.8,91.0,87.4,87.35,89.7,11550952,1026909005.7,365.4,65.0,68998,INE129A01019,2020-04-20,88.9
973,GAIL,EQ,N,86.9,78.7,86.0,82.5,82.2,87.4,19282457,1624438281.4,365.4,65.0,78518,INE129A01019,2020-04-21,84.24
974,GAIL,EQ,N,85.1,80.3,82.6,84.2,83.8,82.5,13845818,1142330492.7,365.4,65.0,79551,INE129A01019,2020-04-22,82.5
975,GAIL,EQ,N,88.7,82.75,84.95,83.25,83.5,84.2,19334014,1643961495.8,365.4,65.0,99964,INE129A01019,2020-04-23,85.03
976,GAIL,EQ,N,84.25,79.0,82.95,81.5,82.55,83.25,23298991,1897687973.25,365.4,65.0,90998,INE129A01019,2020-04-24,81.45
977,GAIL,EQ,N,84.35,81.25,82.6,81.7,81.75,81.5,12723485,1051549254.0,365.4,65.0,66422,INE129A01019,2020-04-27,82.65
978,GAIL,EQ,N,85.15,81.8,82.6,84.55,84.85,81.7,28229053,2368472800.05,365.4,65.0,83049,INE129A01019,2020-04-28,83.9
979,GAIL,EQ,N,89.8,84.4,85.0,89.1,89.0,84.55,18115576,1596182562.65,365.4,65.0,109260,INE129A01019,2020-04-29,88.11
980,GAIL,EQ,N,96.55,91.3,91.5,95.7,94.85,89.1,18495310,1734708455.65,365.4,65.0,99030,INE129A01019,2020-04-30,93.79
