,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,GMRINFRA,EQ,N,21.2,19.6,20.7,20.05,20.5,20.0,58358093,1195361504.65,26.5,14.05,28968,INE776C01039,2020-03-02,20.48
996,GMRINFRA,EQ,N,20.8,19.75,20.6,20.2,20.25,20.05,22558297,454917684.1,26.5,14.05,14111,INE776C01039,2020-03-03,20.17
1000,GMRINFRA,EQ,N,20.65,19.25,20.35,20.1,19.9,20.2,43148516,851385280.7,26.5,14.05,34033,INE776C01039,2020-03-04,19.73
1007,GMRINFRA,EQ,N,20.5,19.8,20.35,20.25,20.15,20.1,26902645,544090064.75,26.5,14.05,14873,INE776C01039,2020-03-05,20.22
1008,GMRINFRA,EQ,N,19.8,18.35,18.5,19.5,19.65,20.25,43137596,824713501.75,26.5,14.05,18352,INE776C01039,2020-03-06,19.12
1009,GMRINFRA,EQ,N,19.1,18.1,18.9,18.65,18.6,19.5,39802058,743056136.95,26.5,14.05,27230,INE776C01039,2020-03-09,18.67
1010,GMRINFRA,EQ,N,19.2,18.1,18.65,18.4,18.2,18.65,24446696,454676149.35,26.5,14.05,24947,INE776C01039,2020-03-11,18.6
1011,GMRINFRA,EQ,N,17.85,15.3,17.7,15.85,15.75,18.4,95414301,1551265095.15,26.5,14.05,58475,INE776C01039,2020-03-12,16.26
1012,GMRINFRA,EQ,N,17.3,14.1,14.7,16.7,16.7,15.85,58135131,931729291.3,26.5,14.05,49516,INE776C01039,2020-03-13,16.03
1013,GMRINFRA,EQ,N,16.75,15.85,16.0,16.5,16.65,16.7,53205123,865534608.05,26.5,14.05,33167,INE776C01039,2020-03-16,16.27
1014,GMRINFRA,EQ,N,17.0,16.1,16.65,16.6,16.7,16.5,33795616,558693628.05,26.5,14.05,19977,INE776C01039,2020-03-17,16.53
1015,GMRINFRA,EQ,N,16.9,15.8,16.7,16.2,16.0,16.6,31406922,507861150.1,26.5,14.05,24456,INE776C01039,2020-03-18,16.17
1016,GMRINFRA,EQ,N,16.3,15.05,15.8,16.0,16.25,16.2,63292795,1007355698.25,26.5,14.05,26116,INE776C01039,2020-03-19,15.92
1017,GMRINFRA,EQ,N,17.6,15.95,16.35,17.15,17.15,16.0,30152986,507419429.4,26.5,14.05,21498,INE776C01039,2020-03-20,16.83
1018,GMRINFRA,EQ,N,16.25,15.05,15.5,15.9,16.05,17.15,40007876,620345912.95,26.5,14.05,20827,INE776C01039,2020-03-23,15.51
1019,GMRINFRA,EQ,N,16.45,15.45,16.25,16.0,16.2,15.9,13903737,222081876.6,26.5,14.05,9694,INE776C01039,2020-03-24,15.97
1020,GMRINFRA,EQ,N,16.4,15.3,15.4,16.25,16.1,16.0,14065234,221546976.75,26.5,14.05,11542,INE776C01039,2020-03-25,15.75
1021,GMRINFRA,EQ,N,16.85,15.8,16.25,16.25,16.3,16.25,16183752,264013503.3,26.5,14.05,10037,INE776C01039,2020-03-26,16.31
1022,GMRINFRA,EQ,N,17.0,15.6,16.3,15.9,15.95,16.25,16281633,263590786.5,26.5,14.05,39492,INE776C01039,2020-03-27,16.19
1023,GMRINFRA,EQ,N,16.1,15.4,15.7,15.9,16.1,15.9,16469540,258534755.0,26.5,14.05,10733,INE776C01039,2020-03-30,15.7
