,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,GODREJCP,EQ,N,611.3,573.8,574.0,587.15,594.75,560.5,2637496,1567470610.5,772.0,556.4,71091,INE102D01028,2020-03-02,594.3
996,GODREJCP,EQ,N,625.75,593.6,594.75,618.7,618.35,587.15,2325261,1422719958.4,772.0,556.4,61169,INE102D01028,2020-03-03,611.85
1000,GODREJCP,EQ,N,636.65,615.0,623.8,631.75,631.75,618.7,2965643,1865201635.65,772.0,556.4,110868,INE102D01028,2020-03-04,628.94
1006,GODREJCP,EQ,N,654.85,636.05,638.1,650.65,648.0,631.75,2911172,1887441405.1,772.0,556.4,75761,INE102D01028,2020-03-05,648.34
1007,GODREJCP,EQ,N,645.5,622.85,628.9,638.9,640.05,650.65,2063109,1314955211.95,772.0,556.4,89104,INE102D01028,2020-03-06,637.37
1008,GODREJCP,EQ,N,629.0,607.35,628.1,613.8,610.45,638.9,1682056,1038977048.15,772.0,556.4,50555,INE102D01028,2020-03-09,617.68
1009,GODREJCP,EQ,N,630.05,602.2,607.9,607.4,605.0,613.8,2307202,1421610681.65,772.0,556.4,120205,INE102D01028,2020-03-11,616.16
1010,GODREJCP,EQ,N,595.0,543.45,595.0,560.2,565.0,607.4,3821536,2167164655.25,772.0,543.45,70058,INE102D01028,2020-03-12,567.09
1011,GODREJCP,EQ,N,554.75,497.5,542.0,548.25,552.0,560.2,3890728,2086991060.8,772.0,497.5,107564,INE102D01028,2020-03-13,536.4
1012,GODREJCP,EQ,N,549.1,501.55,540.0,509.05,511.95,548.25,2769613,1461909448.75,772.0,497.5,61061,INE102D01028,2020-03-16,527.84
1013,GODREJCP,EQ,N,540.7,496.5,506.0,523.75,525.05,509.05,4342336,2249015509.4,772.0,496.5,129433,INE102D01028,2020-03-17,517.93
1014,GODREJCP,EQ,N,542.8,512.4,542.8,521.6,521.6,523.75,1684030,880234857.65,772.0,496.5,64642,INE102D01028,2020-03-18,522.7
1015,GODREJCP,EQ,N,511.95,476.25,510.0,483.05,486.0,521.6,2685846,1332730024.6,772.0,476.25,72902,INE102D01028,2020-03-19,496.2
1016,GODREJCP,EQ,N,509.8,475.55,488.2,499.1,499.85,483.05,2260560,1120452210.7,772.0,475.55,79934,INE102D01028,2020-03-20,495.65
1017,GODREJCP,EQ,N,486.65,425.1,475.85,434.05,447.3,499.1,1197761,539438712.35,772.0,425.1,48277,INE102D01028,2020-03-23,450.37
1018,GODREJCP,EQ,N,499.0,434.0,450.0,444.45,448.0,434.05,1876953,864227197.3,772.0,425.1,48878,INE102D01028,2020-03-24,460.44
1019,GODREJCP,EQ,N,478.0,438.3,450.0,470.5,470.55,444.45,2341322,1067349370.6,772.0,425.1,71838,INE102D01028,2020-03-25,455.87
1020,GODREJCP,EQ,N,513.45,475.0,479.2,500.55,500.4,470.5,3577985,1791889096.7,772.0,425.1,72903,INE102D01028,2020-03-26,500.81
1021,GODREJCP,EQ,N,517.3,480.6,505.0,499.45,498.0,500.55,2579284,1297451915.95,772.0,425.1,86432,INE102D01028,2020-03-27,503.03
1022,GODREJCP,EQ,N,502.25,479.2,489.95,493.1,493.0,499.45,1778405,877873600.8,772.0,425.1,82117,INE102D01028,2020-03-30,493.63
1023,GODREJCP,EQ,N,528.0,498.35,500.0,520.85,520.85,493.1,2269015,1169463324.15,772.0,425.1,54309,INE102D01028,2020-03-31,515.41
1024,GODREJCP,EQ,N,565.3,525.3,535.0,548.75,550.0,520.85,2976902,1642363198.25,772.0,425.1,91065,INE102D01028,2020-04-01,551.7
1025,GODREJCP,EQ,N,558.15,525.2,551.3,531.45,533.05,548.75,1709383,922753069.15,772.0,425.1,59923,INE102D01028,2020-04-03,539.82
1026,GODREJCP,EQ,N,570.0,541.05,549.0,558.85,559.0,531.45,1967959,1100165252.35,772.0,425.1,97141,INE102D01028,2020-04-07,559.04
1027,GODREJCP,EQ,N,628.95,561.55,566.25,600.0,597.9,558.85,2526948,1508940057.25,772.0,425.1,98052,INE102D01028,2020-04-08,597.14
1028,GODREJCP,EQ,N,639.8,587.0,617.0,595.1,590.05,600.0,1792787,1092416816.7,772.0,425.1,53641,INE102D01028,2020-04-09,609.34
968,GODREJCP,EQ,N,567.5,543.05,565.0,556.95,557.4,595.1,3394610,1890612485.1,772.0,425.1,94797,INE102D01028,2020-04-13,556.95
969,GODREJCP,EQ,N,598.9,562.85,565.35,571.65,571.0,556.95,2778395,1604991643.1,772.0,425.1,113160,INE102D01028,2020-04-15,577.67
970,GODREJCP,EQ,N,583.25,562.5,570.9,564.4,565.9,571.65,1768369,1010702660.2,772.0,425.1,63897,INE102D01028,2020-04-16,571.55
971,GODREJCP,EQ,N,578.8,545.25,578.8,552.75,550.0,564.4,2264518,1260349896.7,772.0,425.1,78634,INE102D01028,2020-04-17,556.56
972,GODREJCP,EQ,N,559.45,535.0,559.0,537.65,539.0,552.75,1505931,818395308.85,772.0,425.1,44574,INE102D01028,2020-04-20,543.45
973,GODREJCP,EQ,N,537.4,518.6,530.0,529.8,529.0,537.65,2302751,1219561900.95,772.0,425.1,61582,INE102D01028,2020-04-21,529.61
