,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,HAL,EQ,N,708.0,653.0,696.0,664.05,658.0,686.05,35013,24057758.6,895.9,620.85,2830,INE066F01012,2020-03-02,687.11
996,HAL,EQ,N,684.95,665.0,684.95,671.9,675.0,664.05,22909,15477335.75,895.9,620.85,1858,INE066F01012,2020-03-03,675.6
1001,HAL,EQ,N,672.0,638.0,672.0,647.25,648.0,671.9,44306,28730450.95,895.9,620.85,3123,INE066F01012,2020-03-04,648.46
1006,HAL,EQ,N,664.0,640.55,648.0,644.65,643.25,647.25,28994,18905946.15,895.9,620.85,1593,INE066F01012,2020-03-05,652.06
1007,HAL,EQ,N,637.0,620.0,637.0,621.6,620.0,644.65,23411,14674540.45,895.9,620.0,2203,INE066F01012,2020-03-06,626.82
1008,HAL,EQ,N,623.75,585.0,623.75,592.15,590.0,621.6,37789,22629883.25,895.9,585.0,3381,INE066F01012,2020-03-09,598.85
1009,HAL,EQ,N,605.0,586.05,592.0,588.95,588.0,592.15,17175,10234123.75,895.9,585.0,2142,INE066F01012,2020-03-11,595.87
1010,HAL,EQ,N,575.0,536.0,575.0,538.9,539.0,588.95,33086,18126942.65,895.9,536.0,3192,INE066F01012,2020-03-12,547.87
1011,HAL,EQ,N,543.0,472.0,513.5,534.2,539.0,538.9,41077,21312424.5,895.9,472.0,3189,INE066F01012,2020-03-13,518.84
1012,HAL,EQ,N,620.0,514.25,530.0,559.85,572.0,534.2,61568,33911615.85,895.9,472.0,3995,INE066F01012,2020-03-16,550.8
1013,HAL,EQ,N,580.0,545.0,572.0,553.3,552.0,559.85,85476,48030537.4,895.9,472.0,8285,INE066F01012,2020-03-17,561.92
1014,HAL,EQ,N,575.6,540.0,574.0,549.75,550.0,553.3,46955,26102461.2,895.9,472.0,4671,INE066F01012,2020-03-18,555.9
1015,HAL,EQ,N,581.0,522.0,540.0,556.4,556.8,549.75,63255,35372257.1,895.9,472.0,4635,INE066F01012,2020-03-19,559.2
1016,HAL,EQ,N,574.6,553.1,564.0,565.15,570.0,556.4,50110,28295563.4,895.9,472.0,4182,INE066F01012,2020-03-20,564.67
1017,HAL,EQ,N,539.0,470.0,470.0,500.75,503.95,565.15,29659,14980224.55,895.9,470.0,3191,INE066F01012,2020-03-23,505.08
1018,HAL,EQ,N,517.15,473.0,515.0,479.25,480.0,500.75,25861,12555804.2,895.9,470.0,2312,INE066F01012,2020-03-24,485.51
1019,HAL,EQ,N,492.55,470.0,470.0,479.5,478.95,479.25,17543,8446781.65,895.9,470.0,1611,INE066F01012,2020-03-25,481.49
1020,HAL,EQ,N,502.4,478.5,485.0,497.25,499.0,479.5,15620,7739693.85,895.9,470.0,1681,INE066F01012,2020-03-26,495.5
1021,HAL,EQ,N,595.0,500.1,505.0,525.15,522.2,497.25,130558,73338212.05,895.9,470.0,8302,INE066F01012,2020-03-27,561.73
1022,HAL,EQ,N,525.0,503.35,525.0,512.55,515.0,525.15,12505,6414163.85,895.9,470.0,1460,INE066F01012,2020-03-30,512.93
1023,HAL,EQ,N,527.75,514.0,514.0,520.3,520.45,512.55,11911,6188715.15,895.9,470.0,1404,INE066F01012,2020-03-31,519.58
1024,HAL,EQ,N,561.0,530.0,550.0,533.3,534.9,520.3,51342,27946017.8,895.9,470.0,4930,INE066F01012,2020-04-01,544.31
1025,HAL,EQ,N,543.85,522.95,543.85,529.55,531.0,533.3,11500,6099246.0,895.9,470.0,1137,INE066F01012,2020-04-03,530.37
1026,HAL,EQ,N,549.55,525.0,549.55,534.7,534.25,529.55,25494,13602542.15,895.9,470.0,2185,INE066F01012,2020-04-07,533.56
1027,HAL,EQ,N,622.0,530.0,536.0,546.0,547.0,534.7,186421,106423554.2,895.9,470.0,9595,INE066F01012,2020-04-08,570.88
1028,HAL,EQ,N,567.0,546.5,551.5,548.25,547.5,546.0,51288,28247313.65,895.9,470.0,2673,INE066F01012,2020-04-09,550.76
968,HAL,EQ,N,595.0,560.0,585.25,563.3,563.0,548.25,165303,94442882.55,895.9,470.0,12036,INE066F01012,2020-04-13,571.33
969,HAL,EQ,N,575.6,551.65,575.6,555.55,556.0,563.3,39636,22243825.65,895.9,470.0,3352,INE066F01012,2020-04-15,561.2
970,HAL,EQ,N,574.0,547.0,550.0,562.45,564.0,555.55,50377,28399757.6,895.9,470.0,3646,INE066F01012,2020-04-16,563.74
971,HAL,EQ,N,582.0,556.7,572.9,559.8,560.0,562.45,48118,27243455.0,895.9,470.0,3260,INE066F01012,2020-04-17,566.18
972,HAL,EQ,N,571.7,562.0,563.0,565.0,564.7,559.8,24931,14129071.2,895.9,470.0,2046,INE066F01012,2020-04-20,566.73
973,HAL,EQ,N,561.9,536.05,561.9,546.55,546.5,565.0,25301,13865052.85,895.9,470.0,2413,INE066F01012,2020-04-21,548.0
974,HAL,EQ,N,546.8,535.1,541.1,540.75,543.0,546.55,16322,8822402.55,895.9,470.0,1588,INE066F01012,2020-04-22,540.52
975,HAL,EQ,N,553.65,541.1,547.4,543.65,546.95,540.75,14724,8070445.55,895.9,470.0,1464,INE066F01012,2020-04-23,548.12
976,HAL,EQ,N,552.0,530.0,540.0,533.0,539.9,543.65,21954,11782026.65,895.9,470.0,2073,INE066F01012,2020-04-24,536.67
977,HAL,EQ,N,539.7,525.25,539.7,528.15,529.9,533.0,19874,10564151.4,895.9,470.0,2144,INE066F01012,2020-04-27,531.56
978,HAL,EQ,N,532.95,518.55,532.9,519.7,520.0,528.15,29684,15536971.6,895.9,470.0,2687,INE066F01012,2020-04-28,523.41
979,HAL,EQ,N,530.0,513.55,524.1,526.05,526.8,519.7,27668,14508625.35,895.9,470.0,2191,INE066F01012,2020-04-29,524.38
980,HAL,EQ,N,533.0,526.0,532.1,527.15,527.35,526.05,33321,17630732.25,895.9,470.0,2317,INE066F01012,2020-04-30,529.12
981,HAL,EQ,N,520.0,504.0,520.0,509.8,510.0,527.15,37192,19020856.95,895.9,470.0,3274,INE066F01012,2020-05-04,511.42
982,HAL,EQ,N,519.0,501.5,512.35,503.8,505.65,509.8,46191,23514031.65,895.9,470.0,3392,INE066F01012,2020-05-05,509.06
983,HAL,EQ,N,510.95,500.0,506.35,505.0,506.05,503.8,23552,11922063.75,895.9,470.0,1861,INE066F01012,2020-05-06,506.2
984,HAL,EQ,N,530.8,500.0,500.0,511.55,509.0,505.0,301811,156170307.75,895.9,470.0,12048,INE066F01012,2020-05-07,517.44
985,HAL,EQ,N,518.9,500.0,514.15,501.85,502.75,511.55,37452,19016795.35,895.9,470.0,2843,INE066F01012,2020-05-08,507.76
986,HAL,EQ,N,508.05,495.1,502.0,496.7,496.25,501.85,36325,18155661.25,895.9,470.0,2847,INE066F01012,2020-05-11,499.81
987,HAL,EQ,N,499.9,489.05,496.0,493.4,495.1,496.7,28454,14018281.05,895.9,470.0,2480,INE066F01012,2020-05-12,492.66
988,HAL,EQ,N,523.75,500.0,507.7,506.35,505.1,493.4,146005,74457553.6,895.9,470.0,8917,INE066F01012,2020-05-13,509.97
989,HAL,EQ,N,509.5,496.0,503.0,498.1,500.0,506.35,32633,16386073.75,895.9,470.0,2586,INE066F01012,2020-05-14,502.13
990,HAL,EQ,N,528.0,505.0,510.0,523.1,526.0,498.1,230230,119887305.9,895.9,470.0,11049,INE066F01012,2020-05-15,520.73
991,HAL,EQ,N,569.0,536.0,551.0,547.5,544.8,523.1,751346,416558867.5,895.9,470.0,30329,INE066F01012,2020-05-18,554.42
992,HAL,EQ,N,558.95,520.0,550.95,527.7,527.0,547.5,143853,78103394.95,895.9,470.0,6615,INE066F01012,2020-05-19,542.94
993,HAL,EQ,N,534.2,510.15,521.0,530.55,530.0,527.7,38909,20483607.55,895.9,470.0,3573,INE066F01012,2020-05-20,526.45
941,HAL,EQ,N,544.75,530.0,540.55,534.45,532.2,530.55,46209,24892850.0,895.9,470.0,2575,INE066F01012,2020-05-21,538.7
