,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,HCLTECH,EQ,N,565.85,537.85,541.05,549.7,547.6,534.35,8175982,4529087569.8,1187.6,531.2,166431,INE860A01027,2020-03-02,553.95
996,HCLTECH,EQ,N,568.75,555.0,556.0,565.05,568.2,549.7,4682284,2630302017.2,1187.6,531.2,131005,INE860A01027,2020-03-03,561.76
1003,HCLTECH,EQ,N,575.4,561.0,569.0,563.1,562.2,565.05,5175180,2932609654.3,1187.6,531.2,104336,INE860A01027,2020-03-04,566.67
1008,HCLTECH,EQ,N,581.9,563.15,568.0,576.4,576.0,563.1,6061347,3505571601.1,1187.6,531.2,89062,INE860A01027,2020-03-05,578.35
1009,HCLTECH,EQ,N,573.95,559.55,570.0,566.2,568.0,576.4,3288548,1856339904.15,1187.6,531.2,72399,INE860A01027,2020-03-06,564.49
1010,HCLTECH,EQ,N,558.0,536.45,555.0,540.45,542.55,566.2,3699831,2009218670.1,1187.6,531.2,82357,INE860A01027,2020-03-09,543.06
1011,HCLTECH,EQ,N,542.65,514.0,526.75,536.8,538.05,540.45,4850036,2588947282.4,1187.6,514.0,105339,INE860A01027,2020-03-11,533.8
1012,HCLTECH,EQ,N,527.8,486.35,521.0,493.35,494.0,536.8,5321420,2693243988.9,1187.6,486.35,161096,INE860A01027,2020-03-12,506.11
1013,HCLTECH,EQ,N,517.25,395.95,460.0,492.9,497.0,493.35,6859998,3290807920.4,1187.6,395.95,117288,INE860A01027,2020-03-13,479.71
1014,HCLTECH,EQ,N,479.8,446.85,469.0,450.7,453.25,492.9,5281596,2451413146.3,1187.6,395.95,126930,INE860A01027,2020-03-16,464.14
1015,HCLTECH,EQ,N,478.6,443.35,450.0,450.65,455.0,450.7,5148569,2365223532.45,1187.6,395.95,99381,INE860A01027,2020-03-17,459.39
1016,HCLTECH,EQ,N,464.8,429.05,455.0,434.25,437.0,450.65,4936460,2183860725.15,1187.6,395.95,123650,INE860A01027,2020-03-18,442.39
1017,HCLTECH,EQ,N,434.6,375.25,418.9,413.45,419.0,434.25,9270054,3828624864.05,1187.6,375.25,184203,INE860A01027,2020-03-19,413.01
1018,HCLTECH,EQ,N,461.95,411.85,413.5,444.9,444.7,413.45,11916337,5265991518.6,1187.6,375.25,199014,INE860A01027,2020-03-20,441.91
1019,HCLTECH,EQ,N,444.0,400.45,415.0,417.15,425.0,444.9,9525670,3960473954.45,1187.6,375.25,111898,INE860A01027,2020-03-23,415.77
1020,HCLTECH,EQ,N,458.85,411.85,413.0,442.05,449.0,417.15,9915954,4385560836.55,1187.6,375.25,142298,INE860A01027,2020-03-24,442.27
1021,HCLTECH,EQ,N,468.0,417.75,432.0,457.6,436.0,442.05,11976272,5330864585.65,1187.6,375.25,109934,INE860A01027,2020-03-25,445.12
1022,HCLTECH,EQ,N,466.75,441.1,461.1,447.7,445.7,457.6,9504717,4290299456.1,1187.6,375.25,113214,INE860A01027,2020-03-26,451.39
1023,HCLTECH,EQ,N,457.45,420.5,450.25,430.65,434.0,447.7,9151132,3946409120.55,1187.6,375.25,145850,INE860A01027,2020-03-27,431.25
1024,HCLTECH,EQ,N,438.65,410.0,410.0,419.0,424.0,430.65,6325701,2698581018.65,1187.6,375.25,114637,INE860A01027,2020-03-30,426.61
1025,HCLTECH,EQ,N,449.4,425.3,433.2,436.4,433.0,419.0,6381824,2802104922.9,1187.6,375.25,118664,INE860A01027,2020-03-31,439.08
1026,HCLTECH,EQ,N,433.2,408.2,433.0,413.55,414.65,436.4,8136746,3431993954.75,1187.6,375.25,112951,INE860A01027,2020-04-01,421.79
1027,HCLTECH,EQ,N,428.6,399.3,418.9,405.8,409.85,413.55,8166456,3393014502.0,1187.6,375.25,157013,INE860A01027,2020-04-03,415.48
1028,HCLTECH,EQ,N,457.95,425.0,425.0,451.15,456.0,405.8,5972948,2647166163.2,1187.6,375.25,120075,INE860A01027,2020-04-07,443.19
1029,HCLTECH,EQ,N,476.8,449.0,451.0,463.1,466.25,451.15,7991062,3734513998.3,1187.6,375.25,111912,INE860A01027,2020-04-08,467.34
1030,HCLTECH,EQ,N,481.0,462.0,480.7,469.05,470.0,463.1,5069246,2380516357.2,1187.6,375.25,85608,INE860A01027,2020-04-09,469.6
968,HCLTECH,EQ,N,471.0,454.0,470.0,458.25,461.0,469.05,2236731,1025850219.3,1187.6,375.25,54865,INE860A01027,2020-04-13,458.64
969,HCLTECH,EQ,N,482.0,462.7,470.0,478.75,481.2,458.25,6333192,2995860466.25,1187.6,375.25,124242,INE860A01027,2020-04-15,473.04
970,HCLTECH,EQ,N,476.0,456.7,473.0,459.75,459.8,478.75,10484847,4875303122.95,1187.6,375.25,225515,INE860A01027,2020-04-16,464.99
971,HCLTECH,EQ,N,475.0,453.65,470.0,455.25,457.0,459.75,4706460,2167802342.15,1187.6,375.25,119829,INE860A01027,2020-04-17,460.6
972,HCLTECH,EQ,N,473.6,453.5,458.0,470.0,469.9,455.25,4801120,2243978570.55,1187.6,375.25,115539,INE860A01027,2020-04-20,467.39
973,HCLTECH,EQ,N,464.95,447.85,458.0,455.7,455.05,470.0,3405204,1550199472.95,1187.6,375.25,60418,INE860A01027,2020-04-21,455.24
974,HCLTECH,EQ,N,469.45,450.0,453.0,462.4,463.5,455.7,3768051,1738902050.0,1187.6,375.25,71852,INE860A01027,2020-04-22,461.49
975,HCLTECH,EQ,N,480.75,462.4,465.0,477.7,480.0,462.4,3054988,1447212593.15,1187.6,375.25,61297,INE860A01027,2020-04-23,473.72
976,HCLTECH,EQ,N,496.9,465.15,480.0,468.1,468.1,477.7,6738441,3231611938.7,1187.6,375.25,104786,INE860A01027,2020-04-24,479.58
977,HCLTECH,EQ,N,485.7,467.25,473.1,483.1,484.0,468.1,2914600,1394616385.75,1187.6,375.25,66778,INE860A01027,2020-04-27,478.49
978,HCLTECH,EQ,N,489.0,469.45,489.0,471.1,474.25,483.1,4262239,2019852356.35,1187.6,375.25,58064,INE860A01027,2020-04-28,473.89
979,HCLTECH,EQ,N,501.0,470.2,474.8,491.75,495.0,471.1,3849156,1854120925.2,1187.6,375.25,74523,INE860A01027,2020-04-29,481.7
980,HCLTECH,EQ,N,565.5,501.0,506.5,543.55,545.0,491.75,8035698,4238930037.6,1187.6,375.25,142686,INE860A01027,2020-04-30,527.51
981,HCLTECH,EQ,N,527.5,508.2,527.5,514.25,514.9,543.55,7032553,3614482821.4,1170.0,375.25,143067,INE860A01027,2020-05-04,513.96
982,HCLTECH,EQ,N,529.9,515.65,526.0,520.4,521.3,514.25,4592833,2397806446.8,1170.0,375.25,93760,INE860A01027,2020-05-05,522.08
983,HCLTECH,EQ,N,526.7,506.2,512.2,519.1,521.0,520.4,6921536,3584016691.65,1170.0,375.25,144546,INE860A01027,2020-05-06,517.81
984,HCLTECH,EQ,N,541.8,507.55,530.0,511.75,510.5,519.1,19998942,10464165769.05,1170.0,375.25,292085,INE860A01027,2020-05-07,523.24
985,HCLTECH,EQ,N,522.5,502.4,520.85,518.4,519.0,511.75,10120968,5212261619.15,1170.0,375.25,161781,INE860A01027,2020-05-08,515.0
986,HCLTECH,EQ,N,534.9,521.2,526.0,527.55,527.0,518.4,4425560,2345605221.85,1170.0,375.25,103083,INE860A01027,2020-05-11,530.01
987,HCLTECH,EQ,N,540.0,520.0,525.45,527.4,527.3,527.55,6440027,3420566835.55,1170.0,375.25,123687,INE860A01027,2020-05-12,531.14
988,HCLTECH,EQ,N,539.85,521.55,539.85,528.75,527.0,527.4,3503019,1858036337.95,1170.0,375.25,65175,INE860A01027,2020-05-13,530.41
989,HCLTECH,EQ,N,527.55,514.35,519.4,517.45,515.0,528.75,3741679,1953170071.8,1170.0,375.25,80074,INE860A01027,2020-05-14,522.0
990,HCLTECH,EQ,N,517.95,505.25,517.95,511.25,512.2,517.45,4895771,2501283541.55,1170.0,375.25,92194,INE860A01027,2020-05-15,510.91
991,HCLTECH,EQ,N,518.65,507.5,514.7,510.75,513.0,511.25,5159670,2644092703.0,1170.0,375.25,88086,INE860A01027,2020-05-18,512.45
992,HCLTECH,EQ,N,520.5,506.2,512.0,518.25,519.2,510.75,3967055,2044283724.75,1170.0,375.25,66640,INE860A01027,2020-05-19,515.32
993,HCLTECH,EQ,N,528.65,515.0,515.05,526.75,526.4,518.25,3138733,1645122999.5,1170.0,375.25,69200,INE860A01027,2020-05-20,524.14
941,HCLTECH,EQ,N,537.5,523.4,529.8,534.85,534.9,526.75,4523685,2402305199.6,1170.0,375.25,85794,INE860A01027,2020-05-21,531.05
942,HCLTECH,EQ,N,535.0,523.0,533.65,530.4,531.45,534.85,6410485,3393840793.15,1170.0,375.25,88894,INE860A01027,2020-05-22,529.42
