,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,HDFCAMC,EQ,N,3220.0,3019.05,3210.0,3051.3,3035.0,3141.4,443650,1382502679.0,3844.0,1417.0,43553,INE127D01025,2020-03-02,3116.2
996,HDFCAMC,EQ,N,3102.0,3026.85,3056.0,3062.1,3059.6,3051.3,285682,875698000.05,3844.0,1417.0,37423,INE127D01025,2020-03-03,3065.29
1001,HDFCAMC,EQ,N,3080.0,2995.0,3080.0,3017.25,3018.0,3062.1,316386,958083993.6,3844.0,1417.0,30836,INE127D01025,2020-03-04,3028.21
1008,HDFCAMC,EQ,N,3092.4,3017.7,3030.0,3051.75,3050.0,3017.25,270095,824645939.2,3844.0,1417.0,28124,INE127D01025,2020-03-05,3053.17
1009,HDFCAMC,EQ,N,2999.0,2870.0,2900.0,2973.4,2983.0,3051.75,376843,1113306905.55,3844.0,1417.0,51394,INE127D01025,2020-03-06,2954.3
1010,HDFCAMC,EQ,N,2939.9,2776.75,2900.0,2848.75,2851.6,2973.4,467146,1330952986.5,3844.0,1461.1,49723,INE127D01025,2020-03-09,2849.12
1011,HDFCAMC,EQ,N,2962.45,2826.0,2860.1,2921.95,2929.0,2848.75,385368,1121317763.9,3844.0,1461.1,53998,INE127D01025,2020-03-11,2909.73
1012,HDFCAMC,EQ,N,2820.0,2435.5,2820.0,2477.3,2470.0,2921.95,784125,2044798233.95,3844.0,1461.1,83727,INE127D01025,2020-03-12,2607.75
1013,HDFCAMC,EQ,N,2799.0,2002.1,2166.0,2680.95,2665.0,2477.3,1080337,2751530710.3,3844.0,1461.1,103833,INE127D01025,2020-03-13,2546.92
1014,HDFCAMC,EQ,N,2680.0,2426.3,2550.0,2517.35,2528.0,2680.95,487805,1250867359.0,3844.0,1461.1,63045,INE127D01025,2020-03-16,2564.28
1015,HDFCAMC,EQ,N,2624.0,2410.0,2555.0,2442.0,2429.65,2517.35,494692,1245669383.35,3844.0,1461.1,57037,INE127D01025,2020-03-17,2518.07
1016,HDFCAMC,EQ,N,2500.0,2211.55,2429.95,2305.7,2323.0,2442.0,987988,2257853715.2,3844.0,1461.1,81982,INE127D01025,2020-03-18,2285.3
1017,HDFCAMC,EQ,N,2320.0,2070.0,2189.05,2299.45,2290.0,2305.7,754757,1693623382.5,3844.0,1461.1,92667,INE127D01025,2020-03-19,2243.93
1018,HDFCAMC,EQ,N,2533.0,2272.3,2313.0,2423.7,2405.0,2299.45,712193,1731935718.95,3844.0,1461.1,77667,INE127D01025,2020-03-20,2431.83
1019,HDFCAMC,EQ,N,2300.0,2050.0,2050.0,2111.65,2109.45,2423.7,599749,1298170912.35,3844.0,1461.1,97641,INE127D01025,2020-03-23,2164.52
1020,HDFCAMC,EQ,N,2253.95,2000.0,2190.9,2026.15,2050.0,2111.65,637093,1316089732.65,3844.0,1461.1,75226,INE127D01025,2020-03-24,2065.77
1021,HDFCAMC,EQ,N,2130.0,1962.0,2026.0,2038.95,2063.0,2026.15,662238,1349613104.15,3844.0,1461.1,63991,INE127D01025,2020-03-25,2037.96
1022,HDFCAMC,EQ,N,2250.0,2050.0,2089.0,2145.05,2125.25,2038.95,818940,1760995237.05,3844.0,1461.1,73943,INE127D01025,2020-03-26,2150.33
1023,HDFCAMC,EQ,N,2249.95,2070.0,2245.05,2083.45,2077.2,2145.05,676870,1462069600.75,3844.0,1461.1,77618,INE127D01025,2020-03-27,2160.04
1024,HDFCAMC,EQ,N,2082.75,1970.0,2010.0,2049.1,2070.0,2083.45,442972,907472254.4,3844.0,1502.65,42060,INE127D01025,2020-03-30,2048.6
1025,HDFCAMC,EQ,N,2138.0,2051.45,2105.0,2112.8,2110.0,2049.1,465985,972494364.95,3844.0,1502.65,60042,INE127D01025,2020-03-31,2086.96
1026,HDFCAMC,EQ,N,2220.0,2115.0,2125.0,2185.75,2159.0,2112.8,418689,905724178.8,3844.0,1502.65,65544,INE127D01025,2020-04-01,2163.24
1027,HDFCAMC,EQ,N,2224.0,2135.0,2190.0,2177.15,2182.0,2185.75,520257,1134444278.1,3844.0,1502.65,85741,INE127D01025,2020-04-03,2180.55
1028,HDFCAMC,EQ,N,2255.0,2181.65,2250.0,2243.05,2243.1,2177.15,676845,1503135324.9,3844.0,1502.65,84888,INE127D01025,2020-04-07,2220.8
1029,HDFCAMC,EQ,N,2440.0,2214.05,2219.0,2318.75,2319.95,2243.05,601036,1413436472.15,3844.0,1502.65,63569,INE127D01025,2020-04-08,2351.67
1030,HDFCAMC,EQ,N,2485.0,2353.2,2370.0,2447.25,2438.0,2318.75,368968,901193543.45,3844.0,1502.65,53754,INE127D01025,2020-04-09,2442.47
968,HDFCAMC,EQ,N,2584.0,2362.0,2450.0,2545.55,2549.0,2447.25,519331,1298232206.15,3844.0,1531.5,49624,INE127D01025,2020-04-13,2499.82
969,HDFCAMC,EQ,N,2709.5,2585.4,2585.4,2616.1,2632.0,2545.55,593405,1570769016.55,3844.0,1531.5,94250,INE127D01025,2020-04-15,2647.04
970,HDFCAMC,EQ,N,2680.0,2562.15,2630.0,2600.5,2589.0,2616.1,389140,1024715601.0,3844.0,1531.5,47426,INE127D01025,2020-04-16,2633.28
971,HDFCAMC,EQ,N,2730.0,2650.0,2679.0,2676.95,2680.0,2600.5,306746,823047453.5,3844.0,1531.5,43039,INE127D01025,2020-04-17,2683.16
972,HDFCAMC,EQ,N,2820.0,2700.0,2700.0,2792.85,2812.0,2676.95,364235,1004856482.7,3844.0,1551.0,46262,INE127D01025,2020-04-20,2758.81
973,HDFCAMC,EQ,N,2730.0,2610.0,2715.0,2626.4,2612.0,2792.85,479894,1274267709.7,3844.0,1551.0,64519,INE127D01025,2020-04-21,2655.31
974,HDFCAMC,EQ,N,2646.0,2575.0,2598.0,2626.25,2621.1,2626.4,406672,1064994149.7,3844.0,1551.0,37944,INE127D01025,2020-04-22,2618.8
975,HDFCAMC,EQ,N,2671.15,2575.5,2626.9,2591.2,2580.0,2626.25,296130,779100120.1,3844.0,1551.0,53188,INE127D01025,2020-04-23,2630.94
976,HDFCAMC,EQ,N,2519.0,2362.55,2511.0,2427.75,2435.0,2591.2,622782,1515040474.5,3844.0,1551.0,69102,INE127D01025,2020-04-24,2432.7
977,HDFCAMC,EQ,N,2620.15,2100.0,2416.0,2553.45,2552.1,2427.75,1131528,2838086723.85,3844.0,1551.0,87103,INE127D01025,2020-04-27,2508.19
978,HDFCAMC,EQ,N,2638.0,2483.6,2585.0,2496.65,2500.0,2553.45,414552,1049803681.5,3844.0,1551.0,40616,INE127D01025,2020-04-28,2532.38
979,HDFCAMC,EQ,N,2549.35,2460.0,2514.0,2511.5,2502.0,2496.65,416974,1047844079.2,3844.0,1551.0,48159,INE127D01025,2020-04-29,2512.97
980,HDFCAMC,EQ,N,2575.9,2506.0,2555.0,2530.75,2536.0,2511.5,459904,1170073625.35,3844.0,1551.0,44056,INE127D01025,2020-04-30,2544.17
981,HDFCAMC,EQ,N,2574.0,2410.05,2415.0,2554.8,2557.0,2530.75,648606,1633047435.05,3844.0,1551.0,64659,INE127D01025,2020-05-04,2517.78
982,HDFCAMC,EQ,N,2599.0,2511.0,2599.0,2528.35,2544.0,2554.8,257543,657587169.35,3844.0,1551.0,28712,INE127D01025,2020-05-05,2553.31
