,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,HDFCBANK,EQ,N,1201.15,1166.15,1200.2,1179.6,1185.0,1177.65,7332449,8686077365.55,2503.3,1084.0,197905,INE040A01034,2020-03-02,1184.61
996,HDFCBANK,EQ,N,1185.35,1168.0,1175.0,1181.8,1182.5,1179.6,11184775,13177181997.65,2503.3,1084.0,233028,INE040A01034,2020-03-03,1178.14
1001,HDFCBANK,EQ,N,1180.0,1133.1,1178.35,1148.85,1149.15,1181.8,17144435,19762846784.7,2503.3,1084.0,503032,INE040A01034,2020-03-04,1152.73
1006,HDFCBANK,EQ,N,1165.0,1142.75,1153.0,1151.35,1149.0,1148.85,9774854,11297450389.35,2503.3,1084.0,262470,INE040A01034,2020-03-05,1155.77
1007,HDFCBANK,EQ,N,1140.9,1101.0,1125.0,1134.9,1134.0,1151.35,11526783,12959999027.4,2503.3,1084.0,272373,INE040A01034,2020-03-06,1124.34
1008,HDFCBANK,EQ,N,1118.4,1065.0,1110.0,1107.3,1112.0,1134.9,17210297,18841871874.25,2503.3,1065.0,427518,INE040A01034,2020-03-09,1094.8
1009,HDFCBANK,EQ,N,1120.0,1092.0,1105.0,1113.8,1110.0,1107.3,17769198,19648640086.25,2503.3,1065.0,344285,INE040A01034,2020-03-11,1105.77
1010,HDFCBANK,EQ,N,1080.0,1003.45,1075.0,1021.3,1032.0,1113.8,29500406,30570004192.95,2503.3,1003.45,503472,INE040A01034,2020-03-12,1036.26
1011,HDFCBANK,EQ,N,1081.45,919.2,980.05,1069.8,1074.0,1021.3,33171603,33778614285.4,2503.3,919.2,541649,INE040A01034,2020-03-13,1018.3
1012,HDFCBANK,EQ,N,1037.0,995.0,1035.0,999.5,1001.25,1069.8,15993174,16202484604.3,2503.3,919.2,430742,INE040A01034,2020-03-16,1013.09
1013,HDFCBANK,EQ,N,1010.0,954.7,1008.0,975.1,976.2,999.5,21338641,20967841371.15,2503.3,919.2,447922,INE040A01034,2020-03-17,982.62
1014,HDFCBANK,EQ,N,993.0,865.0,985.0,876.9,898.5,975.1,30593809,28031432118.6,2503.3,865.0,652391,INE040A01034,2020-03-18,916.25
1015,HDFCBANK,EQ,N,919.95,795.0,847.0,895.55,904.6,876.9,33610239,28805078999.25,2503.3,795.0,632617,INE040A01034,2020-03-19,857.03
1016,HDFCBANK,EQ,N,914.6,824.55,875.0,882.85,881.25,895.55,44319015,38471082495.0,2503.3,795.0,790631,INE040A01034,2020-03-20,868.05
1017,HDFCBANK,EQ,N,838.75,765.0,794.6,771.55,778.9,882.85,25142273,19724138348.9,2503.3,765.0,590210,INE040A01034,2020-03-23,784.5
1018,HDFCBANK,EQ,N,810.0,738.75,795.25,767.7,774.8,771.55,30528676,23684712047.25,2503.3,738.75,634897,INE040A01034,2020-03-24,775.82
1019,HDFCBANK,EQ,N,867.45,755.25,770.45,856.75,863.0,767.7,23614449,18984055133.7,2503.3,738.75,608039,INE040A01034,2020-03-25,803.92
1020,HDFCBANK,EQ,N,937.7,841.0,870.1,901.1,898.0,856.75,28521681,25630140172.8,2503.3,738.75,627160,INE040A01034,2020-03-26,898.62
1021,HDFCBANK,EQ,N,988.65,872.1,944.95,904.45,900.0,901.1,27619436,25496667368.35,2503.3,738.75,651440,INE040A01034,2020-03-27,923.14
1022,HDFCBANK,EQ,N,887.0,828.0,880.0,831.65,831.0,904.45,19634313,16855655095.4,2503.3,738.75,491743,INE040A01034,2020-03-30,858.48
1023,HDFCBANK,EQ,N,873.6,838.0,853.8,861.9,857.95,831.65,17605997,15048445041.15,2503.3,738.75,411360,INE040A01034,2020-03-31,854.73
1024,HDFCBANK,EQ,N,863.85,820.0,863.85,829.65,829.55,861.9,14551758,12106933301.25,2503.3,738.75,354947,INE040A01034,2020-04-01,831.99
1025,HDFCBANK,EQ,N,844.0,810.0,843.0,813.85,811.0,829.65,17499063,14441317976.2,2503.3,738.75,392455,INE040A01034,2020-04-03,825.26
1026,HDFCBANK,EQ,N,907.3,845.35,874.0,896.1,895.8,813.85,30206626,26327315325.8,2503.3,738.75,475198,INE040A01034,2020-04-07,871.57
1027,HDFCBANK,EQ,N,945.0,866.1,879.95,888.9,888.7,896.1,28109877,25357609084.6,2503.3,738.75,503019,INE040A01034,2020-04-08,902.09
1028,HDFCBANK,EQ,N,930.9,890.0,913.0,925.05,922.1,888.9,22229012,20303462865.4,2503.3,738.75,417910,INE040A01034,2020-04-09,913.38
968,HDFCBANK,EQ,N,946.7,886.2,934.0,895.35,897.8,925.05,17079259,15504828498.5,2503.3,738.75,389148,INE040A01034,2020-04-13,907.82
969,HDFCBANK,EQ,N,930.5,843.0,930.5,863.3,865.15,895.35,28989523,25667931187.7,2503.3,738.75,517354,INE040A01034,2020-04-15,885.42
970,HDFCBANK,EQ,N,890.7,856.25,865.0,879.75,884.25,863.3,26927231,23447030480.5,2503.3,738.75,467724,INE040A01034,2020-04-16,870.76
971,HDFCBANK,EQ,N,920.0,887.25,915.0,910.3,915.1,879.75,27941831,25333029144.8,2503.3,738.75,453652,INE040A01034,2020-04-17,906.63
972,HDFCBANK,EQ,N,960.95,935.0,951.0,944.85,943.3,910.3,33116614,31318495817.8,2503.3,738.75,555965,INE040A01034,2020-04-20,945.7
973,HDFCBANK,EQ,N,934.0,908.0,925.0,921.65,919.15,944.85,16589148,15299196199.55,2503.3,738.75,291815,INE040A01034,2020-04-21,922.24
974,HDFCBANK,EQ,N,933.0,907.3,919.15,928.6,929.75,921.65,19144678,17617671415.9,2503.3,738.75,258479,INE040A01034,2020-04-22,920.24
