,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,HEROMOTOCO,EQ,N,2110.0,1961.0,2100.0,1975.45,1975.0,2051.75,1207967,2454157490.45,3022.9,1961.0,66163,INE158A01026,2020-03-02,2031.64
996,HEROMOTOCO,EQ,N,2063.85,1976.0,1976.0,2054.85,2057.4,1975.45,1689926,3427009964.75,3022.9,1961.0,88001,INE158A01026,2020-03-03,2027.91
1000,HEROMOTOCO,EQ,N,2073.35,2000.5,2070.0,2046.35,2055.0,2054.85,976550,1994725679.55,3022.9,1961.0,61846,INE158A01026,2020-03-04,2042.63
1006,HEROMOTOCO,EQ,N,2093.1,2052.3,2061.7,2063.9,2060.95,2046.35,899516,1864491541.15,3022.9,1961.0,54656,INE158A01026,2020-03-05,2072.77
1007,HEROMOTOCO,EQ,N,2053.45,1971.0,1971.0,2038.3,2031.95,2063.9,606826,1223937471.45,3022.9,1961.0,40912,INE158A01026,2020-03-06,2016.95
1008,HEROMOTOCO,EQ,N,2011.5,1915.3,1995.0,1956.05,1956.0,2038.3,844134,1651791939.6,3022.9,1915.3,53417,INE158A01026,2020-03-09,1956.79
1009,HEROMOTOCO,EQ,N,2049.8,1948.9,1968.0,2036.05,2037.05,1956.05,1848135,3737716430.7,3022.9,1915.3,91288,INE158A01026,2020-03-11,2022.43
1010,HEROMOTOCO,EQ,N,1978.95,1793.75,1956.0,1907.2,1922.0,2036.05,2248848,4224461047.3,3022.9,1793.75,99521,INE158A01026,2020-03-12,1878.5
1011,HEROMOTOCO,EQ,N,1943.0,1535.0,1761.0,1883.95,1902.0,1907.2,1184616,2174662777.6,3022.9,1535.0,73201,INE158A01026,2020-03-13,1835.75
1012,HEROMOTOCO,EQ,N,1845.0,1775.3,1818.0,1783.5,1783.5,1883.95,883109,1598298187.75,3022.9,1535.0,67888,INE158A01026,2020-03-16,1809.85
1013,HEROMOTOCO,EQ,N,1903.6,1756.35,1783.0,1841.15,1829.0,1783.5,1236906,2289170765.45,3022.9,1535.0,68812,INE158A01026,2020-03-17,1850.72
1014,HEROMOTOCO,EQ,N,1860.0,1666.0,1841.0,1681.15,1690.0,1841.15,1118514,1938012850.45,3022.9,1535.0,97765,INE158A01026,2020-03-18,1732.67
1015,HEROMOTOCO,EQ,N,1789.0,1561.95,1648.0,1712.45,1703.1,1681.15,1276787,2170349391.75,3022.9,1535.0,96846,INE158A01026,2020-03-19,1699.85
1016,HEROMOTOCO,EQ,N,1845.7,1675.0,1725.0,1815.7,1822.0,1712.45,1244977,2182101043.8,3022.9,1535.0,86290,INE158A01026,2020-03-20,1752.72
1017,HEROMOTOCO,EQ,N,1673.15,1520.0,1634.15,1616.0,1615.15,1815.7,750843,1196136026.5,3022.9,1520.0,53249,INE158A01026,2020-03-23,1593.06
1018,HEROMOTOCO,EQ,N,1754.1,1475.0,1650.0,1627.05,1618.0,1616.0,1489165,2424880955.95,3022.9,1475.0,106962,INE158A01026,2020-03-24,1628.35
1019,HEROMOTOCO,EQ,N,1683.5,1525.3,1560.0,1667.65,1664.8,1627.05,1027512,1664837930.3,3022.9,1475.0,93718,INE158A01026,2020-03-25,1620.26
1020,HEROMOTOCO,EQ,N,1827.95,1645.6,1689.9,1801.9,1785.0,1667.65,1448405,2549815097.35,3022.9,1475.0,108095,INE158A01026,2020-03-26,1760.43
1021,HEROMOTOCO,EQ,N,1830.35,1640.6,1815.0,1661.2,1660.0,1801.9,1515015,2602594104.85,3022.9,1475.0,111118,INE158A01026,2020-03-27,1717.87
1022,HEROMOTOCO,EQ,N,1640.0,1542.3,1635.0,1553.5,1566.0,1661.2,1250949,1982522268.9,3022.9,1475.0,81551,INE158A01026,2020-03-30,1584.81
1023,HEROMOTOCO,EQ,N,1633.75,1565.0,1593.0,1596.45,1580.3,1553.5,1456426,2330149866.3,3022.9,1475.0,79213,INE158A01026,2020-03-31,1599.91
1024,HEROMOTOCO,EQ,N,1647.35,1565.0,1590.1,1639.65,1636.0,1596.45,1641556,2645985349.8,3022.9,1475.0,116228,INE158A01026,2020-04-01,1611.88
1025,HEROMOTOCO,EQ,N,1623.0,1543.15,1610.05,1582.05,1589.0,1639.65,1592848,2516550058.25,3022.9,1475.0,97799,INE158A01026,2020-04-03,1579.91
1026,HEROMOTOCO,EQ,N,1789.0,1623.65,1630.0,1769.2,1775.25,1582.05,1374511,2326255796.15,3022.9,1475.0,105730,INE158A01026,2020-04-07,1692.42
1027,HEROMOTOCO,EQ,N,1883.8,1700.0,1702.0,1821.65,1830.0,1769.2,1376706,2499401093.65,3022.9,1475.0,82169,INE158A01026,2020-04-08,1815.49
1028,HEROMOTOCO,EQ,N,2013.4,1853.0,1879.15,1990.9,1969.85,1821.65,2416795,4752518784.75,3022.9,1475.0,145975,INE158A01026,2020-04-09,1966.46
968,HEROMOTOCO,EQ,N,2023.5,1888.05,1952.0,1919.05,1920.5,1990.9,1561005,3038216689.15,3022.9,1475.0,83231,INE158A01026,2020-04-13,1946.32
969,HEROMOTOCO,EQ,N,1974.0,1811.7,1940.0,1824.1,1829.45,1919.05,1537630,2913764414.7,3022.9,1475.0,123963,INE158A01026,2020-04-15,1894.97
970,HEROMOTOCO,EQ,N,1807.45,1752.55,1800.0,1782.65,1792.0,1824.1,1453650,2590847118.05,3022.9,1475.0,100496,INE158A01026,2020-04-16,1782.3
971,HEROMOTOCO,EQ,N,1875.0,1812.0,1839.95,1835.9,1836.0,1782.65,1327772,2440833150.7,3022.9,1475.0,90752,INE158A01026,2020-04-17,1838.29
972,HEROMOTOCO,EQ,N,1879.95,1787.05,1874.95,1805.85,1815.0,1835.9,2291195,4145403767.85,3022.9,1475.0,116626,INE158A01026,2020-04-20,1809.28
973,HEROMOTOCO,EQ,N,1838.9,1758.0,1785.1,1827.55,1835.0,1805.85,1650673,2973112522.75,3022.9,1475.0,84069,INE158A01026,2020-04-21,1801.15
974,HEROMOTOCO,EQ,N,1905.0,1796.9,1800.0,1887.65,1886.0,1827.55,2737381,5142606307.75,3022.9,1475.0,127464,INE158A01026,2020-04-22,1878.66
975,HEROMOTOCO,EQ,N,1923.45,1855.0,1900.0,1865.0,1869.0,1887.65,1882834,3553801307.65,3022.9,1475.0,73424,INE158A01026,2020-04-23,1887.47
976,HEROMOTOCO,EQ,N,1939.4,1840.0,1842.5,1894.8,1890.45,1865.0,1711725,3266934483.05,3022.9,1475.0,86793,INE158A01026,2020-04-24,1908.56
977,HEROMOTOCO,EQ,N,1949.0,1897.45,1909.0,1935.2,1942.0,1894.8,1322270,2550028269.75,3022.9,1475.0,83386,INE158A01026,2020-04-27,1928.52
