,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,HINDALCO,EQ,N,161.45,146.85,160.55,149.75,151.45,155.9,11441351,1778020670.4,221.2,146.85,95290,INE038A01020,2020-03-02,155.4
996,HINDALCO,EQ,N,160.45,150.8,152.1,159.3,160.1,149.75,21836942,3382003684.15,221.2,146.85,123096,INE038A01020,2020-03-03,154.88
1000,HINDALCO,EQ,N,161.7,156.9,160.0,160.6,161.0,159.3,12074078,1923573814.55,221.2,146.85,85696,INE038A01020,2020-03-04,159.31
1006,HINDALCO,EQ,N,167.9,154.85,162.7,155.5,155.85,160.6,12338386,1964846435.7,221.2,146.85,67416,INE038A01020,2020-03-05,159.25
1007,HINDALCO,EQ,N,151.45,140.0,148.95,150.1,150.5,155.5,11173720,1661411145.9,221.2,140.0,60773,INE038A01020,2020-03-06,148.69
1008,HINDALCO,EQ,N,145.8,140.3,143.9,143.45,142.7,150.1,10550465,1512478880.4,221.2,140.0,89638,INE038A01020,2020-03-09,143.36
1009,HINDALCO,EQ,N,142.35,137.1,142.0,137.8,137.6,143.45,9682823,1354342171.1,221.2,137.1,74231,INE038A01020,2020-03-11,139.87
1010,HINDALCO,EQ,N,130.0,118.15,130.0,120.2,120.9,137.8,15926860,1987150240.75,221.2,118.15,119966,INE038A01020,2020-03-12,124.77
1011,HINDALCO,EQ,N,130.0,103.1,113.9,127.45,129.6,120.2,15365436,1834273295.6,221.2,103.1,84761,INE038A01020,2020-03-13,119.38
1012,HINDALCO,EQ,N,129.05,114.45,120.8,115.65,116.75,127.45,20577695,2493485530.95,221.2,103.1,141110,INE038A01020,2020-03-16,121.17
1013,HINDALCO,EQ,N,120.85,113.85,117.0,115.4,115.2,115.65,11615932,1361691768.9,221.2,103.1,87135,INE038A01020,2020-03-17,117.23
1014,HINDALCO,EQ,N,119.0,108.15,119.0,109.2,109.4,115.4,12106435,1359499690.05,221.2,103.1,92758,INE038A01020,2020-03-18,112.3
1015,HINDALCO,EQ,N,107.9,97.55,103.0,99.75,98.75,109.2,11569862,1203950612.75,221.2,97.55,81612,INE038A01020,2020-03-19,104.06
1016,HINDALCO,EQ,N,107.7,98.7,101.2,105.5,105.5,99.75,13928854,1442694189.3,221.2,97.55,66770,INE038A01020,2020-03-20,103.58
1017,HINDALCO,EQ,N,99.95,84.9,94.95,87.9,89.8,105.5,14591356,1310978594.6,221.2,84.9,88666,INE038A01020,2020-03-23,89.85
1018,HINDALCO,EQ,N,94.8,85.0,89.05,88.75,89.0,87.9,16845643,1487789780.25,221.2,84.9,94978,INE038A01020,2020-03-24,88.32
1019,HINDALCO,EQ,N,97.2,88.05,88.95,94.55,94.6,88.75,7877985,733927794.95,221.2,84.9,56656,INE038A01020,2020-03-25,93.16
1020,HINDALCO,EQ,N,97.6,92.25,97.5,94.55,95.0,94.55,11013084,1042623562.65,221.2,84.9,89558,INE038A01020,2020-03-26,94.67
1021,HINDALCO,EQ,N,99.3,90.3,97.5,91.55,91.45,94.55,9159047,859720533.1,221.2,84.9,62856,INE038A01020,2020-03-27,93.87
1022,HINDALCO,EQ,N,91.45,86.55,88.1,88.8,89.55,91.55,9970409,892415925.0,221.2,84.9,49119,INE038A01020,2020-03-30,89.51
1023,HINDALCO,EQ,N,97.25,91.0,91.95,95.7,94.9,88.8,15558731,1471313090.55,221.2,84.9,84437,INE038A01020,2020-03-31,94.57
1024,HINDALCO,EQ,N,95.4,91.0,94.95,91.65,91.7,95.7,9271055,852991596.15,221.2,84.9,55724,INE038A01020,2020-04-01,92.01
1025,HINDALCO,EQ,N,93.45,88.4,92.1,88.8,88.8,91.65,8216768,736871173.9,221.2,84.9,59406,INE038A01020,2020-04-03,89.68
1026,HINDALCO,EQ,N,106.55,90.0,92.15,103.95,100.5,88.8,23640664,2309374609.8,221.2,84.9,127375,INE038A01020,2020-04-07,97.69
1027,HINDALCO,EQ,N,111.8,98.9,99.5,100.85,101.15,103.95,24227475,2534365434.35,221.2,84.9,110310,INE038A01020,2020-04-08,104.61
