,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,HINDUNILVR,EQ,N,2241.95,2141.85,2190.0,2159.45,2167.9,2174.75,1707337,3731250747.0,2308.2,1650.0,83077,INE030A01027,2020-03-02,2185.42
996,HINDUNILVR,EQ,N,2189.6,2141.7,2171.9,2166.65,2178.65,2159.45,1753148,3804768426.0,2308.2,1650.0,110315,INE030A01027,2020-03-03,2170.25
1001,HINDUNILVR,EQ,N,2185.05,2152.0,2179.0,2175.85,2180.9,2166.65,1515878,3285344751.45,2308.2,1650.0,69750,INE030A01027,2020-03-04,2167.29
1007,HINDUNILVR,EQ,N,2258.65,2181.85,2185.0,2218.0,2224.0,2175.85,2272645,5073883386.95,2308.2,1650.0,142099,INE030A01027,2020-03-05,2232.59
1008,HINDUNILVR,EQ,N,2250.0,2159.25,2185.0,2188.9,2172.1,2218.0,2479414,5440619800.85,2308.2,1650.0,122964,INE030A01027,2020-03-06,2194.32
1009,HINDUNILVR,EQ,N,2169.6,2112.0,2140.0,2121.5,2135.0,2188.9,2485208,5306293896.05,2308.2,1650.0,109512,INE030A01027,2020-03-09,2135.15
1010,HINDUNILVR,EQ,N,2169.45,2066.0,2066.0,2155.0,2155.05,2121.5,2861649,6091542157.9,2308.2,1650.0,126457,INE030A01027,2020-03-11,2128.68
1011,HINDUNILVR,EQ,N,2123.0,2031.65,2102.4,2055.95,2074.0,2155.0,3655792,7596600467.6,2308.2,1650.0,161111,INE030A01027,2020-03-12,2077.96
1012,HINDUNILVR,EQ,N,2120.0,1888.1,1970.0,2033.2,2045.0,2055.95,3667035,7439427360.25,2308.2,1650.0,199161,INE030A01027,2020-03-13,2028.73
1013,HINDUNILVR,EQ,N,2039.2,1933.9,2000.0,1941.9,1938.0,2033.2,2948704,5810144887.4,2308.2,1650.0,157351,INE030A01027,2020-03-16,1970.41
1014,HINDUNILVR,EQ,N,2088.0,1951.95,1955.55,2004.05,2001.95,1941.9,3732415,7576485956.95,2308.2,1650.0,216826,INE030A01027,2020-03-17,2029.92
1015,HINDUNILVR,EQ,N,2063.8,1909.35,2034.05,1923.8,1930.0,2004.05,3911480,7780602600.6,2308.2,1650.0,276097,INE030A01027,2020-03-18,1989.17
1016,HINDUNILVR,EQ,N,1899.0,1757.3,1894.3,1838.3,1855.0,1923.8,5095023,9316181144.15,2308.2,1650.0,213980,INE030A01027,2020-03-19,1828.49
1017,HINDUNILVR,EQ,N,2078.9,1850.0,1850.0,2051.7,2075.0,1838.3,4252263,8504478841.3,2308.2,1650.0,192288,INE030A01027,2020-03-20,1999.99
1018,HINDUNILVR,EQ,N,1985.05,1850.0,1950.0,1869.7,1868.85,2051.7,3574682,6784451000.5,2308.2,1650.0,207403,INE030A01027,2020-03-23,1897.92
1019,HINDUNILVR,EQ,N,2070.95,1930.0,1975.0,2027.85,2011.0,1869.7,5789906,11668418941.85,2308.2,1650.0,231906,INE030A01027,2020-03-24,2015.3
1020,HINDUNILVR,EQ,N,2138.95,2001.65,2010.05,2088.15,2078.0,2027.85,3959038,8251673545.85,2308.2,1650.0,239780,INE030A01027,2020-03-25,2084.26
1021,HINDUNILVR,EQ,N,2250.0,2060.0,2089.0,2194.9,2179.0,2088.15,3201566,6842604517.95,2308.2,1650.0,206208,INE030A01027,2020-03-26,2137.27
1022,HINDUNILVR,EQ,N,2267.65,2120.5,2239.0,2140.55,2147.0,2194.9,2918796,6380643117.95,2308.2,1650.0,169463,INE030A01027,2020-03-27,2186.05
