,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,HINDZINC,EQ,N,177.15,164.0,173.3,167.7,166.95,172.25,290865,50084152.6,291.65,164.0,6367,INE267A01025,2020-03-02,172.19
996,HINDZINC,EQ,N,174.0,167.8,170.0,172.9,172.95,167.7,321602,54939273.2,291.65,164.0,7707,INE267A01025,2020-03-03,170.83
1000,HINDZINC,EQ,N,172.9,167.2,172.35,169.45,168.65,172.9,302832,51339502.55,291.65,164.0,9946,INE267A01025,2020-03-04,169.53
1006,HINDZINC,EQ,N,174.35,169.0,172.0,169.35,169.1,169.45,228864,39070095.3,291.65,164.0,5784,INE267A01025,2020-03-05,170.71
1007,HINDZINC,EQ,N,170.5,161.9,167.0,163.8,164.25,169.35,558994,92651443.2,291.65,161.9,10348,INE267A01025,2020-03-06,165.75
1008,HINDZINC,EQ,N,161.45,154.4,161.45,159.3,159.0,163.8,882419,139544387.95,291.65,154.4,19474,INE267A01025,2020-03-09,158.14
1009,HINDZINC,EQ,N,168.55,158.2,168.55,160.0,160.7,159.3,642043,104349133.4,291.65,154.4,17809,INE267A01025,2020-03-11,162.53
1010,HINDZINC,EQ,N,155.0,140.15,153.0,145.05,145.7,160.0,1359057,202766253.3,291.65,140.15,27290,INE267A01025,2020-03-12,149.2
1011,HINDZINC,EQ,N,150.2,116.05,129.85,141.15,140.6,145.05,1802421,251759668.95,291.65,116.05,44625,INE267A01025,2020-03-13,139.68
1012,HINDZINC,EQ,N,148.0,133.2,136.0,138.25,142.0,141.15,1040430,144046502.1,291.65,116.05,30968,INE267A01025,2020-03-16,138.45
1013,HINDZINC,EQ,N,142.0,130.0,138.0,134.1,136.0,138.25,804404,110710512.75,291.65,116.05,16703,INE267A01025,2020-03-17,137.63
1014,HINDZINC,EQ,N,145.4,126.5,137.0,135.75,131.0,134.1,829517,111143479.55,291.65,116.05,19429,INE267A01025,2020-03-18,133.99
1015,HINDZINC,EQ,N,135.0,125.25,132.9,127.25,127.0,135.75,834272,108467304.55,291.65,116.05,13110,INE267A01025,2020-03-19,130.01
1016,HINDZINC,EQ,N,142.5,127.3,130.0,136.25,138.65,127.25,772708,101971576.65,291.65,116.05,24687,INE267A01025,2020-03-20,131.97
1017,HINDZINC,EQ,N,135.0,123.0,125.0,125.55,126.0,136.25,683556,87397540.7,291.65,116.05,12753,INE267A01025,2020-03-23,127.86
1018,HINDZINC,EQ,N,130.0,125.0,126.0,126.2,126.95,125.55,778018,98472022.05,291.65,116.05,14045,INE267A01025,2020-03-24,126.57
1019,HINDZINC,EQ,N,139.15,123.45,125.0,137.95,138.2,126.2,823353,111051220.85,291.65,116.05,24244,INE267A01025,2020-03-25,134.88
1020,HINDZINC,EQ,N,145.0,138.1,142.0,139.25,140.0,137.95,494113,69800621.3,291.65,116.05,12629,INE267A01025,2020-03-26,141.26
1021,HINDZINC,EQ,N,154.0,141.95,141.95,143.95,143.85,139.25,701050,103466605.4,291.65,116.05,12892,INE267A01025,2020-03-27,147.59
1022,HINDZINC,EQ,N,146.55,137.5,140.0,145.35,145.5,143.95,352686,50921472.65,291.65,116.05,8706,INE267A01025,2020-03-30,144.38
1023,HINDZINC,EQ,N,159.65,146.05,146.55,155.4,154.05,145.35,510402,78194534.6,291.65,116.05,14885,INE267A01025,2020-03-31,153.2
1024,HINDZINC,EQ,N,167.0,152.25,155.0,160.45,159.7,155.4,901577,145664805.7,291.65,116.05,14407,INE267A01025,2020-04-01,161.57
1025,HINDZINC,EQ,N,167.0,151.45,167.0,161.55,161.45,160.45,710426,113341679.85,291.65,116.05,11443,INE267A01025,2020-04-03,159.54
1026,HINDZINC,EQ,N,169.45,159.65,169.45,164.5,165.0,161.55,1136863,187284673.05,291.65,116.05,12241,INE267A01025,2020-04-07,164.74
1027,HINDZINC,EQ,N,169.95,164.0,167.0,165.95,166.8,164.5,382642,63895660.7,291.65,116.05,6920,INE267A01025,2020-04-08,166.99
1028,HINDZINC,EQ,N,171.6,163.0,168.8,165.5,167.0,165.95,368829,61605089.5,291.65,116.05,6771,INE267A01025,2020-04-09,167.03
968,HINDZINC,EQ,N,168.75,162.55,166.0,165.2,165.5,165.5,295051,48688306.25,286.5,116.05,4349,INE267A01025,2020-04-13,165.02
969,HINDZINC,EQ,N,173.55,166.0,167.0,170.4,169.5,165.2,602904,102701449.85,286.5,116.05,8933,INE267A01025,2020-04-15,170.34
