,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,ICICIBANK,EQ,N,520.55,498.45,508.25,506.1,505.9,497.25,28642076,14716853126.0,552.2,352.8,271339,INE090A01021,2020-03-02,513.82
996,ICICIBANK,EQ,N,519.5,508.5,509.85,514.75,516.9,506.1,19661945,10116757951.15,552.2,352.8,187417,INE090A01021,2020-03-03,514.53
1000,ICICIBANK,EQ,N,517.5,497.05,517.5,508.35,508.95,514.75,21883404,11072083532.45,552.2,352.8,227396,INE090A01021,2020-03-04,505.96
1005,ICICIBANK,EQ,N,511.15,500.0,509.75,504.5,504.0,508.35,16671516,8434486945.25,552.2,352.8,201499,INE090A01021,2020-03-05,505.92
1006,ICICIBANK,EQ,N,496.8,477.3,485.0,486.35,485.75,504.5,31024353,15106400878.7,552.2,352.8,334872,INE090A01021,2020-03-06,486.92
1007,ICICIBANK,EQ,N,475.0,442.95,475.0,457.75,457.5,486.35,42027546,19306184658.6,552.2,370.0,401229,INE090A01021,2020-03-09,459.37
1008,ICICIBANK,EQ,N,471.75,449.6,450.0,465.65,465.55,457.75,31018901,14432248215.0,552.2,370.0,334058,INE090A01021,2020-03-11,465.27
1009,ICICIBANK,EQ,N,445.95,416.0,438.0,425.65,432.95,465.65,50757036,22006253604.0,552.2,370.0,397139,INE090A01021,2020-03-12,433.56
1010,ICICIBANK,EQ,N,464.75,395.2,401.0,447.2,449.95,425.65,67105024,29106270608.7,552.2,370.0,417226,INE090A01021,2020-03-13,433.74
1011,ICICIBANK,EQ,N,424.2,397.45,424.2,402.9,401.1,447.2,34834779,14273999292.2,552.2,375.25,405336,INE090A01021,2020-03-16,409.76
1012,ICICIBANK,EQ,N,408.45,364.0,407.0,367.25,366.95,402.9,47233442,18361355943.0,552.2,364.0,518412,INE090A01021,2020-03-17,388.74
1013,ICICIBANK,EQ,N,375.5,342.3,369.1,355.05,358.0,367.25,61204129,21821915599.25,552.2,342.3,941197,INE090A01021,2020-03-18,356.54
1014,ICICIBANK,EQ,N,369.6,323.0,336.1,338.55,335.4,355.05,57986210,19771226681.5,552.2,323.0,510635,INE090A01021,2020-03-19,340.96
1015,ICICIBANK,EQ,N,359.8,323.0,328.0,345.7,344.4,338.55,88640850,30308752318.25,552.2,323.0,742628,INE090A01021,2020-03-20,341.93
1016,ICICIBANK,EQ,N,313.7,280.0,311.15,284.0,282.4,345.7,56868412,16570590575.05,552.2,280.0,510598,INE090A01021,2020-03-23,291.38
1017,ICICIBANK,EQ,N,305.0,268.3,295.3,296.5,298.55,284.0,67896591,19651491211.2,552.2,268.3,586196,INE090A01021,2020-03-24,289.43
1018,ICICIBANK,EQ,N,334.15,281.6,284.0,316.9,315.15,296.5,66545735,20414243484.35,552.2,268.3,813004,INE090A01021,2020-03-25,306.77
1019,ICICIBANK,EQ,N,364.4,314.25,322.0,330.25,331.5,316.9,76174000,25881509450.7,552.2,268.3,820649,INE090A01021,2020-03-26,339.77
1020,ICICIBANK,EQ,N,359.55,326.0,355.8,339.85,338.5,330.25,72890796,24972611400.3,552.2,268.3,820234,INE090A01021,2020-03-27,342.6
1021,ICICIBANK,EQ,N,333.9,311.1,330.1,313.4,315.1,339.85,36560532,11846615701.45,552.2,268.3,525988,INE090A01021,2020-03-30,324.03
1022,ICICIBANK,EQ,N,334.85,316.0,324.7,323.75,320.4,313.4,46280029,15054562351.35,552.2,268.3,485411,INE090A01021,2020-03-31,325.29
1023,ICICIBANK,EQ,N,323.75,308.1,319.0,311.15,311.5,323.75,33142102,10413253174.8,552.2,268.3,363679,INE090A01021,2020-04-01,314.2
1024,ICICIBANK,EQ,N,309.5,281.5,309.5,286.65,288.0,311.15,57330285,16731286856.7,552.2,268.3,531869,INE090A01021,2020-04-03,291.84
1025,ICICIBANK,EQ,N,329.6,296.85,308.3,326.1,324.8,286.65,57662681,18002717272.65,552.2,268.3,516940,INE090A01021,2020-04-07,312.21
1026,ICICIBANK,EQ,N,352.75,315.1,322.85,318.95,317.65,326.1,73931642,24313828663.5,552.2,268.3,716901,INE090A01021,2020-04-08,328.87
1027,ICICIBANK,EQ,N,345.0,322.65,332.4,342.7,342.0,318.95,52432049,17578019638.95,552.2,268.3,513643,INE090A01021,2020-04-09,335.25
968,ICICIBANK,EQ,N,345.8,329.25,341.05,330.65,331.1,342.7,30995409,10401957611.0,552.2,268.3,308507,INE090A01021,2020-04-13,335.6
969,ICICIBANK,EQ,N,351.9,325.0,342.7,327.35,328.5,330.65,49134201,16717007506.6,552.2,268.3,466734,INE090A01021,2020-04-15,340.23
970,ICICIBANK,EQ,N,347.8,319.35,325.3,342.0,342.85,327.35,56494211,18975317553.8,552.2,268.3,519194,INE090A01021,2020-04-16,335.88
971,ICICIBANK,EQ,N,385.5,349.05,362.0,375.55,375.0,342.0,69008019,24933049546.8,552.2,268.3,949891,INE090A01021,2020-04-17,361.31
