,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,ICICIGI,EQ,N,1271.95,1129.95,1237.1,1199.1,1180.0,1236.65,436775,541037700.55,1440.4,937.4,36975,INE765G01017,2020-03-02,1238.71
996,ICICIGI,EQ,N,1238.0,1198.0,1199.0,1210.95,1226.05,1199.1,384410,468919183.3,1440.4,937.4,47518,INE765G01017,2020-03-03,1219.84
1000,ICICIGI,EQ,N,1239.7,1205.3,1235.0,1214.5,1213.2,1210.95,599176,734675534.25,1440.4,937.4,42434,INE765G01017,2020-03-04,1226.14
1005,ICICIGI,EQ,N,1279.8,1212.05,1222.0,1262.75,1273.0,1214.5,485211,609267199.2,1440.4,937.4,43808,INE765G01017,2020-03-05,1255.67
1006,ICICIGI,EQ,N,1268.0,1226.3,1250.5,1264.4,1265.0,1262.75,718345,901649043.8,1440.4,937.4,34574,INE765G01017,2020-03-06,1255.18
1007,ICICIGI,EQ,N,1261.0,1190.0,1261.0,1207.9,1222.05,1264.4,732840,896619576.2,1440.4,937.4,36177,INE765G01017,2020-03-09,1223.49
1008,ICICIGI,EQ,N,1225.1,1160.5,1210.0,1190.05,1186.9,1207.9,642604,762414756.45,1440.4,937.4,68864,INE765G01017,2020-03-11,1186.45
1009,ICICIGI,EQ,N,1169.8,1072.0,1135.65,1104.15,1101.0,1190.05,1468823,1619193870.05,1440.4,937.4,84101,INE765G01017,2020-03-12,1102.38
1010,ICICIGI,EQ,N,1150.0,883.35,1010.0,1125.65,1125.0,1104.15,1166978,1264449815.1,1440.4,883.35,41432,INE765G01017,2020-03-13,1083.52
1011,ICICIGI,EQ,N,1197.4,1042.05,1099.8,1087.8,1055.0,1125.65,625791,694439235.75,1440.4,883.35,64524,INE765G01017,2020-03-16,1109.7
1012,ICICIGI,EQ,N,1123.2,1045.2,1075.0,1075.25,1066.0,1087.8,407327,443211818.45,1440.4,883.35,55830,INE765G01017,2020-03-17,1088.1
1013,ICICIGI,EQ,N,1099.0,962.0,1066.55,995.8,1003.0,1075.25,1302437,1310564000.45,1440.4,883.35,76046,INE765G01017,2020-03-18,1006.24
1014,ICICIGI,EQ,N,1121.0,805.0,950.0,1029.4,1014.0,995.8,990239,959896767.4,1440.4,805.0,65714,INE765G01017,2020-03-19,969.36
1015,ICICIGI,EQ,N,1074.25,950.0,1050.0,1004.45,1013.0,1029.4,1765061,1781617190.7,1440.4,805.0,129341,INE765G01017,2020-03-20,1009.38
1016,ICICIGI,EQ,N,949.95,820.0,910.0,826.3,835.0,1004.45,596466,517700275.6,1440.4,805.0,58883,INE765G01017,2020-03-23,867.95
1017,ICICIGI,EQ,N,929.0,815.75,818.05,850.95,825.0,826.3,907494,790103778.7,1440.4,805.0,60499,INE765G01017,2020-03-24,870.64
1018,ICICIGI,EQ,N,995.0,846.4,855.5,984.95,989.0,850.95,1161295,1085353257.25,1440.4,805.0,81940,INE765G01017,2020-03-25,934.61
1019,ICICIGI,EQ,N,1181.9,997.05,1000.0,1096.8,1094.75,984.95,1897600,2124187720.1,1440.4,805.0,83736,INE765G01017,2020-03-26,1119.41
1020,ICICIGI,EQ,N,1179.7,980.0,1080.0,1022.75,1022.75,1096.8,756641,814419918.2,1440.4,805.0,85418,INE765G01017,2020-03-27,1076.36
1021,ICICIGI,EQ,N,1088.0,998.75,998.75,1027.7,1025.0,1022.75,427414,448591421.8,1440.4,805.0,47535,INE765G01017,2020-03-30,1049.55
1022,ICICIGI,EQ,N,1102.95,1030.0,1065.0,1081.65,1100.0,1027.7,1302717,1393092908.3,1440.4,805.0,57424,INE765G01017,2020-03-31,1069.37
1023,ICICIGI,EQ,N,1143.0,1051.1,1084.0,1105.75,1105.0,1081.65,538692,594471837.95,1440.4,805.0,56126,INE765G01017,2020-04-01,1103.55
1024,ICICIGI,EQ,N,1119.9,1013.0,1100.0,1045.05,1040.05,1105.75,1099047,1151687984.4,1440.4,805.0,78555,INE765G01017,2020-04-03,1047.9
1025,ICICIGI,EQ,N,1195.0,1072.0,1072.0,1154.45,1153.8,1045.05,812060,911001083.5,1440.4,805.0,77084,INE765G01017,2020-04-07,1121.84
1026,ICICIGI,EQ,N,1179.9,1108.05,1110.0,1150.95,1118.95,1154.45,575191,663053443.9,1440.4,805.0,68651,INE765G01017,2020-04-08,1152.75
1027,ICICIGI,EQ,N,1227.95,1125.0,1130.0,1169.0,1164.0,1150.95,1307789,1543625071.2,1440.4,805.0,39622,INE765G01017,2020-04-09,1180.33
968,ICICIGI,EQ,N,1178.8,1101.0,1165.0,1146.7,1159.9,1169.0,542846,620082317.85,1440.4,805.0,49488,INE765G01017,2020-04-13,1142.28
969,ICICIGI,EQ,N,1214.4,1139.1,1169.45,1152.85,1152.0,1146.7,761158,896420029.15,1440.4,805.0,82887,INE765G01017,2020-04-15,1177.71
970,ICICIGI,EQ,N,1223.7,1136.8,1152.85,1157.25,1150.0,1152.85,809381,946436392.0,1440.4,805.0,66252,INE765G01017,2020-04-16,1169.33
971,ICICIGI,EQ,N,1212.7,1173.35,1174.85,1199.4,1212.0,1157.25,701251,841811811.45,1440.4,805.0,30930,INE765G01017,2020-04-17,1200.44
972,ICICIGI,EQ,N,1233.5,1175.0,1215.0,1190.3,1190.45,1199.4,734858,883124956.6,1440.4,805.0,44835,INE765G01017,2020-04-20,1201.76
973,ICICIGI,EQ,N,1199.8,1130.2,1175.0,1159.2,1155.0,1190.3,611851,701327481.5,1440.4,805.0,29312,INE765G01017,2020-04-21,1146.24
974,ICICIGI,EQ,N,1160.05,1126.0,1159.15,1139.4,1134.8,1159.2,348313,397335763.45,1440.4,805.0,32816,INE765G01017,2020-04-22,1140.74
975,ICICIGI,EQ,N,1199.0,1140.0,1149.8,1190.85,1193.95,1139.4,348769,412628240.45,1440.4,805.0,32912,INE765G01017,2020-04-23,1183.1
976,ICICIGI,EQ,N,1201.0,1126.0,1160.0,1136.5,1127.9,1190.85,682327,796708654.1,1440.4,805.0,44301,INE765G01017,2020-04-24,1167.63
977,ICICIGI,EQ,N,1205.0,1137.1,1140.0,1194.0,1200.0,1136.5,567752,671070544.0,1440.4,805.0,27679,INE765G01017,2020-04-27,1181.98
978,ICICIGI,EQ,N,1206.9,1180.0,1204.9,1195.45,1192.7,1194.0,983106,1174813373.4,1440.4,805.0,18166,INE765G01017,2020-04-28,1195.0
979,ICICIGI,EQ,N,1235.35,1182.7,1190.0,1231.25,1229.15,1195.45,586460,718534159.0,1440.4,805.0,58978,INE765G01017,2020-04-29,1225.21
980,ICICIGI,EQ,N,1325.0,1207.05,1240.0,1290.6,1273.0,1231.25,987356,1259431075.75,1440.4,805.0,99760,INE765G01017,2020-04-30,1275.56
981,ICICIGI,EQ,N,1265.0,1189.0,1253.1,1208.85,1192.7,1290.6,702118,855614404.0,1440.4,805.0,72095,INE765G01017,2020-05-04,1218.62
982,ICICIGI,EQ,N,1231.25,1172.0,1210.9,1213.35,1220.0,1208.85,613031,739349099.95,1440.4,805.0,41292,INE765G01017,2020-05-05,1206.05
983,ICICIGI,EQ,N,1239.7,1174.35,1229.0,1212.15,1211.4,1213.35,471269,570682679.5,1440.4,805.0,84940,INE765G01017,2020-05-06,1210.95
984,ICICIGI,EQ,N,1220.0,1192.15,1209.8,1210.2,1216.0,1212.15,271631,329140379.15,1440.4,805.0,31674,INE765G01017,2020-05-07,1211.72
985,ICICIGI,EQ,N,1248.9,1210.1,1217.0,1235.15,1240.25,1210.2,408970,502767946.35,1440.4,805.0,37968,INE765G01017,2020-05-08,1229.35
986,ICICIGI,EQ,N,1314.0,1246.0,1250.0,1297.3,1293.0,1235.15,760784,985347411.8,1440.4,805.0,70715,INE765G01017,2020-05-11,1295.17
987,ICICIGI,EQ,N,1342.95,1274.0,1289.6,1333.3,1335.0,1297.3,682535,896863456.9,1440.4,805.0,63000,INE765G01017,2020-05-12,1314.02
988,ICICIGI,EQ,N,1372.2,1286.0,1360.0,1320.1,1319.5,1333.3,711173,936527945.05,1440.4,805.0,63278,INE765G01017,2020-05-13,1316.88
989,ICICIGI,EQ,N,1316.65,1235.0,1310.0,1243.5,1239.95,1320.1,568031,717574188.45,1440.4,805.0,73771,INE765G01017,2020-05-14,1263.27
990,ICICIGI,EQ,N,1260.0,1216.35,1249.0,1233.4,1226.5,1243.5,491931,609715777.2,1440.4,805.0,33919,INE765G01017,2020-05-15,1239.43
991,ICICIGI,EQ,N,1238.65,1125.05,1222.25,1166.0,1169.0,1233.4,503282,592176517.45,1440.4,805.0,64306,INE765G01017,2020-05-18,1176.63
