,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,INDIGO,EQ,N,1347.95,1213.5,1313.0,1239.05,1240.0,1300.05,3163264,4052897533.3,1898.85,1117.0,95645,INE646L01027,2020-03-02,1281.24
996,INDIGO,EQ,N,1284.5,1216.4,1243.0,1228.45,1230.15,1239.05,4247523,5284903355.2,1898.85,1117.0,116961,INE646L01027,2020-03-03,1244.23
1001,INDIGO,EQ,N,1233.4,1154.05,1225.15,1201.05,1196.4,1228.45,5734352,6809459483.0,1898.85,1117.0,151379,INE646L01027,2020-03-04,1187.49
1008,INDIGO,EQ,N,1227.65,1184.2,1200.0,1211.1,1211.15,1201.05,2209405,2664762534.85,1898.85,1117.0,62514,INE646L01027,2020-03-05,1206.1
1009,INDIGO,EQ,N,1184.3,1090.0,1090.0,1176.9,1175.8,1211.1,2435604,2817966029.75,1898.85,1090.0,75098,INE646L01027,2020-03-06,1156.99
1010,INDIGO,EQ,N,1233.5,1163.1,1175.05,1213.2,1219.25,1176.9,3127030,3775980811.05,1898.85,1090.0,119469,INE646L01027,2020-03-09,1207.53
1011,INDIGO,EQ,N,1215.25,1149.7,1205.0,1160.25,1169.95,1213.2,1752142,2058788178.15,1898.85,1090.0,54682,INE646L01027,2020-03-11,1175.01
1012,INDIGO,EQ,N,1044.25,945.0,1044.25,1018.4,1036.0,1160.25,2385687,2372514101.3,1898.85,945.0,95144,INE646L01027,2020-03-12,994.48
1013,INDIGO,EQ,N,1032.75,865.65,916.6,998.8,1013.25,1018.4,2267248,2202005787.45,1898.85,865.65,79955,INE646L01027,2020-03-13,971.22
1014,INDIGO,EQ,N,1004.0,912.0,941.0,978.4,985.0,998.8,2773924,2703371150.8,1898.85,865.65,98144,INE646L01027,2020-03-16,974.57
