,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,INDUSINDBK,EQ,N,1136.95,1070.05,1130.0,1079.25,1075.0,1104.05,5724823,6360372862.95,1834.4,1070.05,107304,INE095A01012,2020-03-02,1111.02
996,INDUSINDBK,EQ,N,1117.95,1073.0,1085.0,1108.05,1106.0,1079.25,5233056,5722017103.8,1834.4,1070.05,114159,INE095A01012,2020-03-03,1093.44
1001,INDUSINDBK,EQ,N,1114.45,1051.0,1114.45,1065.95,1076.2,1108.05,6863681,7341646202.45,1834.4,1051.0,136623,INE095A01012,2020-03-04,1069.64
1007,INDUSINDBK,EQ,N,1094.95,1063.0,1075.0,1075.0,1073.0,1065.95,6815347,7333431253.5,1834.4,1051.0,135215,INE095A01012,2020-03-05,1076.02
1008,INDUSINDBK,EQ,N,1030.95,913.8,998.0,1014.8,1006.6,1075.0,16835425,16624144344.55,1834.4,913.8,304041,INE095A01012,2020-03-06,987.45
1009,INDUSINDBK,EQ,N,969.95,887.05,950.0,903.1,889.9,1014.8,14499395,13427296668.85,1834.4,887.05,257052,INE095A01012,2020-03-09,926.06
1010,INDUSINDBK,EQ,N,929.0,845.0,889.9,853.55,845.15,903.1,12305910,10872744396.8,1834.4,845.0,237824,INE095A01012,2020-03-11,883.54
1011,INDUSINDBK,EQ,N,831.95,770.0,775.2,784.65,772.0,853.55,16136790,12998326620.95,1834.4,770.0,309910,INE095A01012,2020-03-12,805.51
1012,INDUSINDBK,EQ,N,834.7,551.1,724.0,803.75,807.3,784.65,21139779,15477856591.7,1834.4,551.1,357767,INE095A01012,2020-03-13,732.17
1013,INDUSINDBK,EQ,N,758.7,655.0,747.0,664.15,656.25,803.75,16614043,11413826858.95,1834.4,551.1,430826,INE095A01012,2020-03-16,687.0
1014,INDUSINDBK,EQ,N,707.45,585.4,670.0,604.15,603.05,664.15,19508188,12709495559.05,1834.4,551.1,419819,INE095A01012,2020-03-17,651.5
1015,INDUSINDBK,EQ,N,638.85,374.8,629.0,460.8,459.2,604.15,74868388,36703405731.95,1834.4,374.8,1424793,INE095A01012,2020-03-18,490.24
1016,INDUSINDBK,EQ,N,472.0,391.75,414.75,444.05,438.0,460.8,29190256,12803385077.35,1834.4,374.8,699807,INE095A01012,2020-03-19,438.62
1017,INDUSINDBK,EQ,N,478.9,405.25,444.05,440.35,440.1,444.05,28086283,12190691110.75,1834.4,374.8,454918,INE095A01012,2020-03-20,434.04
1018,INDUSINDBK,EQ,N,405.0,330.1,396.35,336.45,335.0,440.35,9515736,3324160658.45,1834.4,330.1,328065,INE095A01012,2020-03-23,349.33
1019,INDUSINDBK,EQ,N,360.0,235.55,355.05,312.35,313.6,336.45,37275397,11721183343.95,1834.4,235.55,845045,INE095A01012,2020-03-24,314.45
