,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,INFRATEL,EQ,N,226.25,210.2,216.0,216.85,216.9,214.45,5593236,1228924799.9,333.45,176.35,48650,INE121J01017,2020-03-02,219.72
996,INFRATEL,EQ,N,225.0,213.05,220.0,219.35,218.55,216.85,4885039,1065713806.75,333.45,176.35,48079,INE121J01017,2020-03-03,218.16
1001,INFRATEL,EQ,N,223.0,215.8,219.35,221.05,220.45,219.35,4051461,891287090.5,333.45,176.35,45080,INE121J01017,2020-03-04,219.99
1007,INFRATEL,EQ,N,223.75,211.6,222.7,214.7,215.4,221.05,6312226,1354441689.15,333.45,176.35,46391,INE121J01017,2020-03-05,214.57
1008,INFRATEL,EQ,N,209.7,201.0,209.7,203.7,202.7,214.7,3489700,716395074.05,333.45,176.35,33385,INE121J01017,2020-03-06,205.29
1009,INFRATEL,EQ,N,215.0,195.3,196.0,211.0,209.5,203.7,6976203,1435363926.3,333.45,176.35,64834,INE121J01017,2020-03-09,205.75
1010,INFRATEL,EQ,N,226.7,207.0,209.0,224.75,224.95,211.0,9057714,2009661738.8,333.45,176.35,96380,INE121J01017,2020-03-11,221.87
1011,INFRATEL,EQ,N,224.5,207.0,207.0,221.3,222.0,224.75,8429211,1849829393.35,333.45,176.35,71332,INE121J01017,2020-03-12,219.45
1012,INFRATEL,EQ,N,241.7,208.05,221.0,227.25,228.75,221.3,10869358,2499737701.9,333.45,176.35,133396,INE121J01017,2020-03-13,229.98
1013,INFRATEL,EQ,N,220.9,203.0,219.8,209.4,207.8,227.25,6990095,1482943541.6,333.45,176.35,51728,INE121J01017,2020-03-16,212.15
1014,INFRATEL,EQ,N,214.5,190.7,209.9,194.4,193.55,209.4,7162959,1422715828.6,333.45,176.35,60369,INE121J01017,2020-03-17,198.62
1015,INFRATEL,EQ,N,202.55,148.0,194.4,149.9,150.7,194.4,16818285,2808329919.85,333.45,148.0,193085,INE121J01017,2020-03-18,166.98
1016,INFRATEL,EQ,N,149.9,120.05,149.9,124.05,122.5,149.9,22843722,2927653745.15,333.45,120.05,132208,INE121J01017,2020-03-19,128.16
1017,INFRATEL,EQ,N,155.9,122.8,124.2,148.15,152.1,124.05,16273662,2220053600.55,333.45,120.05,116444,INE121J01017,2020-03-20,136.42
1018,INFRATEL,EQ,N,148.0,133.5,134.0,143.4,141.95,148.15,6129436,863136408.0,320.0,120.05,121871,INE121J01017,2020-03-23,140.82
1019,INFRATEL,EQ,N,150.8,131.0,149.0,141.95,140.0,143.4,8100940,1123987344.15,320.0,120.05,104119,INE121J01017,2020-03-24,138.75
1020,INFRATEL,EQ,N,151.9,136.3,139.3,147.5,150.75,141.95,4970744,717338638.25,320.0,120.05,65572,INE121J01017,2020-03-25,144.31
1021,INFRATEL,EQ,N,169.0,147.0,150.45,156.5,157.0,147.5,7345437,1148991491.15,320.0,120.05,62208,INE121J01017,2020-03-26,156.42
1022,INFRATEL,EQ,N,165.0,153.5,165.0,156.8,157.05,156.5,7325718,1143774637.5,320.0,120.05,48609,INE121J01017,2020-03-27,156.13
1023,INFRATEL,EQ,N,157.75,148.4,157.1,155.1,153.2,156.8,5274316,808620197.2,320.0,120.05,29313,INE121J01017,2020-03-30,153.31
1024,INFRATEL,EQ,N,163.3,154.7,155.9,160.0,160.05,155.1,3313693,529744414.75,320.0,120.05,33057,INE121J01017,2020-03-31,159.87
1025,INFRATEL,EQ,N,160.5,150.5,160.0,155.1,154.55,160.0,3210493,496831491.2,320.0,120.05,33296,INE121J01017,2020-04-01,154.75
1026,INFRATEL,EQ,N,161.6,154.2,158.0,156.4,157.95,155.1,8125477,1262716263.45,320.0,120.05,68485,INE121J01017,2020-04-03,155.4
1027,INFRATEL,EQ,N,164.5,157.1,164.2,159.65,161.1,156.4,7789053,1245835003.35,318.7,120.05,64083,INE121J01017,2020-04-07,159.95
1028,INFRATEL,EQ,N,170.4,158.05,161.1,166.4,166.45,159.65,8193132,1353211070.85,318.7,120.05,71657,INE121J01017,2020-04-08,165.16
1029,INFRATEL,EQ,N,175.25,169.0,171.0,173.9,173.8,166.4,3777305,653241012.45,318.7,120.05,43099,INE121J01017,2020-04-09,172.94
968,INFRATEL,EQ,N,179.35,171.45,173.2,177.5,178.0,173.9,3315057,581630238.7,316.9,120.05,39898,INE121J01017,2020-04-13,175.45
969,INFRATEL,EQ,N,181.0,172.1,180.05,173.8,174.1,177.5,4525878,796485597.75,316.9,120.05,53927,INE121J01017,2020-04-15,175.98
970,INFRATEL,EQ,N,175.7,165.45,171.0,171.5,170.4,173.8,6471943,1103671249.7,316.9,120.05,67910,INE121J01017,2020-04-16,170.53
971,INFRATEL,EQ,N,175.9,166.9,175.0,168.3,168.2,171.5,4417192,750518148.45,316.9,120.05,47348,INE121J01017,2020-04-17,169.91
972,INFRATEL,EQ,N,170.0,158.4,168.9,159.3,159.3,168.3,6007560,963322065.55,310.85,120.05,58085,INE121J01017,2020-04-20,160.35
973,INFRATEL,EQ,N,165.0,156.0,159.3,163.05,163.9,159.3,7392996,1194848187.2,310.85,120.05,54068,INE121J01017,2020-04-21,161.62
974,INFRATEL,EQ,N,168.4,164.0,164.0,167.55,167.1,163.05,5550913,924691842.55,310.85,120.05,49122,INE121J01017,2020-04-22,166.58
975,INFRATEL,EQ,N,174.55,166.0,169.0,166.1,166.2,167.55,5745054,968757561.3,310.85,120.05,46684,INE121J01017,2020-04-23,168.62
976,INFRATEL,EQ,N,172.9,149.5,169.0,152.0,152.85,166.1,19437319,3063374194.35,310.85,120.05,168828,INE121J01017,2020-04-24,157.6
977,INFRATEL,EQ,N,160.5,154.0,154.0,157.4,156.85,152.0,7030396,1109821189.95,296.5,120.05,64357,INE121J01017,2020-04-27,157.86
978,INFRATEL,EQ,N,160.85,155.0,160.0,159.4,159.0,157.4,4152709,654836035.0,296.5,120.05,51057,INE121J01017,2020-04-28,157.69
979,INFRATEL,EQ,N,163.95,157.05,160.05,163.0,162.6,159.4,3332616,536734976.55,296.5,120.05,35323,INE121J01017,2020-04-29,161.06
980,INFRATEL,EQ,N,175.8,162.15,163.0,174.4,174.25,163.0,5671218,966806867.8,296.5,120.05,59993,INE121J01017,2020-04-30,170.48
981,INFRATEL,EQ,N,171.75,162.9,164.0,168.5,169.05,174.4,3535528,591536291.7,296.5,120.05,40915,INE121J01017,2020-05-04,167.31
982,INFRATEL,EQ,N,183.8,164.75,168.0,170.6,170.35,168.5,20706226,3667700078.3,296.5,120.05,170543,INE121J01017,2020-05-05,177.13
983,INFRATEL,EQ,N,174.0,159.5,171.0,160.9,161.2,170.6,10677481,1745153500.25,296.5,120.05,91310,INE121J01017,2020-05-06,163.44
984,INFRATEL,EQ,N,174.4,156.6,159.0,172.8,172.4,160.9,18270937,3096302019.1,296.5,120.05,148815,INE121J01017,2020-05-07,169.47
985,INFRATEL,EQ,N,176.5,167.4,173.0,174.25,173.5,172.8,13660992,2352687191.85,296.5,120.05,135645,INE121J01017,2020-05-08,172.22
986,INFRATEL,EQ,N,187.7,173.0,174.25,183.6,184.55,174.25,7607676,1366410553.1,296.5,120.05,63327,INE121J01017,2020-05-11,179.61
987,INFRATEL,EQ,N,192.6,178.45,185.0,189.6,189.5,183.6,13981599,2598958479.5,296.5,120.05,127907,INE121J01017,2020-05-12,185.88
988,INFRATEL,EQ,N,199.0,191.55,195.35,196.15,195.8,189.6,8788087,1720363396.2,296.5,120.05,84149,INE121J01017,2020-05-13,195.76
989,INFRATEL,EQ,N,213.6,189.7,190.0,209.65,204.65,196.15,24091409,4965777151.85,296.5,120.05,220356,INE121J01017,2020-05-14,206.12
990,INFRATEL,EQ,N,207.45,200.7,205.95,202.5,203.05,209.65,11910823,2426160768.35,296.5,120.05,110940,INE121J01017,2020-05-15,203.69
991,INFRATEL,EQ,N,210.0,201.1,205.0,207.1,207.2,202.5,15523354,3211782759.1,296.5,120.05,172979,INE121J01017,2020-05-18,206.9
992,INFRATEL,EQ,N,220.8,206.0,212.0,218.75,215.0,207.1,15351228,3298946430.45,296.5,120.05,123819,INE121J01017,2020-05-19,214.9
993,INFRATEL,EQ,N,217.45,196.0,213.1,200.85,203.45,218.75,22326973,4543543494.35,296.5,120.05,180731,INE121J01017,2020-05-20,203.5
941,INFRATEL,EQ,N,209.65,204.0,204.0,205.85,205.0,200.85,13460820,2785099287.0,296.5,120.05,131582,INE121J01017,2020-05-21,206.9
942,INFRATEL,EQ,N,212.55,200.05,202.0,207.5,207.0,205.85,10697684,2223322276.9,296.5,120.05,93772,INE121J01017,2020-05-22,207.83
943,INFRATEL,EQ,N,214.0,203.25,207.9,208.15,208.0,207.5,9468767,1973847684.35,296.5,120.05,123480,INE121J01017,2020-05-26,208.46
944,INFRATEL,EQ,N,218.5,208.05,208.5,216.7,216.9,208.15,6741962,1438582952.85,296.5,120.05,88157,INE121J01017,2020-05-27,213.38
945,INFRATEL,EQ,N,225.3,213.9,214.1,223.85,225.05,216.7,6682224,1473176065.6,296.5,120.05,61541,INE121J01017,2020-05-28,220.46
946,INFRATEL,EQ,N,242.5,224.3,225.45,229.95,226.25,223.85,24854772,5859832660.05,296.5,120.05,209220,INE121J01017,2020-05-29,235.76
947,INFRATEL,EQ,N,237.5,222.05,231.0,224.25,224.3,229.95,13153165,3025996568.85,296.5,120.05,132785,INE121J01017,2020-06-01,230.06
948,INFRATEL,EQ,N,229.95,222.15,228.85,223.25,224.05,224.25,8444140,1908609821.65,296.5,120.05,92649,INE121J01017,2020-06-02,226.03
949,INFRATEL,EQ,N,228.0,216.1,228.0,219.0,218.9,223.25,11730551,2572335227.25,296.5,120.05,132470,INE121J01017,2020-06-03,219.29
950,INFRATEL,EQ,N,224.0,213.9,218.1,218.9,222.9,219.0,6951640,1508271504.2,296.5,120.05,84508,INE121J01017,2020-06-04,216.97
951,INFRATEL,EQ,N,239.7,223.0,226.85,236.25,237.15,218.9,18569728,4329526494.25,296.5,120.05,166292,INE121J01017,2020-06-05,233.15
952,INFRATEL,EQ,N,241.0,228.55,238.15,230.2,230.5,236.25,10230414,2385313967.65,296.5,120.05,102870,INE121J01017,2020-06-08,233.16
953,INFRATEL,EQ,N,240.5,225.45,231.05,233.0,233.5,230.2,10201879,2383948629.5,296.5,120.05,90730,INE121J01017,2020-06-09,233.68
954,INFRATEL,EQ,N,240.75,229.55,233.0,232.7,233.7,233.0,10678235,2512087231.4,296.5,120.05,108282,INE121J01017,2020-06-10,235.25
