,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,INFY,EQ,N,765.9,733.75,737.0,741.05,739.4,731.7,9821523,7375861532.0,847.0,615.1,155968,INE009A01021,2020-03-02,750.99
996,INFY,EQ,N,759.0,741.25,755.0,747.0,751.0,741.05,7826587,5862836380.75,847.0,615.1,136066,INE009A01021,2020-03-03,749.09
1001,INFY,EQ,N,761.5,745.55,753.9,758.75,758.0,747.0,11013444,8295623046.9,847.0,615.1,155822,INE009A01021,2020-03-04,753.23
1007,INFY,EQ,N,773.55,751.75,763.75,754.6,754.15,758.75,7755293,5922737656.5,847.0,615.1,124093,INE009A01021,2020-03-05,763.7
1008,INFY,EQ,N,744.0,729.1,741.0,738.95,739.0,754.6,9216022,6806310521.15,847.0,615.1,147517,INE009A01021,2020-03-06,738.53
1009,INFY,EQ,N,725.85,697.0,724.5,704.45,706.4,738.95,10308697,7274162430.1,847.0,615.1,180848,INE009A01021,2020-03-09,705.63
1010,INFY,EQ,N,695.95,669.05,690.65,686.0,682.15,704.45,16165054,11087131348.55,847.0,615.1,233010,INE009A01021,2020-03-11,685.87
1011,INFY,EQ,N,670.0,627.5,668.0,631.2,631.0,686.0,13965689,9000417645.15,847.0,615.1,265786,INE009A01021,2020-03-12,644.47
1012,INFY,EQ,N,667.0,570.0,592.0,642.35,652.15,631.2,16903140,10632077962.5,847.0,570.0,286353,INE009A01021,2020-03-13,629.0
1013,INFY,EQ,N,622.15,580.0,622.0,583.15,583.2,642.35,19140854,11434179964.35,847.0,570.0,462293,INE009A01021,2020-03-16,597.37
1014,INFY,EQ,N,592.0,550.0,588.1,554.95,560.0,583.15,16060126,9186285698.0,847.0,550.0,359329,INE009A01021,2020-03-17,571.99
1015,INFY,EQ,N,578.0,528.0,568.0,534.3,531.7,554.95,15391568,8510344347.2,847.0,528.0,235885,INE009A01021,2020-03-18,552.92
1016,INFY,EQ,N,558.0,509.25,509.25,545.55,551.8,534.3,16584106,8969244995.0,847.0,509.25,313532,INE009A01021,2020-03-19,540.83
1017,INFY,EQ,N,617.45,548.0,549.5,585.2,580.9,545.55,21356183,12495510370.85,847.0,509.25,407561,INE009A01021,2020-03-20,585.1
1018,INFY,EQ,N,560.95,515.9,540.0,526.45,529.15,585.2,17146303,9110393752.8,847.0,509.25,258952,INE009A01021,2020-03-23,531.33
1019,INFY,EQ,N,601.15,522.0,522.0,589.8,600.0,526.45,20029537,11471457437.1,847.0,509.25,434375,INE009A01021,2020-03-24,572.73
1020,INFY,EQ,N,635.0,565.7,597.0,606.2,607.0,589.8,18339650,10944193384.35,847.0,509.25,429544,INE009A01021,2020-03-25,596.75
1021,INFY,EQ,N,650.85,612.1,615.0,643.0,640.0,606.2,14868843,9497347855.35,847.0,509.25,291975,INE009A01021,2020-03-26,638.74
1022,INFY,EQ,N,674.9,642.25,665.05,652.7,655.0,643.0,13495469,8823242465.25,847.0,509.25,262091,INE009A01021,2020-03-27,653.79
