,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,IOC,EQ,N,112.9,103.1,108.45,103.95,104.0,105.75,14580876,1562015325.9,170.75,100.9,90858,INE242A01010,2020-03-02,107.13
996,IOC,EQ,N,107.8,104.3,105.5,106.65,106.75,103.95,13272595,1409184297.45,170.75,100.9,86695,INE242A01010,2020-03-03,106.17
1001,IOC,EQ,N,108.75,105.75,106.8,106.6,106.85,106.65,13611167,1458237230.8,170.75,100.9,110919,INE242A01010,2020-03-04,107.14
1007,IOC,EQ,N,108.4,104.45,107.55,104.8,104.9,106.6,10165175,1080500823.25,170.75,100.9,75253,INE242A01010,2020-03-05,106.29
1008,IOC,EQ,N,101.8,99.3,101.8,100.8,100.8,104.8,24683806,2475982081.8,170.75,99.3,193641,INE242A01010,2020-03-06,100.31
1009,IOC,EQ,N,105.25,98.0,102.3,99.4,98.6,100.8,33011189,3378403080.0,170.75,98.0,154576,INE242A01010,2020-03-09,102.34
1010,IOC,EQ,N,100.1,95.05,100.05,96.9,95.1,99.4,20255316,1964136937.0,170.75,95.05,107240,INE242A01010,2020-03-11,96.97
1011,IOC,EQ,N,93.65,87.25,93.0,87.9,87.6,96.9,28174778,2546713196.7,170.75,87.25,202985,INE242A01010,2020-03-12,90.39
1012,IOC,EQ,N,93.25,76.0,80.3,92.25,91.95,87.9,41589406,3731314695.6,170.75,76.0,141577,INE242A01010,2020-03-13,89.72
1013,IOC,EQ,N,92.6,87.65,90.4,89.7,89.7,92.25,29823600,2686659075.7,170.75,76.0,104308,INE242A01010,2020-03-16,90.09
1014,IOC,EQ,N,93.5,88.95,90.0,89.4,89.1,89.7,17242692,1576862920.1,170.75,76.0,87256,INE242A01010,2020-03-17,91.45
1015,IOC,EQ,N,91.35,86.45,90.25,87.6,87.45,89.4,18144753,1598811036.0,170.75,76.0,72994,INE242A01010,2020-03-18,88.11
1016,IOC,EQ,N,90.8,82.4,84.45,87.95,88.0,87.6,21202946,1854709359.3,170.75,76.0,139154,INE242A01010,2020-03-19,87.47
1017,IOC,EQ,N,92.95,88.1,89.0,90.6,90.9,87.95,20032128,1813827983.35,170.75,76.0,74272,INE242A01010,2020-03-20,90.55
1018,IOC,EQ,N,87.25,80.0,82.0,80.75,81.4,90.6,14024553,1157277043.8,170.75,76.0,76425,INE242A01010,2020-03-23,82.52
1019,IOC,EQ,N,84.0,77.65,82.9,79.7,79.75,80.75,15678126,1249057227.85,170.75,76.0,69769,INE242A01010,2020-03-24,79.67
1020,IOC,EQ,N,80.95,77.0,77.8,77.85,77.25,79.7,18088609,1423160664.0,170.75,76.0,81986,INE242A01010,2020-03-25,78.68
1021,IOC,EQ,N,78.5,74.65,78.0,78.0,78.2,77.85,18316505,1412081320.9,170.75,74.65,86875,INE242A01010,2020-03-26,77.09
1022,IOC,EQ,N,80.15,76.05,78.5,76.9,77.0,78.0,13442836,1040888075.95,170.75,74.65,66222,INE242A01010,2020-03-27,77.43
1023,IOC,EQ,N,78.3,74.45,75.0,76.8,76.8,76.9,11491396,881647242.65,170.75,74.45,62528,INE242A01010,2020-03-30,76.72
1024,IOC,EQ,N,82.5,77.05,78.0,81.65,81.3,76.8,24278037,1965338640.45,170.75,74.45,98539,INE242A01010,2020-03-31,80.95
