,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP
994,ITC,EQ,N,203.45,193.65,199.5,195.3,195.5,197.55,18560049,3705536591.05,310.0,192.05,114142,INE154A01025,2020-03-02,199.65
996,ITC,EQ,N,197.45,192.55,197.0,193.85,194.05,195.3,17947416,3491906049.6,310.0,192.05,148060,INE154A01025,2020-03-03,194.56
1000,ITC,EQ,N,195.55,186.55,194.95,187.5,187.35,193.85,27664076,5231908412.85,310.0,186.55,138723,INE154A01025,2020-03-04,189.12
1007,ITC,EQ,N,191.2,186.55,187.55,188.05,187.6,187.5,20025924,3782197171.45,310.0,186.55,151318,INE154A01025,2020-03-05,188.87
1008,ITC,EQ,N,184.85,179.75,184.85,181.75,181.4,188.05,26764504,4870964712.15,310.0,179.75,199706,INE154A01025,2020-03-06,181.99
1009,ITC,EQ,N,179.0,174.5,179.0,177.2,176.75,181.75,21795899,3861308623.15,310.0,174.5,156489,INE154A01025,2020-03-09,177.16
1010,ITC,EQ,N,176.75,172.35,174.0,175.65,176.25,177.2,27957737,4878568815.1,310.0,172.35,179482,INE154A01025,2020-03-11,174.5
1011,ITC,EQ,N,169.15,150.55,169.0,155.8,155.8,175.65,52040944,8229213336.4,310.0,150.55,264894,INE154A01025,2020-03-12,158.13
1012,ITC,EQ,N,164.0,134.6,150.0,162.25,163.4,155.8,61592332,9564478910.75,310.0,134.6,274571,INE154A01025,2020-03-13,155.29
1013,ITC,EQ,N,158.1,145.25,158.0,147.25,147.55,162.25,33255085,5016491056.9,310.0,134.6,215377,INE154A01025,2020-03-16,150.85
1014,ITC,EQ,N,155.8,146.05,148.0,149.15,149.15,147.25,47658462,7224900485.0,310.0,134.6,226554,INE154A01025,2020-03-17,151.6
1015,ITC,EQ,N,154.65,147.35,152.1,150.7,151.4,149.15,50248786,7590057352.85,310.0,134.6,282399,INE154A01025,2020-03-18,151.05
1016,ITC,EQ,N,163.55,144.75,150.7,161.85,160.9,150.7,89753683,13858883275.85,310.0,134.6,386234,INE154A01025,2020-03-19,154.41
1017,ITC,EQ,N,176.5,165.1,165.1,175.5,176.35,161.85,61997991,10665108502.65,310.0,134.6,327341,INE154A01025,2020-03-20,172.02
1018,ITC,EQ,N,162.0,149.2,158.0,154.3,155.0,175.5,51354135,7980277585.0,310.0,134.6,369765,INE154A01025,2020-03-23,155.4
1019,ITC,EQ,N,163.7,147.4,162.95,149.7,151.0,154.3,52569242,7950911046.1,310.0,134.6,348501,INE154A01025,2020-03-24,151.25
1020,ITC,EQ,N,152.0,139.0,151.0,147.35,147.05,149.7,62506221,9000105590.05,310.0,134.6,365896,INE154A01025,2020-03-25,143.99
1021,ITC,EQ,N,159.4,143.25,150.0,156.4,156.8,147.35,58443502,8816939242.7,310.0,134.6,287956,INE154A01025,2020-03-26,150.86
1022,ITC,EQ,N,166.0,155.0,162.0,163.2,163.25,156.4,32636891,5236588359.75,310.0,134.6,209456,INE154A01025,2020-03-27,160.45
1023,ITC,EQ,N,164.9,156.05,156.05,159.2,160.15,163.2,28120394,4566682077.25,310.0,134.6,262288,INE154A01025,2020-03-30,162.4
1024,ITC,EQ,N,173.85,161.55,164.0,171.7,169.9,159.2,42630922,7141798426.45,310.0,134.6,231840,INE154A01025,2020-03-31,167.53
1025,ITC,EQ,N,172.75,164.55,171.7,166.4,166.65,171.7,18142049,3040521387.35,310.0,134.6,180234,INE154A01025,2020-04-01,167.6
1026,ITC,EQ,N,182.75,167.0,167.9,177.9,177.5,166.4,62868085,11009282014.05,310.0,134.6,354482,INE154A01025,2020-04-03,175.12
1027,ITC,EQ,N,185.7,173.65,185.7,181.55,181.4,177.9,36119016,6481702914.9,310.0,134.6,238009,INE154A01025,2020-04-07,179.45
1028,ITC,EQ,N,184.0,176.65,180.85,178.65,178.6,181.55,37561322,6744718284.15,310.0,134.6,263938,INE154A01025,2020-04-08,179.57
1029,ITC,EQ,N,186.25,180.0,184.0,185.25,184.85,178.65,42643743,7830631145.55,310.0,134.6,215510,INE154A01025,2020-04-09,183.63
968,ITC,EQ,N,186.65,181.05,184.5,181.6,181.9,185.25,17744825,3254817711.85,310.0,134.6,139175,INE154A01025,2020-04-13,183.42
969,ITC,EQ,N,193.75,182.7,184.05,189.35,190.25,181.6,49092959,9306140489.75,310.0,134.6,337036,INE154A01025,2020-04-15,189.56
970,ITC,EQ,N,191.2,185.45,189.65,186.35,187.1,189.35,27082646,5088737088.6,310.0,134.6,207231,INE154A01025,2020-04-16,187.9
971,ITC,EQ,N,191.4,186.95,190.45,188.1,188.15,186.35,26669272,5037662353.7,310.0,134.6,168212,INE154A01025,2020-04-17,188.89
972,ITC,EQ,N,189.95,179.5,189.95,180.7,180.9,188.1,35767070,6497897849.0,310.0,134.6,271108,INE154A01025,2020-04-20,181.67
973,ITC,EQ,N,184.3,176.05,178.0,179.6,179.5,180.7,23334550,4222814177.2,310.0,134.6,269274,INE154A01025,2020-04-21,180.97
974,ITC,EQ,N,183.55,176.0,179.0,182.25,182.65,179.6,25164099,4553989729.4,310.0,134.6,178772,INE154A01025,2020-04-22,180.97
975,ITC,EQ,N,184.0,179.65,182.95,180.55,181.2,182.25,32968241,5996601748.6,310.0,134.6,234667,INE154A01025,2020-04-23,181.89
976,ITC,EQ,N,182.8,179.3,181.0,180.05,179.85,180.55,18050148,3260993060.95,310.0,134.6,115014,INE154A01025,2020-04-24,180.66
977,ITC,EQ,N,182.3,179.3,180.25,179.85,180.0,180.05,13086773,2366417399.45,310.0,134.6,87713,INE154A01025,2020-04-27,180.83
978,ITC,EQ,N,180.8,178.05,180.0,179.45,180.6,179.85,17802711,3193970079.0,310.0,134.6,81480,INE154A01025,2020-04-28,179.41
979,ITC,EQ,N,182.9,179.65,180.5,182.15,182.05,179.45,21461158,3893831952.55,310.0,134.6,131121,INE154A01025,2020-04-29,181.44
980,ITC,EQ,N,184.9,180.45,184.9,182.05,181.05,182.15,30169126,5514079226.65,310.0,134.6,211892,INE154A01025,2020-04-30,182.77
981,ITC,EQ,N,181.75,170.65,181.75,174.05,173.5,182.05,30298058,5296023986.75,310.0,134.6,200386,INE154A01025,2020-05-04,174.8
982,ITC,EQ,N,177.45,172.0,175.0,173.9,174.0,174.05,17709577,3104426107.75,310.0,134.6,103113,INE154A01025,2020-05-05,175.3
983,ITC,EQ,N,171.4,160.5,171.4,163.9,164.95,173.9,65586753,10725120327.55,310.0,134.6,435677,INE154A01025,2020-05-06,163.53
984,ITC,EQ,N,165.85,160.5,164.0,161.0,161.15,163.9,24249898,3945146899.55,310.0,134.6,188468,INE154A01025,2020-05-07,162.69
985,ITC,EQ,N,164.15,157.1,163.95,158.25,158.5,161.0,25307551,4040860526.35,310.0,134.6,228559,INE154A01025,2020-05-08,159.67
986,ITC,EQ,N,163.5,158.0,160.0,158.45,159.25,158.25,18095693,2912847374.2,310.0,134.6,220940,INE154A01025,2020-05-11,160.97
987,ITC,EQ,N,165.9,157.5,158.45,165.05,165.5,158.45,21387983,3450209830.5,310.0,134.6,166733,INE154A01025,2020-05-12,161.32
988,ITC,EQ,N,173.6,164.5,173.4,165.4,165.7,165.05,20018552,3354698652.35,310.0,134.6,139320,INE154A01025,2020-05-13,167.58
989,ITC,EQ,N,168.25,161.95,164.5,163.8,164.25,165.4,14949993,2463446939.65,310.0,134.6,126962,INE154A01025,2020-05-14,164.78
990,ITC,EQ,N,165.5,161.15,162.2,164.65,164.4,163.8,14950688,2439597397.35,310.0,134.6,100036,INE154A01025,2020-05-15,163.18
991,ITC,EQ,N,167.3,163.15,166.0,164.75,164.8,164.65,20802365,3444644630.05,310.0,134.6,164646,INE154A01025,2020-05-18,165.59
992,ITC,EQ,N,171.65,165.1,166.5,170.75,170.75,164.75,20142194,3403852686.15,310.0,134.6,152331,INE154A01025,2020-05-19,168.99
993,ITC,EQ,N,177.0,171.0,171.95,175.75,175.7,170.75,25320952,4437243049.85,310.0,134.6,191598,INE154A01025,2020-05-20,175.24
941,ITC,EQ,N,190.45,172.65,175.6,188.95,188.2,175.75,58382988,10761507970.95,310.0,134.6,302533,INE154A01025,2020-05-21,184.33
942,ITC,EQ,N,191.9,184.6,188.0,186.35,186.7,188.95,39013806,7305887869.25,310.0,134.6,222297,INE154A01025,2020-05-22,187.26
943,ITC,EQ,N,194.95,187.8,190.0,191.7,191.6,186.35,53235758,10184300252.55,293.55,134.6,315054,INE154A01025,2020-05-26,191.31
944,ITC,EQ,N,193.9,186.9,192.5,192.15,192.45,191.7,24546312,4678558068.8,293.55,134.6,150179,INE154A01025,2020-05-27,190.6
945,ITC,EQ,N,192.9,189.0,192.3,190.65,191.0,192.15,24579385,4672098928.35,293.55,134.6,132770,INE154A01025,2020-05-28,190.08
946,ITC,EQ,N,198.0,189.0,190.45,197.35,197.1,190.65,35836696,7004204895.7,293.55,134.6,204489,INE154A01025,2020-05-29,195.45
